seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
1,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749351066231, 0.055707440612932146, 0.04692113128942428, 0.33380125965916857, 0.7193609829963272, 1.2220258705468945, 0.04261022906304768, -2.287274303830059, -0.6544276551265205, 0.7127537781594664]","[0.044014093, 0.113220915, 0.9410885, -0.6215933, -1.239919, 0.28941378, 0.9843636, 0.19061385, 0.073837906, -0.63270277]","(20, 10)",1e-06,"[-0.7022759318351746, -0.0011317133903503418, 0.030617058277130127, 0.42294055223464966, 1.0089871883392334, 1.3231136798858643, 0.16712456941604614, -2.2818596363067627, -0.8551227450370789, 0.5678804516792297]"
8,"[-0.1459271072689517, -0.39088531478562016, -0.38063486707447913, 0.08866428006592048, -1.0456591362723784, -1.7036151373825725, -2.0873723395931476, -0.6757411489484053, 0.29169593142698025, 0.310696188212238]","[-0.015614548888712346, -0.17930241728441143, -0.22761894314239356, -0.1423756201094709, 0.22756952080638015, -1.042264924958457, -0.7809983559804295, -1.0972750195506125, 0.37338283435370234, 0.23196248206572362]","[-0.29587728, -0.29921246, -0.76766783, 1.2380598, -0.301696, -0.48292217, 0.95990646, -1.673689, 0.14053008, 0.57505727]","(20, 10)",1e-06,"[0.14096564054489136, -0.41321778297424316, -0.2065894603729248, -0.22220587730407715, 0.40526703000068665, -1.2426069974899292, -0.6778013706207275, -1.0610768795013428, 0.5020263195037842, 0.46184203028678894]"
31,"[-0.2961286904765348, -0.6336096511314683, 1.0251329346676603, 0.8600392488685231, -0.11189223653348883, 0.11324071608822323, 0.9080759866243711, 0.41638558378421137, -0.27700348089556404, 1.2447834539866645]","[-0.2675527564794375, 0.14081538528977156, -0.5111042131914272, 1.229988185300971, 0.029535128027532442, -0.34266110218466206, 0.2463998256204485, 0.6614592380517305, -0.12217859367741635, -0.3091535098169882]","[0.99467516, 0.2504303, -1.3634082, -0.76308894, 0.44648582, 0.61571175, 0.10097046, -1.320049, 0.26093337, 0.4907914]","(10, 5)",1e-06,"[-0.30219054222106934, 0.1581249237060547, -0.5159587860107422, 1.2001456022262573, -0.16468584537506104, -0.3045961856842041, 0.5473554134368896, 0.3466915488243103, 0.04067575931549072, -0.3470447063446045]"
66,"[-0.8265169580268706, -1.396541205475884, -0.9167166386413339, -1.5898361819775375, -1.0119721880242576, 0.02266458331775667, -1.046561352298553, -1.9815628641834506, -0.8337163979212412, 0.7585149439450467]","[0.05720858463318326, -0.8765536994669918, -0.7143457386912077, -0.1940358308286272, -1.1529109782879425, -0.053437738938365675, 0.29911080321173145, -1.0943189607639652, -1.108677790683112, 0.19069189448970897]","[-1.0118021, -0.12310858, 1.5648472, 1.0768838, 0.47410938, 1.4820879, 1.3129196, 1.2505795, -0.56815267, 0.016706647]","(10, 5)",1e-06,"[0.1271076202392578, -0.8688678741455078, -0.586622953414917, -0.07822740077972412, -1.128361701965332, 0.07103967666625977, 0.20479679107666016, -1.1050500869750977, -0.9428131580352783, 0.29290544986724854]"
9,"[2.3564076519401875, 0.08026659789866364, -1.0184116336690976, 0.7731049242622018, 0.6259768819617235, -0.6362086120037269, -0.8481798523509172, -0.3844170283470339, -1.0025075425906094, -0.23450906292930995]","[1.0584677748745865, 1.4923364644895074, -1.122379125530209, -0.5800851157283371, 1.1937421032747406, -0.0587094857950714, -0.7418996495193355, -0.3315131943632784, 0.01481959941752048, -0.7975415094585725]","[-0.51265043, -0.7147153, -0.11481459, 1.3725525, -0.2688169, 0.0436929, 1.1821847, 0.30167618, 0.87505585, 0.8000694]","(10, 5)",1e-06,"[0.8841066360473633, 1.4634222984313965, -1.0640623569488525, -0.5805515050888062, 1.1570402383804321, 0.10176876187324524, -0.6087079048156738, -0.4715406000614166, -0.1375819742679596, -1.0339293479919434]"
6,"[0.8053994409555097, 0.8856414169249209, 0.4943224239362206, 1.7995936753740582, 1.7673214780165216, 0.6334584440749447, 1.8001778240967057, 0.22129878296870098, -1.9224282693789516, -2.283598234786646]","[1.1541817622813373, 0.2807387092682082, 0.46523209611150285, 0.006601158550245179, 1.508667362001863, 0.48087861746867305, -0.12263519189960348, 1.5264063471995881, -0.9426060082884425, -1.4269595839989013]","[0.38127816, -0.46704334, -0.64915067, 0.7584521, -0.44216937, -0.95882666, 1.1739597, 0.9848329, -0.30587238, 0.8602947]","(10, 5)",1e-06,"[1.481451153755188, 0.392183393239975, 0.4706808030605316, 0.009675711393356323, 1.6340882778167725, 0.4288844168186188, -0.012815266847610474, 1.6064752340316772, -0.6417055130004883, -1.4323784112930298]"
34,"[1.5659960799344281, -0.4803619457547359, -1.0839423596483155, 0.1675213475082694, 0.9709578066105129, 0.1238356957633096, -0.6905410299778845, -1.3810468241012401, -1.5426304109503217, -0.14750334587360048]","[0.5728656478956963, 0.8722564671540489, -1.1459477548705324, -0.400012815153119, 0.5735033567535909, 0.5927367307592375, -0.36220643333157915, -0.501302302197872, -0.8427655651461274, -0.6800261812666125]","[-0.96046853, 0.69295466, -0.3296914, 0.82768285, 1.1725144, -1.0447702, -1.5284902, -1.3351448, -1.0993426, -1.2603561]","(10, 5)",1e-06,"[0.28467801213264465, 0.9543849229812622, -1.2039179801940918, -0.5307255983352661, 0.6064077615737915, 0.8490013480186462, -0.6547141075134277, -0.5136386156082153, -1.0194329023361206, -0.6874585151672363]"
7,"[-1.7962881168495544, -1.2732067659801491, 0.8889886203523798, 2.951012883596368, 1.2646958340563796, -0.3323120601885993, 0.0903106840418626, -0.13735260074694355, -0.9151583016949827, -1.3520889193794698]","[-1.6979879477709359, -0.7454477828226362, -0.32550058573588914, 1.3184102921595218, 1.873940559885067, -0.5083924541333209, -0.4523972732705274, 0.3736915045606189, -0.31349366034903536, -0.6613341613526174]","[1.95121, 0.5771198, -1.6225989, -0.5279693, 0.10561609, 0.41937035, 0.8717174, 0.29868007, 0.073158875, -1.0939208]","(10, 5)",1e-06,"[-1.3093618154525757, -1.2775012254714966, -0.124379962682724, 1.1586946249008179, 1.5740032196044922, -0.22031664848327637, -0.8144834041595459, 0.43618789315223694, -0.6562964916229248, -0.6156350374221802]"
60,"[0.9526084233240861, 0.08244639626527595, 0.7032575939323291, 0.9462779478182216, -1.4780112925573055, -0.929984919829518, 0.30529261319500667, 0.7760026384822799, 0.49816301967014687, -0.9583953158693476]","[1.3741617108420967, -0.10197888305325103, -0.18363411825886006, 0.6623081591159171, 0.3771236888239907, -1.733250323118041, 0.2682474062043079, 0.4550336985617023, 0.42305677366939515, 0.04595024281674695]","[-0.02193372, -0.5560411, 1.1188849, 1.8628643, -0.10086563, -1.2627748, -0.2011428, 0.96464294, 0.18213265, -0.5451519]","(10, 5)",1e-06,"[1.5891928672790527, -0.12754228711128235, -0.14516419172286987, 0.7687249779701233, 0.3494396209716797, -1.5680367946624756, 0.19921737909317017, 0.6578588485717773, 0.40628448128700256, -0.05688644200563431]"
28,"[0.523710630683018, 0.04752838082399702, -0.12177348507794875, 0.026768672560152126, 0.3361239468267235, 0.22293268048079945, -2.111120066759831, -0.4133371844290823, 0.5128633588881688, 1.8524875363268667]","[0.6964075810321331, -0.010083503653824932, -0.11412976130652042, -0.08651596912887159, 0.0902015113946011, 0.2651784076866921, 0.01013108075202386, -1.9771454017203456, 0.9265166890981575, 0.2821309073916535]","[-0.885612, -0.24906865, 0.037947986, -0.010316305, 0.37923342, -0.19051436, -0.35839352, -0.5750501, -0.6156796, -0.064128116]","(10, 5)",1e-06,"[0.7095475792884827, -0.11889294534921646, -0.22077353298664093, -0.2961493730545044, -0.1369277834892273, 0.2154906690120697, -0.13953565061092377, -2.0386691093444824, 1.056640386581421, 0.4348190426826477]"
