seed,Test,True,ARMA,Order
23,"[-0.7972534420681722, 0.2865580919118626, 1.3092846607646509, 0.5319940660574185, -0.01799348567364678, 0.7823631415737075, 0.6977989543286605, 0.14898163745840431, -0.9797952977894697, -1.5618723998755375]","[-0.7442062845127789, -0.4251502998117827, 0.499133241817754, 1.059718039855774, 0.002135046129531526, -0.019061008738412544, 0.7918936459429138, 0.30185213135720357, -0.0019444282201974694, -0.978823083679371]","[-0.7379361020256762, -0.46206082060717135, 0.53183430889634, 1.0205137945046792, 0.04629528242333062, 0.021552078965616544, 0.7821324468507131, 0.2469276021000995, 0.007858585006108618, -0.9589637880099189]","(4, 0, 0)"
22,"[0.33438651265842706, 0.8984919538709591, 1.255431644998678, 1.783500954397775, 1.239939248831758, -0.1801253960457755, -0.6709199658377545, -1.1298765987584993, -0.5347702735330219, -0.5966475730795737]","[0.49832583589606355, 0.08522359471039528, 0.8558801565157614, 0.8274915667407973, 1.3697551710273763, 0.5550616633180699, -0.45765622770481046, -0.4420918519853493, -0.9088306727658247, -0.0803549371501095]","[0.526078169709733, 0.04581831256163725, 0.8575634137045783, 0.8521263264367996, 1.3712895731751462, 0.571692057062517, -0.5144365541969096, -0.4538605112693865, -0.9674711208946102, -0.1054568689653151]","(4, 0, 0)"
13,"[0.4776846498526209, 0.5821712388038603, 0.2802554900752415, 0.22297160123899062, -0.1975596134215989, -1.0425238717296366, 0.09155253831370191, 1.3776430823527734, 0.6777434048553513, -0.3775402270772465]","[0.6008590120983393, 0.17725514380345123, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077901]","[0.620354253338705, 0.1503641718881759, 0.5183589634389628, 0.036524700307181024, 0.18940373752297668, -0.2848970925156897, -0.9046692977345565, 0.5052331882412987, 1.0645632101012594, 0.14375717090622953]","(4, 0, 0)"
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9905202944119575, 1.1618872060235474, 0.005267669274226394, -0.6343947835084384, 0.28554187305371465, 0.30581577552078903, -0.3770070650805455, -0.22545562082650425, 0.27242799184617617, 0.4847951932433444]","(3, 0, 0)"
15,"[-1.314869177500513, -0.8128914800497161, -0.9034256162458353, 0.02329661284420509, 0.19275515633593684, -0.9766123479889883, -0.8038138207200214, -0.27456184565904596, 0.6611367385216939, 1.6933467873451775]","[-0.5886015160302154, -1.0205684194854054, -0.30260727030701345, -0.7521219810923285, 0.3993576033903694, -0.006923645359247846, -0.9731505253093644, -0.3172385580653392, -0.11594256662637636, 0.719108021834882]","[-0.6018130645279247, -1.066823153421239, -0.2811537458304235, -0.7775288728865226, 0.4159964547579024, 0.04763569630261025, -1.0430509601052869, -0.29393073903520694, -0.12353161668579316, 0.731813553080543]","(4, 0, 0)"
14,"[-1.2440986860865688, -0.4865508935504905, 0.2975830767098091, 0.7568197055496705, 0.16370804313753556, 0.3232395075890545, 0.4764214573147744, -0.18314757271140183, -0.9892241619774378, -1.1428070380385411]","[-1.3117611664475848, -0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495961, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601]","[-1.3146083740605483, -0.5884688147917485, -0.1999136310656861, 0.3861721496358056, 0.5922438454693356, -0.08824993191073438, 0.38945293377353474, 0.2858773499606436, -0.3430579811446358, -0.7962458804736412]","(4, 0, 0)"
24,"[-0.16368099539043024, 0.9924642877554309, 1.5017809662698562, 1.7499909856268978, 1.8575848526434937, 1.8671810402860531, 0.4432714813088353, 0.5882500217078281, 1.3552075007307907, 0.9892293937218952]","[-1.112930554346549, 0.39278428178284436, 0.7960721468640088, 1.103744892837852, 1.198118539207972, 1.258525583039508, 1.2379182487662992, -0.17568764307431434, 0.6760938432449853, 1.017160579108298]","[-1.0801826515593338, 0.44517571708672854, 0.7965147908907549, 1.1219956222252176, 1.0594683961371327, 1.2469641183895082, 1.2739269810383413, -0.22309797030508932, 0.73835014035773, 0.9434444160650982]","(6, 0, 0)"
16,"[-0.8925604713988429, -0.6212528188330457, 0.5991684642228181, 1.282312738377204, 1.7892923932724853, 1.0734674101721913, -0.2954125087901368, -0.8968350856880265, -0.604867114153435, 0.1009670901745342]","[-0.5361011232371724, -0.6245099097802567, -0.3089978639429174, 0.7536673961942768, 0.9054790402800655, 1.3365528731324525, 0.405190973605965, -0.4980079955931193, -0.6478310878914668, -0.28095157020770156]","[-0.5100433046739632, -0.5777402317311506, -0.2349788380924539, 0.7252998947037459, 0.8443311225024869, 1.2040857718243192, 0.38359566462172523, -0.5117746544469656, -0.5515260809610751, -0.19960888531322696]","(3, 0, 0)"
37,"[0.5198539064413863, 0.6858897627786857, 0.10725806906728796, -0.9021371215984122, -1.7735493506493345, -2.003625817677107, -1.6001014203826736, -0.7717716489465446, -0.24750679902302114, -0.36925922064009464]","[0.38359838798831714, 0.3280547124472277, 0.5218624065550719, -0.15367313421024797, -0.8253005544932882, -1.3608990734026905, -1.323176280975762, -0.9385132798947927, -0.30251500899914824, -0.09624929452344702]","[0.3768903397116442, 0.29506182305151357, 0.4967109444443531, -0.201784999160247, -0.8593387187895775, -1.3535238322491485, -1.2944405330012165, -0.8536607952029227, -0.19224047987090115, 0.019984992249334487]","(4, 0, 0)"
42,"[1.349609050956198, 0.28643198137919956, -0.580334596230885, -0.8864732069124243, -1.3947872325795727, -1.5342702678159439, -1.5749370649129626, -1.1672918085267447, 0.18855794128975967, -0.288322847974939]","[1.0400575483876775, 0.8295802767623592, -0.12835815700198006, -0.516155517729895, -0.6283954480474767, -1.0805895085558344, -0.9939755135380268, -1.0779493081439493, -0.6283171544547702, 0.5027165185171447]","[1.0070277944204193, 0.7577569916645277, -0.15290345980503356, -0.5215678388916901, -0.5526455612591474, -0.9845495280934884, -0.9351932853570456, -0.9679901252767995, -0.5863564145431946, 0.5058845769902766]","(3, 0, 0)"
41,"[-1.4375676212985418, -2.0217203782526525, -1.9535855577314707, -2.166978050543202, -1.189794536956566, -1.3323027622775923, -1.0140894979802253, -0.2643535583450203, -0.7854779820234, -1.3409865220708328]","[-0.5559291296022015, -1.159603056497441, -1.441918850003932, -1.2326261327295045, -1.5506649841784497, -0.41446204486734106, -1.1250717398439218, -0.4515536280582644, -0.03857674431588809, -0.7661896098654559]","[-0.4954244920416139, -1.171249722707091, -1.4510724437127867, -1.2202719448504744, -1.550307797923805, -0.47492897716201177, -1.0890715043733994, -0.5730709808465749, 0.006262981094526721, -0.8006499801544728]","(3, 0, 0)"
40,"[-0.8047873718045049, -0.1300202701662716, 0.695905070661731, 0.37099730432246275, -0.07549416870083717, -0.9612037512661388, -1.6009695774664776, -1.7099297981413237, -0.8936570159629138, -0.12911489059261472]","[-0.8058451454567335, -0.40186479907613815, 0.07091212937179747, 0.6604490059758323, 0.04077280133454661, -0.09588056936811047, -0.9132634665820836, -1.144337844175436, -1.1377608760536058, -0.3247765779361109]","[-0.8174392134223907, -0.46191097281086263, 0.023401558501796052, 0.5972726239403179, 0.0740817554162081, -0.11549736872537593, -0.8296364724429053, -1.1656804117029345, -1.1500132104921703, -0.4206066038020909]","(3, 0, 0)"
43,"[-0.11156417888470532, 0.966500439914207, 0.06058132689622597, -1.3372379535143002, -0.4305957387041587, 0.13068337221055676, -0.6601923748812928, -1.5378782637377053, -1.5310104121270827, -0.6472473879029459]","[-0.7525185267471248, 0.26469508448885715, 0.8341528976697784, -0.35649512193866323, -1.1589903925449687, 0.14889945756832562, 0.05623364342639395, -0.6883091965944897, -1.1937236654404604, -0.9341485794068525]","[-0.7854718664849724, 0.29723489354563926, 0.9561179724453742, -0.4402051998561457, -1.2620631533067508, 0.2435566521262867, 0.14697923091959783, -0.8118526025583451, -1.2272733047107716, -0.8982920936918122]","(3, 0, 0)"
50,"[-0.7398717908313841, -0.42551601429476005, 0.19253691287633612, 1.2298119011299429, 0.4577166314850195, 0.704582015968397, 0.9634884957302314, 0.8580584785749414, 1.1904080425814711, 1.4132258747786544]","[-0.2506365489102902, -0.614553516376239, -0.11823925610664054, 0.2516565409296564, 1.1039836306651147, -0.0942751838475378, 0.751719607892166, 0.5876286917841484, 0.5642441326828672, 0.9082859762400376]","[-0.2735518361201461, -0.536020673127584, -0.16237030255588353, 0.2946575813691306, 1.100992806514897, -0.06696138726697576, 0.6500092410430511, 0.7091490961918463, 0.5177978721186283, 0.9305152022554894]","(3, 0, 0)"
53,"[1.0042581321986983, 1.786586900069016, 0.5037616150013121, -0.8280515123641135, 0.007359997236528915, -0.34453630765982646, 0.046965674911952915, 0.3372333050774645, -0.1431627080297465, -0.8911516232459916]","[0.42355291967175035, 0.7924816723628231, 1.3903460638876046, -0.19141141694249014, -0.7323458038928684, 0.3735328991829631, -0.531302757251308, 0.31261705353760694, 0.18092477830866105, -0.23362509718407704]","[0.4166812546404478, 0.8660508767143261, 1.418410826935935, -0.23013879011890392, -0.7489295610452753, 0.3464547747793721, -0.6309316629643479, 0.3200095900890505, 0.22707606298851324, -0.2602249745588952]","(4, 0, 0)"
35,"[0.8718212183723597, 0.23996180134999567, 0.5027677335543254, 0.256883532130359, 0.4565036352177868, 0.931794886936089, 1.1337187066863104, 1.2265590848314618, 0.9301097178148303, 1.398123321187097]","[0.6515019435710301, 0.5460702465868447, -0.03307332194342666, 0.5193043945260387, -0.002768665132660303, 0.45788796778411694, 0.7028509030440305, 0.782293255164295, 0.8354124572493142, 0.5124034891901732]","[0.4326543409144842, 0.696490862922523, -0.0663821095527527, 0.386664204372025, 0.07199235913323718, 0.33820601702740866, 0.7130884396733785, 0.743986458097994, 0.7644098859082319, 0.4589026927893479]","(2, 0, 0)"
33,"[-1.1700749594508788, -0.632615951279612, -0.4751845445619967, -0.4547302097030288, -0.6348457431219107, -0.7505243143273135, 0.2114753886932912, -0.4974238080943947, -1.1128169748310386, -0.9364902740093957]","[-1.1922453627898077, -0.573952278055975, -0.3456398122516245, -0.30236463843618444, -0.3035478904849366, -0.4830717978794424, -0.5089884153875923, 0.46596959638708735, -0.7304086062879384, -0.7476126716870695]","[-1.3376214346090898, -0.5248280047258455, -0.25699282176199234, -0.32440717125415386, -0.3129695085673354, -0.48715769856365165, -0.515750772864686, 0.49928935527197327, -0.7011306592944395, -0.8672689300395138]","(3, 0, 0)"
34,"[0.3332583930137314, -0.23995789038278237, -0.1122022786309056, 1.0596879630957488, 1.177080487643221, 0.06245018526644397, 0.3923453408792714, 0.7568536651749199, 0.8723372494612107, 0.7982448589461052]","[-0.46563829537462587, 0.5660775407010443, -0.5229966607333045, 0.14929605173574667, 0.9850399372278754, 0.6845605190292833, -0.27983007424819767, 0.5322603780033702, 0.4907234761732348, 0.6269755113745933]","[-0.35834775544628805, 0.4710089029598055, -0.41507769785322335, 0.03906850240364028, 0.9987102633272358, 0.6552279974156721, -0.263402569122199, 0.5115716144701753, 0.5562035109554054, 0.5654084135025836]","(3, 0, 0)"
36,"[1.7070818713424813, 2.045447346725296, 2.1959127831650487, 2.2534853510824338, 1.5010977209710923, -0.09454852088964627, -1.462718595695245, -2.1904910799420496, -1.6940501142298685, 0.09280371768140017]","[0.7472668932694579, 1.3334484247077523, 1.3787231343714197, 1.5065512159793388, 1.5002097430927646, 0.7509928494247101, -0.47004494560200133, -1.2276961228942445, -1.5766430184949274, -0.9057286049824048]","[0.8070880368183928, 1.3168951285674404, 1.4489943963263743, 1.527594890452237, 1.5726462306343534, 0.8166772395107642, -0.4391385760140004, -1.206833996216073, -1.5545196319453631, -0.9220469571474863]","(3, 0, 0)"
51,"[1.1027938592817046, 0.34045469877338874, 0.5465650431561858, -0.012748478862714074, -0.031411042081015306, 0.18515080084438512, 1.031587476771617, 1.025435166503927, 0.8898924504433815, 1.490158626581319]","[0.41068459361253906, 0.8974515624754351, -0.10827108246432882, 0.6007005843883502, -0.3130987710568892, 0.1251383434474293, 0.12258162912067047, 0.9702966622112819, 0.540286835398286, 0.6197490327442385]","[0.3446673102135311, 0.9439463538699683, -0.13664469181651034, 0.552651883185419, -0.20832286146282722, 0.0503403218664414, 0.1979582639431858, 0.9488212422241351, 0.5962333145589234, 0.581466032122413]","(3, 0, 0)"
