seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8576950725320437, 0.33199790489643755, -0.06692390333000922, 0.07385484896292449, -0.8567395116096272, -0.693141218331241, 0.4704693033669906, -0.48624257879483856, -1.0959848049765823, -0.012398800299619706]","[0.5219072, 0.5290885, 0.74407953, 0.73447686, 0.51806664, -0.010783747, -0.7814505, -1.1084017, -0.6000176, -0.76167274]","(10, 5)",1e-06
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9700583496652244, 1.179465571957493, -0.017476767162809548, -0.613054770087729, 0.2341705213280078, 0.25312137432329923, -0.3329504724163971, -0.21082376480058931, 0.24190104606136154, 0.48843136129156517]","[-0.18547224, 0.34286094, 0.17567897, 0.325069, -0.36929822, -0.24394676, 0.0727486, 0.2981771, 0.13232277, 0.77103245]","(10, 5)",1e-06
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.5136240489142256, -1.2464697554731101, -1.2979820559606796, 0.2937735727317478, 1.069144344659102, 0.04061672290603227, -0.9200082481198807, -0.5315664360553564, -0.46811435240514654, 0.518571021288298]","[0.74266744, 0.030745845, -0.7457364, -0.064894885, -0.7401286, -1.4229738, -0.43882713, 0.8584269, 0.9801049, 1.2771258]","(10, 5)",1e-06
16,"[-0.8925604713988429, -0.6212528188330457, 0.5991684642228181, 1.282312738377204, 1.7892923932724853, 1.0734674101721913, -0.2954125087901368, -0.8968350856880265, -0.604867114153435, 0.1009670901745342]","[-0.5361011232371724, -0.6245099097802567, -0.3089978639429174, 0.7536673961942768, 0.9054790402800655, 1.3365528731324525, 0.405190973605965, -0.4980079955931193, -0.6478310878914668, -0.28095157020770156]","[-0.523095029175745, -0.5854322477147637, -0.2873081554044523, 0.7398687186210926, 0.847219184315467, 1.286431950297486, 0.34992959012675645, -0.47795547700664975, -0.6153939633546766, -0.25537796776969046]","[0.47192547, 0.102493584, -0.12357132, -0.6805316, -0.11840111, 0.7187706, -0.4665796, -0.8949263, -0.009453118, -0.026716933]","(10, 5)",1e-06
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7024117781370384, -0.5536365008576982, 0.23030033678887266, 0.29218527233352526, 0.7214742566531143, 1.1815379340361059, 1.0023219110535146, 1.45779330235208, 1.4829856493390232, 0.4122303259599932]","[-0.77175564, -0.95626444, -1.031265, -1.2349414, -0.32128143, 0.5124598, 0.3864838, -0.13036624, -0.5161472, -0.26992393]","(10, 5)",1e-06
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.1235074124933437, 0.1766231612429666, -0.4152673956624021, -0.8567660457636308, -1.30863365565079, -1.6164498944601204, -0.9158629523095886, -1.020738434719426, -0.9467418694187916, -1.2165155503231615]","[0.49092656, 0.9994021, 0.5769616, 0.8297113, 0.7308979, -0.3634378, -0.9478811, -1.3077599, -1.5295994, -1.5666978]","(10, 5)",1e-06
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.4756531229311975, 0.3753125639787336, -0.1418831473812332, 0.42204348319977486, 0.577721888581632, 0.009744630488521422, 0.203176753349906, 0.9316575773066269, 0.03294116917112533, 1.0321743901196891]","[0.9759163, 0.47314605, -0.71719515, -0.9382715, -0.7733088, -0.9671389, -0.5741404, 0.40233898, -0.46202302, -0.119412355]","(10, 5)",1e-06
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562054167728, -0.44087386507163184, -0.025806820385674736, 0.7396653743278796, 1.0699146334354337, 0.7453758879744262, -0.31346133987894653, 0.24110934093838454, -0.7245192504676465, 0.2711808786709695]","[-0.39741966, -0.8529808, 0.2180844, -0.40261942, -1.0364965, -0.55916506, 0.021112632, 0.19994105, -0.74074113, -0.14481543]","(10, 5)",1e-06
21,"[-0.8936733867048263, 0.18994197245032862, 1.335188669050055, 0.7564370579540775, -0.7507694914830492, -0.6151433405298958, 0.11318037870934838, -0.746704887720932, -1.7175734274000156, -1.3528722288630806]","[-0.6291354606522113, -0.5791056563787207, 0.47949480063968897, 1.0954412687302106, 0.2087164235889722, -0.8551277032775353, -0.1875794888911282, 0.20697012315491248, -0.8501899492983882, -1.2924784527508213]","[-0.5948152498654236, -0.5937533540765997, 0.5418733774480112, 1.086820285895824, 0.16402921507727805, -0.8828570837142912, -0.1321636204679449, 0.19543116170203384, -0.8971115762270553, -1.2806708302277456]","[1.2998344, 0.17585482, 1.0118831, 1.4734699, 0.69356364, -0.60711235, 0.9819528, -0.33524385, -1.2324102, -0.6949176]","(10, 5)",1e-06
26,"[-0.1476671635400908, -0.6899565897852734, -0.03942738610034574, -0.041523039371085035, 0.37620241401136634, 0.9867307216742658, 1.5340533666055696, 0.6723199389881331, -0.846517886351763, -0.954506590760342]","[-0.4001582927652938, 0.052411982842556104, -0.7161625812065515, 0.31865390450292996, -0.20084999162255002, 0.47662740982264135, 0.7484170167629451, 1.159844858224097, 0.09239750987608464, -0.8927166412898053]","[-0.39635299394006945, 0.04409077851136953, -0.7170432384376472, 0.3071948174790509, -0.18949650081008435, 0.4691131511823304, 0.7666445495782571, 1.1760891864177103, 0.11091594821003556, -0.9054107467883445]","[-0.6128538, -0.7098885, -0.14108784, -0.22583069, -0.016502164, 1.0860549, 0.18225135, -1.0288609, -1.2907466, -1.307074]","(10, 5)",1e-06
