seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
25,"[0.08350745381100205, -0.8242756176951482, -1.011413625416096, -0.09363244690039896, 1.0122823555583396, -0.016629211871084237, -1.339810472310588, -2.081997936761713, -1.4947085922194965, -0.5558238426717202]","[0.32273195480336575, -0.07785852359068082, -0.7853463558998078, -0.6187404474661921, 0.21573777683269707, 0.904413467141991, -0.46883594544207974, -1.105392499589548, -1.529301686966939, -0.730057748736027]","[0.29152812361345337, -0.07271202566161158, -0.7769485541095748, -0.5867461698425185, 0.22040655505676068, 0.8845720187449974, -0.488822547479852, -1.0627418547309855, -1.4948249729671141, -0.682300643658645]","[0.35083556, 0.71870375, 0.6336443, 0.39379483, 0.23781937, -0.32631835, -0.6945912, -1.093923, -0.71530575, 0.4867369]","(10, 5)",1e-07
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.6034778295420987, 1.06598897962602, -0.3811354496152595, 0.48351299698716926, 0.9230520258309104, 0.3506888901742054, -0.11358450703799952, -0.48717316585738357, -0.4922757907360198, -0.17064740347591875]","[-0.53125685, -0.14311296, 0.10833764, 0.8127619, 0.017775007, 0.76458156, 0.99047697, 0.43507612, -0.66788405, 0.20201144]","(20, 10)",1e-07
20,"[0.6919287386873479, 0.4648315726744983, -0.14960425021182708, 0.18635573270171957, 0.29680787974086487, -0.4484899218346412, -0.2992076453888737, -0.06076795898061571, 0.274627471855408, -0.3427802568587124]","[0.0876909677511867, 0.6480832548117545, 0.14078994526862101, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732]","[0.06181320853856737, 0.6427597980400577, 0.09417584468946945, -0.19923744207107175, 0.2944968929958209, 0.12493587195683799, -0.5093969934825432, -0.006178168431055661, -0.055996039567623765, 0.300207770448409]","[1.2394702, 0.30169874, 0.601626, 0.810015, 0.68003196, 1.0102482, 0.8259731, 0.4416545, 0.0067129508, 0.29159293]","(10, 5)",1e-07
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9700583496652244, 1.179465571957493, -0.017476767162809548, -0.613054770087729, 0.2341705213280078, 0.25312137432329923, -0.3329504724163971, -0.21082376480058931, 0.24190104606136154, 0.48843136129156517]","[0.08208041, 0.54517776, 0.22957414, 0.4357245, -0.33423084, -0.2886612, 0.16044497, 0.36039475, 0.38826692, 0.5717886]","(10, 5)",1e-07
27,"[0.30040852971221266, -0.8635496756460255, -1.108788642005658, -0.8672904828370445, -0.8654089035328904, -0.3739462395836059, 0.1337306828910472, 1.1138616177334373, 0.38626475625811707, -0.33900312009153016]","[0.8854465399547372, -0.14231474026515595, -0.7923923055134475, -0.7125924892489344, -0.5109942382125773, -0.6099117844266018, -0.06899034737030504, 0.1682258565761997, 1.0297486894453374, -0.12860958846455167]","[0.9357544630886322, -0.10355770307046869, -0.8222073416074931, -0.7565816961240488, -0.5426709622407535, -0.6341987433050005, -0.10020520890178225, 0.17801619115935188, 1.0428412025960874, -0.06450842790795147]","[0.99076045, 1.0035688, 0.69203776, 0.16044682, -0.76941615, -0.5828057, -0.7110772, -0.6402039, -0.7325136, 0.091997616]","(20, 10)",1e-07
28,"[0.4827028715952292, 1.4678364634529344, 1.3724934473667743, 1.0175367027674227, 0.022275222104768733, -1.2173349750094409, -1.5869965908448915, -1.5499497042573265, -0.8359834031823613, 0.6462443282473137]","[-0.5051172102800897, 0.7352614767352741, 1.1002057250852975, 0.8223905848241256, 0.6063414103553598, -0.2808954830729112, -1.0768872334729853, -1.0485529741083988, -1.0256732172031269, -0.3231467945807978]","[-0.5195414260245792, 0.7715169440580405, 1.107864029792912, 0.8330566041148478, 0.6119265284962796, -0.30025021116726025, -1.0999498256858427, -1.060052230236787, -1.0447570706555556, -0.3133284255867851]","[1.0100303, 0.9848301, 0.8547843, 0.956568, 0.8012933, 0.4083041, 0.35100108, 0.48661584, 0.2096728, -0.16164787]","(10, 5)",1e-07
24,"[-0.16368099539043024, 0.9924642877554309, 1.5017809662698562, 1.7499909856268978, 1.8575848526434937, 1.8671810402860531, 0.4432714813088353, 0.5882500217078281, 1.3552075007307907, 0.9892293937218952]","[-1.112930554346549, 0.39278428178284436, 0.7960721468640088, 1.103744892837852, 1.198118539207972, 1.258525583039508, 1.2379182487662992, -0.17568764307431434, 0.6760938432449853, 1.017160579108298]","[-1.0750325895547244, 0.46583209259889957, 0.7451997986458951, 1.1058759279340449, 1.1507492335344645, 1.2389042258309482, 1.2006937924030578, -0.24965703778281328, 0.7536965317050666, 0.9545379221845938]","[-1.1668316, -0.9961942, -0.7428148, -1.0221963, -1.0699297, -0.9810266, -0.6958158, -0.7155455, -0.77988225, -0.6312156]","(20, 10)",1e-07
26,"[-0.1476671635400908, -0.6899565897852734, -0.03942738610034574, -0.041523039371085035, 0.37620241401136634, 0.9867307216742658, 1.5340533666055696, 0.6723199389881331, -0.846517886351763, -0.954506590760342]","[-0.4001582927652938, 0.052411982842556104, -0.7161625812065515, 0.31865390450292996, -0.20084999162255002, 0.47662740982264135, 0.7484170167629451, 1.159844858224097, 0.09239750987608464, -0.8927166412898053]","[-0.39635299394006945, 0.04409077851136953, -0.7170432384376472, 0.3071948174790509, -0.18949650081008435, 0.4691131511823304, 0.7666445495782571, 1.1760891864177103, 0.11091594821003556, -0.9054107467883445]","[-0.88480014, -1.1151361, -0.38301787, -0.16583292, -0.15329856, 0.4303563, 0.3893175, -0.62896764, -1.1870956, -1.4307514]","(10, 5)",1e-07
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7024117781370384, -0.5536365008576982, 0.23030033678887266, 0.29218527233352526, 0.7214742566930266, 1.1815379341442027, 1.002321902134811, 1.4577933105496013, 1.4829856474590677, 0.4122303263871471]","[-0.60022837, -1.0710121, -1.1076298, -1.1575365, -0.7970481, 0.3936875, 0.6291416, 0.091527976, -0.6972649, -0.7296338]","(10, 5)",1e-07
32,"[0.3506014663779186, 0.4588708537287912, 0.6111870775222703, 0.7009557382411274, -0.33368058540159296, -0.3390673579828756, 0.5324358915267126, 1.0572967256413448, -0.0632253738257702, -0.19514903824269536]","[0.8439740211373092, -0.07138554419073598, 0.4945636258241592, 0.3639052646101907, 0.519003105936032, -0.593182138369609, -0.04247628879807108, 0.5536740359257482, 0.7804597076784707, -0.45345522766500557]","[0.8153999527760734, 0.019570657996525243, 0.4320625550862802, 0.41889037758278513, 0.5103466579470413, -0.5174009873211365, -0.12492988532683273, 0.5589219190723815, 0.7972277309958383, -0.37070853119468017]","[-0.72314864, -0.72142667, -0.0377651, -0.18235092, -0.47928244, -0.4121582, -0.3329692, 0.3093862, 0.51047885, -0.35995454]","(10, 5)",1e-07
13,"[0.4776846498526209, 0.5821712388038603, 0.2802554900752415, 0.22297160123899062, -0.1975596134215989, -1.0425238717296366, 0.09155253831370191, 1.3776430823527734, 0.6777434048553513, -0.3775402270772465]","[0.6008590120983393, 0.17725514380345123, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077901]","[0.603962451147654, 0.1781027834720375, 0.4953277919464106, 0.03427845958430391, 0.2064865252339873, -0.30079365707494793, -0.8959076179685297, 0.5381940910437812, 1.1113677402183633, 0.12173883767581684]","[-0.83497983, 0.048347145, -0.19826092, -0.35864514, -0.47178477, 0.34897077, 0.8695649, 0.45948622, -0.22492373, 0.1636335]","(10, 5)",1e-07
45,"[1.5986809186122513, 0.5870517951914, -0.41358013736480403, -0.4052438815562328, 0.7583692513653287, 0.6914356783987883, -0.44176982189254166, 0.21781130501365153, 1.3373666074715205, 1.2397585200818428]","[0.786672168079583, 1.2053448345724598, -0.015620622094829839, -0.4057698263173891, -0.20235896839753825, 0.8595487355640978, 0.26166131061673936, -0.5726004772009113, 0.5041115436141073, 1.085310835664467]","[0.7503285365741156, 1.134341951508619, -0.05306452523110192, -0.3698733908023095, -0.1885550012459726, 0.835265530126523, 0.20930742402128485, -0.5405839178164047, 0.5072019794905934, 1.0105933575848496]","[0.10700488, -0.13210504, -0.27102193, -0.3414768, -0.13265957, 0.30530876, 0.4440967, -0.593024, -0.95263207, -0.9040015]","(10, 5)",1e-07
30,"[1.2814768747862875, 0.7463073658718593, -0.6197134102433243, -1.037345767595449, -0.9008440397125207, 0.3078315876998408, 0.021581535938597574, -0.8796944083338989, -1.081324879546362, -0.7193946696679511]","[0.43879132928733666, 1.0620812101426191, 0.21526676080054974, -0.7273467906435991, -0.6736723722736494, -0.564007853575696, 0.5898355144876888, -0.2733362213052468, -0.7430262976812755, -0.7098117307057242]","[0.45985433020152167, 1.0741234078562514, 0.24667605392622435, -0.7396448857869931, -0.6953304325837885, -0.5790948606844376, 0.5838541439160314, -0.253289179668611, -0.7651574704439017, -0.7267625148547817]","[-0.7760848, -0.6629171, -0.6633346, -0.49512893, -0.4997607, -0.42296225, -0.028699353, 0.41628867, 1.0424857, 0.52749455]","(20, 10)",1e-07
15,"[-1.314869177500513, -0.8128914800497161, -0.9034256162458353, 0.02329661284420509, 0.19275515633593684, -0.9766123479889883, -0.8038138207200214, -0.27456184565904596, 0.6611367385216939, 1.6933467873451775]","[-0.5886015160302154, -1.0205684194854054, -0.30260727030701345, -0.7521219810923285, 0.3993576033903694, -0.006923645359247846, -0.9731505253093644, -0.3172385580653392, -0.11594256662637636, 0.719108021834882]","[-0.6211990134102218, -1.0759793910628586, -0.3162161366005845, -0.794639156024654, 0.42299711682667296, -0.008652482181453189, -1.024991600394355, -0.3313355791795512, -0.12259512266621152, 0.7588136627619222]","[0.23633279, 0.8966336, 0.9910993, 1.0546056, 0.25155985, -0.50256634, -0.53053534, 0.17809568, -0.81445324, -1.1557823]","(20, 10)",1e-07
37,"[0.5198539064413863, 0.6858897627786857, 0.10725806906728796, -0.9021371215984122, -1.7735493506493345, -2.003625817677107, -1.6001014203826736, -0.7717716489465446, -0.24750679902302114, -0.36925922064009464]","[0.38359838798831714, 0.3280547124472277, 0.5218624065550719, -0.15367313421024797, -0.8253005544932882, -1.3608990734026905, -1.323176280975762, -0.9385132798947927, -0.30251500899914824, -0.09624929452344702]","[0.3735197343471385, 0.3212970696637332, 0.5104155236065158, -0.1515271024745888, -0.8074978106074922, -1.333704679911328, -1.2976350886934804, -0.9215094287892422, -0.29602500827026385, -0.09463541603728882]","[0.28890204, -0.10455099, -0.13167092, -0.66288424, 0.2680286, 0.91748637, 0.5105518, 0.3807544, -0.6246854, -1.032252]","(10, 5)",1e-07
29,"[-0.6951020745913491, -0.4279128852287399, -0.918815378963657, -1.5019427858790135, -0.9666298109046424, -1.2665671590539103, -0.5775728482030134, -0.5941856313162276, -0.85509393819885, -0.1997517813043379]","[-0.6397628680588204, -0.3752206405619389, -0.24030256494777044, -0.7986640964897718, -1.1026107376341279, -0.4153244420875785, -1.058904938010121, -0.04812037919795287, -0.5701254417172512, -0.5700312173402244]","[-0.6370606448192044, -0.3954240903481721, -0.2418956894238121, -0.8101736743721768, -1.127369125105184, -0.43560131683651454, -1.0693720761279022, -0.07312238230629575, -0.5626685939695388, -0.5937352878567917]","[0.908099, 0.91828763, 0.86255217, -0.3417881, -0.65123886, -0.79412466, -0.23357968, -0.7909142, -0.763576, -0.663966]","(10, 5)",1e-07
34,"[0.3332583930137314, -0.23995789038278237, -0.1122022786309056, 1.0596879630957488, 1.177080487643221, 0.06245018526644397, 0.3923453408792714, 0.7568536651749199, 0.8723372494612107, 0.7982448589461052]","[-0.46563829537462587, 0.5660775407010443, -0.5229966607333045, 0.14929605173574667, 0.9850399372278754, 0.6845605190292833, -0.27983007424819767, 0.5322603780033702, 0.4907234761732348, 0.6269755113745933]","[-0.4306375999443702, 0.518082873520637, -0.4676908209804369, 0.10898616440824666, 0.9559975368867913, 0.6745444323086836, -0.2551398812649557, 0.49159600343862847, 0.49027142211522573, 0.6011888316600724]","[-0.91596276, -0.34654507, -0.10378571, -0.48775747, -1.0488259, -1.1005445, -0.37657347, 0.009757791, 0.15507057, 0.34217542]","(20, 10)",1e-07
16,"[-0.8925604713988429, -0.6212528188330457, 0.5991684642228181, 1.282312738377204, 1.7892923932724853, 1.0734674101721913, -0.2954125087901368, -0.8968350856880265, -0.604867114153435, 0.1009670901745342]","[-0.5361011232371724, -0.6245099097802567, -0.3089978639429174, 0.7536673961942768, 0.9054790402800655, 1.3365528731324525, 0.405190973605965, -0.4980079955931193, -0.6478310878914668, -0.28095157020770156]","[-0.523095029175745, -0.585432247713351, -0.287308155405088, 0.7398687187281725, 0.847219184044265, 1.2864319502097965, 0.34992959013231884, -0.4779554770050193, -0.6153939633404093, -0.25537796776743416]","[0.66150177, 0.39321664, 0.22709805, -0.21992521, 0.015821652, 0.6782599, -0.22657527, -0.7311476, -0.2642858, -0.030924581]","(10, 5)",1e-07
36,"[1.7070818713424813, 2.045447346725296, 2.1959127831650487, 2.2534853510824338, 1.5010977209710923, -0.09454852088964627, -1.462718595695245, -2.1904910799420496, -1.6940501142298685, 0.09280371768140017]","[0.7472668932694579, 1.3334484247077523, 1.3787231343714197, 1.5065512159793388, 1.5002097430927646, 0.7509928494247101, -0.47004494560200133, -1.2276961228942445, -1.5766430184949274, -0.9057286049824048]","[0.7643594362090806, 1.350962572412412, 1.4109130115238449, 1.5393682451486626, 1.5414982752231716, 0.778296843258148, -0.47285988508988774, -1.2555037111224374, -1.6182568122474503, -0.9375551484433939]","[0.036927544, -0.32313743, -0.0021904036, 0.8522669, 1.2943976, 1.2914956, 1.2859426, 0.6673173, 0.17520234, 0.06350129]","(10, 5)",1e-07
44,"[-0.596807469842795, -0.5418199152020906, -0.16319197357150295, 1.0265786547029618, 1.277305455370556, 0.9388726183629851, -0.39804662005942176, -0.8884212270675725, -0.8771282643782096, -0.6632583023674431]","[-0.8916833748784163, -0.15096578240358682, -0.4663370240002972, 0.06997653842864565, 0.991590385488639, 0.7815102626262366, 0.5481174870498668, -0.6721053635843551, -0.552368545275395, -0.6009439917405122]","[-0.9037359270058041, -0.144514864078158, -0.4728315385863987, 0.07415271260290193, 0.9978947051661184, 0.7832989305991709, 0.5509173323721815, -0.6812338377551761, -0.5507259658127693, -0.6060427868461276]","[-0.025386404, 0.28312558, 0.27440378, 0.16039482, 0.0049216896, 0.54805696, 0.90393317, 1.099669, 0.9355323, 0.81590784]","(10, 5)",1e-07
40,"[-0.8047873718045049, -0.1300202701662716, 0.695905070661731, 0.37099730432246275, -0.07549416870083717, -0.9612037512661388, -1.6009695774664776, -1.7099297981413237, -0.8936570159629138, -0.12911489059261472]","[-0.8058451454567335, -0.40186479907613815, 0.07091212937179747, 0.6604490059758323, 0.04077280133454661, -0.09588056936811047, -0.9132634665820836, -1.144337844175436, -1.1377608760536058, -0.3247765779361109]","[-0.8199558092338546, -0.43559218292078405, 0.054329585811476094, 0.6459013372476585, 0.09008485979853167, -0.10953864736369628, -0.8777195448027703, -1.1766966369764145, -1.1600702088935806, -0.3814946227417168]","[-0.09988946, -0.5987862, -0.7782123, -0.7157239, -0.64084876, -0.08065191, 0.38333005, 0.5903007, 0.3689924, -0.086490005]","(10, 5)",1e-07
42,"[1.349609050956198, 0.28643198137919956, -0.580334596230885, -0.8864732069124243, -1.3947872325795727, -1.5342702678159439, -1.5749370649129626, -1.1672918085267447, 0.18855794128975967, -0.288322847974939]","[1.0400575483876775, 0.8295802767623592, -0.12835815700198006, -0.516155517729895, -0.6283954480474767, -1.0805895085558344, -0.9939755135380268, -1.0779493081439493, -0.6283171544547702, 0.5027165185171447]","[0.9818714211374602, 0.7895718221293976, -0.098809623263584, -0.4873027082620037, -0.590390961491319, -1.0116262441092494, -0.9483687655064952, -1.017156592919641, -0.6110081704196929, 0.4539525208675109]","[0.20162424, 0.3075985, -0.1441555, -0.5551305, -0.099243335, -0.5731818, 0.19185755, 0.09632609, 0.12895957, 0.30505642]","(10, 5)",1e-07
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.1235074124933437, 0.1766231612429666, -0.4152673956624021, -0.8567660457636308, -1.30863365565079, -1.6164498944601204, -0.9158629523095886, -1.020738434719426, -0.9467418694187916, -1.2165155503231615]","[0.29306108, 0.780697, 0.9453175, 0.695664, 0.5777067, -0.4161615, -1.1655463, -1.2644564, -1.2475373, -1.2375989]","(10, 5)",1e-07
43,"[-0.11156417888470532, 0.966500439914207, 0.06058132689622597, -1.3372379535143002, -0.4305957387041587, 0.13068337221055676, -0.6601923748812928, -1.5378782637377053, -1.5310104121270827, -0.6472473879029459]","[-0.7525185267471248, 0.26469508448885715, 0.8341528976697784, -0.35649512193866323, -1.1589903925449687, 0.14889945756832562, 0.05623364342639395, -0.6883091965944897, -1.1937236654404604, -0.9341485794068525]","[-0.7794611003046521, 0.29730566547349396, 0.8451225461304798, -0.38688312461438806, -1.1820610273642593, 0.18456285981822226, 0.03669783504823203, -0.7045152069841485, -1.2197487346870226, -0.9372987992157672]","[-0.7949111, 0.440906, 0.85733515, 0.63884974, 0.4333985, -0.52309495, -0.493293, -0.10015835, -0.07067028, 0.26595318]","(20, 10)",1e-07
33,"[-1.1700749594508788, -0.632615951279612, -0.4751845445619967, -0.4547302097030288, -0.6348457431219107, -0.7505243143273135, 0.2114753886932912, -0.4974238080943947, -1.1128169748310386, -0.9364902740093957]","[-1.1922453627898077, -0.573952278055975, -0.3456398122516245, -0.30236463843618444, -0.3035478904849366, -0.4830717978794424, -0.5089884153875923, 0.46596959638708735, -0.7304086062879384, -0.7476126716870695]","[-1.209341519672921, -0.58472820151188, -0.35027368570951783, -0.3070427642928286, -0.3077871156584018, -0.4895410717837609, -0.5168497069868115, 0.4688200204001437, -0.7320836257293777, -0.7614332122844725]","[0.640016, 0.7159331, 0.60219437, 0.3156631, 0.053468183, 0.007728311, 0.5857432, 0.7888564, 0.84001774, 0.05155851]","(10, 5)",1e-07
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8576950725320437, 0.33199790489643755, -0.06692390333000922, 0.07385484896292449, -0.8567395116096272, -0.693141218331241, 0.4704693033669906, -0.48624257879483856, -1.0959848049765823, -0.012398800299619706]","[0.9247627, 0.8722045, 0.96347165, 1.0065861, 0.8760476, 0.52891475, -0.16023141, -0.80719525, -0.21916732, -0.2860547]","(10, 5)",1e-07
