seed,ARMA_mse,ARMA_mse_true,Informer_mse,Informer_mse_true,Informer_para,Informer_lr
31,0.38669667563506327,0.0009607747646093266,2.4502692554829144,1.6695640424553837,"(10, 5)",1e-05
8,0.36432350541763486,9.692769604113271e-06,1.5888916399226287,1.2909584968462717,"(10, 5)",1e-05
1,0.24515473502961532,1.9975901812859094e-05,0.6201849564256148,0.3976234747376618,"(20, 10)",1e-05
26,0.3531170475713728,0.00015013688546306223,0.8859445553227536,1.1548561820409429,"(10, 5)",1e-05
7,0.4057655452877145,0.003926780555438649,1.0016851855611835,0.801390253148648,"(20, 10)",1e-05
92,0.4299562321358407,2.4068683887669145e-05,0.765485960306892,0.589604307558675,"(10, 5)",1e-05
6,0.2806695495420638,0.00016126673808665736,1.2159448737021865,0.6211569896900421,"(10, 5)",1e-05
5,0.5664756337876617,0.00039126557038488577,1.694995048256883,1.1660492180245483,"(10, 5)",1e-05
29,0.24116394324146317,0.0002926767908902369,0.8455310207428278,0.6254504213489058,"(10, 5)",1e-05
40,0.22756452018029708,0.001046658965940477,1.4805523865367192,0.9299028545888101,"(10, 5)",1e-05
41,0.4572888939350069,3.497525990891279e-05,1.5297522108190602,0.7627803085107694,"(10, 5)",1e-05
30,0.32592079613467057,0.0003637919285919085,0.3388041554023031,0.5185354814966204,"(10, 5)",1e-05
25,0.4124546191313298,0.0008197729635892036,1.063543761166201,0.7320144122141332,"(10, 5)",1e-05
94,0.2683898767673898,0.0006352805208172001,1.087994635510654,1.1180783619751933,"(10, 5)",1e-05
93,0.1344991397045887,0.0006955867282997343,0.9628271070708218,0.8140164173971615,"(10, 5)",1e-05
28,0.4223732139514911,0.000322557332745133,2.648856843972272,2.0680819766927123,"(10, 5)",1e-05
22,0.32598187056093036,0.0005348189424741616,1.4630354999261859,0.7912775294875316,"(10, 5)",1e-05
100,0.2534271817356813,0.00036453028438380335,0.7721702863385617,0.6084695764649348,"(10, 5)",1e-05
18,0.1542017490542078,0.00031468283274380246,1.5306295712894102,1.146851831648209,"(10, 5)",1e-05
14,0.1509238179256962,5.75705402658557e-05,0.699937165322468,0.2812722314003059,"(10, 5)",1e-05
4,0.464228795614094,0.034265643162381905,0.8706386141212359,0.7363200908633191,"(10, 5)",1e-05
27,0.26845013046872784,0.0013800843863162474,1.1132490775247363,0.6766453448275495,"(20, 10)",1e-05
24,0.46283465580274974,0.0028794530184705924,1.9186684949028572,1.2813378497917967,"(10, 5)",1e-05
23,0.3373182594243935,0.00012554580333177064,1.1645405317607902,0.7432486262015916,"(10, 5)",1e-05
21,0.3976708806533417,0.0013668830377619732,0.9298520665525087,0.5119331655353543,"(10, 5)",1e-05
35,0.21791272700321979,0.00028292721057421614,1.2505905246046745,0.6581757222868825,"(10, 5)",1e-05
36,0.6182119472859295,0.0008688119499832961,3.881252372623254,1.942661307082389,"(10, 5)",1e-05
11,0.5033380360249105,8.715093448417214e-06,2.0552611760507657,1.7254559564634437,"(20, 10)",1e-05
12,0.33488518257250044,4.579868762836513e-05,1.1044485366499068,0.7358306611196631,"(10, 5)",1e-05
19,0.3669245410578967,0.00017674848694371436,2.0423675087653006,1.3560079035819383,"(10, 5)",1e-05
37,0.24540222998006475,0.0002325562472745481,1.7820824665469892,1.102427406978917,"(20, 10)",1e-05
10,0.38160378352508834,0.002845657096834834,0.7327658970057976,0.7370797608091358,"(10, 5)",1e-05
42,0.3305201293729166,0.002134543323006906,0.8709747656174626,0.5709597995673654,"(20, 10)",1e-05
9,0.3043470924465821,0.0006418955010599708,0.5480538523972558,0.3770697066414686,"(10, 5)",1e-05
99,0.4241375881353343,1.6748048437191205e-05,1.5363149221712866,1.0502811055291166,"(10, 5)",1e-05
2,0.40437802301724013,0.0002475924348895635,0.6839835257855043,0.862211739197061,"(10, 5)",1e-05
20,0.1535542464313271,0.00052681144876107,1.027100060606117,0.9921121179371466,"(10, 5)",1e-05
95,0.24537801479982346,0.00025581414865322963,0.9355648768255588,0.5688909680550276,"(10, 5)",1e-05
34,0.32863100542638357,0.0012084296888113578,0.7422651491316025,0.5335599458094771,"(10, 5)",1e-05
16,0.28697491308568945,0.0013425487070915653,1.1184172843146896,0.7554293203185163,"(10, 5)",1e-05
98,0.37708421161714634,0.0012237640888246785,1.7099092725401122,1.008270245588527,"(10, 5)",1e-05
97,0.44124978183494373,0.006367905689606583,0.2509854032126774,0.35602846223758383,"(20, 10)",1e-05
