seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
97,"[-1.5808474741224197, -1.2290528862580499, 1.346181297541957, 1.1976573512813244, 0.3366372538547029, -0.6307799657498392, 0.1618084638687156, 0.2954837610351196, -0.2282927930042342, -0.06259748933095696]","[-1.3072190919593178, -0.6144420136412341, -0.6147636498709492, 1.604485879098393, 0.11279911608266413, 0.10107224793906075, -0.5985218387333011, 0.5006276466427595, 0.002299344963838046, -0.25580989896429795]","[-0.3674054, -0.77378064, -0.65825623, -0.19287962, 0.13407086, 0.43154, 0.47135115, -0.74207234, 0.507612, -0.5606099]","(50, 20)",1e-05,"[-1.0918508768081665, -0.5092792510986328, -0.6132438778877258, 1.5708379745483398, 0.040258925408124924, 0.2986306846141815, -0.7927707433700562, 0.6775505542755127, -0.06944979727268219, -0.22955311834812164]"
59,"[0.49104831094266865, -0.8048544390998214, -0.024775232916586676, 0.6952599203292249, 1.9603310146283763, 1.547732630353295, 0.6385240670328055, 0.6746580949314387, 0.3768624967118318, -1.8612362572169527]","[0.21564556269787982, 0.48258472432970934, -1.0545777689306586, 0.5001076048076871, 0.49991969488722765, 1.356045771336491, 0.41113479833921684, 0.03542376410098558, 0.5012348021240183, 0.06843656086329597]","[0.6722923, -0.439036, 0.08334742, -0.515804, 0.6252582, -0.18352084, -0.70892423, 0.35250682, 1.2151333, -0.38457906]","(50, 20)",1e-05,"[0.3979610800743103, 0.6672471761703491, -0.9964253306388855, 0.6253958344459534, 0.7531113028526306, 1.443346619606018, 0.4770333468914032, 0.10979755222797394, 0.5117369294166565, 0.1386348456144333]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.40979852672944217, -0.17173057302537725, -1.05012836738866, 0.22027720420926217, -0.3100087285879514, -0.21573705199879123, 1.0197690331763154, 0.7174272412051574, -0.21103776202919583, -1.523701381644361]","[0.6476681, 0.41695744, -0.8401637, 0.36867303, 0.11625409, 0.11588286, 0.92852896, 0.8627666, -0.23581088, -1.3324796]","(100, 50)",0.0001,"[0.4191405773162842, -0.03156275302171707, -1.0377118587493896, -0.10231112688779831, 0.08819334208965302, -0.11552063375711441, 1.0395909547805786, 0.8219009041786194, -0.3430428206920624, -1.6121644973754883]"
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670034446492, 0.045295010274625847, 0.036398345282579986, -0.8345627505280107, 0.6962977496251458, -0.31022366103126625, -0.7965547436988627, -0.4934608776172075, 0.8607952962631814, 0.8267061308885637]","[0.7633104, 0.49769762, 0.53065544, -0.7310275, 0.2837383, 0.13501035, -0.581157, -0.6170338, 0.5050957, 0.84248483]","(100, 50)",0.0001,"[1.3108464479446411, 0.12466555088758469, 0.2907451391220093, -0.6540724039077759, 0.705659806728363, -0.1695408821105957, -0.7950825691223145, -0.6111363768577576, 1.0721733570098877, 1.2223572731018066]"
51,"[2.7801558908965927, 1.444691466795002, 0.22295876801519848, -2.5569285765859204, -3.1433200735719717, -3.4560790809189634, -1.0621860721879726, -0.43184800559919734, -1.6916701320538288, -1.5772351497153858]","[0.7766095539038099, 1.5092634379067904, 0.04901523312506395, -0.19471922051779803, -2.2825688394175128, -1.3679811750332587, -1.8097561949270187, 0.5725625725246453, -0.28914206906765405, -1.306247810301119]","[0.77490556, 1.0172359, 0.54404545, 0.050507545, -1.7070358, -2.1929777, -1.9839746, -0.55128205, -0.0922582, -0.96704626]","(100, 50)",1e-05,"[1.0230008363723755, 1.7376127243041992, 0.37942060828208923, -0.1675630807876587, -2.12391996383667, -1.059777021408081, -1.7279927730560303, 0.4470181167125702, -0.6468281149864197, -1.1725208759307861]"
81,"[-0.5811029134529359, 0.4310004762787655, 0.6375594550160434, -0.18088458138817717, 0.11779146978495952, 1.0227561550962823, 0.8887016571627435, 0.16692453209748487, 1.3827431017558145, 2.904046528960264]","[0.3470502248439199, -0.6592954249529045, 0.7647819224540866, 0.13046455552225478, -0.3059316162751318, 0.30868707300795944, 0.7327524622666131, 0.2992586424709113, -0.08338426004829055, 1.280910272231706]","[-0.07954787, -0.5207471, -0.10073161, 0.118263334, -0.28755784, -0.13729183, 0.34478098, 0.32166922, 0.03447441, 0.7132113]","(100, 50)",1e-05,"[0.018236901611089706, -0.7399656772613525, 0.7764745354652405, 0.20988452434539795, -0.5427725315093994, 0.24540406465530396, 0.8745811581611633, 0.27757343649864197, -0.13342870771884918, 1.3071348667144775]"
71,"[0.9522399840519237, -1.169532400658353, -1.4476195133811665, -0.0609618985288381, 0.739031087695927, 0.5808766494264185, -1.7593410788728847, -2.721187982436676, -1.6816344238498644, 0.05833687127702186]","[0.39164914257280814, 0.6767825145440298, -1.901608932693974, -1.0084941763879112, 0.1679058376199729, 0.3798395622886697, 0.25464855378940365, -2.1828807949030544, -1.931524853860434, -0.7169187450703247]","[-1.9839911, -0.6542428, 1.4898862, -0.006318871, -1.1046023, -0.20591052, -0.4809252, 0.08094582, -0.08306529, 0.36082825]","(50, 20)",0.0001,"[0.27503877878189087, 0.95478355884552, -1.6288857460021973, -0.3719005584716797, 0.36330005526542664, 0.7816352248191833, 0.5069650411605835, -1.759049654006958, -1.221482515335083, -0.45690280199050903]"
92,"[-0.47638607818833084, 0.2896693442622678, 1.2600691101965904, 1.9794712839398585, 2.3972614213846057, 1.74360811031123, 0.615770596118553, -1.260497787937056, 0.28965761125159295, -0.939215085030968]","[-0.3824373367408215, -0.29539852511882725, 0.5032605066907694, 0.9119965082674564, 1.217433151138989, 1.335876818508259, 0.5788943548457215, -0.023222128831020872, -1.3140941445502747, 1.1163755689158383]","[-0.4418481, 0.407076, 0.7719974, -0.46772188, -0.5334196, -1.4053391, -0.76236486, 0.7401648, 0.23241614, 0.4807493]","(50, 20)",1e-05,"[-0.21486589312553406, -0.3838631510734558, 0.6006500124931335, 0.814669132232666, 1.2806885242462158, 1.2743176221847534, 0.3773382902145386, 0.0012090280652046204, -1.4949568510055542, 1.3296785354614258]"
63,"[1.5183510787843302, 2.3937143568473545, 2.5425282829933686, 0.6313434942478507, 1.2377169419351737, 0.15686896505073666, 0.02589841203218335, -0.08404419849605466, -0.5951041478727183, -0.5938219288017121]","[0.3674664350554853, 1.209100590949312, 1.3073123429017541, 1.226765601697761, -0.45726929582686715, 1.1474626470513474, -0.5715000274150597, 0.21877239332270845, -0.16568949983699843, -0.4390685058663429]","[0.45619512, 1.2255875, 1.1171423, 1.4350253, 0.60325897, 0.7600263, 0.25722182, 0.12151346, 0.27609417, 0.011057405]","(100, 50)",1e-05,"[0.2647343873977661, 1.3219757080078125, 1.4182053804397583, 1.436008095741272, -0.29278993606567383, 1.322211503982544, -0.6269240379333496, 0.3814486265182495, -0.33815324306488037, -0.3947373628616333]"
54,"[-1.6548414401155862, -1.0923288020554764, -0.20930414280020937, 0.48050805157153986, 1.5395672153751465, 2.6580351381390885, 1.3425125521817323, 2.114649888439951, 2.759196543252524, 2.1465735566472923]","[-0.37883313989930756, -1.220470392224101, -0.004599764676595952, 0.0992513299130032, 0.4419507951183343, 1.0610928684965615, 1.5172784753749151, -0.16255086967498544, 1.62645138282076, 1.2127117681134307]","[0.039579228, 0.2952026, 0.30842245, -0.55983555, -1.2975312, -0.4590937, -0.028347366, 0.018537391, -0.22424893, 0.35189313]","(50, 20)",0.0001,"[-0.3659789264202118, -1.050668716430664, -0.18102160096168518, 0.05091496556997299, 0.5253031253814697, 1.1174226999282837, 1.3704514503479004, -0.21572110056877136, 1.674971103668213, 0.9110660552978516]"
98,"[0.656405584432002, -1.207656509505517, 0.5993212325163169, 0.583045848020239, -0.9246790935825699, -0.8244523844859435, 0.08045860789221096, 0.5647606216955552, 1.0008906723266189, -0.033911890927044164]","[0.8923803247908519, -0.27793087146404966, -1.1163081611446457, 1.1577458161061378, -0.004825251784283113, -0.9336506952898447, -0.18801392101180886, 0.33048519286749406, 0.3611302555609465, 0.6063882353062572]","[0.57887226, -0.8675664, 0.38584614, -0.22393836, 0.09266949, 0.7157398, 1.2123336, -0.27978367, -0.78786325, -0.9016755]","(50, 20)",1e-05,"[0.8107881546020508, -0.37544673681259155, -1.2538636922836304, 1.1428426504135132, 0.1823105812072754, -1.0236895084381104, -0.24326828122138977, 0.3277527689933777, 0.5686705112457275, 0.5716637372970581]"
80,"[-0.5613858153862623, -0.790461367838833, -1.0409663342353854, -0.5568659070484537, -0.5045889880848211, -2.70230625342549, -1.7096012135254275, 0.5860291433465896, 0.6817901070537535, 0.15430797407978392]","[0.6363220474618163, -0.8645520134456111, -0.3095009946551404, -0.6585187137915112, -0.13651727063264638, -0.31122469173855755, -2.3493995326556125, -0.1597158145916665, 0.894719307719815, 0.035749952343454544]","[1.2455329, 0.84186244, 0.9231685, -0.26645955, -1.1714017, 1.7859287, 0.5359782, -0.6666596, -1.2822032, -1.1053498]","(50, 20)",1e-05,"[0.5548037886619568, -0.6770405769348145, -0.20572644472122192, -0.628119945526123, 0.07030534744262695, -0.19560176134109497, -2.15303897857666, -0.37235814332962036, 0.84730464220047, 0.24279725551605225]"
