seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9700583496652244, 1.179465571957493, -0.017476767162809548, -0.613054770087729, 0.2341705213280078, 0.25312137432329923, -0.3329504724163971, -0.21082376480058931, 0.24190104606136154, 0.48843136129156517]","[0.24105014, 0.7057463, 0.07309292, 0.58332473, -0.43178642, -0.064060785, 0.30478063, 0.81954974, 0.46963534, 0.8487937]","(10, 5)",1e-08
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7024117781370384, -0.5536365008576982, 0.23030033678887266, 0.29218527233352526, 0.7214742566930266, 1.1815379341442027, 1.002321902134811, 1.4577933105496013, 1.4829856474590677, 0.4122303263871471]","[-0.7060813, -0.9983753, -0.9232793, -1.0242366, -0.523883, 0.46657076, 0.34032604, -0.3203069, -0.9269543, -0.46001953]","(10, 5)",1e-08
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.7642202018693898, 0.4496337489429884, 1.0415530004458575, 0.7671928125230169, 1.1896078219879487, 1.0156611615899571, -0.2586734808256892, -0.6581747057796674, 0.4098103760563495, 0.2888899504035941]","[0.02265194, 0.15705465, -0.16724585, -0.73877555, -0.5178249, 0.7820685, 0.91366696, 0.8654676, 0.8933922, 0.35840628]","(10, 5)",1e-07
21,"[-0.8936733867048263, 0.18994197245032862, 1.335188669050055, 0.7564370579540775, -0.7507694914830492, -0.6151433405298958, 0.11318037870934838, -0.746704887720932, -1.7175734274000156, -1.3528722288630806]","[-0.6291354606522113, -0.5791056563787207, 0.47949480063968897, 1.0954412687302106, 0.2087164235889722, -0.8551277032775353, -0.1875794888911282, 0.20697012315491248, -0.8501899492983882, -1.2924784527508213]","[-0.5948152498654236, -0.5937533540765997, 0.5418733774480112, 1.086820285895824, 0.16402921507727805, -0.8828570837142912, -0.1321636204679449, 0.19543116170203384, -0.8971115762270553, -1.280670830232057]","[0.92883027, 0.5202134, 0.7852167, 0.9056901, 0.4938254, -0.44380194, 0.21183299, -0.26735765, -0.9495672, -0.77217]","(10, 5)",1e-08
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.6034778295420987, 1.06598897962602, -0.3811354496152595, 0.48351299698716926, 0.9230520258309104, 0.3506888901742054, -0.11358450703799952, -0.48717316585738357, -0.4922757907360198, -0.17064740347591875]","[0.39655903, 0.6422691, 0.6275133, -0.19909073, -0.494965, -0.6250791, -0.24993879, -0.5152639, -0.03757907, -0.5360963]","(10, 5)",1e-07
32,"[0.3506014663779186, 0.4588708537287912, 0.6111870775222703, 0.7009557382411274, -0.33368058540159296, -0.3390673579828756, 0.5324358915267126, 1.0572967256413448, -0.0632253738257702, -0.19514903824269536]","[0.8439740211373092, -0.07138554419073598, 0.4945636258241592, 0.3639052646101907, 0.519003105936032, -0.593182138369609, -0.04247628879807108, 0.5536740359257482, 0.7804597076784707, -0.45345522766500557]","[0.8153999527760734, 0.019570657996525243, 0.4320625550862802, 0.41889037758278513, 0.5103466579470413, -0.5174009873211365, -0.12492988532683273, 0.5589219190723815, 0.7972277309958383, -0.37070853119468017]","[-0.7689873, -0.7379642, -0.0342385, -0.21204758, -0.5816793, -0.5791178, -0.23016721, 0.37692636, 0.4868142, -0.49136046]","(10, 5)",1e-08
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562054167728, -0.44087386506858367, -0.02580682038483445, 0.7396653743247106, 1.0699146335071688, 0.745375887986578, -0.3134613398035427, 0.24110934123485936, -0.7245192503544735, 0.2711808784019989]","[-0.16762723, -0.44599545, -0.0012877309, -0.39958575, -0.6805839, -0.61372524, -0.46968544, -0.15289788, -0.41929838, -0.21885289]","(10, 5)",1e-08
10,"[-0.8772296308972455, -1.6549104396358945, -0.31582108669494224, 0.7705771338391414, 0.24377949080872308, -0.4566587265431938, -0.36452016573846713, -1.0615117756657937, -1.411526515194137, -0.40210935568612516]","[0.004444454067039555, -0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808]","[-0.03175379969362867, -0.940653951225964, -1.2653142823100438, 0.2594863705123258, 0.5763880469818871, -0.14070811344472983, -0.482225804754541, -0.2004075621762907, -1.0438028266814567, -0.9741810202462273]","[0.26237747, 0.23281282, 0.8552176, 0.9372932, 1.0925831, -0.049147516, -0.6514111, -0.7148848, -1.023811, -0.80249685]","(10, 5)",1e-07
18,"[0.6554220069690487, -0.27970866932576083, -0.36477843347642436, -0.031330279488522184, -0.4869737980110459, -1.1616764337448426, -0.8786642603399086, -0.2585873045465875, -0.1496013583854589, -0.758057730817691]","[1.072740373942728, 0.11905181999768472, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346848, -0.4278507795225662, -0.0446619147853044, -0.1272704009928067]","[1.1104534598955744, 0.12676081053071014, -0.35092955951927934, -0.20215282881239308, 0.0679426833498366, -0.5357489635441037, -0.9326292379544938, -0.443698098506785, -0.046471995893836715, -0.13128591813608165]","[-0.5100869, 0.83828104, 1.103077, 0.68547213, 0.45890287, 0.54187167, 0.60632116, 0.94155204, 0.6237229, 0.41120803]","(10, 5)",1e-07
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.5136240489142256, -1.2464697554731101, -1.2979820559606796, 0.2937735727317478, 1.069144344659102, 0.04061672290603227, -0.9200082481198807, -0.5315664360553564, -0.4681143523939224, 0.5185710212984442]","[0.44464165, 0.053521175, -0.8411698, -0.6000604, -0.561831, -1.0031544, -0.5837336, 0.6562688, 0.9978067, 0.9834282]","(10, 5)",1e-08
