seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
92,"[-0.47638607818833084, 0.2896693442622678, 1.2600691101965904, 1.9794712839398585, 2.3972614213846057, 1.74360811031123, 0.615770596118553, -1.260497787937056, 0.28965761125159295, -0.939215085030968]","[-0.3824373367408215, -0.29539852511882725, 0.5032605066907694, 0.9119965082674564, 1.217433151138989, 1.335876818508259, 0.5788943548457215, -0.023222128831020872, -1.3140941445502747, 1.1163755689158383]","[-0.99297684, 0.038067773, 0.91350126, -0.31506824, -0.49423432, -1.3144244, -0.8548427, 0.59842014, 0.52048445, 0.74852955]","(50, 20)",1e-05,"[-0.4438938498497009, -0.1802118569612503, 0.15236668288707733, 1.1917625665664673, 1.118089199066162, 1.2697848081588745, 0.5461146831512451, -0.06188131868839264, -1.2711600065231323, 0.7721312642097473]"
93,"[0.20159081728108763, -0.832456530206572, -2.34844928464669, -2.406744084546449, -0.626592421845463, -0.004427805454655487, -0.28116451627828387, -0.6482656161166611, -1.5171044233122044, -3.143487794109255]","[0.5954249532237216, -0.21354165076582518, -0.6627042493876932, -1.685362054882427, -1.1050245878980953, 0.23664105145732423, -0.08846207415968618, -0.23876621574969573, -0.42130628729381814, -1.0991910913735237]","[-1.32214, -1.3485383, -1.1822505, -0.3915946, 0.43970463, -0.8734419, 0.25437766, 0.37014773, -0.72555166, 1.4521146]","(20, 10)",1e-05,"[0.1876133680343628, -0.251310259103775, -0.7006428837776184, -1.7923223972320557, -1.076301097869873, 0.5755569338798523, 0.2660275995731354, -0.3832600712776184, -0.3462183177471161, -1.0809826850891113]"
94,"[-0.3082293840259648, -0.2968024086668181, 1.6957894015159427, 1.9099167868751448, 0.6237615270226489, 0.2904857733246174, 0.9414048756159239, 0.8087004644333763, -0.9667144195959287, -2.3180183124851075]","[-1.1856597651855432, 0.4431099026417323, -0.44420511639329785, 1.7620976786453346, 0.7106051197068982, -0.03993464776523912, 0.2794855432926554, 0.6966531719406536, 0.2813387064673429, -1.1166450382357296]","[-0.25230148, 1.012659, -0.10794028, -0.60702974, 0.6703631, -0.23533116, 1.0028585, 0.3946358, 0.44499567, 0.60122377]","(20, 10)",1e-05,"[-1.3664432764053345, 0.4592358469963074, -0.4490731954574585, 1.7875837087631226, 0.49429380893707275, 0.1329248994588852, 0.14202888309955597, 0.7080075740814209, 0.22149460017681122, -1.2079377174377441]"
96,"[-1.2741581362232641, -0.735933208541081, 0.27360876414691276, 0.4293168106664177, 1.612928681231648, 2.462793050964408, 1.3723185701398026, 2.5126341570302753, 3.22601166774103, 1.4886932623391762]","[0.11799775594943539, -1.2075134725782466, 0.21385354773059628, 0.341746202979504, 0.17023055633874418, 1.3331805680571835, 1.2734274174631564, 0.05595113927482165, 2.009168069022067, 1.4511184734249842]","[-0.421627, 1.9789371, -0.11392193, -1.5881579, 0.6998547, -0.721664, 0.3681086, -1.4275577, -1.4509195, -0.9187001]","(50, 20)",0.0001,"[0.21645407378673553, -1.168958306312561, 0.1468457579612732, 0.3156324326992035, 0.27613574266433716, 1.4330559968948364, 1.1216472387313843, -0.014291048049926758, 1.7361911535263062, 1.1705403327941895]"
88,"[0.22461653339957438, 1.318030320057857, -0.08611223501594023, -0.8058442094657586, -0.7336720484304529, 0.6393652633056603, 0.027561054269627294, -0.4087066917385706, 0.8341597633245745, -0.9843083475757248]","[0.059508107983914926, 0.44608082237362123, 0.9203936706406568, -0.7494356389401792, -0.6735762468474761, -0.27730938406646954, 0.81701791440226, -0.3374823881910079, -0.4044963071451972, 0.8262553595289646]","[0.5064227, 2.2875412, -0.45714164, 0.28273487, 1.0034512, 0.5103466, -0.521029, 0.5135008, -0.84398854, 1.1168457]","(20, 10)",0.0001,"[0.09823396801948547, 0.5621325969696045, 0.9805130362510681, -0.8876001238822937, -0.4605010151863098, -0.12315458059310913, 1.0488722324371338, -0.293487012386322, -0.1293417513370514, 0.9470806121826172]"
100,"[2.1864307920249866, 2.0639327647448313, 0.10103989620108295, -0.32115888400398673, 0.6268021476008949, -0.07151195867502458, 0.8386928412588855, 1.8947658704269013, 1.32160338274791, 1.6006802152055026]","[0.40413855309139735, 1.953445488017461, 0.7179691403751606, -0.6667820147469078, -0.1333805803407202, 0.6821207065404713, -0.41946660234941846, 0.8798187858087745, 1.2210536006323212, 0.3325845428825374]","[1.2828789, 1.5742168, -0.1675964, -1.3355477, -1.0629162, -0.30472106, 0.07781448, 0.30781585, 0.7767202, 1.419152]","(50, 20)",1e-05,"[0.1530395746231079, 2.4321916103363037, 0.5423426628112793, -0.5425702929496765, -0.2904537320137024, 0.7124732136726379, -0.174747496843338, 0.9403237104415894, 1.2056783437728882, 0.1598590612411499]"
97,"[-1.5808474741224197, -1.2290528862580499, 1.346181297541957, 1.1976573512813244, 0.3366372538547029, -0.6307799657498392, 0.1618084638687156, 0.2954837610351196, -0.2282927930042342, -0.06259748933095696]","[-1.3072190919593178, -0.6144420136412341, -0.6147636498709492, 1.604485879098393, 0.11279911608266413, 0.10107224793906075, -0.5985218387333011, 0.5006276466427595, 0.002299344963838046, -0.25580989896429795]","[0.24413328, -0.7339475, -0.62543094, 0.5931978, 1.3021792, -1.7077024, -1.1878725, 1.9636443, 0.88077456, 0.68114525]","(10, 5)",1e-05,"[-1.3039567470550537, -0.5363622307777405, -0.5042810440063477, 1.7493278980255127, -0.035429179668426514, -0.047637224197387695, -0.6962376236915588, 0.6526266932487488, 0.015073418617248535, -0.24950602650642395]"
98,"[0.656405584432002, -1.207656509505517, 0.5993212325163169, 0.583045848020239, -0.9246790935825699, -0.8244523844859435, 0.08045860789221096, 0.5647606216955552, 1.0008906723266189, -0.033911890927044164]","[0.8923803247908519, -0.27793087146404966, -1.1163081611446457, 1.1577458161061378, -0.004825251784283113, -0.9336506952898447, -0.18801392101180886, 0.33048519286749406, 0.3611302555609465, 0.6063882353062572]","[0.11055769, 0.22385539, -0.06513419, -0.7095733, 0.25189972, 0.5802718, 0.30540875, 0.46988344, -0.019089336, 0.27879792]","(20, 10)",0.0001,"[0.8316020965576172, -0.31144285202026367, -1.2258423566818237, 1.2221944332122803, 0.08406639099121094, -1.0102417469024658, -0.12780976295471191, 0.45073437690734863, 0.36391258239746094, 0.5842669010162354]"
95,"[-1.8408205377327054, -0.03628414253457146, 0.47017977591069965, -2.5357434101446676, -2.625633797650085, -2.178204033737437, -0.8323780526776967, 1.887831065411457, 0.7018165890233634, -1.0450361336430805]","[-0.4618821121901112, -1.0395328573791636, 0.8195158570944779, 0.10628075772980713, -2.414362865290848, -0.7737494337793162, -1.0161757374005664, 0.1748565831494701, 1.8147812270343127, -0.545007247874711]","[0.15503512, 0.55972177, 0.1858045, -1.1038073, -1.1422238, 0.087909415, 0.057365414, 0.114081666, -0.36914453, -0.820264]","(10, 5)",1e-05,"[-0.5107089877128601, -1.2238366603851318, 0.9902976155281067, 0.30911269783973694, -2.3616676330566406, -0.7742231488227844, -1.1090749502182007, 0.1115599274635315, 1.3051443099975586, -0.5384268164634705]"
99,"[0.8573606561197087, 2.6652747225376228, 2.553801771180517, 0.32072359499827585, -0.3090027839208697, -0.5610798974268356, -1.999372983436337, -0.9593340330067425, -1.5437940233328593, -1.4610008393222689]","[-0.5237227771837908, 1.2423107816756107, 1.6509003690145843, 1.1761509544540445, -0.5929358290867147, 0.06798005801411941, -0.5236989517273575, -1.5293754609461963, 0.1929094815284939, -1.494472345243014]","[-1.0286444, 0.5984393, 1.741166, -0.5875581, -0.181838, 0.03680172, -0.74212384, -0.7427791, 0.08345055, -0.49599275]","(100, 50)",0.0001,"[-0.37584131956100464, 1.3274428844451904, 1.842362403869629, 1.0810463428497314, -0.8728259205818176, 0.2756956219673157, -0.5016332864761353, -1.3908991813659668, 0.21244566142559052, -1.3314921855926514]"
