seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670034446492, 0.045295010274625847, 0.036398345282579986, -0.8345627505280107, 0.6962977496251458, -0.31022366103126625, -0.7965547436988627, -0.4934608776172075, 0.8607952962631814, 0.8267061308885637]","[1.1966965, 0.48449352, 0.48053518, -1.0345657, 0.5934241, -0.084825106, -0.96146464, -0.95525116, 0.7414602, 0.49309456]","(100, 20)",0.0001,"[0.6491079330444336, 0.12384466826915741, 0.12649428844451904, -0.8612050414085388, 0.9244651198387146, -0.7321324944496155, -0.8053649067878723, -0.4584203362464905, 1.292656660079956, 0.7852922081947327]"
63,"[1.5183510787843302, 2.3937143568473545, 2.5425282829933686, 0.6313434942478507, 1.2377169419351737, 0.15686896505073666, 0.02589841203218335, -0.08404419849605466, -0.5951041478727183, -0.5938219288017121]","[0.3674664350554853, 1.209100590949312, 1.3073123429017541, 1.226765601697761, -0.45726929582686715, 1.1474626470513474, -0.5715000274150597, 0.21877239332270845, -0.16568949983699843, -0.4390685058663429]","[1.144542, 1.959897, 1.818185, 1.559114, -0.0988149, 1.7954093, -0.11321857, 0.94275534, 0.09708858, -0.025195554]","(100, 20)",0.0001,"[0.5653344392776489, 1.3425542116165161, 1.5483306646347046, 1.3430824279785156, -0.35776740312576294, 1.0294028520584106, -0.3930571675300598, -0.024962589144706726, -0.13005276024341583, -0.5611174702644348]"
78,"[-1.786411214463587, -1.8354435815308485, -1.2823137440676615, -0.3262719890789862, -0.9540302994008945, 0.005323301806313019, 1.7321971066872592, 1.8547066062348914, 0.4942234998395071, -1.5670137052905864]","[-0.674789029181795, -1.1568657175212, -0.9246396675139519, -0.5123314281732814, 0.0765796076355058, -0.9040122023707977, 0.56477621208961, 1.3221754808924835, 0.8044536466457279, -0.14498520810928264]","[0.14438237, -0.26574555, -0.24081092, -0.04014772, 0.40943035, -0.95431405, 0.84124947, 0.96412146, -0.012169487, -0.9255631]","(100, 20)",0.0001,"[-0.7576165199279785, -1.0661358833312988, -0.9104335308074951, -0.32769566774368286, 0.09529069066047668, -0.8816839456558228, 0.3043476641178131, 1.5640448331832886, 0.6710450649261475, -0.4048335552215576]"
38,"[-1.5664670941876349, 0.15243834229327857, 0.983753246404777, -0.5436373409011893, 0.8970963991631993, -0.0952211032098027, 0.27406666345592756, 0.8660951032587624, -0.13081336499192697, 0.48545526971877406]","[-0.6373852795937724, -0.9784189595233136, 0.821556512225144, 0.43617073684744645, -0.873206321370453, 1.4038207890260077, -0.9518759750416105, 0.7639177766981835, 0.394300715376916, -0.4594376747909504]","[-0.4491887, -0.75680625, 1.0369834, 0.9351699, -0.61822927, 1.6543727, -0.63776875, 1.5222192, 0.79927355, -0.23909922]","(100, 20)",0.0001,"[-0.5861457586288452, -0.8535881638526917, 0.9309582710266113, 0.7088821530342102, -0.8168515563011169, 1.4020838737487793, -0.9239388108253479, 0.7423766851425171, 0.48463931679725647, -0.5093154311180115]"
27,"[0.5433834014821325, -0.2813752169572461, -1.6507690638399892, -0.5392228109744919, 0.0358458019989249, -1.3523093968168916, -0.28370180807418044, 0.4866379650562555, -0.9807717619087977, -0.8254637564587508]","[0.574373755153217, 0.14440912969110514, -0.42860946108342296, -1.3322432696883368, 0.41183139570766075, -0.13123660567841178, -1.3135848059262656, 0.6455335423774516, 0.15037240509340405, -1.158753415000371]","[0.19811946, 0.15935734, -0.34550932, -0.84263164, -0.022751208, 0.21040863, -1.7335932, 0.7214581, 0.62118125, -1.6657792]","(100, 20)",0.0001,"[0.9263922572135925, 0.06130915880203247, -0.3825088143348694, -1.25860595703125, 0.6351828575134277, 0.016229867935180664, -1.1879780292510986, 0.6853647828102112, 0.2918047308921814, -1.1183326244354248]"
34,"[1.5659960799344281, -0.4803619457547359, -1.0839423596483155, 0.1675213475082694, 0.9709578066105129, 0.1238356957633096, -0.6905410299778845, -1.3810468241012401, -1.5426304109503217, -0.14750334587360048]","[0.5728656478717237, 0.8722564674245122, -1.1459477548405186, -0.4000128152019975, 0.5735033537595399, 0.5927367314790061, -0.36220643343569847, -0.5013023024387676, -0.8427655661353568, -0.6800261814090829]","[0.08205195, 1.1376038, -0.7056698, -0.8835692, 0.6194476, 1.0720493, -0.24921787, -0.58107895, -0.84608954, -0.7868417]","(100, 20)",0.0001,"[0.5062724947929382, 0.7870895862579346, -1.2224369049072266, -0.5312919616699219, 0.5276408195495605, 0.6732979416847229, -0.31720176339149475, -0.6224178075790405, -0.9446379542350769, -0.7761266827583313]"
77,"[1.6381681811464013, 1.5163091051092064, -0.01503119565809874, -0.7291922849134499, -0.6024020784517252, -1.0381969221159666, -0.49444726436241826, -0.26433945326827135, 0.8936261423364658, 1.108942721816281]","[0.6339363739592173, 1.1403998555947295, 0.6058138444668979, -0.4636768964424038, -0.4054961286401473, -0.24900632118125965, -0.7681526367287492, 0.03882603311447452, -0.20226909164456452, 0.9126284843913488]","[0.8162534, 0.48279104, 0.51664984, -1.4241624, -0.94993514, -0.36481524, -0.7846881, -0.3553988, -0.11675008, 0.58132136]","(100, 20)",0.0001,"[0.7180235981941223, 1.1997359991073608, 0.6490961313247681, -0.4877268075942993, -0.5381249189376831, -0.24226392805576324, -0.8349987268447876, 0.02926461398601532, -0.17379389703273773, 0.8908557295799255]"
51,"[2.7801558908965927, 1.444691466795002, 0.22295876801519848, -2.5569285765859204, -3.1433200735719717, -3.4560790809189634, -1.0621860721879726, -0.43184800559919734, -1.6916701320538288, -1.5772351497153858]","[0.7766095539038099, 1.5092634379067904, 0.04901523312506395, -0.19471922051779803, -2.2825688394175128, -1.3679811750332587, -1.8097561949270187, 0.5725625725246453, -0.28914206906765405, -1.306247810301119]","[0.8734249, 1.3249681, 0.77884436, 0.01906962, -1.5986934, -1.6120795, -0.89780533, 0.24420992, -0.043817364, -0.42625555]","(100, 20)",0.0001,"[0.7339140772819519, 1.4439857006072998, 0.01595848798751831, -0.15814882516860962, -2.02107572555542, -1.3913750648498535, -1.9483256340026855, 0.6571373343467712, -0.5193544626235962, -1.1973886489868164]"
35,"[-2.223263267222157, -1.989672094441333, -1.4150748145182186, -0.8212655795011936, -2.2398976210908645, -1.2718568869535694, -1.2471422397079532, -1.0991395277809057, 0.5467537183927864, 3.2757550208821042]","[-1.9144632940380246, -0.7639407053218537, -1.238570229864068, -0.529077880442324, -0.32577066316975745, -1.8783025112917457, -0.000433897763948754, -0.9843454054413512, -0.4741984905064158, 0.9173528528918783]","[-1.2708397, -1.2810775, -1.4203323, -1.1066669, -0.67907137, -1.5226837, -0.48351568, -1.0269868, -0.6358536, 0.5100664]","(100, 20)",0.0001,"[-1.8771878480911255, -0.9399558305740356, -0.7881342172622681, -0.3867553472518921, -0.1767018437385559, -1.656087875366211, -0.2128008008003235, -0.6347144246101379, -0.5504747033119202, 0.8869060277938843]"
55,"[0.9385057848644893, 0.4611060020433973, -0.7800011553020153, -1.16336574100135, 0.24006685469578415, 0.9343065873976425, 1.7347838283635246, 1.392368765525556, 0.9443571039674578, 1.4741979605798183]","[0.019199771295260376, 0.9445939944001398, -0.1916040302699541, -0.7725985027913772, -0.5591570285318274, 0.7551200250584911, 0.5078446919620754, 1.1364952604544252, 0.3652250065262217, 0.33691492541855234]","[0.14913924, 0.48287898, -0.7025472, -0.33292288, -0.22329348, 1.1270598, 0.7918499, 0.76501995, 0.7489518, 0.17827745]","(100, 20)",0.0001,"[0.20731276273727417, 1.00324285030365, -0.11707877367734909, -0.8483671545982361, -0.5988193154335022, 0.747571587562561, 0.6989452242851257, 0.7767810225486755, 0.5442468523979187, 0.32291972637176514]"
41,"[2.018166804797763, 0.26567622443363115, -0.9204996471380374, -1.0915786321448933, 0.09451775061611134, 0.31135675102023463, 0.4124258015615632, 0.7819182881710262, -0.06601750429049408, -1.0093415460830055]","[1.3271865845436988, 1.2637801358482263, -0.7674561660939057, -0.6235334352226714, -0.488289478427516, 0.5594706422834119, 0.056972220227878165, 0.2554370233052855, 0.48493978378309466, -0.4451383881420275]","[1.1248243, 1.2952293, -0.1061766, -1.1585884, -0.31551945, 0.74020535, 0.056672025, -0.46386278, 0.27395967, -0.5448304]","(100, 20)",0.0001,"[1.1109263896942139, 1.3908424377441406, -0.713038980960846, -0.8317297101020813, -0.4549276530742645, 0.5244597792625427, -0.007617652416229248, 0.1872938871383667, 0.35465335845947266, -0.45817893743515015]"
20,"[0.8896314159026872, -0.5813853203745856, -3.07725423138906, -3.178129315348814, 0.0009961796221158448, 0.4946515920223329, -0.9000429254088452, -0.9231928517859458, 1.8351160477986588, 2.4359315456730197]","[0.3169780660883142, 0.2395530838838115, -0.8252315518900506, -2.207631120188543, -1.1191528660973264, 1.2586714567377273, -0.06213299469856337, -0.8855618298262214, -0.2246320883972755, 1.9249614025168227]","[0.68193483, 0.8299354, -0.67846847, -1.561314, -0.6437009, 0.28849888, -0.67335504, -1.2479955, 0.29369104, 1.6064945]","(100, 20)",0.0001,"[0.2458447515964508, 0.221489816904068, -0.9252233505249023, -2.191511392593384, -0.9886126518249512, 1.0688825845718384, 0.04074028134346008, -1.2110767364501953, -0.31486740708351135, 1.5876818895339966]"
94,"[-0.3082293840259648, -0.2968024086668181, 1.6957894015159427, 1.9099167868751448, 0.6237615270226489, 0.2904857733246174, 0.9414048756159239, 0.8087004644333763, -0.9667144195959287, -2.3180183124851075]","[-1.1856597651855432, 0.4431099026417323, -0.44420511639329785, 1.7620976786453346, 0.7106051197068982, -0.03993464776523912, 0.2794855432926554, 0.6966531719406536, 0.2813387064673429, -1.1166450382357296]","[-1.6471653, 0.6112351, 0.19633664, 1.6244488, 1.420413, -0.34470084, 0.46279925, 1.0255269, 0.2782466, -1.6270915]","(100, 20)",0.0001,"[-1.1083241701126099, 0.670209527015686, -0.5226330757141113, 1.6788361072540283, 0.33013632893562317, 0.09136191010475159, -0.014727085828781128, 0.751477837562561, 0.2752547562122345, -0.9392790794372559]"
64,"[0.960188229976986, 1.9874423379743371, 1.0987946114776337, 2.0902947357532593, 2.476175664241769, 0.8121078065848485, 0.3355804188099139, 0.0889636597566559, 0.9725893746154093, 1.7738191075207315]","[0.765242268711644, 0.3161222113477181, 1.602256671026764, -0.026237707576997782, 1.8247733014742569, 1.1583311351694596, -0.14879648986071953, 0.3576464174492705, -0.12216291058349105, 0.9427720595279844]","[1.1600856, -0.18620159, 0.7940451, 0.8515616, 1.1755514, 0.5258874, -0.8225684, 0.7986043, -0.41116455, 0.37835217]","(100, 20)",0.0001,"[0.6422153115272522, 0.10296538472175598, 1.4719929695129395, -0.1474458873271942, 1.6825488805770874, 0.946489691734314, -0.2291155904531479, -0.009725525975227356, -0.09101258218288422, 0.8601807951927185]"
73,"[-2.5376221671283297, -1.2580984383368738, -0.3346163985270597, 0.49886123812781336, 2.9658841044232194, 2.5419784354427586, 1.748233198849274, 0.6511930271995904, 0.4982793667647232, 1.3323473686472305]","[-1.5349323303912514, -1.436521489882157, -0.1491646717336637, -0.1213626029884407, 0.537158609485188, 2.537483911116516, 0.7824715100738266, 0.9299344808640488, 0.041638868767672255, 0.3493396369423094]","[-1.9199145, -1.8269765, -0.5462172, 0.06704919, 0.61487734, 2.2266207, 1.5306911, 1.5059409, 0.5795222, 0.36639214]","(100, 20)",0.0001,"[-1.551918864250183, -1.4185436964035034, -0.36874011158943176, -0.20617720484733582, 0.20697645843029022, 2.1273610591888428, 0.752663254737854, 0.9096695184707642, 0.036832720041275024, 0.1437547206878662]"
48,"[1.1399513399307817, 2.430756152965367, 1.934636891961126, -0.8375189558567607, -3.010068500613653, -1.667091680285292, -0.0882044017550313, 1.0351423008721765, -0.28129497585500673, 0.049888017237669335]","[0.2527927973202937, 1.2551266872505247, 1.4636846946913256, 0.611399185458826, -1.4947160329301368, -1.9827292066001256, -0.0026393510813587095, 0.3314610514560925, 0.8491999905242291, -0.8595332151744739]","[-0.2991499, 1.5414565, 1.2545775, 1.0808917, -0.59121954, -1.2359076, -0.4777468, 1.0781534, 1.0645916, 0.099649705]","(100, 20)",0.0001,"[0.6258390545845032, 1.1214455366134644, 1.666122317314148, 0.7349597811698914, -1.6459760665893555, -1.8649414777755737, 0.22772623598575592, 0.3022097945213318, 0.7593252062797546, -0.7042180299758911]"
37,"[-0.7320107824784348, -1.334873221862436, -2.830270727999395, -2.171825700352501, -1.1699072417331753, -0.9083298934746911, -0.6531089742269618, 0.1716358428829503, 1.420182219659508, 1.505674042252934]","[-0.2849852189966668, -0.35861985091764303, -0.8806465714714965, -1.890026218090886, -0.4361124282922968, -0.27270422992457616, -0.39270457695089495, -0.1858217861825478, 0.42599914559381785, 1.1052115673516234]","[-0.36241093, -0.4063067, -0.7931165, -1.2534766, -0.8592794, -0.6692596, -0.8191334, -0.40752357, 0.483576, 0.76314443]","(100, 20)",0.0001,"[-0.3531220257282257, -0.41871699690818787, -0.8950532674789429, -1.8911199569702148, -0.7394052147865295, -0.5644343495368958, -0.4444039762020111, -0.297311931848526, 0.5032316446304321, 1.070266842842102]"
28,"[0.523710630683018, 0.04752838082399702, -0.12177348507794875, 0.026768672560152126, 0.3361239468267235, 0.22293268048079945, -2.111120066759831, -0.4133371844290823, 0.5128633588881688, 1.8524875363268667]","[0.6964075811458937, -0.010083503123819726, -0.11412976189707469, -0.08651596911023933, 0.09020151152526203, 0.2651784077139686, 0.010131082909464531, -1.9771454021357346, 0.9265166891963988, 0.2821309072786614]","[0.9201196, 0.4961653, -0.5049241, -1.0335811, -0.6663282, 0.58664, 0.37307107, -2.6554115, -1.3248582, 0.14218785]","(100, 20)",0.0001,"[0.8147698640823364, -0.23060961067676544, 0.19124990701675415, -0.25215476751327515, 0.09814180433750153, 0.16859573125839233, 0.07545885443687439, -2.087399959564209, 0.894762396812439, 0.06713405251502991]"
76,"[0.6284462840705773, 2.832357135252855, 0.7838583994273636, -2.4008159710761228, -1.276424057037398, 0.9441756474293519, 0.29418363882198173, 1.4631129432888905, -0.06437190747572186, -3.4901185360827855]","[-0.4341054948830401, 1.0343134686282953, 1.8900248874437944, -0.7766820192707358, -1.9427014283757207, 0.2798900964886105, 0.9958580854524277, -0.39571301114887303, 1.3888995383617164, -0.9937534776360208]","[-0.99254566, 0.9443663, 1.2344534, 0.07834028, -1.5376651, -0.7955904, 0.9856503, -0.63737917, 0.8059168, -0.78953075]","(100, 20)",0.0001,"[-0.7224944829940796, 0.9325640797615051, 1.9850640296936035, -1.0308682918548584, -1.9682047367095947, 0.39256060123443604, 1.0110530853271484, -0.43399012088775635, 1.0808286666870117, -1.0235373973846436]"
