seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
90,"[1.7130880261288133, 1.5009803564878188, 2.081887324413866, -0.419534550644592, -0.9755141657726423, 1.0185698970243244, 1.645341301515098, 1.0585931284142258, 0.9759343192926778, 0.08256095322825291]","[0.5280869158686654, 1.1532392351085459, 0.5605761649182324, 1.4208439452299326, -1.2969912013243725, -0.11195524360867126, 1.0628744722624293, 0.7542254860459678, 0.3934725587302377, 0.5804240976887466]","[-0.66613513, -0.49149716, -0.06463338, 0.15452516, -0.5423859, 0.16239467, 0.34610197, -0.5171843, -0.58021986, 1.0149019]","(50, 10)",0.0001,"[0.6540653705596924, 1.3552166223526, 0.5038171410560608, 1.5178600549697876, -1.3253710269927979, 0.1257322132587433, 1.0501902103424072, 0.9736372828483582, 0.28858691453933716, 0.7279121279716492]"
65,"[3.4335508773089245, 3.144454023541827, 0.841010547351804, -1.5892790549141784, -1.825150136671232, -1.909472434156661, -2.6573631781809595, -2.932104031235805, -2.411024914237837, -0.6711922413533821]","[1.515136408143694, 1.8802918530708168, 1.0210281135174508, -0.6121721800885074, -1.453917775986262, -0.5947901336837977, -0.8917008022466039, -1.4290476028421009, -1.2573490423714384, -0.7783930596770302]","[-0.1739004, 0.68240285, 1.2319521, 0.74520755, 0.48851308, -0.42781964, -0.38567755, -0.32152358, 0.06568754, 0.21670166]","(50, 10)",0.0001,"[1.621084213256836, 1.4297666549682617, 0.7989562749862671, -0.7424496412277222, -1.809531807899475, -0.7243212461471558, -0.9953471422195435, -1.360997200012207, -1.2212605476379395, -0.8136461973190308]"
63,"[1.5183510787843302, 2.3937143568473545, 2.5425282829933686, 0.6313434942478507, 1.2377169419351737, 0.15686896505073666, 0.02589841203218335, -0.08404419849605466, -0.5951041478727183, -0.5938219288017121]","[0.3674664350881277, 1.2091005911550354, 1.3073123433941114, 1.2267656016689017, -0.4572692954768485, 1.1474626468344176, -0.5715000252853468, 0.21877239389736933, -0.16568949982967976, -0.43906850559469146]","[-1.9164284, -0.45846456, -0.080955565, 0.1752931, -1.6955101, 0.34166485, 1.3687109, 0.08168663, -0.5109061, -0.50342745]","(50, 10)",0.0001,"[0.4009937047958374, 1.464737892150879, 1.3635892868041992, 1.2041447162628174, -0.42880862951278687, 1.3070261478424072, -0.49686551094055176, 0.2798728048801422, -0.16369840502738953, -0.40661412477493286]"
55,"[0.9385057848644893, 0.4611060020433973, -0.7800011553020153, -1.16336574100135, 0.24006685469578415, 0.9343065873976425, 1.7347838283635246, 1.392368765525556, 0.9443571039674578, 1.4741979605798183]","[0.01919977144050522, 0.9445939943766618, -0.19160403014056093, -0.7725985027704652, -0.5591570283854266, 0.7551200249281451, 0.5078446919972052, 1.136495259810522, 0.3652250066196633, 0.3369149255735505]","[-1.5206238, -1.5631851, -0.7360258, 0.078857966, 0.3744544, 0.6230288, 0.92100555, 0.46600944, -0.53166974, 0.9157156]","(20, 4)",1e-05,"[0.16709309816360474, 1.0712076425552368, -0.12233561277389526, -0.8324942588806152, -0.6047821044921875, 0.7084553241729736, 0.6737924814224243, 1.151968002319336, 0.33594927191734314, 0.33502712845802307]"
98,"[0.656405584432002, -1.207656509505517, 0.5993212325163169, 0.583045848020239, -0.9246790935825699, -0.8244523844859435, 0.08045860789221096, 0.5647606216955552, 1.0008906723266189, -0.033911890927044164]","[0.89238032476624, -0.27793087143189765, -1.1163081610048424, 1.157745815952938, -0.004825251160305022, -0.9336506949052469, -0.18801392077725249, 0.3304851928203383, 0.3611302555446967, 0.6063882360290964]","[1.2068707, -0.10737368, -1.6849614, 1.1164873, 0.32432392, -0.36802822, -0.36398152, 0.2296904, 0.74140877, 0.5375871]","(100, 20)",0.0001,"[0.7944830656051636, -0.29124924540519714, -1.378152847290039, 1.0079337358474731, 0.26732441782951355, -1.1183607578277588, -0.2591278851032257, 0.11797326803207397, 0.6153054237365723, 0.6472556591033936]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[0.009038886, 0.14292993, -1.3006235, 0.42734498, -0.020592134, 0.24810524, 0.81152683, 0.40283918, -0.29566923, -1.7617602]","(100, 20)",0.0001,"[0.39447221159935, -0.371531218290329, -0.9569566249847412, 0.029691699892282486, -0.1853085309267044, -0.3717998266220093, 0.7317044734954834, 0.940443754196167, -0.35215941071510315, -1.2296286821365356]"
24,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[1.2577534, 0.71576744, 0.5641406, 0.46851438, 0.046636052, 0.3781606, 0.69980186, 0.12402835, 0.054878112, 0.20792933]","(20, 4)",0.0001,"[0.05313357710838318, -0.706285297870636, 0.7866809368133545, 0.9200791120529175, -1.0055148601531982, -3.0636355876922607, -1.2781686782836914, 0.26779305934906006, 1.1819429397583008, 1.678523302078247]"
61,"[-3.057948799466865, -3.963349443448349, -2.2110460710511606, -1.0383298758388935, 0.3293943821787133, -1.067748810281296, -2.149024809062282, -2.0398062169834312, -0.14888278236076757, -0.21845981564460837]","[-0.8349129540036259, -2.401717789180623, -1.766064530845529, -0.5122459526614727, -0.44357341720360827, 0.6633123152393554, -1.43046689539637, -1.05911080225231, -0.9059390981130855, 0.5836529066401555]","[0.39958465, -1.6494379, -0.9361919, 0.25076953, 0.7608763, -0.11242576, 0.6129448, -0.8051305, -0.5808351, -0.6445195]","(50, 10)",1e-05,"[-0.7246052026748657, -2.400049924850464, -2.0207982063293457, -1.1698145866394043, -0.05357273295521736, 0.6827685832977295, -1.5339629650115967, -0.9210267663002014, -1.1655709743499756, 0.7022667527198792]"
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670033078274, 0.045295010634492594, 0.03639834552131513, -0.8345627503645376, 0.6962977496386662, -0.31022366132304036, -0.7965547439488251, -0.4934608792273786, 0.8607952962943064, 0.8267061307131363]","[0.70487607, 0.24261077, -0.2502988, -1.0216032, 0.59036374, 0.19566981, -0.4817499, -1.091223, 0.36955667, 1.0229136]","(100, 20)",1e-05,"[1.3812988996505737, -0.15276700258255005, 0.1407548487186432, -0.8235783576965332, 0.9549278020858765, -0.4429146647453308, -0.6601220965385437, -0.45097172260284424, 1.1409822702407837, 0.941952645778656]"
54,"[-1.6548414401155862, -1.0923288020554764, -0.20930414280020937, 0.48050805157153986, 1.5395672153751465, 2.6580351381390885, 1.3425125521817323, 2.114649888439951, 2.759196543252524, 2.1465735566472923]","[-0.37883313991831413, -1.2204703914419042, -0.004599764558070707, 0.0992513297719262, 0.44195079527611236, 1.061092868518668, 1.5172784753711788, -0.16255086979963806, 1.6264513823013556, 1.2127117675116914]","[0.83906865, -1.563182, -0.8664505, 0.24436165, 0.29887262, -0.05046487, -0.5675469, -0.66496706, 0.48881245, -0.56832385]","(20, 4)",0.0001,"[-0.41066673398017883, -1.2261935472488403, -0.11397114396095276, 0.22763283550739288, 0.11831951141357422, 0.8318581581115723, 1.4644920825958252, 0.35227519273757935, 1.2414228916168213, 1.4333044290542603]"
