seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
29,"[-0.6951020745913491, -0.4279128852287399, -0.918815378963657, -1.5019427858790135, -0.9666298109046424, -1.2665671590539103, -0.5775728482030134, -0.5941856313162276, -0.85509393819885, -0.1997517813043379]","[-0.6397628680588204, -0.3752206405619389, -0.24030256494777044, -0.7986640964897718, -1.1026107376341279, -0.4153244420875785, -1.058904938010121, -0.04812037919795287, -0.5701254417172512, -0.5700312173402244]","[-0.6840219682807609, -0.3761874128283804, -0.16749856151147385, -0.8477441971014013, -1.1462222148327268, -0.4271181543042085, -1.0963937147749974, -0.16157411453641968, -0.5620991450254549, -0.6831370097120499]","(3, 0, 0)","[0.8034617, 1.0979989, 1.3285598, 1.3304635, 1.1616306, 0.16794533, 0.7724229, 1.4155143, 0.8898261, 0.73380077]","(10, 2)",0.001
43,"[-0.11156417888470532, 0.966500439914207, 0.06058132689622597, -1.3372379535143002, -0.4305957387041587, 0.13068337221055676, -0.6601923748812928, -1.5378782637377053, -1.5310104121270827, -0.6472473879029459]","[-0.7525185267471248, 0.26469508448885715, 0.8341528976697784, -0.35649512193866323, -1.1589903925449687, 0.14889945756832562, 0.05623364342639395, -0.6883091965944897, -1.1937236654404604, -0.9341485794068525]","[-0.7794611003118667, 0.29730566545642334, 0.8451225462867666, -0.3868831246176651, -1.1820610274221128, 0.18456285979087025, 0.03669783503307338, -0.7045152070233647, -1.2197487346690417, -0.9372987992046943]","(1, 0, 1)","[0.56035715, 0.46991697, 0.52007294, 1.0286034, 1.0049354, 0.4799709, -0.09695039, 0.5840385, -0.5739266, -0.8779497]","(10, 2)",0.001
52,"[0.07698530595451958, 1.302073473651972, 1.4133234630846068, 1.764720429031175, 2.3154781653454277, 2.362995080574064, 1.391187672921547, 1.1643013582939798, 0.39764984455662633, -0.1456017266395344]","[-0.6070785987528169, 0.380524605330928, 1.111811170986508, 0.8574178775913528, 1.3360114902354987, 1.6474724202276785, 1.5392588704602248, 0.6215582376914347, 0.8535222394482624, -0.02911127516750489]","[-0.586620068800303, 0.3754108565775934, 1.0785295083453366, 0.8270952699361677, 1.3028010489753148, 1.6045524269900207, 1.5034352391768477, 0.6005642574297391, 0.8393489611053877, -0.03637653224596224]","(1, 0, 1)","[-0.6510508, 0.26332274, 1.0569109, 1.0085402, 1.105202, 1.3688624, 1.3672076, 0.9478229, 0.7570853, 0.39802453]","(50, 10)",0.001
44,"[-0.596807469842795, -0.5418199152020906, -0.16319197357150295, 1.0265786547029618, 1.277305455370556, 0.9388726183629851, -0.39804662005942176, -0.8884212270675725, -0.8771282643782096, -0.6632583023674431]","[-0.8916833748784163, -0.15096578240358682, -0.4663370240002972, 0.06997653842864565, 0.991590385488639, 0.7815102626262366, 0.5481174870498668, -0.6721053635843551, -0.552368545275395, -0.6009439917405122]","[-0.9037359270139906, -0.14451486392801435, -0.4728315385749077, 0.07415271258265992, 0.9978947052615335, 0.7832989305853336, 0.5509173323866773, -0.6812338378470106, -0.5507259657833435, -0.6060427868698954]","(1, 0, 1)","[-0.72540385, -0.36320582, -0.30071142, 0.1592176, 1.000152, 1.0564181, 0.6347362, -0.68467236, -0.75065404, -0.5354629]","(50, 10)",0.001
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9700583496807579, 1.1794655719248575, -0.01747676726832137, -0.6130547700797488, 0.234170521638902, 0.25312137431971493, -0.33295047236236386, -0.21082376481108955, 0.24190104606653737, 0.4884313612673894]","(1, 0, 1)","[0.9911089, -0.4375472, -0.087834224, 0.27358446, -0.41325003, -0.5297489, -0.21532337, -1.1123626, -0.56665635, 0.4645346]","(10, 2)",0.001
26,"[-0.1476671635400908, -0.6899565897852734, -0.03942738610034574, -0.041523039371085035, 0.37620241401136634, 0.9867307216742658, 1.5340533666055696, 0.6723199389881331, -0.846517886351763, -0.954506590760342]","[-0.4001582927652938, 0.052411982842556104, -0.7161625812065515, 0.31865390450292996, -0.20084999162255002, 0.47662740982264135, 0.7484170167629451, 1.159844858224097, 0.09239750987608464, -0.8927166412898053]","[-0.396352993899941, 0.04409077853314691, -0.7170432384462213, 0.30719481749400923, -0.18949650032370985, 0.4691131511859127, 0.7666445494320705, 1.1760891865041054, 0.11091594897552784, -0.9054107467800394]","(1, 0, 1)","[0.6270184, -0.51702994, 0.53612334, 1.2367564, 1.1090941, 1.0061784, 1.1179168, 0.69625986, 1.1095726, 1.2359498]","(10, 2)",0.001
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.6034778295083246, 1.0659889796353663, -0.38113544961095747, 0.4835129969537034, 0.9230520259430361, 0.3506888900971782, -0.11358450703489872, -0.48717316586759174, -0.49227579073819056, -0.17064740347710997]","(1, 0, 1)","[-0.38032645, 0.4889493, 0.7274259, 0.28060555, 0.534445, 1.0995822, -0.13181657, 0.50726753, 0.7935918, 1.021914]","(20, 4)",0.001
33,"[-1.1700749594508788, -0.632615951279612, -0.4751845445619967, -0.4547302097030288, -0.6348457431219107, -0.7505243143273135, 0.2114753886932912, -0.4974238080943947, -1.1128169748310386, -0.9364902740093957]","[-1.1922453627898077, -0.573952278055975, -0.3456398122516245, -0.30236463843618444, -0.3035478904849366, -0.4830717978794424, -0.5089884153875923, 0.46596959638708735, -0.7304086062879384, -0.7476126716870695]","[-1.2093415196885855, -0.5847282015333071, -0.35027368571272954, -0.30704276429804617, -0.30778711565018646, -0.4895410717967654, -0.5168497069722703, 0.4688200203619781, -0.7320836257899999, -0.7614332126482031]","(1, 0, 1)","[0.46716195, -0.18789098, 0.09151849, 0.42747927, 0.26033863, -0.14565453, 0.5730483, 0.209602, -0.47286826, 0.46960095]","(20, 4)",0.001
15,"[-1.314869177500513, -0.8128914800497161, -0.9034256162458353, 0.02329661284420509, 0.19275515633593684, -0.9766123479889883, -0.8038138207200214, -0.27456184565904596, 0.6611367385216939, 1.6933467873451775]","[-0.5886015160302154, -1.0205684194854054, -0.30260727030701345, -0.7521219810923285, 0.3993576033903694, -0.006923645359247846, -0.9731505253093644, -0.3172385580653392, -0.11594256662637636, 0.719108021834882]","[-0.6211990134073929, -1.0759793910528357, -0.31621613657569814, -0.7946391560201755, 0.4229971168247064, -0.008652482165721814, -1.024991600277379, -0.33133557918017054, -0.12259512266731021, 0.758813662747347]","(1, 0, 1)","[0.28274694, 0.73950845, 0.25872535, -0.8120374, -1.076555, -0.05135367, 0.83492976, 0.67555505, -0.48450327, -0.3464587]","(10, 2)",0.001
49,"[0.8382158388849568, -0.0017823148800648614, 0.351562312056268, -0.42582646617299624, 0.2523567822596229, 0.3716366264252864, -0.3938303597605525, 0.34268572030417965, 0.12956473948667274, 0.004100428920260829]","[1.221039115717665, 0.22769628102612427, -0.115630455393127, 0.4093775397528315, -0.630515236049412, 0.5676144002843289, 0.08782942628312196, -0.43774507290211345, 0.5615582567552364, -0.15121438889094543]","[1.235653057033226, 0.15777575560431767, -0.1512160632103126, 0.362035366432517, -0.7244598124075492, 0.5573296228962044, 0.06522212542036387, -0.4302709755987032, 0.5961345674713876, -0.21073183467512485]","(4, 0, 0)","[0.22515444, 0.3222229, -0.17549807, -0.4733652, -0.18072817, -0.8583122, 0.21125491, -0.59109694, 0.010966819, -0.07031159]","(20, 4)",0.001
12,"[0.15975893077394543, -0.6714124980704688, -1.290158604413174, -1.6942023779207949, -0.2920549054519067, 1.0150965112652832, 0.5274579925926742, 0.016072710814402813, -0.11857658304519078, 0.34342723076854553]","[0.9234486538678678, -0.30196539615998846, -0.5204297999904746, -1.029943704417937, -1.1792305257118265, 0.2975603574040065, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363]","[0.9212456465369723, -0.31123202313181053, -0.5171372230452628, -1.0370334024631656, -1.1796341715495808, 0.31216352592419316, 0.8644278806353993, 0.08561912866159938, -0.028118922866875423, -0.10528980813777677]","(1, 0, 1)","[-0.3522306, 0.37204832, -0.055258576, 0.072951555, -0.4544511, -0.23127732, -0.32873115, -0.9784211, -1.2386723, -0.1553457]","(20, 4)",0.001
21,"[-0.8936733867048263, 0.18994197245032862, 1.335188669050055, 0.7564370579540775, -0.7507694914830492, -0.6151433405298958, 0.11318037870934838, -0.746704887720932, -1.7175734274000156, -1.3528722288630806]","[-0.6291354606522113, -0.5791056563787207, 0.47949480063968897, 1.0954412687302106, 0.2087164235889722, -0.8551277032775353, -0.1875794888911282, 0.20697012315491248, -0.8501899492983882, -1.2924784527508213]","[-0.594815249865635, -0.5937533541026023, 0.5418733773975136, 1.0868202860691334, 0.16402921512569224, -0.882857083695533, -0.13216362047184588, 0.19543116173195238, -0.8971115762197712, -1.2806708302230891]","(1, 0, 1)","[-0.6505647, 0.14951013, -0.2169861, -1.0230542, -0.731027, 0.03938, 0.25008184, -0.6662147, -0.61005545, -0.42604053]","(20, 4)",0.001
37,"[0.5198539064413863, 0.6858897627786857, 0.10725806906728796, -0.9021371215984122, -1.7735493506493345, -2.003625817677107, -1.6001014203826736, -0.7717716489465446, -0.24750679902302114, -0.36925922064009464]","[0.38359838798831714, 0.3280547124472277, 0.5218624065550719, -0.15367313421024797, -0.8253005544932882, -1.3608990734026905, -1.323176280975762, -0.9385132798947927, -0.30251500899914824, -0.09624929452344702]","[0.37351973430753793, 0.3212970696840084, 0.5104155236216444, -0.15152710247597237, -0.8074978106316257, -1.3337046797670962, -1.2976350886111852, -0.9215094287486678, -0.2960250082576207, -0.09463541604799995]","(1, 0, 1)","[0.34422606, 0.1115851, -0.17520103, -0.075386815, -0.27079538, 0.3135617, -0.29657272, 0.479472, 0.14978698, -0.595167]","(10, 2)",0.001
40,"[-0.8047873718045049, -0.1300202701662716, 0.695905070661731, 0.37099730432246275, -0.07549416870083717, -0.9612037512661388, -1.6009695774664776, -1.7099297981413237, -0.8936570159629138, -0.12911489059261472]","[-0.8058451454567335, -0.40186479907613815, 0.07091212937179747, 0.6604490059758323, 0.04077280133454661, -0.09588056936811047, -0.9132634665820836, -1.144337844175436, -1.1377608760536058, -0.3247765779361109]","[-0.8199558092372605, -0.43559218292100255, 0.0543295858742046, 0.6459013372697743, 0.09008485979246898, -0.1095386473845856, -0.8777195447666764, -1.1766966369530825, -1.1600702090232082, -0.38149462279795215]","(1, 0, 1)","[0.37036481, 0.6799688, 0.911844, -0.36726025, -1.6193026, -0.02413024, -0.45302233, -1.5282316, -1.2174588, -0.35068166]","(10, 2)",0.001
35,"[0.8718212183723597, 0.23996180134999567, 0.5027677335543254, 0.256883532130359, 0.4565036352177868, 0.931794886936089, 1.1337187066863104, 1.2265590848314618, 0.9301097178148303, 1.398123321187097]","[0.6515019435710301, 0.5460702465868447, -0.03307332194342666, 0.5193043945260387, -0.002768665132660303, 0.45788796778411694, 0.7028509030440305, 0.782293255164295, 0.8354124572493142, 0.5124034891901732]","[0.6214405539085733, 0.5388342649455075, -0.031778660311524765, 0.5021402090626904, 0.0021584083145462646, 0.44016488622517325, 0.6856143237324765, 0.7615160653627133, 0.8153199511879612, 0.5021079006346396]","(1, 0, 1)","[0.19545816, 0.3508901, -0.025436869, 0.07891384, -0.046173356, 0.023455236, 0.37717623, 0.5876049, 0.4847564, 0.3588869]","(50, 10)",0.001
14,"[-1.2440986860865688, -0.4865508935504905, 0.2975830767098091, 0.7568197055496705, 0.16370804313753556, 0.3232395075890545, 0.4764214573147744, -0.18314757271140183, -0.9892241619774378, -1.1428070380385411]","[-1.3117611664475848, -0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495961, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601]","[-1.295782134091272, -0.5822200745646684, -0.19007800320821644, 0.38789531918643694, 0.5530771476163724, -0.11403413880780093, 0.37524012538434615, 0.28260852181676693, -0.321275599760081, -0.8151522625871755]","(1, 0, 1)","[0.901004, 0.068128325, -0.6474974, -0.15243642, -0.2934287, -0.060805343, -0.029143773, -0.63973486, -0.6692634, 0.4392973]","(10, 2)",0.001
18,"[0.6554220069690487, -0.27970866932576083, -0.36477843347642436, -0.031330279488522184, -0.4869737980110459, -1.1616764337448426, -0.8786642603399086, -0.2585873045465875, -0.1496013583854589, -0.758057730817691]","[1.072740373942728, 0.11905181999768472, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346848, -0.4278507795225662, -0.0446619147853044, -0.1272704009928067]","[1.1104534598927391, 0.12676081041037027, -0.3509295594688137, -0.20215282879348898, 0.06794268335994305, -0.535748963437608, -0.9326292382022119, -0.44369809858358134, -0.046471995874828226, -0.13128591814517543]","(1, 0, 1)","[1.1995962, 0.22926413, -0.265031, -0.10172814, 0.21733654, -0.3139077, -0.8782856, -0.6115296, 0.1317273, 0.12931226]","(50, 10)",0.001
31,"[0.30341332875453375, 0.6340193617748036, -0.4182343227752221, -1.673433365507266, -1.2106983823717758, -1.4389688373836647, -0.5797403527290004, -0.6714112545638771, -0.3776577208129207, -0.08125005336654284]","[0.3498758509388278, 0.12847540328511986, 0.5697816601322436, -0.7031251528413439, -1.321870789086594, -0.5497629878284789, -1.1640873434694252, 0.0023033190057122344, -0.6725629140667332, -0.04137626377955411]","[0.332756142833424, 0.12111451648567657, 0.5463644917726156, -0.6785486734153567, -1.2575501963907743, -0.517987476842962, -1.1171239013135397, 0.012752969142211024, -0.6483271876457406, -0.033684632470435044]","(1, 0, 1)","[0.19422027, -0.060472585, 0.35014856, -0.31884393, -1.0961128, -0.7659816, -0.8247123, -0.10244993, -0.28622964, -0.10956264]","(50, 10)",0.001
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.0520841264609593, 0.13178850183766744, -0.4338181567064734, -0.9279639902177075, -1.387302873096053, -1.6393453756072431, -0.9064776017642793, -0.9898648065061202, -0.8675701114058582, -1.1314180225498291]","(4, 0, 0)","[1.2159064, 0.52063155, -0.14413431, -0.49074578, -0.7195492, -0.82105297, -0.46944672, -0.6296111, -0.742475, -0.98613024]","(50, 10)",0.001
34,"[0.3332583930137314, -0.23995789038278237, -0.1122022786309056, 1.0596879630957488, 1.177080487643221, 0.06245018526644397, 0.3923453408792714, 0.7568536651749199, 0.8723372494612107, 0.7982448589461052]","[-0.46563829537462587, 0.5660775407010443, -0.5229966607333045, 0.14929605173574667, 0.9850399372278754, 0.6845605190292833, -0.27983007424819767, 0.5322603780033702, 0.4907234761732348, 0.6269755113745933]","[-0.4306375999441421, 0.518082873552171, -0.4676908210503566, 0.1089861643877649, 0.955997536970557, 0.6745444323167372, -0.25513988136851307, 0.4915960034234371, 0.4902714220647818, 0.6011888317021465]","(1, 0, 1)","[0.72517914, 0.6373404, 0.7272236, 0.87932074, 0.73907816, 0.06692632, 0.63304174, 0.482543, 0.39052182, -0.54377097]","(10, 2)",0.001
47,"[-1.009250979898832, -0.7701319154712624, 0.08930738572817859, 0.2566093204995177, 0.8323242941617286, 1.3232039795721067, 1.4124786199861312, 1.6719219791951865, 0.8777050605621279, 0.23718701237558681]","[-0.7287000669637255, -0.6449009464169694, -0.4476814422627777, 0.3131481068595674, 0.10003526706973398, 0.7823066606268616, 0.9320506492586759, 0.9464532953567933, 1.1986953315167899, 0.278357394803733]","[-0.7442482189324657, -0.6149960446380317, -0.37902661308331015, 0.26176753478388715, 0.11725962806825838, 0.7938788915310541, 0.9220185331006896, 0.8988832843548734, 1.1702562639333942, 0.23310876002844272]","(4, 0, 0)","[0.8732828, 0.8914004, 0.030284518, 0.510423, -0.6763295, -0.6175175, -1.2844166, -1.45471, -0.6975774, -0.013891476]","(20, 4)",0.001
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.7642202018998376, 0.44963374891455193, 1.0415530004247495, 0.767192812465605, 1.1896078219741604, 1.0156611615980815, -0.2586734807958727, -0.658174705672223, 0.4098103760461756, 0.28888995038826604]","(1, 0, 1)","[0.7328526, 0.8294862, 1.3853482, -0.02911628, 0.3589602, 0.9855705, 0.8882511, 0.40039846, -0.48984984, -0.45582354]","(10, 2)",0.001
38,"[0.19644936950695574, 0.7281072577741707, 1.1272456055662539, 0.8525148113636306, -0.3894738733621225, -1.603538127060835, -1.4450464554723474, -1.0456602876981642, -0.656953379263158, -0.013529857602883555]","[-0.009104065229563349, 0.20100140212173742, 0.627606556713302, 0.8134423272096029, 0.4457936477588292, -0.6123706972415371, -1.2973527784400667, -0.7963700662523142, -0.6474752545720072, -0.3332157519771544]","[-0.0130265026656856, 0.2115665960960317, 0.6460663502766117, 0.8313008542158967, 0.44642241006645256, -0.6437537772529138, -1.3297096870640388, -0.7982377067313136, -0.6658468934315616, -0.33076566346903097]","(1, 0, 1)","[1.1239294, 0.033741467, 0.48316112, 0.922759, 0.74379224, 0.4507661, -0.103843465, -0.5407712, -0.46152258, 0.78433377]","(20, 4)",0.001
