seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
46,"[1.633972604008512, 2.0515556040711123, 1.2981827694919237, 0.0014295668353975222, 0.11633872874199408, 0.8278345371025561, 0.5531603536194274, 0.4213312298761668, 1.0650114075866626, 1.7370590875200516]","[0.7386829754656061, 1.2646311162757091, 1.419240045933258, 0.5885627465252948, -0.2928518064272499, 0.26276463195561905, 0.6964522211247466, 0.2049342430570541, 0.31886410834763973, 0.9055793534128427]","[0.7269272514695717, 1.2494450958230194, 1.4098038926767318, 0.5937589097607006, -0.2854556747238728, 0.2522118093894288, 0.6902592855787826, 0.20838874237110372, 0.3125339222784537, 0.8944633406455611]","(1, 0, 1)","[0.662865, 0.14473575, 0.08824252, -0.70328754, -0.51726437, -1.0323939, -0.3944626, -0.19254956, 0.82425636, 1.5322938]","(20, 4)",0.001
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562053824263, -0.4408738650682562, -0.025806820386238466, 0.7396653743263439, 1.0699146334682457, 0.7453758880011807, -0.3134613397843231, 0.24110934117329608, -0.7245192503508954, 0.2711808784710481]","(1, 0, 1)","[-0.5699555, -0.6466906, -1.1011071, -1.1417422, -1.3008453, 0.027173895, 0.35209954, -0.093096524, -0.44922087, -0.09617366]","(10, 2)",0.001
11,"[0.9041179734816571, 1.3128266820579864, -0.08782188970286342, -0.06818098498933428, 0.5325499896573734, -0.23708674172827865, -1.4348660106393332, -0.4933474587559986, 0.2532797562564811, -0.8010393132490272]","[0.14243923322386534, 0.8328983568697245, 0.8963775036231242, -0.5360106415144255, 0.19982433576787847, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.11073413340991906, 0.19791268955152155]","[0.09424300383960241, 0.8860053476596014, 0.8231068766792506, -0.561435115016654, 0.2267619715082505, 0.5460424585150596, -0.5099933159426425, -1.2068320703962336, 0.1721794754938104, 0.21527328759364406]","(3, 0, 0)","[0.035542503, -0.037509385, 0.82118446, 1.2381235, 0.89591694, 1.0540296, 0.36137915, 0.26585576, 0.77986664, 0.06611511]","(20, 4)",0.001
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.513624048910849, -1.246469755421975, -1.2979820565942326, 0.2937735728232192, 1.0691443447610172, 0.04061672229869437, -0.9200082481375611, -0.5315664360626418, -0.4681143524277487, 0.5185710212639378]","(1, 0, 1)","[0.1514717, 0.4364744, 0.98291665, -0.46540302, 0.32723922, 0.90958, -0.24775912, 0.739165, -0.059351824, -0.30512354]","(20, 4)",0.001
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.003520148298033793, -0.4441922500288066, -0.5986107369505267, -0.05472118860057194, -0.4293927656556543, -1.1680595177758373, -0.7751929226160522, -0.5129050803797139, -0.9437816048462473, -0.7121834403470251]","(1, 0, 1)","[-0.990766, -1.2721725, -0.24767543, -0.47609252, 0.022256764, 0.1991428, -0.74279433, -1.185049, -1.0356073, -0.40178332]","(10, 2)",0.001
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7024117781400898, -0.5536365008800744, 0.23030033680120388, 0.2921852723184043, 0.721474256634294, 1.1815379338207854, 1.0023218941671455, 1.4577933171987394, 1.482985646136303, 0.412230326378637]","(1, 0, 1)","[0.5944587, 0.19605395, 0.44032216, 0.08619413, 0.5855093, 0.7976559, -0.08960827, 0.27225548, -0.15808265, -0.6439983]","(20, 4)",0.001
50,"[-0.7398717908313841, -0.42551601429476005, 0.19253691287633612, 1.2298119011299429, 0.4577166314850195, 0.704582015968397, 0.9634884957302314, 0.8580584785749414, 1.1904080425814711, 1.4132258747786544]","[-0.2506365489102902, -0.614553516376239, -0.11823925610664054, 0.2516565409296564, 1.1039836306651147, -0.0942751838475378, 0.751719607892166, 0.5876286917841484, 0.5642441326828672, 0.9082859762400376]","[-0.2706230166868643, -0.6159630258477438, -0.13663929899259006, 0.25825848337520263, 1.1153173194641866, -0.06672797352097998, 0.7366252213194342, 0.6200020427983881, 0.5696149013451177, 0.9279164121473731]","(1, 0, 1)","[1.2473929, 0.7879469, -0.07285672, 0.51045996, -0.4300781, -0.91078866, 0.028541086, 0.30330205, 0.60065424, -0.6198054]","(10, 2)",0.001
32,"[0.3506014663779186, 0.4588708537287912, 0.6111870775222703, 0.7009557382411274, -0.33368058540159296, -0.3390673579828756, 0.5324358915267126, 1.0572967256413448, -0.0632253738257702, -0.19514903824269536]","[0.8439740211373092, -0.07138554419073598, 0.4945636258241592, 0.3639052646101907, 0.519003105936032, -0.593182138369609, -0.04247628879807108, 0.5536740359257482, 0.7804597076784707, -0.45345522766500557]","[0.8153999527866831, 0.019570657971601485, 0.43206255573104035, 0.41889038189035016, 0.5103466575863398, -0.5174009872422966, -0.12492988531318495, 0.558921919027225, 0.79722773095777, -0.3707085311797668]","(1, 0, 1)","[0.9991931, -0.03565144, 0.3902595, 0.8315785, 1.414388, 1.3137172, 0.40274072, 0.062289745, 0.5083578, -0.24621348]","(10, 2)",0.001
41,"[-1.4375676212985418, -2.0217203782526525, -1.9535855577314707, -2.166978050543202, -1.189794536956566, -1.3323027622775923, -1.0140894979802253, -0.2643535583450203, -0.7854779820234, -1.3409865220708328]","[-0.5559291296022015, -1.159603056497441, -1.441918850003932, -1.2326261327295045, -1.5506649841784497, -0.41446204486734106, -1.1250717398439218, -0.4515536280582644, -0.03857674431588809, -0.7661896098654559]","[-0.557218498749906, -1.160002208177576, -1.4426234727550746, -1.2326503092653884, -1.5610113121717546, -0.40729679702116095, -1.13678845620209, -0.44837780700443647, -0.04001766488173615, -0.7724826920978118]","(1, 0, 1)","[-0.050592966, -0.8369022, 0.031153526, 0.6484046, 0.22544967, 0.36857697, 0.44147074, 0.83454967, -0.25912207, -0.6565248]","(10, 2)",0.001
23,"[-0.7972534420681722, 0.2865580919118626, 1.3092846607646509, 0.5319940660574185, -0.01799348567364678, 0.7823631415737075, 0.6977989543286605, 0.14898163745840431, -0.9797952977894697, -1.5618723998755375]","[-0.7442062845127789, -0.4251502998117827, 0.499133241817754, 1.059718039855774, 0.002135046129531526, -0.019061008738412544, 0.7918936459429138, 0.30185213135720357, -0.0019444282201974694, -0.978823083679371]","[-0.7664060833599537, -0.41250261525499304, 0.5015380044500688, 1.066980723781505, -0.012541423475623092, -0.011714928262126783, 0.7978693527162426, 0.29284080206291646, -0.0009773257018471926, -0.9913499151576562]","(1, 0, 1)","[0.5280775, 0.77508444, 0.189602, 0.88744783, 0.13116676, 0.71156293, 0.84304285, -0.19025387, 0.41119227, 1.2650893]","(20, 4)",0.001
28,"[0.4827028715952292, 1.4678364634529344, 1.3724934473667743, 1.0175367027674227, 0.022275222104768733, -1.2173349750094409, -1.5869965908448915, -1.5499497042573265, -0.8359834031823613, 0.6462443282473137]","[-0.5051172102800897, 0.7352614767352741, 1.1002057250852975, 0.8223905848241256, 0.6063414103553598, -0.2808954830729112, -1.0768872334729853, -1.0485529741083988, -1.0256732172031269, -0.3231467945807978]","[-0.5195414260331399, 0.771516943954716, 1.1078640298170745, 0.8330566040689196, 0.6119265284706825, -0.3002502109032503, -1.0999498256590485, -1.0600522301621509, -1.0447528647293953, -0.3133278848491961]","(1, 0, 1)","[-0.37460208, -0.15298936, -0.06717515, -0.8384927, -0.85243547, -0.69902396, -1.0265589, -0.38327166, 0.36810562, -0.18445568]","(20, 4)",0.001
25,"[0.08350745381100205, -0.8242756176951482, -1.011413625416096, -0.09363244690039896, 1.0122823555583396, -0.016629211871084237, -1.339810472310588, -2.081997936761713, -1.4947085922194965, -0.5558238426717202]","[0.32273195480336575, -0.07785852359068082, -0.7853463558998078, -0.6187404474661921, 0.21573777683269707, 0.904413467141991, -0.46883594544207974, -1.105392499589548, -1.529301686966939, -0.730057748736027]","[0.2915281236378388, -0.0727120256583958, -0.7769485537832894, -0.5867461697969076, 0.22040655504254703, 0.8845720188338586, -0.4888225475965776, -1.0627418545639626, -1.494824973045192, -0.6823006438228789]","(1, 0, 1)","[0.13766064, -0.4820098, -0.59796304, -0.96603525, 0.31365368, 0.6912749, -0.77899534, -1.0398475, -1.8411711, -0.8304507]","(50, 10)",0.001
