seed,Test,True,ARMA,Order,ARMA_Train_loss,ARMA_Valid_loss,Informer,Informer_para,Informer_lr
24,"[-0.16368099539043024, 0.9924642877554309, 1.5017809662698562, 1.7499909856268978, 1.8575848526434937, 1.8671810402860531, 0.4432714813088353, 0.5882500217078281, 1.3552075007307907, 0.9892293937218952]","[-1.112930554346549, 0.39278428178284436, 0.7960721468640088, 1.103744892837852, 1.198118539207972, 1.258525583039508, 1.2379182487662992, -0.17568764307431434, 0.6760938432449853, 1.017160579108298]","[-1.0750704179562722, 0.4658317948897785, 0.7452012696227329, 1.1058759750102818, 1.1507492324969013, 1.2389042265472785, 1.200693791953966, -0.24965703944804324, 0.7536965316662363, 0.9545379225017279]","(1, 0, 1)",0.34387547879598,0.8364175818972882,"[-1.2762908, -0.10207093, 0.7255535, 0.8818452, 0.89909226, 1.2495438, 1.2508198, -0.10195291, 0.5133492, 1.1289737]","(50, 10)",0.0001
22,"[0.33438651265842706, 0.8984919538709591, 1.255431644998678, 1.783500954397775, 1.239939248831758, -0.1801253960457755, -0.6709199658377545, -1.1298765987584993, -0.5347702735330219, -0.5966475730795737]","[0.49832583589606355, 0.08522359471039528, 0.8558801565157614, 0.8274915667407973, 1.3697551710273763, 0.5550616633180699, -0.45765622770481046, -0.4420918519853493, -0.9088306727658247, -0.0803549371501095]","[0.5111946317959964, 0.07541481735167983, 0.8924021023836934, 0.8296765295028173, 1.4137676611083991, 0.5406688384763823, -0.4731141030833005, -0.4458538612537004, -0.937988281310431, -0.057983543224642886]","(1, 0, 1)",0.36621130607738944,0.695183964990236,"[0.6855331, 0.16262595, 0.9102038, 0.82493824, 1.172176, 0.68662095, -0.26200894, -0.63305855, -1.2790267, -0.24580872]","(20, 4)",0.0001
26,"[-0.1476671635400908, -0.6899565897852734, -0.03942738610034574, -0.041523039371085035, 0.37620241401136634, 0.9867307216742658, 1.5340533666055696, 0.6723199389881331, -0.846517886351763, -0.954506590760342]","[-0.4001582927652938, 0.052411982842556104, -0.7161625812065515, 0.31865390450292996, -0.20084999162255002, 0.47662740982264135, 0.7484170167629451, 1.159844858224097, 0.09239750987608464, -0.8927166412898053]","[-0.3963524473326809, 0.044090720440499415, -0.7170432625335343, 0.30719479085944656, -0.18949650140969357, 0.4691131512350881, 0.7666445485734463, 1.176089186470951, 0.11091594836882973, -0.9054107467828525]","(1, 0, 1)",0.3461886265000492,0.8100015281421219,"[-0.37874454, -0.16615076, -0.8005218, 0.32397962, -0.09544733, 0.30885345, 0.6204914, 0.96361655, 0.31003046, -1.2608106]","(50, 10)",0.0001
27,"[0.30040852971221266, -0.8635496756460255, -1.108788642005658, -0.8672904828370445, -0.8654089035328904, -0.3739462395836059, 0.1337306828910472, 1.1138616177334373, 0.38626475625811707, -0.33900312009153016]","[0.8854465399547372, -0.14231474026515595, -0.7923923055134475, -0.7125924892489344, -0.5109942382125773, -0.6099117844266018, -0.06899034737030504, 0.1682258565761997, 1.0297486894453374, -0.12860958846455167]","[0.9356662801154224, -0.10346263648199686, -0.8221996880717305, -0.7565805759046373, -0.542670909584112, -0.6341987893081764, -0.10020522523535635, 0.17801619921130465, 1.0428412031947367, -0.06450842809894589]","(1, 0, 1)",0.345016387891533,0.8982810137342141,"[1.0900013, 0.07000597, -0.8819606, -0.94009984, -0.8642428, -0.8010034, -0.3021542, 0.31391868, 1.2104588, 0.124767244]","(20, 4)",0.0001
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.003569133839612826, -0.44419745583259757, -0.5986207612927625, -0.05472327708549482, -0.429393073963948, -1.1680595180981428, -0.7751929226670166, -0.5129050803267333, -0.943781604783076, -0.7121834403166015]","(1, 0, 1)",0.3387613113518636,0.9182766887468373,"[-0.1525844, -0.5112464, -0.79404396, -0.18897006, -0.33380383, -1.0828212, -0.71868765, -0.36952242, -0.82623214, -0.6920907]","(10, 2)",0.0001
29,"[-0.6951020745913491, -0.4279128852287399, -0.918815378963657, -1.5019427858790135, -0.9666298109046424, -1.2665671590539103, -0.5775728482030134, -0.5941856313162276, -0.85509393819885, -0.1997517813043379]","[-0.6397628680588204, -0.3752206405619389, -0.24030256494777044, -0.7986640964897718, -1.1026107376341279, -0.4153244420875785, -1.058904938010121, -0.04812037919795287, -0.5701254417172512, -0.5700312173402244]","[-0.6840746107317913, -0.3761893859699071, -0.16748638250446307, -0.8477443381367509, -1.1462223263742723, -0.42711717647988656, -1.0963957753860336, -0.16157412902277613, -0.5620991787127959, -0.6831370175147494]","(3, 0, 0)",0.3161435819820214,0.7522068506093353,"[-0.69823325, -0.9139451, -0.2414943, -0.9555734, -1.1293235, -0.48292994, -1.1570866, -0.19463769, -0.59029984, -0.79474354]","(10, 2)",0.0001
30,"[1.2814768747862875, 0.7463073658718593, -0.6197134102433243, -1.037345767595449, -0.9008440397125207, 0.3078315876998408, 0.021581535938597574, -0.8796944083338989, -1.081324879546362, -0.7193946696679511]","[0.43879132928733666, 1.0620812101426191, 0.21526676080054974, -0.7273467906435991, -0.6736723722736494, -0.564007853575696, 0.5898355144876888, -0.2733362213052468, -0.7430262976812755, -0.7098117307057242]","[0.4599380954299024, 1.07411558578144, 0.24667610412656474, -0.7396448857967199, -0.6953304325531093, -0.5790948606550854, 0.583854143896824, -0.25328917968729836, -0.7651574707751001, -0.7267625148833348]","(1, 0, 1)",0.3582350778479491,0.8071661851009352,"[0.012948267, 0.93090546, 0.29761994, -1.042677, -1.0240185, -0.7818574, 0.50685596, -0.18548085, -0.999319, -1.0104825]","(10, 2)",0.0001
31,"[0.30341332875453375, 0.6340193617748036, -0.4182343227752221, -1.673433365507266, -1.2106983823717758, -1.4389688373836647, -0.5797403527290004, -0.6714112545638771, -0.3776577208129207, -0.08125005336654284]","[0.3498758509388278, 0.12847540328511986, 0.5697816601322436, -0.7031251528413439, -1.321870789086594, -0.5497629878284789, -1.1640873434694252, 0.0023033190057122344, -0.6725629140667332, -0.04137626377955411]","[0.3327365156589548, 0.1211090135182164, 0.546365896387615, -0.6785491982548773, -1.257550152939718, -0.517987465081181, -1.1171239012905112, 0.012752969168998818, -0.6483271876602639, -0.03368463313734818]","(1, 0, 1)",0.32794700007278366,0.5643720623015397,"[0.43457025, 0.1737968, 0.4548213, -0.5444639, -1.4310136, -0.766536, -1.3836017, 0.12659661, -0.5003928, 0.012956232]","(20, 4)",0.0001
28,"[0.4827028715952292, 1.4678364634529344, 1.3724934473667743, 1.0175367027674227, 0.022275222104768733, -1.2173349750094409, -1.5869965908448915, -1.5499497042573265, -0.8359834031823613, 0.6462443282473137]","[-0.5051172102800897, 0.7352614767352741, 1.1002057250852975, 0.8223905848241256, 0.6063414103553598, -0.2808954830729112, -1.0768872334729853, -1.0485529741083988, -1.0256732172031269, -0.3231467945807978]","[-0.5195493070967542, 0.7715169460897316, 1.1078640254753442, 0.833056603758742, 0.6119265284982994, -0.3002502111725623, -1.0999498256766949, -1.060052230220283, -1.0447559000503073, -0.3133282785930655]","(1, 0, 1)",0.33349674997758394,0.8662125442601241,"[-0.6298999, 0.7291519, 1.3902164, 0.9874666, 0.55731905, -0.23039865, -1.0403167, -1.187492, -0.8622405, -0.07547722]","(10, 2)",0.0001
32,"[0.3506014663779186, 0.4588708537287912, 0.6111870775222703, 0.7009557382411274, -0.33368058540159296, -0.3390673579828756, 0.5324358915267126, 1.0572967256413448, -0.0632253738257702, -0.19514903824269536]","[0.8439740211373092, -0.07138554419073598, 0.4945636258241592, 0.3639052646101907, 0.519003105936032, -0.593182138369609, -0.04247628879807108, 0.5536740359257482, 0.7804597076784707, -0.45345522766500557]","[0.8153996218224413, 0.019571640301045967, 0.4320623057359036, 0.4188899902113855, 0.510346656606538, -0.5174009884595823, -0.12492988497771593, 0.5589219191074004, 0.7972277310298024, -0.37070853129298975]","(1, 0, 1)",0.3139485025384151,0.7945267019039358,"[0.88449436, 0.16282856, 0.38275886, 0.4162477, 0.49701932, -0.38512102, -0.11110155, 0.44990632, 0.7826069, -0.49104658]","(20, 4)",0.0001
36,"[1.7070818713424813, 2.045447346725296, 2.1959127831650487, 2.2534853510824338, 1.5010977209710923, -0.09454852088964627, -1.462718595695245, -2.1904910799420496, -1.6940501142298685, 0.09280371768140017]","[0.7472668932694579, 1.3334484247077523, 1.3787231343714197, 1.5065512159793388, 1.5002097430927646, 0.7509928494247101, -0.47004494560200133, -1.2276961228942445, -1.5766430184949274, -0.9057286049824048]","[0.76431398125409, 1.350962360717213, 1.4109129982724697, 1.5393682448272363, 1.5414982746710808, 0.7782968430829541, -0.472859885093131, -1.2555037111244478, -1.6182568121911989, -0.9375551482641106]","(1, 0, 1)",0.3425534683206761,0.7876214870080728,"[0.97889507, 1.2256185, 1.2283729, 1.2000984, 1.0855342, 0.6474838, -0.46794868, -1.0233302, -1.0792174, -0.6855162]","(10, 2)",0.0001
34,"[0.3332583930137314, -0.23995789038278237, -0.1122022786309056, 1.0596879630957488, 1.177080487643221, 0.06245018526644397, 0.3923453408792714, 0.7568536651749199, 0.8723372494612107, 0.7982448589461052]","[-0.46563829537462587, 0.5660775407010443, -0.5229966607333045, 0.14929605173574667, 0.9850399372278754, 0.6845605190292833, -0.27983007424819767, 0.5322603780033702, 0.4907234761732348, 0.6269755113745933]","[-0.43062015326744163, 0.518087453832128, -0.4676848002390628, 0.10898480816594967, 0.955997494695843, 0.6745444237654773, -0.2551398796930064, 0.49159600326023867, 0.4902714217330911, 0.6011888317051568]","(1, 0, 1)",0.34124817309414424,0.7515998463828267,"[-0.451833, 0.45608628, -0.52517587, -0.009539511, 0.80804855, 0.78362733, -0.28646013, 0.5524672, 0.6054642, 0.5463199]","(10, 2)",0.0001
35,"[0.8718212183723597, 0.23996180134999567, 0.5027677335543254, 0.256883532130359, 0.4565036352177868, 0.931794886936089, 1.1337187066863104, 1.2265590848314618, 0.9301097178148303, 1.398123321187097]","[0.6515019435710301, 0.5460702465868447, -0.03307332194342666, 0.5193043945260387, -0.002768665132660303, 0.45788796778411694, 0.7028509030440305, 0.782293255164295, 0.8354124572493142, 0.5124034891901732]","[0.6214285976745415, 0.5388358607258137, -0.03177863233173378, 0.5021401045686444, 0.002158529461814135, 0.4401648882877759, 0.68561432366893, 0.7615160654180859, 0.8153206555937479, 0.5021033191082993]","(1, 0, 1)",0.3206994579665767,0.7722410274672129,"[0.48977953, 0.64327306, -0.06585646, 0.3380925, 0.044328257, 0.3326941, 0.64792824, 0.67181444, 0.6882411, 0.40835223]","(10, 2)",0.0001
