seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[-0.12204885, -0.27541432, -0.230815, 0.10773601, -0.23793316, 0.6452967, 0.22525945, 0.064054854, -0.3947316, -1.3526322]","(100, 20)",0.0001,"[0.29152968525886536, -0.2870091199874878, -1.1491572856903076, 0.06071944162249565, -0.1448460817337036, -0.3978121876716614, 0.904833197593689, 0.8327196836471558, -0.22907865047454834, -1.6386393308639526]"
63,"[1.5183510787843302, 2.3937143568473545, 2.5425282829933686, 0.6313434942478507, 1.2377169419351737, 0.15686896505073666, 0.02589841203218335, -0.08404419849605466, -0.5951041478727183, -0.5938219288017121]","[0.3674664350881277, 1.2091005911550354, 1.3073123433941114, 1.2267656016689017, -0.4572692954768485, 1.1474626468344176, -0.5715000252853468, 0.21877239389736933, -0.16568949982967976, -0.43906850559469146]","[-2.9195616, -0.8895229, -0.3890249, 0.9572851, -2.7240746, 0.27619657, 0.6576745, -0.27247605, -0.24040727, -0.3274362]","(50, 10)",0.0001,"[0.3908979296684265, 1.0908384323120117, 1.0908384323120117, 1.0908384323120117, -0.6515772342681885, 1.0908384323120117, -0.7173811197280884, 0.3027307391166687, -0.34899866580963135, -0.3286503553390503]"
41,"[2.018166804797763, 0.26567622443363115, -0.9204996471380374, -1.0915786321448933, 0.09451775061611134, 0.31135675102023463, 0.4124258015615632, 0.7819182881710262, -0.06601750429049408, -1.0093415460830055]","[1.3271865846138056, 1.263780137117525, -0.7674561645015447, -0.6235334351298745, -0.48828947810733353, 0.5594706410122898, 0.05697221970524784, 0.2554370235623691, 0.4849397830804102, -0.4451383881405852]","[1.5150297, 1.747199, -1.6886895, -2.9702368, 0.20951207, -0.4733438, -0.6088951, -1.2520009, -1.4138047, 0.5097513]","(20, 4)",0.001,"[0.8686144948005676, 1.5585638284683228, -1.013573408126831, -1.0682260990142822, -0.29943060874938965, 0.4333093464374542, 0.05576140806078911, 0.29419460892677307, 0.47648322582244873, -0.5361626148223877]"
59,"[0.49104831094266865, -0.8048544390998214, -0.024775232916586676, 0.6952599203292249, 1.9603310146283763, 1.547732630353295, 0.6385240670328055, 0.6746580949314387, 0.3768624967118318, -1.8612362572169527]","[0.21564556273037777, 0.4825847242848753, -1.0545777689510576, 0.5001076047949539, 0.4999196948776145, 1.3560457713089817, 0.41113479830049615, 0.035423764061565666, 0.5012348020362117, 0.06843656085165595]","[0.061741777, 0.3105278, -1.0831089, 0.99197674, 0.75665957, 1.8917117, 1.0833533, 0.36867443, 0.75873697, -0.61663586]","(100, 20)",0.0001,"[0.23503512144088745, 0.6460921764373779, -0.8386662006378174, 0.3412708640098572, 0.5563915967941284, 1.0090744495391846, 0.6871914267539978, -0.08713436126708984, 0.14983361959457397, 0.17056703567504883]"
100,"[2.1864307920249866, 2.0639327647448313, 0.10103989620108295, -0.32115888400398673, 0.6268021476008949, -0.07151195867502458, 0.8386928412588855, 1.8947658704269013, 1.32160338274791, 1.6006802152055026]","[0.40413855311960933, 1.9534454876409275, 0.7179691398652029, -0.6667820171072979, -0.1333805752632981, 0.6821206985057431, -0.41946660150930654, 0.8798187854001369, 1.221053604743374, 0.3325845397625711]","[1.9421248, 1.3862271, -1.259478, -2.066673, -1.200034, 0.013132935, 0.29544798, 0.70356417, 1.0392556, 1.1013137]","(50, 10)",0.0001,"[0.3373473584651947, 2.0369720458984375, 0.8092536926269531, -0.6968586444854736, -0.07105734944343567, 0.8721822500228882, -0.06228756904602051, 0.9919271469116211, 1.2181307077407837, 0.37733080983161926]"
78,"[-1.786411214463587, -1.8354435815308485, -1.2823137440676615, -0.3262719890789862, -0.9540302994008945, 0.005323301806313019, 1.7321971066872592, 1.8547066062348914, 0.4942234998395071, -1.5670137052905864]","[-0.674789029189929, -1.1568657175248143, -0.9246396675123958, -0.5123314281704237, 0.0765796076367032, -0.9040122022991512, 0.5647762120183046, 1.3221754808728161, 0.804453646652284, -0.14498520812009277]","[-1.7158049, -1.0277289, -0.46268052, 0.24384446, 0.3673668, 0.28443098, 1.683482, 1.4151479, -1.2546653, 0.03725712]","(20, 4)",0.0001,"[-0.6611241698265076, -1.1162679195404053, -0.8622643947601318, -0.5089523792266846, -0.07398359477519989, -0.648897647857666, 0.3799721598625183, 1.5668213367462158, 0.791494607925415, -0.2388017475605011]"
99,"[0.8573606561197087, 2.6652747225376228, 2.553801771180517, 0.32072359499827585, -0.3090027839208697, -0.5610798974268356, -1.999372983436337, -0.9593340330067425, -1.5437940233328593, -1.4610008393222689]","[-0.5237227771612865, 1.2423107810850893, 1.6509003690628252, 1.1761509544410473, -0.5929358291054603, 0.06798005798962059, -0.5236989517524206, -1.5293754614183677, 0.1929094815182859, -1.4944723451869706]","[-0.5765571, 0.50973696, 0.54981357, 0.5983879, -0.32025495, -0.50823677, -0.51940054, 0.25583366, -0.9190754, -0.25421095]","(100, 20)",0.001,"[-0.4761635959148407, 1.3716951608657837, 1.8927994966506958, 0.9855649471282959, -0.5982534885406494, 0.18335822224617004, -0.6431453227996826, -1.3123098611831665, 0.18659326434135437, -1.2193958759307861]"
76,"[0.6284462840705773, 2.832357135252855, 0.7838583994273636, -2.4008159710761228, -1.276424057037398, 0.9441756474293519, 0.29418363882198173, 1.4631129432888905, -0.06437190747572186, -3.4901185360827855]","[-0.43410549494865536, 1.0343134684345907, 1.8900248873363792, -0.7766820192063408, -1.942701428483001, 0.2798901000575116, 0.9958580867254501, -0.39571301078534116, 1.3888995388129208, -0.9937534763617181]","[0.869296, 0.7786894, -0.22022985, -0.9955315, -0.6400376, -0.16629012, 1.2722784, 0.053452298, 0.19454513, -0.54358846]","(50, 10)",0.001,"[-0.3652220070362091, 1.0217784643173218, 1.6460418701171875, -0.8829518556594849, -1.9340146780014038, 0.19310620427131653, 0.8156735897064209, -0.22002670168876648, 1.500550627708435, -0.851604700088501]"
38,"[-1.5664670941876349, 0.15243834229327857, 0.983753246404777, -0.5436373409011893, 0.8970963991631993, -0.0952211032098027, 0.27406666345592756, 0.8660951032587624, -0.13081336499192697, 0.48545526971877406]","[-0.6373852795941993, -0.9784189595590161, 0.8215565121874283, 0.43617073690507185, -0.8732063213861858, 1.4038207891099832, -0.9518759748078693, 0.7639177765445756, 0.39430071579467296, -0.4594376747348362]","[1.2429823, 2.0564134, -0.04238113, -2.0386243, -2.4661248, -1.8593254, -0.43144852, 1.7887361, 2.1842022, 1.3257576]","(50, 10)",0.001,"[-0.6734433174133301, -0.8494534492492676, 0.746569037437439, 0.8832839727401733, -0.80864417552948, 1.4138225317001343, -0.7887672185897827, 0.8387866020202637, 0.6983823776245117, -0.6025177240371704]"
47,"[-1.7111665383308072, -1.3271955440327867, -0.8947412509936394, 0.5082325191167953, 1.644393493709316, -0.3910509437959291, -0.09076708797623323, 0.1277131193985414, -0.8578829534384619, 1.2438912514993927]","[-0.7075626129649617, -1.2383178577387128, -0.18791163965311308, -0.36299818443075543, 0.8383072300302331, 0.9557272923376828, -1.1881475828598107, 0.5363787333926099, -0.09622450215700934, -0.7452347904924969]","[-1.0469196, -0.8623182, -0.12336913, -0.3148311, 0.21900335, 1.0133636, -0.99406976, 0.21681716, -0.12915318, -0.73520327]","(100, 20)",0.0001,"[-0.5312473773956299, -1.2446978092193604, -0.18897747993469238, -0.4545809030532837, 0.9193766117095947, 1.0149455070495605, -1.0867559909820557, 0.546452522277832, -0.09430015087127686, -0.8430387377738953]"
