seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
9,"[1.0535837885700705, -0.33337499323282527, 0.4417810577920261, 0.948923149053327, 0.36515722379366855, -0.10678649677451507, -0.487601024154544, -0.5022262835813633, -0.1807011802858115, 0.5934190742511569]","[0.31845205231186396, 0.5267918942850353, -0.16668749661641263, 0.22089052889601304, 0.4744615745266635, 0.18257861189683428, -0.053393248387257536, -0.243800512077272, -0.25111314179068167, -0.09035059014290575]","[0.31756547630831544, 0.5264336353876088, -0.16589478897290147, 0.219643221974298, 0.4724659358978977, 0.1817280936348268, -0.05311931505506766, -0.2425591361032486, -0.2500197073580266, -0.08995338550012812]","(1, 0, 0)","[-0.119382806, -0.119417146, -0.119429626, -0.11944212, -0.11945526, -0.11942838, -0.11945174, -0.11945912, -0.11946609, -0.119463794]","(20, 4)",0.001
12,"[-0.30196539615998846, -0.5204297999904746, -1.0299437044179371, -1.1792305257118265, 0.29756035740400644, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363, 0.39494622170586235]","[0.4617243269339339, -0.15098269807999423, -0.2602148999952373, -0.5149718522089686, -0.5896152628559133, 0.14878017870200322, 0.43315816628164, 0.047149913155517115, -0.01553860117055715, -0.051518990937316815]","[0.4660615740937869, -0.1518978024982508, -0.2619260021269764, -0.5192861361574379, -0.5963650422694565, 0.14977768526393587, 0.43647615699072456, 0.047448522179228174, -0.01563672263166636, -0.05184430150299213]","(1, 0, 0)","[-0.40558475, -0.4055837, -0.40558463, -0.40557876, -0.40558088, -0.40558088, -0.4055842, -0.40558556, -0.40558594, -0.40558606]","(20, 4)",0.001
16,"[-0.6245099097802567, -0.3089978639429174, 0.7536673961942768, 0.9054790402800655, 1.3365528731324525, 0.405190973605965, -0.4980079955931193, -0.6478310878914668, -0.28095157020770156, 0.24144287527838498]","[-0.2680505616185862, -0.31225495489012833, -0.1544989319714587, 0.3768336980971384, 0.45273952014003277, 0.6682764365662263, 0.2025954868029825, -0.24900399779655966, -0.3239155439457334, -0.14047578510385078]","[-0.2456649082112178, -0.2864863246672791, -0.14175197155184802, 0.34525608204678093, 0.41572835782081563, 0.6163237170935822, 0.18657321927047732, -0.22897908661680186, -0.2981913958810953, -0.12931765957459962]","(1, 0, 0)","[-0.21304873, -0.21304056, -0.21300736, -0.21299836, -0.21300131, -0.21301904, -0.2130354, -0.21302414, -0.21299744, -0.2130034]","(10, 2)",0.001
10,"[-0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808, 0.05744250467631523]","[0.0022222270335197636, -0.43972592896538265, -0.607592255335256, 0.14588558432015686, 0.31234577475949227, -0.034283141975384596, -0.2111877922839046, -0.07666618672728126, -0.4924227944692562, -0.4595518603624404]","[0.0022155474388449443, -0.43840329611503276, -0.6076355153780115, 0.1451747680599566, 0.311021677221135, -0.03410108744621177, -0.21007307513017182, -0.07626124897398297, -0.49012371208429384, -0.45828080510811414]","(1, 0, 0)","[-0.7741726, -0.77448934, -0.7856974, -0.78730035, -0.79121333, -0.79540133, -0.77520764, -0.78660256, -0.78844774, -0.78747624]","(50, 10)",0.001
8,"[-0.4401514148881177, -0.024561581623280204, 0.7405220686836437, 1.0681658707242803, 0.7429331896861169, -0.3147962739292587, 0.24303870963719287, -0.7287453695404429, 0.2788524093663002, -0.6593856126308584]","[-0.09908623358203203, -0.22007570744405885, -0.012280790811640102, 0.37026103434182184, 0.5340829353621401, 0.37146659484305844, -0.15739813696462934, 0.12151935481859644, -0.36437268477022144, 0.1394262046831501]","[-0.09913016682049341, -0.22026061102073013, -0.012286600934896417, 0.37043064897693123, 0.5354740800829648, 0.3727831994574585, -0.15761386961911655, 0.12162075536859222, -0.36435606027035705, 0.13914212804847853]","(1, 0, 0)","[-0.12316108, -0.11405133, -0.11796245, -0.11497545, -0.07801534, -0.07225339, -0.08983165, -0.09100497, -0.078838006, -0.08541916]","(20, 4)",0.001
27,"[-0.142314740265156, -0.7923923055134476, -0.7125924892489345, -0.5109942382125774, -0.6099117844266018, -0.06899034737030507, 0.1682258565761997, 1.0297486894453376, -0.12860958846455162, -0.2746983258592543]","[0.44272326997736855, -0.071157370132578, -0.3961961527567238, -0.35629624462446724, -0.2554971191062887, -0.3049558922133009, -0.034495173685152536, 0.08411292828809985, 0.5148743447226688, -0.06430479423227581]","[0.47199361919512284, -0.07569442558048495, -0.4216342057852036, -0.37952243787074097, -0.2722517509090628, -0.32518071836815476, -0.03676006641184376, 0.08963443643402084, 0.5489944166300516, -0.06837615977217588]","(1, 0, 0)","[0.004056031, 0.0043233745, 0.004835413, 0.0046703443, 0.004274697, 0.0044926303, 0.0032616546, 0.002731598, 0.004860267, 0.0039822618]","(20, 4)",0.001
23,"[-0.4251502998117827, 0.499133241817754, 1.059718039855774, 0.002135046129531526, -0.019061008738412544, 0.7918936459429138, 0.30185213135720357, -0.0019444282201974694, -0.978823083679371, -1.0724608580358521]","[-0.37210314225638946, -0.21257514990589135, 0.249566620908877, 0.529859019927887, 0.001067523064765763, -0.009530504369206272, 0.3959468229714569, 0.15092606567860178, -0.0009722141100987347, -0.4894115418396855]","[-0.3756619482890263, -0.2146144891154644, 0.25166013209827526, 0.5352434529738022, 0.0010757244956909708, -0.009603724512129853, 0.3989839783794717, 0.15202448313885208, -0.0009792540187726685, -0.4929414715625302]","(1, 0, 0)","[0.237147, 0.23601435, 0.2361342, 0.23591222, 0.23621912, 0.23620969, 0.23632234, 0.23610204, 0.23564455, 0.23395784]","(20, 4)",0.001
24,"[0.3927842817828444, 0.7960721468640088, 1.103744892837852, 1.198118539207972, 1.258525583039508, 1.2379182487662994, -0.17568764307431428, 0.6760938432449854, 1.0171605791082983, 0.4806491041677463]","[-0.5564652771732745, 0.1963921408914222, 0.3980360734320044, 0.551872446418926, 0.599059269603986, 0.629262791519754, 0.6189591243831497, -0.08784382153715714, 0.3380469216224927, 0.5085802895541491]","[-0.5487924953451098, 0.19276590645406508, 0.3911141564498256, 0.543666482476427, 0.5920603089667669, 0.6241151079778854, 0.6160035200271924, -0.0870475363197972, 0.33478424275730795, 0.5046996334194493]","(1, 0, 0)","[0.06883168, 0.018007886, 0.036408838, 0.045544375, 0.06865452, 0.11685453, 0.17876199, 0.19498725, 0.19950974, 0.089709684]","(20, 4)",0.001
26,"[0.052411982842556104, -0.7161625812065515, 0.31865390450292996, -0.20084999162255002, 0.47662740982264135, 0.7484170167629451, 1.159844858224097, 0.09239750987608464, -0.8927166412898053, -0.5081482701154394]","[-0.2000791463826469, 0.026205991421278052, -0.35808129060327576, 0.15932695225146498, -0.10042499581127501, 0.23831370491132067, 0.37420850838147257, 0.5799224291120485, 0.04619875493804232, -0.44635832064490266]","[-0.2063884825324886, 0.02702076012253424, -0.369203676137564, 0.16391739163210864, -0.10326830778850857, 0.24494074313865075, 0.3850009232983777, 0.5980841557258888, 0.047530183416605726, -0.45905651533339686]","(1, 0, 0)","[0.29429218, 0.29430863, 0.29431146, 0.29429418, 0.29429135, 0.2942931, 0.2942905, 0.29430145, 0.29430753, 0.29430816]","(50, 10)",0.001
22,"[0.08522359471039528, 0.8558801565157614, 0.8274915667407973, 1.369755171027376, 0.5550616633180699, -0.45765622770481046, -0.4420918519853493, -0.9088306727658249, -0.08035493715010955, -0.556470104504519]","[0.24916291794803178, 0.04261179735519764, 0.4279400782578807, 0.41374578337039863, 0.684877585513688, 0.27753083165903497, -0.22882811385240523, -0.22104592599267464, -0.4544153363829124, -0.040177468575054776]","[0.2615405739231516, 0.044713053728193425, 0.4490641321175291, 0.4348256918311875, 0.7219752102740147, 0.2923033825002979, -0.24061186237983567, -0.23251413791179373, -0.47855478931298956, -0.042251536304231264]","(1, 0, 0)","[-0.021704074, -0.021579675, -0.021802299, -0.021865055, -0.021987602, -0.021974277, -0.022041082, -0.021917231, -0.021919891, -0.021921024]","(50, 10)",0.001
