seed,arma_Test,arma_True,arma_ARMA,arma_AR,arma_Informer,arma_Informer_para,arma_Informer_lr,arma_RNN,FAR_Test,FAR_True,FAR_ARMA,FAR_AR,FAR_Informer,FAR_Informer_para,FAR_Informer_lr,FAR_RNN,bilinear_Test,bilinear_True,bilinear_ARMA,bilinear_AR,bilinear_Informer,bilinear_Informer_para,bilinear_Informer_lr,bilinear_RNN,lin-non1_Test,lin-non1_True,lin-non1_ARMA,lin-non1_AR,lin-non1_Informer,lin-non1_Informer_para,lin-non1_Informer_lr,lin-non1_RNN,STAR_Test,STAR_True,STAR_ARMA,STAR_AR,STAR_Informer,STAR_Informer_para,STAR_Informer_lr,STAR_RNN,non-non_X_Test,non-non_X_True,non-non_X_ARMA,non-non_X_AR,non-non_X_Informer,non-non_X_Informer_para,non-non_X_Informer_lr,non-non_X_RNN
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.603661192746527, 1.065989013411405, -0.38113540102854016, 0.48351299502932427, 0.92305202502943, 0.35068888923646024, -0.11358450702084184, -0.4871731658125731, -0.49227579074375694, -0.17064740347953306]","[0.6819054921350081, 1.03770334510464, -0.3332778066143058, 0.4243653261474749, 0.9441402978984328, 0.27722701411310446, -0.0961951393570062, -0.4900804584276328, -0.5321164398392161, -0.18594081144125008]","[0.8347122, 1.0334237, -0.19879133, 0.28950953, 1.1055226, 0.54750746, -0.23018464, -0.67672306, -0.50792843, -0.09089628]","(10, 2)",0.0001,"[0.6603814363479614, 0.9828792810440063, -0.029709547758102417, 0.3859955072402954, 1.0069361925125122, 0.44741201400756836, -0.12131564319133759, -0.594633162021637, -0.541086733341217, -0.26568883657455444]","[-1.8415811206218933, 0.5922450457273336, 0.32917681521017583, 0.3364256005422158, 0.34454348220673325, -1.1596262686018068, -1.0597086803914166, -1.1738817925168301, -0.11727945426338207, -0.2628093309481232]","[-0.6529917111191108, -0.930787592129806, -0.35593007861048986, 1.473958134461062, 0.16263005292369762, 0.4681950945465811, -0.9899461172440548, -1.082413231903958, -0.6227360892706424, -1.0390889786783477]","[-0.04543512450042986, -0.9576235866559553, -0.7023522906980949, 0.6755796918993678, 0.1886243760219186, 0.23252365832515726, -0.2063833207880043, -0.9761667835132685, -0.7407588610995116, -0.5036604135363272]","[-0.04543512450042986, -0.9576235866559553, -0.7023522906980949, 0.6755796918993678, 0.1886243760219186, 0.23252365832515726, -0.2063833207880043, -0.9761667835132685, -0.7407588610995116, -0.5036604135363272]","[-0.59290034, -1.1239729, -0.77232647, 1.337867, 0.09982449, 0.74417907, -0.8863827, -1.2918912, -1.0424854, -0.64073306]","(20, 4)",0.0001,"[-1.1832152605056763, -0.44247156381607056, -0.3546682298183441, 0.7291343212127686, 0.19117984175682068, 0.33380284905433655, -0.36552444100379944, -1.0739803314208984, -0.5310396552085876, -1.144585132598877]","[0.9338795692686809, 1.6946758087837759, 2.175526860369674, 2.0464070499816187, 2.1139266498146334, -0.10380288451334957, 0.1396925174751884, 0.7350514822019169, -0.032682393861991815, -0.33346269764302927]","[0.6860856861883254, 0.7065415485737663, 2.178688647801071, 1.0827432597272466, 2.491059607212273, 0.4697811416253586, -0.3089236171140397, 0.32548848464258684, 0.7228321840861462, -0.3817524734025761]","[0.5940234609766502, 0.8120419152989107, 1.4764682966533726, 1.6343864317734957, 1.4265156536507255, 1.6023332805368464, -0.7417722855150929, 0.6726356926100976, 0.5743249687137597, -0.15442857049258962]","[0.6143233507421307, 0.735247486407297, 1.4141013605380635, 1.6441116770750122, 1.437529976138799, 1.6481819524247043, -0.5900064522465847, 0.6437684713446157, 0.7387207894283543, -0.23371942822096664]","[0.27840534, 0.88172305, 1.8152266, 2.5058608, 1.4138479, 2.1710637, -0.5171345, 0.1872549, 0.616848, -0.2391851]","(20, 4)",0.0001,"[0.6095134615898132, 0.9041500687599182, 1.724770188331604, 1.781129240989685, 1.4044580459594727, 1.7677767276763916, -0.40989571809768677, 1.2257554531097412, 0.30203133821487427, -0.42691850662231445]","[0.4790694472187658, 0.14748600276961246, 0.013078107013366438, -0.6823006969357347, 0.18034277104552407, 0.6906303759089831, -0.3830815524200366, 0.8948828477193764, 1.6748009987209729, 0.3741481223674122]","[0.6777868387480953, 0.2592790244574933, 0.07999184123385973, 0.008777777420348626, -0.10235561960870146, 0.13013057556200658, 0.5023952010489918, 0.200493764257007, 0.6885295234755429, 1.3237662108018848]","[0.7613091954357942, 0.42341105197898776, 0.26724399241510577, 0.20375509850614076, -0.12479610782278219, 0.28182699147679213, 0.5221283595122318, 0.017000625781087186, 0.6170533064998713, 0.9846576874536147]","[0.7613091954357942, 0.42341105197898776, 0.26724399241510577, 0.20375509850614076, -0.12479610782278219, 0.28182699147679213, 0.5221283595122318, 0.017000625781087186, 0.6170533064998713, 0.9846576874536147]","[0.8839239, 0.29130638, 0.17808339, 0.11355035, 0.027105741, 0.35489464, 0.6412162, -0.0216273, 0.7968117, 1.2519178]","(50, 10)",0.0001,"[0.8627645373344421, 0.249823659658432, 0.10434956848621368, 0.02005797252058983, 0.013046187348663807, 0.01639707013964653, 0.49848926067352295, 0.12208220362663269, 0.6913052797317505, 1.1334149837493896]","[-0.2603201626605943, -0.26918484681960875, 0.8687671688020707, 0.24895262314658018, -0.8164093803898167, -1.1712585970069722, 0.502081811325724, 0.9194539359862609, 0.09802259910481054, 0.6283406959711528]","[0.09069302384877384, -0.20153860952221406, -0.0607416033319318, 0.580981672673426, -0.1411192251605191, -0.41928601565363055, -0.493112150377368, 0.5478170432168415, 0.35429033366966683, -0.11833160665445015]","[0.17533552722365808, -0.2972817811386229, -0.06874470703365188, 0.7243055583835015, -0.14613105798551992, -0.5783121771306732, -0.588979599841038, 0.6612460683706383, 0.3494466889215732, -0.16118749135460103]","[0.17533552722365808, -0.2972817811386229, -0.06874470703365188, 0.7243055583835015, -0.14613105798551992, -0.5783121771306732, -0.588979599841038, 0.6612460683706383, 0.3494466889215732, -0.16118749135460103]","[0.124330275, -0.3420087, -0.16289827, 0.6251258, -0.20409437, -0.52270675, -0.36972094, 0.4783323, 0.66403997, -0.27454382]","(10, 2)",0.0001,"[0.17184056341648102, -0.4262194335460663, -0.30196693539619446, 0.5814141035079956, -0.11985006928443909, -0.3795192539691925, -0.34319189190864563, 0.6644232273101807, 0.5372515916824341, -0.23501500487327576]","[0.4630727650093131, 1.257922961119379, 0.8723126426318613, -0.4413094486618728, -0.9899173996014888, -1.5584221093523196, -1.2653805431175935, 0.4241806750970275, 0.7076542580509134, 0.08974164895683787]","[-0.06273349493126312, 0.2853220443441925, 0.03474970707061156, 0.1173703512216562, -0.706342939577438, -0.2217173705071518, -0.318388760416069, -0.6792739248995219, -0.3786474225361844, -0.5178811195561748]","[-0.18636965597328864, -0.1185554129691613, 0.07599794073883487, -0.07607818399101113, -0.3846290521360477, -0.4492522751452304, -0.5850163746397199, -0.4720667174408508, -0.05091719132000794, -0.08625669562179017]","[-0.23043977556990683, -0.1140924376297066, 0.07425378698480431, -0.014118257689813896, -0.32378313336168, -0.4534551896154355, -0.589050206746723, -0.5213519003789184, -0.12138819000404949, -0.05324749096263909]","[-0.19689861, -0.008558661, -0.15195042, -0.05002383, -0.38207495, -0.43227652, -0.5177634, -0.3282443, 0.114846505, -0.066090904]","(10, 2)",0.0001,"[-0.007449932396411896, -0.10592062026262283, 0.004838623106479645, -0.40161994099617004, -0.2280358374118805, -0.44755467772483826, -0.6872777342796326, -0.5575223565101624, -0.04380841553211212, -0.08070918172597885]"
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.0035691338230353087, -0.44419745582429715, -0.598620761356551, -0.05472327712336894, -0.42939307392136883, -1.1680595179187054, -0.7751929225222377, -0.512905080354563, -0.9437816048639056, -0.7121834403625458]","[-0.0032654801847282755, -0.4266235107710733, -0.6408991393749053, -0.052742915677973456, -0.41978965087816833, -1.1990435808749882, -0.7850271961274151, -0.4983711763874763, -0.9841508216532652, -0.7616276595227442]","[-0.13273257, -0.51794565, -0.8487104, -0.17818849, -0.3885275, -1.1717476, -0.7617819, -0.4056717, -0.8870647, -0.7440838]","(10, 2)",0.0001,"[0.023276209831237793, -0.3753323256969452, -0.7252163887023926, -0.011881828308105469, -0.36184513568878174, -1.1744749546051025, -0.7842442989349365, -0.5100979208946228, -0.9477639198303223, -0.764419674873352]","[0.2816253413466242, -0.04814569789076484, -1.5168289709119975, 1.4572635929031479, 0.1796077911793114, 3.5273707540248975, 0.5750346847294878, 2.3852789173566795, 1.2232255041113924, 2.230773645338478]","[-0.7089567595629462, 1.6661350452451005, -0.4260848888865466, -1.0450099520163252, 1.02586404186442, 1.6622368137787604, 0.7633303545080459, 3.2262352718771283, -0.4481282082574903, 1.4756520386057819]","[-1.1064186112829866, 0.7927275499126568, -0.04885430553715578, -0.42065076022885883, -0.4516932701132971, 1.084068019138455, 0.755771842135932, 2.1669152886167344, 0.400379650208827, 1.7172253651174]","[-1.12659549983462, 0.8127179688403611, 0.0590296610682112, -0.45359936794328914, -0.5047125448366452, 1.0965571806245964, 0.799797454302115, 2.1725461527578704, 0.4473144668650977, 1.6188491465351167]","[-0.014415879, 2.1783075, 0.6726981, -0.46446526, 0.6643959, 2.9433827, 1.0371066, 2.3090703, 0.7727786, 2.3590944]","(50, 10)",0.0001,"[-0.19926704466342926, 1.5068682432174683, -0.14595909416675568, -0.8089801073074341, 0.3378426432609558, 1.51263427734375, 0.7609127163887024, 3.9308276176452637, -0.12842895090579987, 1.8986769914627075]","[3.585658961726991, 4.523095997101683, 2.9833721793510595, 0.7788183963397934, 0.8214028497102124, -0.4687664898806385, -1.3559117556279756, -1.10396430462752, -0.9020104269216656, -0.135261357415558]","[2.6250808447726834, 3.9952713060886733, 3.7191612176035336, 0.02622529725234135, 1.058772422977465, 0.19452861626337062, -0.41056553868125745, -0.5097259619391021, -0.5210923642734544, -0.469668212629195]","[1.9355483049307491, 2.8874356651314494, 3.4186299694022146, 1.6103645042816312, 0.20708673544784595, 0.903603767084588, -0.7294215737636951, -0.8688847983753096, -0.5504985264119235, -0.4956518594665186]","[1.8308690508125902, 2.843950491165422, 3.3935080665768695, 1.6835174089913711, 0.2837304905586602, 1.045445857053595, -0.5926794007020948, -0.9207395634965427, -0.484621052163282, -0.5225670381373582]","[2.295816, 3.2249053, 3.3783047, 1.1454688, 0.046459235, 0.7307232, -0.38477427, -0.55627835, -0.50096077, -0.40886486]","(10, 2)",0.0001,"[2.6441214084625244, 3.5921146869659424, 3.853208303451538, 0.9522382616996765, 0.644774854183197, 0.7404088377952576, -0.39111435413360596, -0.20273220539093018, -0.456374853849411, -0.4544212222099304]","[0.9382555952073535, 0.8163158632971252, 0.2733102742305713, -0.7502463814560577, -0.7324827484609948, -0.401900146954121, 0.6043960183145209, 0.160529033210435, -0.7386100444842908, 0.35509934095161166]","[0.07789453067143601, 0.8392383782883652, 0.40842065249532444, 0.14578254427270798, 0.026310727143294077, -0.07835760492067911, -0.14861018522432975, 0.585707180441257, 0.17065274504653477, 0.04407438797054386]","[-0.056669122005302164, 0.649208679706133, 0.5864712557445592, 0.30532943340675484, -0.22490473247072043, -0.21749312397721465, -0.04670844581036357, 0.4755603272359102, 0.24550845888447448, -0.22105221939502664]","[-0.056669122005302164, 0.649208679706133, 0.5864712557445592, 0.30532943340675484, -0.22490473247072043, -0.21749312397721465, -0.04670844581036357, 0.4755603272359102, 0.24550845888447448, -0.22105221939502664]","[0.07018058, 1.0357139, 0.3468657, 0.14453937, 0.0742395, -0.078693375, -0.111599594, 0.6906579, 0.11294511, 0.040578797]","(10, 2)",0.0001,"[0.13404907286167145, 0.8931294679641724, 0.33786994218826294, 0.2464575171470642, 0.0008887872099876404, -0.05990191549062729, -0.035568371415138245, 0.5580243468284607, 0.1733567714691162, -0.054966747760772705]","[1.4606367959471858, 0.22737831143658516, -0.461573397720515, 0.49334085863514693, -0.5978514560635858, -0.9435169612422316, -0.007793853194127454, 0.9252794227174396, 0.28833175226926877, -0.6224005234967024]","[0.7995928171081967, 1.2068312171573785, -0.4669885995953571, -0.04344973883467701, 0.3177391865927278, -0.5175804669345193, -0.30731994327807927, 0.14898365971569033, 0.5654594093590877, -0.1097305583908569]","[0.636654696088985, 0.8943969559541017, -0.15324837763514113, -0.23016755439341746, 0.5583901351013194, -0.6764270474400115, -0.4661381067329477, 0.2123592136808146, 0.5827398076286485, -0.07634489510859155]","[0.636654696088985, 0.8943969559541017, -0.15324837763514113, -0.23016755439341746, 0.5583901351013194, -0.6764270474400115, -0.4661381067329477, 0.2123592136808146, 0.5827398076286485, -0.07634489510859155]","[0.6214589, 1.096141, -0.21085675, -0.40381134, 0.5000269, -0.53454286, -0.42621434, 0.023250517, 0.6145277, -0.23383822]","(20, 4)",0.0001,"[0.7411775588989258, 1.1866111755371094, -0.4131071865558624, -0.2728046476840973, 0.3094722628593445, -0.41365739703178406, -0.405371755361557, 0.04682201147079468, 0.6802560687065125, -0.19456246495246887]","[-0.38261346218354486, 0.5614811635084341, -1.6427097371364445, 0.06919015663649243, 0.39899195533422255, -0.03781415008487148, -2.1166666815467567, 0.480823196037364, -0.34095540745802894, -0.769153058480804]","[0.9853044755386005, -0.5930446003653772, 0.01587314698311096, -0.71803041045423, -0.7870297283960191, 0.37299403923136876, -0.7932223941186466, -0.5328986479311159, 0.01429242658372043, -0.46016489742570443]","[-0.13696599486470945, -0.26088370712149594, -0.04546195936238953, -0.5310146383899598, -0.09288169006888618, -0.11336048224652719, -0.19607625200900694, -0.5956560053663523, -0.0004717269889610298, -0.2793959097330311]","[-0.09641901938287435, -0.2446351009615557, -0.06095720691559811, -0.48802193850286735, -0.1578003994196359, -0.09384418265809007, -0.17771720795153237, -0.5785773139578039, -0.08028387895062009, -0.23683446477615172]","[0.098579824, 0.0006507486, -0.12690535, -0.99811715, -0.24240255, -0.14603859, 0.057379726, -1.0172695, -0.27773762, -0.3001031]","(10, 2)",0.0001,"[-0.006753817200660706, -0.13036952912807465, -0.02424713969230652, -0.8075262904167175, -0.3377290368080139, -0.10177619755268097, -0.14418067038059235, -1.0609376430511475, -0.1531214863061905, -0.1585342139005661]"
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.764220586097548, 0.44963419353551115, 1.0415530004092177, 0.7671928125231218, 1.189607821810355, 1.015661161857155, -0.2586734808218796, -0.6581747057132805, 0.40981037610715154, 0.28888995032245657]","[0.7776230132762922, 0.4764294355458374, 0.9799463223642321, 0.8065123626876823, 1.1659882105357897, 1.0554568893788434, -0.2524565670465543, -0.6443586757975855, 0.4691597766233035, 0.3168302547307194]","[0.68617857, 0.5406156, 0.95513386, 0.8949686, 1.1995733, 1.2864072, -0.18892467, -0.7505756, 0.3608141, 0.40738663]","(10, 2)",0.0001,"[0.8679314255714417, 0.5596821308135986, 1.105305790901184, 0.9111087918281555, 1.171510100364685, 1.0733542442321777, -0.16819746792316437, -0.7752198576927185, 0.3583697974681854, 0.3976583182811737]","[-1.5986346778189857, -1.5878727112076145, -0.3710977697976879, -2.4186566698484278, -3.552475869512599, -1.732154037626077, -0.597411283263584, -2.973990185624549, -0.8000016721233301, -2.0611279138588667]","[-1.1017200406655927, -0.6338046640344206, -0.8324588212256585, -1.6670785833038866, -0.2915518472141543, -1.780797362839643, -0.89087529972413, -1.4738677011738721, -0.6918832762808138, -2.344075685770059]","[-1.7393648485193511, -0.8972954369556125, -1.1095355680795604, -0.7758759501798655, -0.5482434785637769, -2.3503242789818426, -2.194561011240364, -0.5524339335867768, -0.8079893183385773, -1.9361566880344063]","[-1.7393648485193511, -0.8972954369556125, -1.1095355680795604, -0.7758759501798655, -0.5482434785637769, -2.3503242789818426, -2.194561011240364, -0.5524339335867768, -0.8079893183385773, -1.9361566880344063]","[-1.2174388, -0.8188008, -0.83558327, -1.3800334, -0.37746054, -0.9908269, -1.2164739, -0.6929627, -0.35258946, -2.1239018]","(20, 4)",0.0001,"[-0.8769864439964294, -1.0808122158050537, -0.7555959224700928, -2.059978485107422, -0.42429816722869873, -1.3217699527740479, -1.4054210186004639, -1.6523375511169434, -0.7328932285308838, -2.346754550933838]","[-1.0421199614461716, -1.06227483740318, -0.09568460315589977, 0.125122108706078, -0.5455147225443228, -0.07587035695461306, 0.03678084910906564, -0.9218526241429267, -0.8814239649425923, 0.160028627615232]","[-0.49260064246221835, -0.5094871144583205, -0.5139250359191574, 0.14126832988732688, 0.053477819141498274, -0.40887400702314225, 0.11593409365801385, -0.022641859492065212, -0.4960617928714119, -0.4635593416839517]","[-0.757304636278324, -0.5514070347191143, -0.5708044382276611, 0.3495298339948229, 0.07698423103884589, -0.4744736604897507, 0.3667710859735346, 0.039197895361056084, -0.8373370711814143, -0.2788109142480204]","[-0.757304636278324, -0.5514070347191143, -0.5708044382276611, 0.3495298339948229, 0.07698423103884589, -0.4744736604897507, 0.3667710859735346, 0.039197895361056084, -0.8373370711814143, -0.2788109142480204]","[-0.6190086, -0.7477656, -0.55370224, -0.10884139, 0.055264108, -0.46176153, 0.14420167, -0.030982815, -0.78325564, -0.43016356]","(50, 10)",0.0001,"[-0.3383876383304596, -0.49974116683006287, -0.4346133768558502, 0.20835407078266144, -0.16385234892368317, -0.3819907009601593, 0.22396603226661682, -0.24452313780784607, -0.4316555857658386, -0.4917539060115814]","[-0.6539517463292907, 0.19494742189369224, 0.7386958391277436, 0.7841150795935042, -0.2194102815938615, 0.9833781791408879, 1.5106083951658866, 1.469670841068828, 1.2336588425314932, 0.7525883497827991]","[-0.1585914362854329, -0.2042849547812719, 0.17716695623961634, 0.5270052627226659, 0.42511026876243013, 0.09799822911885778, 0.8836379175209501, 0.9518501875021033, 0.8689045351645489, 0.6833522736371161]","[-0.24482236605896038, -0.19641851439882657, 0.2688557170332889, 0.5665419675653623, 0.5916633338183386, 0.04260836383726707, 0.6995619686669315, 0.9888897769185332, 0.96826513401073, 0.839925533622761]","[-0.24482236605896038, -0.19641851439882657, 0.2688557170332889, 0.5665419675653623, 0.5916633338183386, 0.04260836383726707, 0.6995619686669315, 0.9888897769185332, 0.96826513401073, 0.839925533622761]","[-0.3414896, -0.21071614, 0.266001, 0.5521692, 0.57377326, -0.1057643, 0.7678761, 1.0717876, 1.0296435, 0.9482794]","(20, 4)",0.0001,"[-0.1307123303413391, -0.13833150267601013, 0.1451607644557953, 0.5768576860427856, 0.4083869159221649, 0.10160306096076965, 0.8756403923034668, 1.1472625732421875, 0.994868278503418, 0.6966278553009033]","[1.2405604619475985, 1.6813845897981974, 1.0046940234555881, 0.2302147359282367, 0.1881250321154627, 1.0275350795074978, 0.3976556394157881, 0.7523541552368622, 1.4678888247959865, 1.0874906872104508]","[0.40109263146203267, 1.159063091713615, 1.269990488530659, 0.23077616716588212, 0.022740781678631212, 0.10150463677753416, 0.8916506320467891, -0.20723076669762922, 0.5576660983064755, 1.335781330235139]","[0.6145477508659963, 0.7935502501122014, 1.0600490068096444, 0.40897887557963203, 0.10008206759858897, 0.20860411699345066, 0.8176490746372262, 0.044946410294388006, 0.6752881702192974, 0.9505848100278453]","[0.5934860295565756, 0.7767331351019889, 1.0140967581497566, 0.48040000159085905, 0.15192020706478923, 0.26700794231159763, 0.8180797094942797, 0.08234787482749217, 0.6477429829301985, 1.0043048467396516]","[0.25011855, 0.90099317, 1.1876231, 0.5108881, -9.62615e-06, 0.21231659, 0.8550452, 0.07083893, 0.4350456, 0.9172979]","(50, 10)",0.0001,"[0.4955216348171234, 1.0300910472869873, 1.2835798263549805, 0.2928101420402527, 0.010497182607650757, 0.08089324086904526, 0.965828537940979, -0.20261043310165405, 0.6737719774246216, 1.2200795412063599]","[-0.24182805468071536, 1.0563651129923464, 0.14690214237799942, 0.1478676699783893, -2.3681458132052473, -0.8471097882697225, -0.36070284542310216, -0.6376881147026173, 1.3782403711849986, -0.5334430187288783]","[-0.5004117619383223, 0.2814716361787024, -0.08338836845964155, -0.41272574486748287, -0.7611666300185076, -1.0863270788490609, 0.7521910001590499, -0.7432784104916573, -0.355146179549238, 0.21633281445873895]","[-0.09283430291217573, -0.27092888630515566, 0.1579702627211239, -0.2293097595025219, -0.11655385519859292, -0.8774956576919711, -0.21979961390881267, -0.26922487813297585, -0.33533608868704484, 0.2662619810009583]","[-0.09658687034000507, -0.2866759090831097, 0.14233294333824764, -0.23225905764753108, -0.15140690946694155, -0.8730562416847535, -0.2166550972374764, -0.21204864961429493, -0.33436592365979534, 0.26656739000521995]","[0.1318483, -0.18730623, 0.1496962, -0.118437216, 0.008651059, -0.67088795, -0.2778221, -0.16272418, -0.30602553, 0.19792661]","(50, 10)",0.0001,"[0.031320035457611084, -0.1986730843782425, 0.13097646832466125, -0.18926365673542023, -0.07736177742481232, -1.0884169340133667, -0.1996944695711136, -0.18027694523334503, -0.45923030376434326, 0.08200984448194504]"
