seed,True,ARMA,Informer,Informer_para,RNN
98,"[0.656405584432002, -1.207656509505517, 0.5993212325163169, 0.583045848020239, -0.9246790935825699, -0.8244523844859435, 0.08045860789221096, 0.5647606216955552, 1.0008906723266189, -0.033911890927044164]","[0.89238032476624, -0.27793087143189765, -1.1163081610048424, 1.157745815952938, -0.004825251160305022, -0.9336506949052469, -0.18801392077725249, 0.3304851928203383, 0.3611302555446967, 0.6063882360290964]","[-0.5007798, 1.4326955, 0.32386842, -0.4248448, 0.01219568, -0.1068203, 0.30475706, 0.03647387, -0.59535307, -0.5094669]","(10, 2)","[0.8506031632423401, 0.012348592281341553, -0.8931732773780823, 1.3886961936950684, 0.09929269552230835, -0.8903838396072388, -0.21622782945632935, 0.25472718477249146, 0.6309850811958313, 0.4254332184791565]"
94,"[-0.3082293840259648, -0.2968024086668181, 1.6957894015159427, 1.9099167868751448, 0.6237615270226489, 0.2904857733246174, 0.9414048756159239, 0.8087004644333763, -0.9667144195959287, -2.3180183124851075]","[-1.1856597651624392, 0.443109902812491, -0.4442051164897517, 1.7620976785048408, 0.710605119389977, -0.03993464772054828, 0.279485543295708, 0.6966531719473236, 0.2813386942711495, -1.1166451915279327]","[-0.43475512, 1.0106515, -0.076203115, -0.8853146, 0.8011202, 0.76833534, -0.12891331, -0.1448206, -0.002785441, 0.32210127]","(20, 4)","[-1.0905811786651611, 0.8093613982200623, -0.3672315180301666, 1.4652687311172485, 0.6079756617546082, -0.17599201202392578, 0.1194961816072464, 0.8962500691413879, 0.26975494623184204, -1.034576416015625]"
100,"[2.1864307920249866, 2.0639327647448313, 0.10103989620108295, -0.32115888400398673, 0.6268021476008949, -0.07151195867502458, 0.8386928412588855, 1.8947658704269013, 1.32160338274791, 1.6006802152055026]","[0.40413855311960933, 1.9534454876409275, 0.7179691398652029, -0.6667820171072979, -0.1333805752632981, 0.6821206985057431, -0.41946660150930654, 0.8798187854001369, 1.221053604743374, 0.3325845397625711]","[3.0797665, 1.9968511, -0.57457215, -1.8937819, -1.8368149, -0.40493143, -0.65460914, -0.11701487, 0.15480193, 0.606559]","(50, 10)","[0.3310951888561249, 2.0038974285125732, 0.558273434638977, -0.7364889979362488, -0.21602270007133484, 0.6456856727600098, -0.33499640226364136, 0.7821465730667114, 1.1895371675491333, 0.22373878955841064]"
18,"[1.0769444597298259, 1.1508178764839934, 1.1314012156091628, 0.6194191172025649, 0.19605842238177193, -0.03716624271710068, 0.07530562557817477, 1.092841581901716, 1.1164179633444207, 0.13578519206867418]","[0.4117106664196146, 0.7917234443298445, 0.515647929305666, 0.6743155056413788, 0.11438905252983732, 0.06183295655714788, -0.07086837975205845, 0.11045460674032039, 0.9610033282279935, 0.4104029711079279]","[0.12374155, 1.3431866, 1.3300636, 2.010553, 1.0762886, -0.17430426, -0.051018573, -1.29564, -0.21656176, 0.17706543]","(100, 20)","[0.44272667169570923, 0.9714948534965515, 0.7471729516983032, 0.6750674247741699, 0.18722641468048096, 0.17569667100906372, -0.0735090970993042, 0.18502599000930786, 1.1389433145523071, 0.688232421875]"
96,"[-1.2741581362232641, -0.735933208541081, 0.27360876414691276, 0.4293168106664177, 1.612928681231648, 2.462793050964408, 1.3723185701398026, 2.5126341570302753, 3.22601166774103, 1.4886932623391762]","[0.11799775593264265, -1.2075134731034063, 0.21385354676782886, 0.3417462030610175, 0.17023055749834345, 1.3331804668721332, 1.2734274262552403, 0.05595109619423633, 2.009168061722254, 1.4511184805595319]","[-1.4593112, -0.3272241, -0.27809894, -1.1646154, -1.5799928, 0.39545658, 1.2732645, -1.1933666, -2.0541296, 0.298687]","(10, 2)","[0.17007771134376526, -1.2056806087493896, 0.18732690811157227, 0.4504496455192566, 0.27954185009002686, 1.3478705883026123, 1.229536771774292, 0.020585954189300537, 1.8223421573638916, 1.362086534500122]"
97,"[-1.5808474741224197, -1.2290528862580499, 1.346181297541957, 1.1976573512813244, 0.3366372538547029, -0.6307799657498392, 0.1618084638687156, 0.2954837610351196, -0.2282927930042342, -0.06259748933095696]","[-1.3072190918419822, -0.6144420137771317, -0.6147636498973463, 1.604485878754506, 0.11279911560358014, 0.10107224788031996, -0.5985218386087331, 0.5006276465609918, 0.002299345065271241, -0.2558098988499508]","[-1.1498346, -0.8555954, -0.82309467, 1.9859148, 0.5036783, -0.3168626, -1.3460248, 1.1366947, -0.74868417, -0.11698639]","(100, 20)","[-1.281204104423523, -0.35830244421958923, -0.284775048494339, 2.239185333251953, 0.023844890296459198, -0.019621752202510834, -0.6143844723701477, 0.2917116582393646, 0.15511605143547058, -0.2465103566646576]"
95,"[-1.8408205377327054, -0.03628414253457146, 0.47017977591069965, -2.5357434101446676, -2.625633797650085, -2.178204033737437, -0.8323780526776967, 1.887831065411457, 0.7018165890233634, -1.0450361336430805]","[-0.4618821122228167, -1.0395328575333243, 0.8195158568388687, 0.10628075812606153, -2.414362866492451, -0.7737494317514252, -1.0161757398574354, 0.17485658361555428, 1.814781226655481, -0.5450072462707811]","[0.12804258, 1.815908, -0.36661342, -1.1049094, -0.0875194, 0.35070437, -0.4861354, -1.2688197, -2.2230875, -2.5263731]","(10, 2)","[-0.6427802443504333, -1.1527785062789917, 0.704535722732544, 0.3582935035228729, -2.542093276977539, -0.6893396973609924, -1.216083288192749, 0.1186463013291359, 1.676934003829956, -0.40319424867630005]"
99,"[0.8573606561197087, 2.6652747225376228, 2.553801771180517, 0.32072359499827585, -0.3090027839208697, -0.5610798974268356, -1.999372983436337, -0.9593340330067425, -1.5437940233328593, -1.4610008393222689]","[-0.5237227771612865, 1.2423107810850893, 1.6509003690628252, 1.1761509544410473, -0.5929358291054603, 0.06798005798962059, -0.5236989517524206, -1.5293754614183677, 0.1929094815182859, -1.4944723451869706]","[-1.2819166, -0.4168099, 1.1877761, 1.9085422, -0.93938357, -0.3677561, 0.25271925, 1.4212847, 1.2352328, 1.3210603]","(10, 2)","[-0.1875002533197403, 1.5247198343276978, 1.7704142332077026, 1.2854652404785156, -0.7876250147819519, 0.2354830950498581, -0.4068649411201477, -1.3604214191436768, 0.36487263441085815, -1.1233587265014648]"
10,"[0.9540683597246074, -1.4948819926179446, -2.085307280897278, -0.7357640837443896, 0.02099719610477871, -0.884042384348172, -1.1848339102345966, 0.9365599434162426, 0.9505495460881257, 0.7274982660519955]","[0.5160140247696614, 0.46982193451931475, -1.6626851623318337, -0.8958887084831305, 0.03438048102292804, 0.029660508854070552, -0.8313061171019696, -0.5600361950894036, 1.2627679739476574, 0.10868386394966972]","[-0.12838003, -1.3101859, 0.3556678, 0.25270838, 2.1883166, -1.1603334, -1.5963563, -0.13440694, -1.1479882, -0.72760445]","(50, 10)","[0.6790141463279724, 0.21179018914699554, -1.6171735525131226, -1.101434588432312, 0.3678836226463318, -0.08610625565052032, -0.5262685418128967, -0.5397163033485413, 1.3899993896484375, 0.0809740275144577]"
24,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[-0.052844547, -1.9585942, 0.776595, 0.48949727, -1.1691972, -1.1918907, -0.070201986, -0.0019135643, 0.6897784, 0.073345624]","(100, 20)","[-0.3202863931655884, -0.8669405579566956, 0.9572079181671143, 0.7583250999450684, -1.2235430479049683, -1.6525448560714722, -1.1755857467651367, 0.20323801040649414, 1.518768072128296, 1.3918554782867432]"
12,"[-0.5665367880497909, 1.1403017394872068, 0.5746923468504876, 0.19917871632039397, -0.8406831135469511, -0.4668181337551374, 0.8656601854278306, 1.6994210696335283, 1.9761560482455671, -0.2601532368493624]","[-0.6552178562071084, -1.0754161444789725, 0.8887235997363578, -0.32318944194337285, 0.07716916343596436, -0.937715948294092, -0.047225411657320804, 1.0564842274852062, 1.2170319704545367, 1.4448222358644522]","[-0.62291634, -1.5718596, -3.7781224, -3.1575778, -1.0328598, 0.09449862, 0.5734204, -1.2751873, 0.9211378, 0.6483122]","(20, 4)","[-0.18821512162685394, -0.39980822801589966, 1.1852562427520752, -0.3563743829727173, 0.3105420768260956, -0.8884987235069275, 0.03181512653827667, 0.904138445854187, 0.9658986926078796, 1.0049406290054321]"
5,"[0.21598835098125613, -0.9042088904919257, -1.8090137817402674, -1.4089284280220933, 0.3948796173719372, 1.6563896397729863, 1.8222513045715725, 0.7513808381041238, 0.21509180691047064, 0.15812087009887799]","[0.6154961032275815, -0.3136113147674944, -0.7307070251522265, -1.0857750591912372, -0.36710350518281143, 0.8477930584109312, 1.036008005092716, 0.7895444422513049, -0.10497680037970286, 0.03850099236816193]","[1.4042952, 2.5219715, -0.77935404, 0.93847215, -0.12774664, 1.3311018, 0.87601894, 0.6056712, -0.11924571, -0.037221808]","(50, 10)","[0.8012033700942993, -0.6611485481262207, -0.7382366061210632, -1.1264417171478271, -0.306004136800766, 0.8569765686988831, 1.1387860774993896, 0.8158888220787048, -0.06646683812141418, -0.2549857497215271]"
15,"[1.9877180158333834, 0.6412507552841065, -1.3332199243664182, -0.5877213416820823, -0.04635724783356576, -0.15313840750309313, -1.3506328108232484, -2.250841349679237, -0.0869710897871927, 1.8672560230339834]","[0.452616209214033, 1.5766792051359406, -0.6501895378176186, -1.1402602649260716, 0.32905387248597995, 0.013888658901490259, -0.1276943853127383, -1.1097382782745002, -1.1645264933805102, 1.0720202706298756]","[0.29408845, -1.4684817, -1.1713599, -2.0906107, -0.9012315, -0.83550763, -0.30013093, 0.3757069, 1.0584713, 1.2710884]","(50, 10)","[0.5029348731040955, 1.5027021169662476, -0.7539523839950562, -1.180067777633667, 0.49724864959716797, 0.02369832992553711, -0.17975567281246185, -1.3461381196975708, -1.1893627643585205, 0.7650541067123413]"
