seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.6978165856320984, -0.3968793785708757, -0.2811757379408464, -0.1664061974939002, -0.5665413109097184, 0.5101610850064371, -0.34150562944016344, 0.509554235940544, -0.3168562271471964, -1.0074545354112834]","[0.8831375, 0.08329947, -0.7829989, 0.29696468, 0.5202997, 1.0987681, 0.2266671, -0.32238862, 0.044232503, -0.30955523]","(20, 3)",1e-06
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.003520148298033793, -0.4441922500288066, -0.5986107369505267, -0.05472118860057194, -0.4293927656556543, -1.1680595177758373, -0.7751929226160522, -0.5129050803797139, -0.9437816048462473, -0.7121834403470251]","[0.5460218, 0.020213868, 0.6115064, -0.026535932, -0.8142605, -1.019819, -1.225402, -0.23360905, 0.65733194, 0.7597401]","(20, 3)",1e-06
56,"[1.062138497073678, 0.23995009130914868, 0.16192740318761228, 0.44955851787324586, -0.4035215430663204, -0.11828645815823358, -0.6068315102284053, -1.6416433869243496, -0.4409004571584503, 0.9281506778209008]","[0.5422957253340213, 0.7909906344066674, -0.155545225894185, 0.2397000161347048, 0.32970850980589345, -0.5683757979692671, 0.16590144082639996, -0.6897822306416053, -1.296752271603547, 0.20747567864332317]","[0.5113750662874847, 0.7690063816904348, -0.12021131249554551, 0.20610714350638404, 0.3297245112853723, -0.5276473009898867, 0.12624943877724096, -0.624955069545243, -1.2607252097987947, 0.15350893975189936]","[-1.0516462, -0.41698948, 0.78781396, 0.13880168, -0.30068317, -0.41190526, -0.57925004, -0.6796825, 0.26998085, 1.0252154]","(20, 3)",1e-06
37,"[0.5198539064413863, 0.6858897627786857, 0.10725806906728796, -0.9021371215984122, -1.7735493506493345, -2.003625817677107, -1.6001014203826736, -0.7717716489465446, -0.24750679902302114, -0.36925922064009464]","[0.38359838798831714, 0.3280547124472277, 0.5218624065550719, -0.15367313421024797, -0.8253005544932882, -1.3608990734026905, -1.323176280975762, -0.9385132798947927, -0.30251500899914824, -0.09624929452344702]","[0.37351973430753793, 0.3212970696840084, 0.5104155236216444, -0.15152710247597237, -0.8074978106316257, -1.3337046797670962, -1.2976350886111852, -0.9215094287486678, -0.2960250082576207, -0.09463541604799995]","[0.32999957, 0.23103595, -1.0109615, 0.12446627, 0.6821278, -0.65186083, 1.1334369, 0.552692, 0.99807423, 0.67502886]","(20, 3)",1e-06
13,"[0.4776846498526209, 0.5821712388038603, 0.2802554900752415, 0.22297160123899062, -0.1975596134215989, -1.0425238717296366, 0.09155253831370191, 1.3776430823527734, 0.6777434048553513, -0.3775402270772465]","[0.6008590120983393, 0.17725514380345123, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077901]","[0.6039624511744863, 0.17810278345696723, 0.4953277919511483, 0.03427845954354505, 0.20648652524275937, -0.3007936570681366, -0.8959076179581236, 0.5381940912637042, 1.1113677400515027, 0.12173883788437087]","[-0.83158994, 0.014146738, -0.43907338, -0.68051654, -0.60996395, 0.37013108, 0.7471321, 0.33650672, -0.2892644, 0.26842332]","(10, 2)",1e-06
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.513624048910849, -1.246469755421975, -1.2979820565942326, 0.2937735728232192, 1.0691443447610172, 0.04061672229869437, -0.9200082481375611, -0.5315664360626418, -0.4681143524277487, 0.5185710212639378]","[0.38222125, 0.3958633, -0.033437677, 0.49381787, 0.7485866, 0.27776596, 0.4834379, 0.46145526, -0.2529073, -0.5890896]","(20, 3)",1e-06
52,"[0.07698530595451958, 1.302073473651972, 1.4133234630846068, 1.764720429031175, 2.3154781653454277, 2.362995080574064, 1.391187672921547, 1.1643013582939798, 0.39764984455662633, -0.1456017266395344]","[-0.6070785987528169, 0.380524605330928, 1.111811170986508, 0.8574178775913528, 1.3360114902354987, 1.6474724202276785, 1.5392588704602248, 0.6215582376914347, 0.8535222394482624, -0.02911127516750489]","[-0.586620068800303, 0.3754108565775934, 1.0785295083453366, 0.8270952699361677, 1.3028010489753148, 1.6045524269900207, 1.5034352391768477, 0.6005642574297391, 0.8393489611053877, -0.03637653224596224]","[-0.90682757, -0.49193436, 0.15013671, 0.25334194, 0.4877653, -0.5360445, -0.16813928, -0.23601925, 0.54873306, 0.635454]","(20, 3)",1e-06
55,"[0.0597406406247821, -0.1678599922012634, -0.9621383958223706, -0.7242586151080308, -0.17647016738731758, -1.0147712914908675, -1.2606932635760457, -0.9813658235672976, 0.39282085477752915, -0.09476282728208718]","[-0.039946685167910584, 0.07971398320873739, -0.2077169838056321, -0.8582799039195546, -0.2951186631482535, -0.028910835813190816, -1.000315873584272, -0.7605353267839096, -0.6010981601753429, 0.6933699348652006]","[-0.06907712277938131, 0.09674027881931285, -0.22073881754406577, -0.8567964269955028, -0.27939672126744775, -0.030647027785685114, -1.0109987781585195, -0.7406190919633239, -0.6016329652706294, 0.7156798346675167]","[-0.684721, -1.0995818, 0.30898112, 0.5966188, 1.0437583, 0.3858168, 0.13861907, -0.050353885, -0.69122136, -0.39494473]","(20, 3)",1e-06
100,"[0.6222004416663334, -0.14643987609322695, -0.589992441037281, 0.5659891711853549, 1.149165459575575, 0.4060878722864004, -0.529152482535381, -0.016476438998050513, 0.34979229227538555, 0.2217781204849847]","[0.10549828280820003, 0.5694513002622333, -0.4311655262243436, -0.37440967792510915, 0.7531940101479094, 0.7725684545016201, 0.019803645035590345, -0.5390543050531762, 0.2530507135285376, 0.22326693551111676]","[0.11484686542388686, 0.5427439848756006, -0.39972750803492085, -0.37504668730317614, 0.7230797421079733, 0.7561766233872735, 0.026211489687839512, -0.5209722162088366, 0.23540703825068365, 0.2222731811252736]","[-1.168037, -0.40102768, -0.39433104, 0.054173227, -0.805641, 0.12010618, -0.50750124, -1.0994016, -1.3485167, -1.1158336]","(10, 2)",1e-06
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9700583496807579, 1.1794655719248575, -0.01747676726832137, -0.6130547700797488, 0.234170521638902, 0.25312137431971493, -0.33295047236236386, -0.21082376481108955, 0.24190104606653737, 0.4884313612673894]","[0.1600524, 0.73466575, 0.24688025, 0.5823398, -0.37575257, 0.072051086, 0.32360232, 0.46095592, -0.00797556, 0.7384503]","(10, 2)",1e-06
