seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.475653327225826, 0.3753124556729272, -0.1418835973765099, 0.42204210031777833, 0.5777181619333843, 0.009742459410363835, 0.20317673042997442, 0.9316574763773784, 0.032937780787321125, 1.032192684523709]","[0.6229468, 0.09873511, -0.5236787, -0.7886922, -0.45279244, -0.8062751, -0.74611247, -0.09151923, -0.77488273, -0.4208154]","(10, 2)",1e-06
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.7642202018998376, 0.44963374891455193, 1.0415530004247495, 0.767192812465605, 1.1896078219741604, 1.0156611615980815, -0.2586734807958727, -0.658174705672223, 0.4098103760461756, 0.28888995038826604]","[0.008549647, -0.022453649, -1.2320714, -1.0397798, -0.3025094, -0.68302727, 0.23632157, 1.1503687, -0.5566584, 0.1915691]","(20, 3)",1e-06
20,"[0.6919287386873479, 0.4648315726744983, -0.14960425021182708, 0.18635573270171957, 0.29680787974086487, -0.4484899218346412, -0.2992076453888737, -0.06076795898061571, 0.274627471855408, -0.3427802568587124]","[0.0876909677511867, 0.6480832548117545, 0.14078994526862101, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732]","[0.06181320855805152, 0.6427597980650689, 0.0941758446344963, -0.19923744205575286, 0.2944968929986266, 0.12493587196568989, -0.5093969935005913, -0.0061781684167545176, -0.05599603957552835, 0.30020777045602]","[1.1863568, 0.15643722, 0.57213885, 0.9203672, 1.0104923, 0.3934134, 0.65667987, 0.5122731, -0.19766751, 0.424667]","(10, 2)",1e-06
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562053824263, -0.4408738650682562, -0.025806820386238466, 0.7396653743263439, 1.0699146334682457, 0.7453758880011807, -0.3134613397843231, 0.24110934117329608, -0.7245192503508954, 0.2711808784710481]","[1.0399126, 0.840089, 0.6777339, 1.1047313, 0.29274684, -0.57079935, -0.71120965, 0.4165742, 1.2339897, 1.4107589]","(20, 3)",1e-06
53,"[1.0042581321986983, 1.786586900069016, 0.5037616150013121, -0.8280515123641135, 0.007359997236528915, -0.34453630765982646, 0.046965674911952915, 0.3372333050774645, -0.1431627080297465, -0.8911516232459916]","[0.42355291967175035, 0.7924816723628231, 1.3903460638876046, -0.19141141694249014, -0.7323458038928684, 0.3735328991829631, -0.531302757251308, 0.31261705353760694, 0.18092477830866105, -0.23362509718407704]","[0.42232489536720097, 0.811167827767102, 1.4147281666956157, -0.21644669405843453, -0.7357896776377718, 0.3920899148312763, -0.5578305914467117, 0.3377759166990754, 0.16931206227925064, -0.2346999277222973]","[-0.38958165, 0.57677674, 0.6127591, 1.0223725, -0.95882446, 0.62824076, 0.9253036, 0.028884139, -0.73483276, -0.33249512]","(20, 3)",1e-06
45,"[1.5986809186122513, 0.5870517951914, -0.41358013736480403, -0.4052438815562328, 0.7583692513653287, 0.6914356783987883, -0.44176982189254166, 0.21781130501365153, 1.3373666074715205, 1.2397585200818428]","[0.786672168079583, 1.2053448345724598, -0.015620622094829839, -0.4057698263173891, -0.20235896839753825, 0.8595487355640978, 0.26166131061673936, -0.5726004772009113, 0.5041115436141073, 1.085310835664467]","[0.7503285365568694, 1.1343419514729782, -0.05306452519545332, -0.36987339067115693, -0.18855500121884, 0.8352655300422571, 0.20930742416647713, -0.5405839177109524, 0.5072019794248959, 1.0105933573328036]","[-0.6382207, -0.47346568, -0.9944752, -1.0269512, -0.70074123, -0.51063776, 0.25298092, -0.7150949, -0.29641303, -0.37163502]","(20, 3)",1e-06
65,"[-0.42039777932292344, 0.42722690301195787, -0.5352817346039381, 0.1859956830270023, 1.091069816807214, 0.7775177400114549, 0.4600446314126952, 0.3717937853021772, -0.23669389191899443, -1.3437604318320369]","[-0.9918975082850874, 0.07555097481962025, 0.38945141560214774, -0.730007442405012, 0.5509994042295083, 0.8155701146924598, 0.369732682665225, 0.27517829008008265, 0.2342046402621359, -0.3537962120500624]","[-0.9563492762304007, 0.0028110504407166947, 0.4036522556894406, -0.6780155077353021, 0.46045172896556724, 0.8382366530967106, 0.3822836462219786, 0.2742964716594569, 0.23634419765139347, -0.32433072189220347]","[-0.5243971, -1.2313533, -0.7784777, 0.30734885, -1.0595183, 0.09546471, -0.9289372, 0.39680707, 0.9631029, 0.58754957]","(10, 2)",1e-06
84,"[-1.0773882682801095, 0.09131150572273972, 1.4135278971612522, 1.2096555701259912, 0.8029150850723583, -0.31707212454065514, -0.10828527337610316, 0.10507598256799106, 0.7912046177200425, 0.930934130756752]","[-0.5941391785567693, -0.7803186790017248, 0.4814708452236021, 1.1727924745494511, 0.6232593328512657, 0.4912854186467255, -0.5627148338640179, 0.17307214355590578, 0.018539910790038167, 0.7819346623250234]","[-0.5990059767719628, -0.7860631344891613, 0.4811888797524254, 1.1809987262422528, 0.6279609489202093, 0.4948012170083148, -0.5654668768025906, 0.17220567910103982, 0.019938702837522325, 0.784065176761747]","[-0.8256813, 0.6520384, 1.3394052, 0.7571346, 0.84773535, 0.686874, 0.18453112, -0.4090022, -0.88006014, -1.1631397]","(20, 3)",1e-06
42,"[1.349609050956198, 0.28643198137919956, -0.580334596230885, -0.8864732069124243, -1.3947872325795727, -1.5342702678159439, -1.5749370649129626, -1.1672918085267447, 0.18855794128975967, -0.288322847974939]","[1.0400575483876775, 0.8295802767623592, -0.12835815700198006, -0.516155517729895, -0.6283954480474767, -1.0805895085558344, -0.9939755135380268, -1.0779493081439493, -0.6283171544547702, 0.5027165185171447]","[0.9818714211417197, 0.7895718221519805, -0.09880962351520037, -0.48730270795451147, -0.5903909613497915, -1.0116262442635362, -0.9483687654828175, -1.0171565929362412, -0.6110081704020125, 0.4539525209363309]","[-0.27158374, 0.6801449, 0.16013092, 0.05514019, -0.6454486, -0.9927085, -0.8762884, -0.39181048, -0.63785744, -0.9437195]","(20, 3)",1e-06
24,"[-0.16368099539043024, 0.9924642877554309, 1.5017809662698562, 1.7499909856268978, 1.8575848526434937, 1.8671810402860531, 0.4432714813088353, 0.5882500217078281, 1.3552075007307907, 0.9892293937218952]","[-1.112930554346549, 0.39278428178284436, 0.7960721468640088, 1.103744892837852, 1.198118539207972, 1.258525583039508, 1.2379182487662992, -0.17568764307431434, 0.6760938432449853, 1.017160579108298]","[-1.075032589542511, 0.4658320925851194, 0.7451997986467926, 1.105875927989989, 1.1507492334368798, 1.2389042257050196, 1.2006937924781735, -0.2496570376785433, 0.7536965316646862, 0.9545379223858808]","[0.50568175, -0.24857631, 0.6457098, 1.063777, 0.010496011, -0.50216085, 0.25178954, -1.0205084, -1.0592569, -0.97034776]","(10, 2)",1e-06
69,"[-1.3572221770065578, -1.689371623382879, -2.218453378526922, -2.4307958881708336, -1.608259844621509, -1.6702634237071332, -1.6587362341714638, -1.4930287109740452, -0.2854297640817306, 0.8723836238072996]","[-0.9063654868615589, -0.9040394335757783, -1.23735190659499, -1.599777425229427, -1.63090717555612, -0.7928062568434491, -1.2738602952854086, -1.0218060865287595, -0.9821256677096656, 0.2056330697731022]","[-0.8859812147194308, -0.8817022313944229, -1.2072084425123126, -1.5672341467518733, -1.6061852498201212, -0.7906774903281024, -1.2449114529074885, -1.0190943459962432, -0.9677277558393208, 0.18337461870168778]","[-0.44362557, -0.589145, -0.3886897, -0.8677703, 0.31948286, 0.6627321, 0.8418192, 0.3188635, 0.3548721, 0.5881195]","(20, 3)",1e-06
44,"[-0.596807469842795, -0.5418199152020906, -0.16319197357150295, 1.0265786547029618, 1.277305455370556, 0.9388726183629851, -0.39804662005942176, -0.8884212270675725, -0.8771282643782096, -0.6632583023674431]","[-0.8916833748784163, -0.15096578240358682, -0.4663370240002972, 0.06997653842864565, 0.991590385488639, 0.7815102626262366, 0.5481174870498668, -0.6721053635843551, -0.552368545275395, -0.6009439917405122]","[-0.9037359270139906, -0.14451486392801435, -0.4728315385749077, 0.07415271258265992, 0.9978947052615335, 0.7832989305853336, 0.5509173323866773, -0.6812338378470106, -0.5507259657833435, -0.6060427868698954]","[0.31536674, -0.080552444, 0.5982209, 0.15735744, 0.06445904, -1.2371014, -0.025863143, -0.11513905, -0.26308486, -1.042727]","(20, 3)",1e-06
49,"[0.8382158388849568, -0.0017823148800648614, 0.351562312056268, -0.42582646617299624, 0.2523567822596229, 0.3716366264252864, -0.3938303597605525, 0.34268572030417965, 0.12956473948667274, 0.004100428920260829]","[1.221039115717665, 0.22769628102612427, -0.115630455393127, 0.4093775397528315, -0.630515236049412, 0.5676144002843289, 0.08782942628312196, -0.43774507290211345, 0.5615582567552364, -0.15121438889094543]","[1.2193701816660023, 0.19177753939422143, -0.10378886455483033, 0.40858190586813614, -0.6457376309251277, 0.5956393198171095, 0.055459312198066504, -0.42312639770590643, 0.5689268049975487, -0.17397862015272136]","[-0.3061333, 0.52268714, 0.16118729, 0.39655662, 0.59073734, 0.3316086, 0.5846273, 0.30953953, 0.64626414, 0.7020803]","(20, 3)",1e-06
35,"[0.8718212183723597, 0.23996180134999567, 0.5027677335543254, 0.256883532130359, 0.4565036352177868, 0.931794886936089, 1.1337187066863104, 1.2265590848314618, 0.9301097178148303, 1.398123321187097]","[0.6515019435710301, 0.5460702465868447, -0.03307332194342666, 0.5193043945260387, -0.002768665132660303, 0.45788796778411694, 0.7028509030440305, 0.782293255164295, 0.8354124572493142, 0.5124034891901732]","[0.6214405539085733, 0.5388342649455075, -0.031778660311524765, 0.5021402090626904, 0.0021584083145462646, 0.44016488622517325, 0.6856143237324765, 0.7615160653627133, 0.8153199511879612, 0.5021079006346396]","[-0.8313714, -0.37618273, 0.009037286, -0.6851921, -0.99431324, 0.4131398, -0.5878359, -0.41730016, 0.5287707, 0.73840714]","(20, 3)",1e-06
50,"[-0.7398717908313841, -0.42551601429476005, 0.19253691287633612, 1.2298119011299429, 0.4577166314850195, 0.704582015968397, 0.9634884957302314, 0.8580584785749414, 1.1904080425814711, 1.4132258747786544]","[-0.2506365489102902, -0.614553516376239, -0.11823925610664054, 0.2516565409296564, 1.1039836306651147, -0.0942751838475378, 0.751719607892166, 0.5876286917841484, 0.5642441326828672, 0.9082859762400376]","[-0.2706230166868643, -0.6159630258477438, -0.13663929899259006, 0.25825848337520263, 1.1153173194641866, -0.06672797352097998, 0.7366252213194342, 0.6200020427983881, 0.5696149013451177, 0.9279164121473731]","[-0.8867087, -0.6301273, -0.247969, 0.81922925, 1.1573114, -0.4816023, -0.964368, -0.39585268, -0.64012164, -1.2065954]","(20, 3)",1e-06
95,"[-1.251953775866529, -1.3727370399751577, -1.10733230794949, -0.1600413611097481, -0.035180079313670676, -0.6129131056313042, 0.011044381299815775, -0.0844093501524874, 0.6939304783580773, 0.6270762385219777]","[-0.7061472957282471, -0.8988801280024054, -0.923296975973955, -0.6456838199625125, 0.16280054887150813, -0.11658035374942474, -0.5546229287565918, 0.2883558456781117, -0.22858727299154324, 0.8082241148538489]","[-0.7233899522501364, -0.87473957644421, -0.9172600184600959, -0.6278679162317269, 0.1733617900515806, -0.1279378017515877, -0.5497447876496897, 0.3045408495011976, -0.2473714122932575, 0.8293212433786263]","[0.28008702, 0.057563096, -0.8797643, -0.67284715, -1.1129024, -0.57780004, -0.7002324, -1.0780609, -0.76418614, 0.348508]","(20, 3)",1e-06
98,"[-0.024751709486492857, -0.5971460663241378, 0.2728564640434047, 1.1688558513803806, 0.18526211348455457, 0.6983190008011432, 1.230512166014851, 1.0703487013429358, 1.414747368266163, 1.289010327184216]","[-0.14517548450490225, 0.04783603276595827, -0.621064082707117, 0.5833885053969632, 0.8771615986818991, -0.253318685856395, 0.8249783437293408, 0.8180229941501806, 0.6613372042678455, 1.0840787661322402]","[-0.09809520808313238, 0.019812270741271946, -0.5879291408748147, 0.5251399555549044, 0.8980666269505503, -0.22228850584155674, 0.7743907964477394, 0.8452937375605502, 0.659349097413872, 1.0778899780867133]","[-1.0674434, -1.380427, 0.5054875, -0.76051444, 0.42097768, -0.80521005, 0.40788582, 1.1449225, 0.54055387, -0.018823672]","(20, 3)",1e-06
54,"[0.31203083810310817, 1.3613904788509006, 1.195532054916856, 1.4605682871991594, 0.9667515199872356, 0.19552214134450574, 0.23813215504759117, 0.8253908993813368, -0.06620810044579895, -1.3417662727601902]","[-0.6043694926509021, 0.6142155844285593, 1.054282686636621, 0.6683907115985456, 1.1263729313998867, 0.4035650542872923, -0.0062603857991404, 0.24126234794716137, 0.7047597254077561, -0.418587963149677]","[-0.6204750413475255, 0.6014984850874724, 1.0968787263246287, 0.6999838826362099, 1.1535136576872587, 0.44412123899675343, -0.00784819229856415, 0.2445846884236057, 0.721896216899623, -0.4014700937730065]","[-0.99423426, -0.45366654, -0.5843436, -0.08814852, 0.5166161, 0.86285955, 0.4622461, 0.059515666, -0.0075289197, 0.6585177]","(20, 3)",1e-06
38,"[0.19644936950695574, 0.7281072577741707, 1.1272456055662539, 0.8525148113636306, -0.3894738733621225, -1.603538127060835, -1.4450464554723474, -1.0456602876981642, -0.656953379263158, -0.013529857602883555]","[-0.009104065229563349, 0.20100140212173742, 0.627606556713302, 0.8134423272096029, 0.4457936477588292, -0.6123706972415371, -1.2973527784400667, -0.7963700662523142, -0.6474752545720072, -0.3332157519771544]","[-0.0130265026656856, 0.2115665960960317, 0.6460663502766117, 0.8313008542158967, 0.44642241006645256, -0.6437537772529138, -1.3297096870640388, -0.7982377067313136, -0.6658468934315616, -0.33076566346903097]","[-0.39995167, 0.79006183, 0.89989793, 1.4675025, -0.020791907, 0.9721803, 1.0172399, 1.0944718, 1.1029232, -0.14276727]","(20, 3)",1e-06
60,"[0.1439260942628195, -0.5516878304774138, -1.253597244706976, -0.6692049931331621, 0.09871728711618077, 0.7569978747274981, -0.1512836748371179, -0.2700760217890171, -0.642043653227157, -1.5500347664759542]","[-0.4775463092182544, 0.38269924887194673, -0.7430374549133871, -0.8820785172502825, -0.2281657345080208, 0.21280015437019117, 0.6505977975424025, -0.4765825736083192, -0.03178473498485748, -0.6261512857347282]","[-0.46870898142774825, 0.3883565710447384, -0.7448071872148279, -0.8391342398185949, -0.21579846409896447, 0.21079028575861022, 0.6330123884116368, -0.48222990100886826, -0.010990633363224839, -0.6234552261114292]","[0.025910918, -0.71104443, -0.89904433, -0.7196464, -0.82769, -0.83879465, -0.11797835, -0.47903764, 0.16462474, -0.24566363]","(20, 3)",1e-06
83,"[-1.4898022222680432, -0.3109631005748127, -0.5951744279989193, -0.5246923011041309, -1.087759376814463, -0.4217591500611426, 0.7426609102994897, 0.7528060875519031, 0.7440215146198741, 1.45521694174279]","[-0.8928126776604424, -1.0433958834378219, 0.2107348411440983, -0.7005418485709685, -0.17442137681864667, -1.0005486884051398, 0.07851519414142727, 0.703403313228776, 0.40110443093751513, 0.5434692991511165]","[-0.895697360626861, -1.0490881389831839, 0.21375086157340648, -0.7034046615782864, -0.17505761879099174, -1.0020600916975828, 0.07343551456670219, 0.7060323275429836, 0.4025332432064296, 0.5450264430942713]","[0.11685719, 0.68168646, 0.26381359, -0.0035203602, 0.7030948, 0.8288501, -0.07922865, 0.3969219, -0.250445, -1.081714]","(20, 3)",1e-06
77,"[0.24622065274750415, 1.0890274668618551, 1.1317004588103599, 0.9311535368048494, -0.38726243233612045, -0.6997465916529763, 0.4300835202433518, 1.1174021830434606, 0.6362336595329503, -0.7596260725035046]","[-0.41153606729488623, 0.45198868639494727, 0.8630331236643815, 0.7001838969781691, 0.5810615883157648, -0.6777932264940029, -0.3608499784059748, 0.6105085094463392, 0.812147928320291, 0.23015969537280478]","[-0.3875877827239298, 0.4198387265542739, 0.8575724175075898, 0.6936904817022138, 0.576763324103699, -0.646978616474413, -0.3731046888537448, 0.593032368896574, 0.8027922563819287, 0.23641512548826377]","[1.2802782, 0.2061535, 1.0866745, 0.90064555, -0.7375797, -0.8848173, 0.27364802, -0.87089163, 0.18569915, 0.6849409]","(20, 3)",1e-06
39,"[0.674737531176434, 0.22585632107127612, 0.1447173558891808, 0.8449839033204969, 0.981149081186912, -0.12607406087554024, -1.1291825113924396, -1.7708241223934436, -1.9237683696617718, -0.7785626463038531]","[0.5973708668962577, 0.3760520977283051, 0.037830272207123566, 0.125802219785619, 0.7820827934276874, 0.5901076844730684, -0.4211279031120744, -0.9186185598364025, -1.3115148424752423, -1.2680109484241506]","[0.6004760087238546, 0.36303736222227007, 0.03297260671829377, 0.13021758598805133, 0.7945748873151138, 0.5710457445711412, -0.4414801292954093, -0.9154515582060454, -1.3161179471064415, -1.2569023115362703]","[-0.37383536, 0.7881575, -0.25517574, -0.8832011, -0.042614188, -0.17305961, 0.7810172, 0.62006044, -0.66095436, -0.37856847]","(20, 3)",1e-06
43,"[-0.11156417888470532, 0.966500439914207, 0.06058132689622597, -1.3372379535143002, -0.4305957387041587, 0.13068337221055676, -0.6601923748812928, -1.5378782637377053, -1.5310104121270827, -0.6472473879029459]","[-0.7525185267471248, 0.26469508448885715, 0.8341528976697784, -0.35649512193866323, -1.1589903925449687, 0.14889945756832562, 0.05623364342639395, -0.6883091965944897, -1.1937236654404604, -0.9341485794068525]","[-0.7794611003118667, 0.29730566545642334, 0.8451225462867666, -0.3868831246176651, -1.1820610274221128, 0.18456285979087025, 0.03669783503307338, -0.7045152070233647, -1.2197487346690417, -0.9372987992046943]","[-0.5298361, 0.6571621, -0.03618572, 0.28463534, 1.0411682, 1.1906823, -0.27708963, 0.2825575, 0.678972, -0.15406951]","(10, 2)",1e-06
82,"[0.5965816182483674, 1.2990713543801533, 1.9234065624372736, 1.406278453618136, 0.7102716267622579, 0.4623261112951719, 0.3983423829156504, 0.739548226017041, -0.1040164850777916, 0.4512726259317906]","[0.09717399050939596, 0.5479946229936694, 1.0250740428833187, 1.4108695409956142, 0.700843683120329, 0.3598497852020934, 0.28240121869412527, 0.25714177356858775, 0.6109773392327471, -0.40950515469416515]","[0.06020410078821552, 0.5724693407468397, 1.0458596057451952, 1.4605666712365908, 0.7488203787950549, 0.3730025824843801, 0.29531765092020085, 0.26643213815587835, 0.6243684138888235, -0.3912570476014756]","[0.4267769, 0.045314375, 0.99334574, 0.94750094, 1.1073805, 0.3468331, 0.3176424, 1.1767864, 0.36603948, -0.7993038]","(10, 2)",1e-06
