seed,True,ARMA,Informer,Informer_para,RNN
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670033078274, 0.045295010634492594, 0.03639834552131513, -0.8345627503645376, 0.6962977496386662, -0.31022366132304036, -0.7965547439488251, -0.4934608792273786, 0.8607952962943064, 0.8267061307131363]","[0.9114413, 1.0167699, 0.39724284, -0.86504173, -0.5199107, -0.49256805, -1.5668929, -1.6248165, -0.42157948, -0.62017465]","(100, 50)","[1.2531564235687256, 0.2702787220478058, 0.09270539879798889, -0.8037105798721313, 0.8051148653030396, -0.1190958321094513, -0.8472477197647095, -0.6444878578186035, 1.1103851795196533, 0.9672728776931763]"
41,"[2.018166804797763, 0.26567622443363115, -0.9204996471380374, -1.0915786321448933, 0.09451775061611134, 0.31135675102023463, 0.4124258015615632, 0.7819182881710262, -0.06601750429049408, -1.0093415460830055]","[1.3271865846138056, 1.263780137117525, -0.7674561645015447, -0.6235334351298745, -0.48828947810733353, 0.5594706410122898, 0.05697221970524784, 0.2554370235623691, 0.4849397830804102, -0.4451383881405852]","[-2.4550898, -0.16558567, 0.84027386, -0.04408599, -0.20213151, 1.6912277, 1.3237551, -0.57903105, -1.1817551, -0.20215173]","(50, 20)","[0.7766628265380859, 1.6723265647888184, -0.7152347564697266, -0.908287763595581, -0.5733582973480225, 0.5923938751220703, -0.01082257553935051, 0.06052272394299507, 0.5380136966705322, -0.5602304935455322]"
100,"[2.1864307920249866, 2.0639327647448313, 0.10103989620108295, -0.32115888400398673, 0.6268021476008949, -0.07151195867502458, 0.8386928412588855, 1.8947658704269013, 1.32160338274791, 1.6006802152055026]","[0.40413855311960933, 1.9534454876409275, 0.7179691398652029, -0.6667820171072979, -0.1333805752632981, 0.6821206985057431, -0.41946660150930654, 0.8798187854001369, 1.221053604743374, 0.3325845397625711]","[1.7084767, 2.9282086, -0.75190425, -2.5937555, -0.26199242, -2.4363399e-06, -0.36015093, 0.7038729, -1.0746846, -0.17852516]","(50, 20)","[0.16878458857536316, 1.9793435335159302, 0.6156867742538452, -0.58202064037323, -0.24488291144371033, 0.7678461074829102, -0.20635360479354858, 0.8405309915542603, 1.154737114906311, 0.24743613600730896]"
39,"[-0.12378478423108075, 0.9491369505089282, 0.6007481699702958, -0.820814645641097, -1.45030813379365, -1.3368299005403044, -0.17220820268879794, 0.5880687080090562, -0.20713407563941955, -1.009909872293798]","[-0.8326665834789205, 0.42770203431381704, 0.6580917841987213, 0.03171962886869523, -0.8248017396106548, -0.6957426568620172, -0.48811688754975413, 0.3578405254477042, 0.40278354600850125, -0.4476025218927207]","[-1.0609848, 0.9022839, 1.8581, 1.1770208, 1.2401481, 1.4698449, 0.4019727, -1.4112047, -1.3981975, 0.61919045]","(20, 10)","[-0.8628926277160645, 0.4614177644252777, 0.5772831439971924, 0.07079511880874634, -0.9210207462310791, -0.6935477256774902, -0.5071454048156738, 0.45444515347480774, 0.4918272793292999, -0.48665928840637207]"
23,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779088600898, -0.7196011912853146, -0.8955135842721336, 0.623586842566207, -0.9838691679522027, -0.9860855733164424, -0.6569630702756915, -0.2732891380289769, 0.9986625806476012, 2.608809982477677]","[-0.17176908, -1.827435, -2.7296863, -1.2823776, -0.98708093, -0.9485604, -1.4895986, -1.4238961, 0.054699704, 2.0775359]","(100, 50)","[0.28993353247642517, -0.8830575346946716, -0.9631966948509216, 0.7284164428710938, -1.3088860511779785, -1.0058938264846802, -0.7633386254310608, -0.38135772943496704, 0.9763793349266052, 2.042708396911621]"
38,"[-1.5664670941876349, 0.15243834229327857, 0.983753246404777, -0.5436373409011893, 0.8970963991631993, -0.0952211032098027, 0.27406666345592756, 0.8660951032587624, -0.13081336499192697, 0.48545526971877406]","[-0.6373852795941993, -0.9784189595590161, 0.8215565121874283, 0.43617073690507185, -0.8732063213861858, 1.4038207891099832, -0.9518759748078693, 0.7639177765445756, 0.39430071579467296, -0.4594376747348362]","[-0.8077158, -1.6263009, -0.49945146, 0.37143672, -0.12849396, 0.6304003, -0.2504604, 1.3152921, 1.333316, 0.25410652]","(100, 50)","[-0.49823641777038574, -0.8152948021888733, 0.8039018511772156, 0.7298374176025391, -0.8874552249908447, 1.1495763063430786, -0.5433822870254517, 0.44645339250564575, 0.7490076422691345, -0.42004239559173584]"
94,"[-0.3082293840259648, -0.2968024086668181, 1.6957894015159427, 1.9099167868751448, 0.6237615270226489, 0.2904857733246174, 0.9414048756159239, 0.8087004644333763, -0.9667144195959287, -2.3180183124851075]","[-1.1856597651624392, 0.443109902812491, -0.4442051164897517, 1.7620976785048408, 0.710605119389977, -0.03993464772054828, 0.279485543295708, 0.6966531719473236, 0.2813386942711495, -1.1166451915279327]","[-0.82946, 0.9015738, -0.049245972, 1.9056247, 1.7614951, 1.0635177, 0.992104, 0.6262138, -0.027144205, -0.766057]","(100, 50)","[-1.210539698600769, 0.34808409214019775, -0.4126834571361542, 1.3652985095977783, 0.8549338579177856, -0.30302485823631287, -0.0011732280254364014, 0.646496057510376, 0.2803017497062683, -1.0313094854354858]"
35,"[-2.223263267222157, -1.989672094441333, -1.4150748145182186, -0.8212655795011936, -2.2398976210908645, -1.2718568869535694, -1.2471422397079532, -1.0991395277809057, 0.5467537183927864, 3.2757550208821042]","[-1.9144632941528266, -0.7639407053194665, -1.2385702298982444, -0.5290778804603011, -0.3257706631586668, -1.878302511343735, -0.00043389802398674515, -0.9843454054857377, -0.47419849038116746, 0.9173528529143877]","[-0.5477761, -1.590997, 0.927845, 2.2253025, 2.312053, 0.5179724, 1.5753032, 2.1641588, -0.48459744, 0.20308127]","(50, 20)","[-1.8443912267684937, -0.9282746911048889, -1.1151481866836548, -0.6236496567726135, -0.4346563518047333, -1.7946248054504395, -0.23971986770629883, -0.9539321064949036, -0.593235433101654, 0.9356568455696106]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[-0.76741874, -0.0017324518, 0.82864916, 0.52954954, 0.8426008, 0.8199027, 0.6218302, 0.7684429, 1.0487922, -0.3309968]","(20, 10)","[0.19667455554008484, 0.07155239582061768, -1.0249422788619995, -0.06669971346855164, -0.15287990868091583, -0.2782970368862152, 0.9307284355163574, 0.6553987860679626, -0.2860475182533264, -1.3938981294631958]"
10,"[0.9540683597246074, -1.4948819926179446, -2.085307280897278, -0.7357640837443896, 0.02099719610477871, -0.884042384348172, -1.1848339102345966, 0.9365599434162426, 0.9505495460881257, 0.7274982660519955]","[0.5160140247696614, 0.46982193451931475, -1.6626851623318337, -0.8958887084831305, 0.03438048102292804, 0.029660508854070552, -0.8313061171019696, -0.5600361950894036, 1.2627679739476574, 0.10868386394966972]","[0.5496675, 1.5017627, -0.6098154, -1.2449822, 0.32122514, -0.28982484, -1.5090761, -1.196351, -1.3928576, -0.75761086]","(100, 50)","[0.34359660744667053, 0.47725799679756165, -1.8607409000396729, -0.9992880821228027, -0.1461906135082245, 0.2178824245929718, -0.9268944263458252, -0.528078556060791, 1.2388145923614502, 0.2425570785999298]"
