seed,True,ARMA,Informer,Informer_para,RNN
24,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[-0.04893094, -2.6572196, -0.14092746, 0.7454589, -0.4453678, -2.6202831, -1.3206812, -0.18244249, 0.61399674, 1.3476948]","(100, 50)","[0.6551085710525513, -0.8242199420928955, 0.793415904045105, 0.6243009567260742, -0.9361441135406494, -3.322577953338623, -1.478004813194275, 0.36623501777648926, 1.3705719709396362, 1.5339452028274536]"
34,"[1.5659960799344281, -0.4803619457547359, -1.0839423596483155, 0.1675213475082694, 0.9709578066105129, 0.1238356957633096, -0.6905410299778845, -1.3810468241012401, -1.5426304109503217, -0.14750334587360048]","[0.5728656478990121, 0.8722564668815384, -1.145947754823562, -0.40001281504466274, 0.5735033513829847, 0.5927367322663304, -0.36220643366573324, -0.5013023029332221, -0.8427655663325201, -0.6800261813035627]","[1.2640488, 2.736558, 1.1073087, 0.3943481, 0.15096724, 0.07887277, -0.9460058, -1.4415971, -0.8015471, -1.7571431]","(100, 50)","[0.5422092080116272, 0.8451863527297974, -1.1877810955047607, -0.4546780586242676, 0.527219295501709, 0.5914353728294373, -0.37300199270248413, -0.5677342414855957, -0.9062227010726929, -0.7368000745773315]"
18,"[1.0769444597298259, 1.1508178764839934, 1.1314012156091628, 0.6194191172025649, 0.19605842238177193, -0.03716624271710068, 0.07530562557817477, 1.092841581901716, 1.1164179633444207, 0.13578519206867418]","[0.4117106664196146, 0.7917234443298445, 0.515647929305666, 0.6743155056413788, 0.11438905252983732, 0.06183295655714788, -0.07086837975205845, 0.11045460674032039, 0.9610033282279935, 0.4104029711079279]","[-0.78350455, -0.53351074, 1.5154798, -0.6867204, -0.20971018, 0.57025635, -0.7444647, -1.9903741, -1.8286307, -0.13792701]","(50, 20)","[0.6310840249061584, 0.7193816900253296, 0.7822070121765137, 0.7030587196350098, 0.025872692465782166, 0.01694558560848236, -0.0855146199464798, 0.16019783914089203, 0.9762132167816162, 0.5891772508621216]"
19,"[-0.7112980372260169, 0.5369460039820787, -0.2239064927329748, -0.6714163521295253, 0.15471560840418275, 1.626880414522232, 1.7047193560827267, 0.47754033762371034, -1.840320257066993, -0.9194332307565033]","[-1.454298790492691, 0.0624549902523136, 0.669018961881592, -0.5750900989990226, -0.3502980217424175, 0.44819568901649687, 1.2708731445751178, 0.6446279925355589, -0.2770818606459697, -1.7052968532178858]","[-0.35423124, 2.1455956, 1.754166, 1.892349, 1.3254035, 0.3052374, 0.5989017, 1.4792846, 1.296575, 0.73116606]","(20, 10)","[-0.9849971532821655, -0.29965370893478394, 0.7719135880470276, -0.7590139508247375, -0.29095935821533203, 0.3849276304244995, 1.487824559211731, 0.5420222878456116, -0.11757780611515045, -1.5349445343017578]"
40,"[-0.36836396144562705, 0.06519317265661737, 1.635751843033155, 2.449605719636047, 1.5483543694146185, -0.8292807918568593, -0.32969365633440273, 1.8825053392083313, 2.7088104746043307, 1.0906967238931284]","[-0.5812837482297675, 0.226224708679752, 0.0442845071764584, 1.4762977079687007, 1.1850672469092574, 0.28909878946252787, -1.2818477371684764, 0.4883483842176247, 1.5959226716040207, 1.308324075565386]","[-0.69246304, -1.3706577, -0.3504642, 1.5404738, 2.316472, 1.6220411, -1.0460697, 0.5075635, 3.2974675, 2.2459786]","(100, 50)","[-0.5347434282302856, 0.23699356615543365, 0.08058036863803864, 1.4676319360733032, 1.1981961727142334, 0.4284151792526245, -1.296554684638977, 0.5212675929069519, 1.5869123935699463, 1.2785247564315796]"
42,"[-0.06858052528652114, -1.9751580636656185, -2.034305230401492, -1.3042183002903787, -1.4179465516388512, -1.0646669975907521, 1.5073995488094774, 2.3797839958092455, 0.4982002654262605, -0.0017346807961412525]","[-0.2685296915967154, 0.06565910261822842, -1.7805181278289597, -0.620154301716403, -0.43043333500711806, -0.7865157732484593, -0.2974669693579119, 1.726179748188485, 1.0658881156080082, -0.5575718719782329]","[-0.25103104, 0.65756476, -0.31914842, 0.37105322, 1.0542805, 0.31386107, -0.973962, -2.3893077, -0.31310454, 1.1922059]","(10, 5)","[-0.13363900780677795, 0.11373373121023178, -1.9377409219741821, -0.6289588809013367, -0.5073294043540955, -0.7675800919532776, -0.3073522746562958, 1.4222511053085327, 1.127323031425476, -0.7543079257011414]"
27,"[0.5433834014821325, -0.2813752169572461, -1.6507690638399892, -0.5392228109744919, 0.0358458019989249, -1.3523093968168916, -0.28370180807418044, 0.4866379650562555, -0.9807717619087977, -0.8254637564587508]","[0.5743737551420518, 0.14440912969146297, -0.4286094610866067, -1.33224326962273, 0.4118313956896023, -0.13123660571344994, -1.3135848059827064, 0.6455335423134319, 0.1503724050584376, -1.1587534149996344]","[0.6975578, 1.3062664, 0.31297094, -2.7727425, -1.9041519, -1.7368232, -2.0392413, -1.7155877, -1.3716574, -1.1053449]","(20, 10)","[0.5843607187271118, 0.16754725575447083, -0.3715815544128418, -1.3339511156082153, 0.6007900834083557, -0.12423411011695862, -1.2633743286132812, 0.7195161581039429, 0.19366340339183807, -1.131810188293457]"
22,"[0.9349710626244665, -1.0079803653464618, -2.2617010906704964, -2.5296775664849687, -2.1989700420724487, 1.0566217251543857, 2.9441932554597017, 1.7987345947809725, 0.7229064106424254, -0.22990473319400817]","[1.2545323584479693, 0.014749312019428584, -1.1410156448155417, -1.2848419367211983, -1.116619712721161, -0.8159186639846063, 1.820548948682597, 1.639719028598619, 0.16227139220006104, 0.0571184187179008]","[1.1211127, 1.8828979, -0.29711857, -1.5881875, -2.3208318, -2.9149032, -0.44498947, 0.15413237, -0.8558399, -1.92194]","(100, 50)","[1.4680359363555908, 0.03569434583187103, -1.1884974241256714, -1.1203449964523315, -1.1046414375305176, -0.871694803237915, 1.3245394229888916, 1.677537441253662, 0.12025551497936249, -0.08158816397190094]"
92,"[-0.47638607818833084, 0.2896693442622678, 1.2600691101965904, 1.9794712839398585, 2.3972614213846057, 1.74360811031123, 0.615770596118553, -1.260497787937056, 0.28965761125159295, -0.939215085030968]","[-0.38243733672059554, -0.29539852515135123, 0.5032605068681003, 0.9119965083142767, 1.2174331510405616, 1.3358768186032886, 0.5788943549760377, -0.02322213562795372, -1.3140956334420004, 1.1163778102008293]","[-0.70539385, 1.3696946, -0.26255158, 0.34222364, -0.43409213, -0.1934029, 0.61532, 0.98315245, 0.28544018, 0.28023288]","(20, 10)","[-0.4336652159690857, 0.04927411675453186, 0.3586706221103668, 1.1648176908493042, 1.0178687572479248, 1.2720087766647339, 0.3781818449497223, 0.03893226385116577, -1.5214931964874268, 0.7146530151367188]"
98,"[0.656405584432002, -1.207656509505517, 0.5993212325163169, 0.583045848020239, -0.9246790935825699, -0.8244523844859435, 0.08045860789221096, 0.5647606216955552, 1.0008906723266189, -0.033911890927044164]","[0.89238032476624, -0.27793087143189765, -1.1163081610048424, 1.157745815952938, -0.004825251160305022, -0.9336506949052469, -0.18801392077725249, 0.3304851928203383, 0.3611302555446967, 0.6063882360290964]","[0.9061553, -1.5064683, -1.3307142, 0.51303077, 0.90480345, 0.56843466, 0.2819374, -0.31210724, -0.16354045, 0.10971004]","(100, 50)","[0.819602370262146, -0.29397737979888916, -1.127160668373108, 1.358014464378357, 0.11861740052700043, -0.944785475730896, -0.3252047300338745, 0.36298954486846924, 0.5297037363052368, 0.7620531320571899]"
43,"[0.2356787515456633, -1.4567976706763466, -0.6717081563961931, 0.7491927737602012, 1.8401161990665307, 1.2543654619093307, 0.4236550841755755, -0.2638848934160358, -1.8015295186173412, -1.6143054619232844]","[0.8936651462468591, -0.35428310519226647, -1.279244770599619, 0.2924188010381349, 0.7753355250100179, 1.1856339804439269, 0.16920222514247685, -0.03971924748551117, -0.35275853312716343, -1.454892218359085]","[0.21264516, 1.416903, 0.7764196, 1.2243539, -0.7650122, -0.78186804, 0.23773964, 1.0730747, -0.054446094, -1.4517355]","(50, 20)","[0.8612217903137207, -0.25604748725891113, -1.107926607131958, 0.035400278866291046, 0.6967059969902039, 1.211105465888977, 0.20431721210479736, 0.16215232014656067, -0.3647511601448059, -1.4000084400177002]"
93,"[0.20159081728108763, -0.832456530206572, -2.34844928464669, -2.406744084546449, -0.626592421845463, -0.004427805454655487, -0.28116451627828387, -0.6482656161166611, -1.5171044233122044, -3.143487794109255]","[0.595424953252961, -0.21354165075029516, -0.6627042494130758, -1.6853620546989365, -1.1050245879281169, 0.2366410515033153, -0.08846207416375293, -0.23876621576282497, -0.4213096374250091, -1.099191184232291]","[-0.16181602, 1.6172218, 2.697766, 0.1207542, -0.12763807, 1.2873845, -0.3208074, -0.41936213, 1.0927093, 0.6335678]","(10, 5)","[0.5371918082237244, -0.2868160307407379, -0.7888540625572205, -1.6514410972595215, -1.0820252895355225, 0.6805546879768372, 0.07252410799264908, -0.33399131894111633, -0.29934436082839966, -0.9875015616416931]"
3,"[-0.8002904057913294, 1.0290506471787033, 0.44813717880772275, -0.652453653396722, 0.3549254962682892, 0.049329357131917106, -0.3098622573180623, 0.18935398431869174, 1.87114900921887, 1.0091447266623186]","[-1.2886888740566862, 0.24135002736395833, 1.05012781288705, -0.26500834712459487, -0.6084618280186398, 0.714278362613648, -0.3112934910452034, -0.17610509300283525, 0.31681727635132906, 1.4903414289545136]","[-0.7044389, 1.2884591, 0.6791961, 0.4529059, -0.09713587, 1.339655, 1.5205353, 0.9912551, -1.594081, -2.1037962]","(50, 20)","[-1.3336381912231445, 0.35854822397232056, 1.0186887979507446, -0.07989729195833206, -0.7187474370002747, 0.6900507807731628, -0.2673202157020569, -0.1978113055229187, 0.3379836678504944, 1.5177749395370483]"
99,"[0.8573606561197087, 2.6652747225376228, 2.553801771180517, 0.32072359499827585, -0.3090027839208697, -0.5610798974268356, -1.999372983436337, -0.9593340330067425, -1.5437940233328593, -1.4610008393222689]","[-0.5237227771612865, 1.2423107810850893, 1.6509003690628252, 1.1761509544410473, -0.5929358291054603, 0.06798005798962059, -0.5236989517524206, -1.5293754614183677, 0.1929094815182859, -1.4944723451869706]","[-0.5474387, 1.4526069, 2.401028, 2.8551612, 2.4594362, 2.2532582, 1.4595532, 0.6252639, 1.0488977, -0.057110883]","(100, 50)","[-0.29715821146965027, 1.3183988332748413, 1.5117263793945312, 0.8788233399391174, -0.7997730374336243, 0.05190746486186981, -0.4209161102771759, -1.3704067468643188, 0.19570140540599823, -1.0905402898788452]"
36,"[-0.6109003502778931, -1.1962871269208912, -1.9284712114416345, -0.8369365861790452, 0.6752890852409565, 0.3457813541320848, -0.32961489457060145, -1.457281927215059, -2.0157293730145973, 0.548955056985752]","[0.968335967536242, -1.2523806504491404, -0.4622226711318654, -1.1407892849121728, 0.2068437794404978, 0.7695112767270815, -0.1356949080810666, -0.3459442232798006, -1.0383340428682573, -0.9692546161114881]","[-0.4358266, -0.13553894, 0.78312844, 0.57441443, 0.8250574, -0.8925109, -0.22123541, -0.5080518, 0.9816279, 2.173071]","(10, 5)","[0.8527275323867798, -1.1725637912750244, -0.3967166244983673, -1.1125283241271973, 0.537765383720398, 0.6825606226921082, -0.05771186947822571, -0.5665671825408936, -0.7957048416137695, -0.9077565670013428]"
30,"[3.6797197203677383, 2.6841988295801826, -1.355879757919341, -0.9314851555473704, 1.8615556975115024, 2.590151730329535, 1.4312375358488243, 0.6150920298430339, 0.27271521074882693, -0.30257438887931704]","[2.2680611853164563, 1.595168642486804, 0.7361818186766333, -2.257549510266589, 0.405203918100588, 1.7588772206748517, 1.0941676417778106, 0.10855137902243173, 0.09262857062372803, 0.03019481364220898]","[0.29159755, -0.9887594, 0.3453765, 1.1282831, -0.16584894, -0.8207419, 0.0055912994, 1.7815984, 1.6783724, -0.43062747]","(10, 5)","[1.2179269790649414, 1.3213447332382202, 0.8218201994895935, -2.151855230331421, 0.9586679935455322, 1.9067785739898682, 1.3398783206939697, 0.6617343425750732, -0.8272852897644043, 0.055268794298172]"
37,"[-0.7320107824784348, -1.334873221862436, -2.830270727999395, -2.171825700352501, -1.1699072417331753, -0.9083298934746911, -0.6531089742269618, 0.1716358428829503, 1.420182219659508, 1.505674042252934]","[-0.2849852189977527, -0.3586198509100228, -0.8806465713955552, -1.8900262181605831, -0.4361124281334561, -0.27270423012927714, -0.39270457700217143, -0.1858217861455479, 0.4259991456128711, 1.1052115674301346]","[-0.51662886, -1.3163394, 0.6069338, -1.0401521, -0.20940909, 0.25432912, -2.0521712, 0.5575815, 0.6342768, -1.3384207]","(20, 10)","[-0.2368200123310089, -0.30937710404396057, -0.795433759689331, -2.0356695652008057, -0.2593059241771698, -0.12261685729026794, -0.33128270506858826, -0.13449999690055847, 0.24922063946723938, 1.1822599172592163]"
1,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749350971669, 0.05570744061967592, 0.04692113136899287, 0.3338012596633283, 0.7193609829901707, 1.22202587012121, 0.04261022548454341, -2.2872743038603605, -0.654427655105257, 0.7127537782298696]","[0.63732684, 1.8058109, 1.8919826, -0.8412056, -0.92923033, 1.3220454, 0.375984, 0.4065324, 0.6559367, 0.3431816]","(20, 10)","[-0.57574063539505, 0.06951925903558731, 0.04820464551448822, 0.4481598138809204, 0.8480629324913025, 1.2211464643478394, -0.015288209542632103, -2.2661571502685547, -0.6947742104530334, 0.7121971249580383]"
31,"[-0.2961286904765348, -0.6336096511314683, 1.0251329346676603, 0.8600392488685231, -0.11189223653348883, 0.11324071608822323, 0.9080759866243711, 0.41638558378421137, -0.27700348089556404, 1.2447834539866645]","[-0.2675527565632014, 0.14081538535483745, -0.5111042131467308, 1.2299881847894252, 0.029535128252555443, -0.3426611026890122, 0.24639982591373452, 0.6614592379435917, -0.12217859368285405, -0.3091535096138941]","[-0.27798367, -0.7562494, -0.20820129, 2.187429, 0.9442884, -0.2082721, 0.2913482, 0.5957566, 0.084174275, -0.059103895]","(100, 50)","[-0.2551320791244507, 0.18360885977745056, -0.4903813600540161, 1.0233782529830933, -0.08679349720478058, -0.14783813059329987, 0.5058525800704956, 0.40346401929855347, 0.0219791978597641, -0.3061542510986328]"
97,"[-1.5808474741224197, -1.2290528862580499, 1.346181297541957, 1.1976573512813244, 0.3366372538547029, -0.6307799657498392, 0.1618084638687156, 0.2954837610351196, -0.2282927930042342, -0.06259748933095696]","[-1.3072190918419822, -0.6144420137771317, -0.6147636498973463, 1.604485878754506, 0.11279911560358014, 0.10107224788031996, -0.5985218386087331, 0.5006276465609918, 0.002299345065271241, -0.2558098988499508]","[0.9031331, 1.9586276, 0.844111, 0.3355187, -1.7455406, -1.6043291, -1.3260926, -1.2721988, -2.4129474, -0.7210871]","(20, 10)","[-1.2122803926467896, -0.31065016984939575, -0.39899563789367676, 1.9518450498580933, 0.1206192672252655, -0.09047529101371765, -0.6395361423492432, 0.4924211800098419, 0.08975651860237122, -0.31229811906814575]"
15,"[1.9877180158333834, 0.6412507552841065, -1.3332199243664182, -0.5877213416820823, -0.04635724783356576, -0.15313840750309313, -1.3506328108232484, -2.250841349679237, -0.0869710897871927, 1.8672560230339834]","[0.452616209214033, 1.5766792051359406, -0.6501895378176186, -1.1402602649260716, 0.32905387248597995, 0.013888658901490259, -0.1276943853127383, -1.1097382782745002, -1.1645264933805102, 1.0720202706298756]","[-0.08204752, -2.321678, -0.20941131, -1.0671043, 0.6850913, -0.87535197, -0.72778714, 0.19234833, 0.77623355, -0.05298421]","(50, 20)","[0.4999828338623047, 1.7324321269989014, -0.7103515863418579, -1.213111162185669, 0.3536797761917114, 0.25220298767089844, -0.22651323676109314, -1.4190988540649414, -1.3481864929199219, 0.8675355911254883]"
12,"[-0.5665367880497909, 1.1403017394872068, 0.5746923468504876, 0.19917871632039397, -0.8406831135469511, -0.4668181337551374, 0.8656601854278306, 1.6994210696335283, 1.9761560482455671, -0.2601532368493624]","[-0.6552178562071084, -1.0754161444789725, 0.8887235997363578, -0.32318944194337285, 0.07716916343596436, -0.937715948294092, -0.047225411657320804, 1.0564842274852062, 1.2170319704545367, 1.4448222358644522]","[-0.06536211, -1.7241467, -0.44924408, -0.13331234, -1.0759615, 0.22107174, -0.69779974, -0.035446253, 0.42619935, 1.5493742]","(50, 20)","[-0.27598923444747925, -0.47582682967185974, 1.0818250179290771, -0.19937041401863098, 0.28870174288749695, -0.7548606395721436, -0.22226861119270325, 0.7317039966583252, 1.0835241079330444, 1.010878562927246]"
21,"[-0.12209518045912171, -0.49232190219066185, 0.273603898841564, 0.07303147537178839, -0.8278595447446644, 0.4218687285241316, 0.2656092206333669, -1.8561907060811473, -2.323855822887737, -0.9278921284749352]","[0.3090763147491202, -0.2195393520039349, -0.38129807572068775, 0.539285732735527, -0.25194297584956593, -0.6769613656379327, 0.8711247283849197, -0.2565838212678197, -1.680694389858527, -1.0632215428628462]","[-0.9758745, 0.66955274, -0.94845206, -1.5127747, -1.7463242, -2.501985, -1.5872848, -1.6223354, -1.6106484, 0.063938044]","(50, 20)","[0.30144187808036804, 0.11993411928415298, -0.8815134763717651, 0.5002529621124268, -0.1999019980430603, -1.040055513381958, 0.9275499582290649, -0.155460387468338, -1.7895333766937256, -1.0703256130218506]"
13,"[1.4793128611023205, 0.591042788834431, 0.3477782217475577, -0.806349611187325, -0.9062769035464382, 0.05592871077716732, 0.20916445777627946, -1.3139142763056653, -2.753412723668258, -2.3515827973302845]","[1.3635882169555849, 0.39423311404448613, 0.20574807604961282, 0.17493091898737567, -0.8586789620260133, -0.2716499920349156, 0.2865482657520384, 0.00586822524030034, -1.217918064509364, -1.7062703605949012]","[-0.611222, 1.3266082, 0.0038517583, -1.2442476, -1.3175085, -0.9151057, 0.7864509, 1.5018646, 0.8747282, 1.3763757]","(20, 10)","[1.1707136631011963, 0.2925523519515991, 0.07335937023162842, 0.09918355941772461, -0.8430980443954468, -0.301067590713501, 0.23253917694091797, -0.0199124813079834, -1.2018771171569824, -1.5579601526260376]"
20,"[0.8896314159026872, -0.5813853203745856, -3.07725423138906, -3.178129315348814, 0.0009961796221158448, 0.4946515920223329, -0.9000429254088452, -0.9231928517859458, 1.8351160477986588, 2.4359315456730197]","[0.31697806608333295, 0.23955308459080216, -0.8252315520117297, -2.207631120266667, -1.119152866533463, 1.2586714568753656, -0.062132995037134986, -0.8855618299821835, -0.22463208841360643, 1.924961402585053]","[0.94037855, -1.2441883, -0.5827656, -0.3570008, -2.1814177, -2.0887659, 1.327231, 1.1266533, 0.35589212, 1.1681747]","(50, 20)","[0.40817224979400635, 0.4248991906642914, -0.6006932258605957, -2.8691956996917725, -0.7762371301651001, 1.0160577297210693, -0.4333218038082123, -0.9949381351470947, -0.31630584597587585, 2.1784026622772217]"
96,"[-1.2741581362232641, -0.735933208541081, 0.27360876414691276, 0.4293168106664177, 1.612928681231648, 2.462793050964408, 1.3723185701398026, 2.5126341570302753, 3.22601166774103, 1.4886932623391762]","[0.11799775593264265, -1.2075134731034063, 0.21385354676782886, 0.3417462030610175, 0.17023055749834345, 1.3331804668721332, 1.2734274262552403, 0.05595109619423633, 2.009168061722254, 1.4511184805595319]","[-0.73176974, 1.9135001, 0.7936805, 0.053230383, 0.055744626, -0.6242425, 1.0802703, -0.69220716, -1.0460019, -0.74176073]","(50, 20)","[0.3762339651584625, -1.2324161529541016, 0.022962123155593872, 0.449585884809494, 0.3160562217235565, 1.4932770729064941, 1.2575231790542603, -0.06987041234970093, 1.8786784410476685, 1.0146825313568115]"
