seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
20,"[0.8896314159026872, -0.5813853203745856, -3.07725423138906, -3.178129315348814, 0.0009961796221158448, 0.4946515920223329, -0.9000429254088452, -0.9231928517859458, 1.8351160477986588, 2.4359315456730197]","[0.31697806608333295, 0.23955308459080216, -0.8252315520117297, -2.207631120266667, -1.119152866533463, 1.2586714568753656, -0.062132995037134986, -0.8855618299821835, -0.22463208841360643, 1.924961402585053]","[0.1966472, 0.2787037, -0.75796914, -1.0577586, -0.3011474, 0.3232281, -0.040659636, -0.46922487, 0.6553005, 1.0176439]","(100, 20)",0.0001,"[0.49321189522743225, 0.46534326672554016, -1.0654665231704712, -2.0554938316345215, -1.197364091873169, 1.0187283754348755, 0.06371593475341797, -1.0403916835784912, -0.36387011408805847, 1.6479790210723877]"
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670033078274, 0.045295010634492594, 0.03639834552131513, -0.8345627503645376, 0.6962977496386662, -0.31022366132304036, -0.7965547439488251, -0.4934608792273786, 0.8607952962943064, 0.8267061307131363]","[0.05017266, 0.37256834, -0.21775724, -0.6722671, -0.85042715, -0.5393975, -0.025533888, 0.0060890047, 0.20999777, -0.24242397]","(50, 10)",1e-05,"[1.1079044342041016, 0.024071715772151947, 0.1703944206237793, -0.5661486983299255, 1.0207267999649048, -1.0245153903961182, -0.3299260139465332, -0.4835897386074066, 1.2125524282455444, 0.7909961938858032]"
24,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[-1.3201343, -0.8249587, 0.2822619, 0.790575, 1.0838342, -2.0261633, -1.1872846, -0.9013613, -0.10508471, -0.37743267]","(50, 10)",0.0001,"[-0.11446778476238251, -0.4546167850494385, 0.7082346677780151, 0.8701812624931335, -0.9091747403144836, -2.9855263233184814, -0.6823140978813171, 0.4473540186882019, 1.3882474899291992, 1.686820387840271]"
23,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779088600898, -0.7196011912853146, -0.8955135842721336, 0.623586842566207, -0.9838691679522027, -0.9860855733164424, -0.6569630702756915, -0.2732891380289769, 0.9986625806476012, 2.608809982477677]","[-0.71370596, -1.3933058, 0.25827914, 1.2693506, 0.7780743, 0.34923977, -0.5050954, -0.66405445, 0.25259626, -0.21437596]","(50, 10)",1e-05,"[0.029391661286354065, -0.8458666205406189, -1.0248479843139648, 0.7291770577430725, -1.1880117654800415, -1.0806736946105957, -0.7341151833534241, -0.34039467573165894, 0.8386514782905579, 2.297748565673828]"
28,"[0.523710630683018, 0.04752838082399702, -0.12177348507794875, 0.026768672560152126, 0.3361239468267235, 0.22293268048079945, -2.111120066759831, -0.4133371844290823, 0.5128633588881688, 1.8524875363268667]","[0.6964075809833349, -0.010083503945174377, -0.11412976140365327, -0.08651596914252752, 0.09020151778366658, 0.2651784074899317, 0.010131085107810134, -1.9771454024180148, 0.9265166918163132, 0.28213090777945427]","[0.655383, -0.4553193, -0.18924089, -0.19257288, -0.18845129, 0.60288507, -0.014945759, -0.9221432, 0.053011846, -0.22361493]","(100, 20)",0.0001,"[0.4619849920272827, 0.09595295786857605, -0.22179065644741058, -0.4129725694656372, -0.1415918916463852, 0.10190446674823761, -0.17153812944889069, -1.9123510122299194, 1.5000110864639282, 0.17884494364261627]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[-0.0033204989, 0.1956697, -0.28843993, 0.22669944, -0.07586453, -0.05531304, 0.7755248, 0.8694613, 0.15528296, -1.3709658]","(100, 20)",1e-05,"[0.5357605218887329, -0.10071037709712982, -1.329238772392273, -0.002960994839668274, -0.04917563498020172, -0.2565203905105591, 1.0043219327926636, 0.8292211294174194, -0.274613618850708, -1.6664423942565918]"
1,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749350971669, 0.05570744061967592, 0.04692113136899287, 0.3338012596633283, 0.7193609829901707, 1.22202587012121, 0.04261022548454341, -2.2872743038603605, -0.654427655105257, 0.7127537782298696]","[-0.84125197, -0.2688343, 0.5778473, 0.7530382, 1.0564237, 1.2623062, 0.81921536, -0.87570274, -1.1014193, 0.97716916]","(100, 20)",1e-05,"[-0.5717563033103943, -0.12822794914245605, -0.059347547590732574, 0.4891568720340729, 1.1560920476913452, 1.4489741325378418, 0.19485831260681152, -2.533752679824829, -0.6801561117172241, 0.5836358666419983]"
42,"[-0.06858052528652114, -1.9751580636656185, -2.034305230401492, -1.3042183002903787, -1.4179465516388512, -1.0646669975907521, 1.5073995488094774, 2.3797839958092455, 0.4982002654262605, -0.0017346807961412525]","[-0.2685296915967154, 0.06565910261822842, -1.7805181278289597, -0.620154301716403, -0.43043333500711806, -0.7865157732484593, -0.2974669693579119, 1.726179748188485, 1.0658881156080082, -0.5575718719782329]","[-0.39877272, 0.15344179, -0.6417187, -0.8417555, -0.5956872, -0.472454, -0.3067689, 0.68839103, 0.9712055, 0.9555953]","(100, 20)",1e-05,"[-0.01062515377998352, -0.054777562618255615, -1.819689154624939, -0.7320457696914673, -0.41482046246528625, -0.7656663656234741, -0.2674425542354584, 1.3431806564331055, 1.2520784139633179, -0.7659406661987305]"
51,"[2.7801558908965927, 1.444691466795002, 0.22295876801519848, -2.5569285765859204, -3.1433200735719717, -3.4560790809189634, -1.0621860721879726, -0.43184800559919734, -1.6916701320538288, -1.5772351497153858]","[0.7766095537212697, 1.5092634389351196, 0.049015233025471394, -0.19471922016135285, -2.2825688398236044, -1.367981174414157, -1.8097561946364975, 0.5725625674728206, -0.2891420684701895, -1.3062478105663229]","[1.2578993, 0.683075, 0.9920603, -0.46500343, -1.2653676, -1.2361403, -1.0915622, -0.34080386, -0.12822646, -0.91329336]","(100, 20)",1e-05,"[1.002850890159607, 1.6445027589797974, 0.388285368680954, -0.2591882050037384, -2.151911973953247, -1.3277392387390137, -1.5578598976135254, 0.666613757610321, -0.3799912631511688, -1.2656497955322266]"
43,"[0.2356787515456633, -1.4567976706763466, -0.6717081563961931, 0.7491927737602012, 1.8401161990665307, 1.2543654619093307, 0.4236550841755755, -0.2638848934160358, -1.8015295186173412, -1.6143054619232844]","[0.8936651462468591, -0.35428310519226647, -1.279244770599619, 0.2924188010381349, 0.7753355250100179, 1.1856339804439269, 0.16920222514247685, -0.03971924748551117, -0.35275853312716343, -1.454892218359085]","[1.5052952, 0.8482464, -0.35708535, 0.5621262, -0.41955575, -0.8929711, 0.522492, 1.2655243, -0.58441114, -1.0168731]","(50, 10)",0.0001,"[0.962337851524353, -0.3110511004924774, -1.2721586227416992, 0.22507503628730774, 0.8122954368591309, 1.1688895225524902, 0.28505757451057434, -0.1636180579662323, -0.29133865237236023, -1.467860221862793]"
38,"[-1.5664670941876349, 0.15243834229327857, 0.983753246404777, -0.5436373409011893, 0.8970963991631993, -0.0952211032098027, 0.27406666345592756, 0.8660951032587624, -0.13081336499192697, 0.48545526971877406]","[-0.6373852795941993, -0.9784189595590161, 0.8215565121874283, 0.43617073690507185, -0.8732063213861858, 1.4038207891099832, -0.9518759748078693, 0.7639177765445756, 0.39430071579467296, -0.4594376747348362]","[-0.64130306, -0.30380794, 1.5831171, 0.93412805, -0.874869, 1.6863376, -1.698666, 1.4129598, 0.91699487, -1.0092636]","(100, 20)",0.0001,"[-0.5332455635070801, -0.7871448993682861, 0.7189638614654541, 0.765604555606842, -0.7902350425720215, 1.0629254579544067, -0.585490345954895, 0.42252108454704285, 0.7972701787948608, -0.48250141739845276]"
2,"[1.117955292270915, -0.5518213055246787, -1.8093663247008356, 0.6038570961881811, 1.7866471785563718, 0.9735819005629688, 0.6416274664424011, 0.07042582739030706, -0.18387678254019418, 0.10128451690205971]","[-0.15190144148019213, 0.7659468546665001, -1.0723893314947321, -1.0744256727534076, 1.433569264241069, 0.9164594307250928, 0.008543065285985252, 0.26322416574415114, -0.22021599527445368, -0.11102642785288429]","[0.037512682, 0.4538826, -0.690586, -0.8456383, 0.6246466, 1.0674978, -0.31958306, 0.42854598, -0.7129434, -0.3568532]","(100, 20)",0.0001,"[-0.4928020238876343, 0.7658597230911255, -1.0438733100891113, -1.0304034948349, 0.753089427947998, 1.1469476222991943, -0.38053271174430847, 0.3250862956047058, -0.6040046215057373, -0.19856548309326172]"
94,"[-0.3082293840259648, -0.2968024086668181, 1.6957894015159427, 1.9099167868751448, 0.6237615270226489, 0.2904857733246174, 0.9414048756159239, 0.8087004644333763, -0.9667144195959287, -2.3180183124851075]","[-1.1856597651624392, 0.443109902812491, -0.4442051164897517, 1.7620976785048408, 0.710605119389977, -0.03993464772054828, 0.279485543295708, 0.6966531719473236, 0.2813386942711495, -1.1166451915279327]","[-0.7214745, -1.510773, 1.6216286, 0.8345851, -1.3678167, -1.4771117, -0.42396224, 0.8104053, 1.5585461, 0.042419065]","(50, 10)",0.0001,"[-1.191732406616211, 0.4038273096084595, -0.17112573981285095, 1.54466712474823, 0.6736109852790833, -0.21506252884864807, 0.2002047896385193, 0.669727087020874, 0.34936535358428955, -1.152699589729309]"
