seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
2,"[1.117955292270915, -0.5518213055246787, -1.8093663247008356, 0.6038570961881811, 1.7866471785563718, 0.9735819005629688, 0.6416274664424011, 0.07042582739030706, -0.18387678254019418, 0.10128451690205971]","[-0.15190144148019213, 0.7659468546665001, -1.0723893314947321, -1.0744256727534076, 1.433569264241069, 0.9164594307250928, 0.008543065285985252, 0.26322416574415114, -0.22021599527445368, -0.11102642785288429]","[0.85093343, 0.48584592, 0.89666593, 0.5365161, -1.1436416, -1.1232936, -1.0093964, -0.23803489, -1.1395761, -0.45490712]","(20, 4)",1e-05,"[-0.016186438500881195, 0.5078622102737427, -0.9157401919364929, -1.1512798070907593, 1.1291993856430054, 0.9712240099906921, -0.042922936379909515, 0.05987647920846939, -0.30745044350624084, -0.21078798174858093]"
6,"[0.8053994409555097, 0.8856414169249209, 0.4943224239362206, 1.7995936753740582, 1.7673214780165216, 0.6334584440749447, 1.8001778240967057, 0.22129878296870098, -1.9224282693789516, -2.283598234786646]","[1.1541817622107653, 0.28073871009764134, 0.46523209629729423, 0.00660115850473994, 1.5086673621888056, 0.4808786174208332, -0.1226396265682021, 1.5264069482365221, -0.9426061774389248, -1.4269596304347576]","[1.2094318, 0.8989742, 1.1463382, -0.26951608, -0.58008593, -0.004120176, -0.83081675, -0.46955606, -0.66149926, -0.15609373]","(20, 4)",1e-05,"[1.313161849975586, 0.05286794900894165, 0.5547447800636292, -0.0869411826133728, 1.5844459533691406, 0.3405178189277649, -0.18119686841964722, 1.5587420463562012, -1.0960407257080078, -1.4091565608978271]"
31,"[-0.2961286904765348, -0.6336096511314683, 1.0251329346676603, 0.8600392488685231, -0.11189223653348883, 0.11324071608822323, 0.9080759866243711, 0.41638558378421137, -0.27700348089556404, 1.2447834539866645]","[-0.2675527565632014, 0.14081538535483745, -0.5111042131467308, 1.2299881847894252, 0.029535128252555443, -0.3426611026890122, 0.24639982591373452, 0.6614592379435917, -0.12217859368285405, -0.3091535096138941]","[0.84639144, 0.29583147, 0.7006654, -0.2752726, -0.70657307, -1.538515, -1.0047187, 1.3598309, 1.4222795, 1.0054833]","(20, 4)",1e-05,"[-0.7127923369407654, 0.5494104027748108, -0.7032670378684998, 1.3214863538742065, 0.05289657413959503, -0.12159876525402069, 0.24774391949176788, 0.515117883682251, 0.014176025986671448, -0.12853150069713593]"
3,"[-0.8002904057913294, 1.0290506471787033, 0.44813717880772275, -0.652453653396722, 0.3549254962682892, 0.049329357131917106, -0.3098622573180623, 0.18935398431869174, 1.87114900921887, 1.0091447266623186]","[-1.2886888740566862, 0.24135002736395833, 1.05012781288705, -0.26500834712459487, -0.6084618280186398, 0.714278362613648, -0.3112934910452034, -0.17610509300283525, 0.31681727635132906, 1.4903414289545136]","[0.44870234, 0.6387853, -1.0613048, -2.6237423, -1.6265627, 1.9086398, 0.35940918, 0.9172894, 1.2952251, -0.35860786]","(20, 4)",1e-05,"[-0.7990484833717346, 0.17099672555923462, 1.2083816528320312, -0.4288892149925232, -0.6906483173370361, 0.6135399341583252, -0.17375421524047852, 0.03899645805358887, 0.36470532417297363, 1.3480522632598877]"
1,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749350971669, 0.05570744061967592, 0.04692113136899287, 0.3338012596633283, 0.7193609829901707, 1.22202587012121, 0.04261022548454341, -2.2872743038603605, -0.654427655105257, 0.7127537782298696]","[0.018100783, 0.73119086, -0.763137, -0.42495286, 0.54895437, -0.12264533, -2.75219, -0.72020805, 0.97698456, 1.1894299]","(50, 10)",1e-05,"[-0.6150374412536621, 0.1950245499610901, 0.05275920033454895, 0.4648084044456482, 1.0292131900787354, 1.373547077178955, 0.06341046094894409, -2.5062100887298584, -0.7479821443557739, 0.7341461777687073]"
19,"[-0.7112980372260169, 0.5369460039820787, -0.2239064927329748, -0.6714163521295253, 0.15471560840418275, 1.626880414522232, 1.7047193560827267, 0.47754033762371034, -1.840320257066993, -0.9194332307565033]","[-1.454298790492691, 0.0624549902523136, 0.669018961881592, -0.5750900989990226, -0.3502980217424175, 0.44819568901649687, 1.2708731445751178, 0.6446279925355589, -0.2770818606459697, -1.7052968532178858]","[-0.068349704, 1.973536, 1.9741492, 2.0387983, 1.3919257, -0.21663459, -1.0671794, -0.32185808, -0.20469491, 0.9493767]","(20, 4)",1e-05,"[-1.2576625347137451, -0.3289240002632141, 0.6316109299659729, -0.5962162017822266, -0.4343830347061157, 0.5194941163063049, 1.2113219499588013, 0.6538340449333191, -0.36055317521095276, -1.7623655796051025]"
78,"[-1.786411214463587, -1.8354435815308485, -1.2823137440676615, -0.3262719890789862, -0.9540302994008945, 0.005323301806313019, 1.7321971066872592, 1.8547066062348914, 0.4942234998395071, -1.5670137052905864]","[-0.674789029189929, -1.1568657175248143, -0.9246396675123958, -0.5123314281704237, 0.0765796076367032, -0.9040122022991512, 0.5647762120183046, 1.3221754808728161, 0.804453646652284, -0.14498520812009277]","[-0.015212825, -0.535316, -0.94705456, -1.4850224, -0.8986141, 0.27871224, 0.027026538, 1.6794562, 1.7735637, 1.4195867]","(50, 10)",1e-05,"[-0.7207461595535278, -1.1697862148284912, -1.0886462926864624, -0.6305590271949768, 0.043041739612817764, -0.6466967463493347, 0.3041272759437561, 1.691919207572937, 0.7099417448043823, -0.43770188093185425]"
77,"[1.6381681811464013, 1.5163091051092064, -0.01503119565809874, -0.7291922849134499, -0.6024020784517252, -1.0381969221159666, -0.49444726436241826, -0.26433945326827135, 0.8936261423364658, 1.108942721816281]","[0.6339363739651767, 1.1403998556384682, 0.6058138444675307, -0.46367689644162696, -0.40552387211727314, -0.24900957693041903, -0.7681262590692697, 0.03880090606487829, -0.20233734897699485, 0.9126336494675971]","[-1.3158672, 0.3403866, 1.7288283, 0.31529352, 0.95270616, 1.5918733, 1.2227125, -0.7882873, -0.9008183, 0.5794001]","(20, 4)",1e-05,"[0.6146465539932251, 1.0797349214553833, 0.5360804796218872, -0.4694201350212097, -0.39376455545425415, -0.04459260404109955, -0.6924130916595459, 0.08106331527233124, -0.06302733719348907, 0.8945879340171814]"
28,"[0.523710630683018, 0.04752838082399702, -0.12177348507794875, 0.026768672560152126, 0.3361239468267235, 0.22293268048079945, -2.111120066759831, -0.4133371844290823, 0.5128633588881688, 1.8524875363268667]","[0.6964075809833349, -0.010083503945174377, -0.11412976140365327, -0.08651596914252752, 0.09020151778366658, 0.2651784074899317, 0.010131085107810134, -1.9771454024180148, 0.9265166918163132, 0.28213090777945427]","[1.1035801, 1.6668304, 1.2881334, -1.6204704, -1.08752, 0.48232025, -0.50326633, -1.7554182, 0.21182655, 2.0139236]","(20, 4)",1e-05,"[0.4775650203227997, -0.1402130424976349, -0.40303680300712585, -0.11560256034135818, -0.10688010603189468, 0.02988307923078537, -0.10933279246091843, -1.9259066581726074, 1.9183367490768433, 0.4771803319454193]"
5,"[0.21598835098125613, -0.9042088904919257, -1.8090137817402674, -1.4089284280220933, 0.3948796173719372, 1.6563896397729863, 1.8222513045715725, 0.7513808381041238, 0.21509180691047064, 0.15812087009887799]","[0.6154961032275815, -0.3136113147674944, -0.7307070251522265, -1.0857750591912372, -0.36710350518281143, 0.8477930584109312, 1.036008005092716, 0.7895444422513049, -0.10497680037970286, 0.03850099236816193]","[0.3812658, 0.64094365, -0.70781434, -1.0387263, -0.4482473, 0.4277416, 1.1786318, 0.70503813, 0.2074598, -0.31221795]","(20, 4)",1e-05,"[0.7243373990058899, -0.3748492896556854, -0.8033967018127441, -1.0972806215286255, -0.2433691918849945, 0.9418144822120667, 0.957798182964325, 0.8254422545433044, 0.040423907339572906, 0.00752798467874527]"
24,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[0.73017174, 0.3896014, -0.31022173, 0.14077659, -0.20901257, -0.011149671, 0.40968722, -0.13407257, -0.32792807, -0.015096156]","(20, 4)",1e-05,"[-0.021266400814056396, -1.0811271667480469, 0.9823166728019714, 0.9636619687080383, -1.4267466068267822, -1.0863285064697266, -1.0379164218902588, -0.4729427397251129, 1.5179188251495361, 1.4449880123138428]"
25,"[1.080499510070525, 2.050462369521346, 1.1660135123636166, -0.11025214627619051, -0.8275167082373214, 0.29475418043174917, 0.8726591148291903, 1.0289695655039972, 1.7528068465108266, 2.38007842498586]","[1.3557094127976588, -0.029052082451668126, 1.4487197991807568, -0.11672111117880979, -0.5354971588010836, -0.5782910618128979, 0.4994290488421691, 0.36414371129540474, 0.4366384865607027, 1.0805702505069752]","[0.46404648, 0.26616138, -2.3850944, -0.49300024, 0.16339722, -0.07636004, -1.2114317, 0.60257393, -1.0236894, 0.24006]","(20, 4)",1e-05,"[1.4002540111541748, -0.08132296800613403, 1.5102956295013428, -0.13543671369552612, -0.5083813667297363, -0.5854301452636719, 1.1901090145111084, 0.2873443365097046, 0.7402702569961548, 1.2790567874908447]"
96,"[-1.2741581362232641, -0.735933208541081, 0.27360876414691276, 0.4293168106664177, 1.612928681231648, 2.462793050964408, 1.3723185701398026, 2.5126341570302753, 3.22601166774103, 1.4886932623391762]","[0.11799775593264265, -1.2075134731034063, 0.21385354676782886, 0.3417462030610175, 0.17023055749834345, 1.3331804668721332, 1.2734274262552403, 0.05595109619423633, 2.009168061722254, 1.4511184805595319]","[-0.06638521, 1.6610562, 1.3632087, -0.8644583, 0.6097233, -0.68197864, 0.6475698, -0.8556531, -1.4602504, -1.3169256]","(50, 10)",1e-05,"[0.21857504546642303, -1.458695888519287, 0.2843078374862671, 0.22940532863140106, 0.6286892890930176, 1.2800103425979614, 1.2038841247558594, -0.04157145321369171, 1.7646887302398682, 1.1858043670654297]"
29,"[-0.3838494298390033, -0.8209339735103687, -0.29288624789992923, -0.0011933479864128516, -0.21558756453364483, -0.17361018908784606, 1.3877131053933396, 2.1533300994088713, 0.6818409273858781, 0.9164525058305746]","[-0.6444171644428858, 0.13447758071923782, -0.780661098213375, 0.28706017567068354, -0.0907570427572727, -0.1596847561649396, -0.04078152977932764, 1.3872118206961348, 1.0713009097000374, -0.3327560713990486]","[-0.65812725, 0.1410834, 1.3767977, 1.6836426, 1.450451, 1.0900384, 0.71101916, -1.2405462, -1.5333135, -1.6829048]","(20, 4)",1e-05,"[-0.5267089605331421, 0.9873923063278198, -0.6170450448989868, 0.6374460458755493, -0.05196259170770645, -0.15151071548461914, 0.05128927528858185, 1.3578327894210815, 1.1032687425613403, -0.3625275790691376]"
