seed,True,ARMA,Informer,Informer_para,Informer_lr,RNN
8,"[-0.1459271072689517, -0.39088531478562016, -0.38063486707447913, 0.08866428006592048, -1.0456591362723784, -1.7036151373825725, -2.0873723395931476, -0.6757411489484053, 0.29169593142698025, 0.310696188212238]","[-0.015614548841277082, -0.17930241731321095, -0.22761894312515607, -0.14237562011668342, 0.22756952080995563, -1.0422649249197877, -0.780998356589522, -1.0972750190895795, 0.37338283437187825, 0.23196248186598198]","[0.46753144, 0.0065565556, -1.0019108, 1.0166746, -0.1215726, -0.5665799, 0.22462428, -1.7167349, -0.3404897, 0.5126124]","(20, 4)",1e-06,"[-0.042267560958862305, -0.26253390312194824, -0.2881782650947571, -0.1305471658706665, 0.2886672616004944, -1.218112587928772, -0.6569222211837769, -0.9621690511703491, 0.49624955654144287, 0.3088412284851074]"
23,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779088600898, -0.7196011912853146, -0.8955135842721336, 0.623586842566207, -0.9838691679522027, -0.9860855733164424, -0.6569630702756915, -0.2732891380289769, 0.9986625806476012, 2.608809982477677]","[-1.0898523, -1.3818716, -0.77202535, -0.18868482, 1.9848111, 0.34486443, -1.968014, -1.4942173, 0.47911686, 1.4670773]","(10, 2)",1e-06,"[0.353922575712204, -1.1012425422668457, -0.8683034181594849, 0.611689567565918, -1.2816168069839478, -0.8856968283653259, -0.9218540787696838, -0.599304735660553, 1.006748080253601, 1.8004298210144043]"
78,"[-1.786411214463587, -1.8354435815308485, -1.2823137440676615, -0.3262719890789862, -0.9540302994008945, 0.005323301806313019, 1.7321971066872592, 1.8547066062348914, 0.4942234998395071, -1.5670137052905864]","[-0.674789029189929, -1.1568657175248143, -0.9246396675123958, -0.5123314281704237, 0.0765796076367032, -0.9040122022991512, 0.5647762120183046, 1.3221754808728161, 0.804453646652284, -0.14498520812009277]","[-1.2412133, -0.9962463, -0.17667834, 0.42413816, 0.4740341, 0.19689718, 1.6678156, 1.5888381, -1.2156422, -0.26430318]","(20, 4)",1e-06,"[-0.7031072378158569, -1.295288324356079, -0.9514145255088806, -0.5602577924728394, -0.17411980032920837, -0.7512121200561523, 0.3338581919670105, 1.576642632484436, 0.7730403542518616, -0.5778741240501404]"
5,"[0.21598835098125613, -0.9042088904919257, -1.8090137817402674, -1.4089284280220933, 0.3948796173719372, 1.6563896397729863, 1.8222513045715725, 0.7513808381041238, 0.21509180691047064, 0.15812087009887799]","[0.6154961032275815, -0.3136113147674944, -0.7307070251522265, -1.0857750591912372, -0.36710350518281143, 0.8477930584109312, 1.036008005092716, 0.7895444422513049, -0.10497680037970286, 0.03850099236816193]","[-0.13402481, -1.581418, -1.1650394, -0.62263376, -0.40703887, -0.3598685, -0.7793498, -0.47924936, -0.47541085, 0.17518246]","(10, 2)",1e-06,"[0.7395089864730835, -0.2586520314216614, -0.5685766935348511, -1.063262701034546, -0.26869553327560425, 0.875707745552063, 1.1331262588500977, 0.7387303709983826, -0.13259625434875488, 0.015097126364707947]"
98,"[0.656405584432002, -1.207656509505517, 0.5993212325163169, 0.583045848020239, -0.9246790935825699, -0.8244523844859435, 0.08045860789221096, 0.5647606216955552, 1.0008906723266189, -0.033911890927044164]","[0.89238032476624, -0.27793087143189765, -1.1163081610048424, 1.157745815952938, -0.004825251160305022, -0.9336506949052469, -0.18801392077725249, 0.3304851928203383, 0.3611302555446967, 0.6063882360290964]","[0.124499746, 0.95936114, 1.0432128, -0.12690637, 1.3146387, 1.3118896, 0.8859704, 0.880361, -0.11220455, 0.61786383]","(20, 4)",1e-06,"[0.7747080326080322, -0.17670807242393494, -1.2011947631835938, 1.2382233142852783, 0.20841997861862183, -0.9369807243347168, -0.17034512758255005, 0.4028891623020172, 0.4438180923461914, 0.5701714754104614]"
56,"[1.1277697917032894, -0.6167016375988958, -2.2454707975740966, -1.7216037819454042, -0.2057979258287624, -0.6431066014382045, -0.994871653897775, 0.13107371707070214, 0.08136512881196556, -0.40860584270981265]","[1.4932332608483412, -0.1504634607184563, -0.7908307717772567, -1.5521188279192026, -0.34009359626404556, 0.40560701180921566, -0.6943650736795459, -0.4511481429464359, 0.563564792873223, -0.19104600163434404]","[0.3280063, 1.6051067, 0.69374084, -0.9488015, 0.2826213, 0.799815, -0.50540733, -0.32986102, -0.1420682, 0.72075415]","(20, 4)",1e-05,"[1.2499161958694458, -0.08932971954345703, -1.0674458742141724, -1.4173533916473389, -0.7370338439941406, 0.6052476167678833, -0.8955765962600708, -0.7000545263290405, 0.7274541854858398, -0.35408899188041687]"
20,"[0.8896314159026872, -0.5813853203745856, -3.07725423138906, -3.178129315348814, 0.0009961796221158448, 0.4946515920223329, -0.9000429254088452, -0.9231928517859458, 1.8351160477986588, 2.4359315456730197]","[0.31697806608333295, 0.23955308459080216, -0.8252315520117297, -2.207631120266667, -1.119152866533463, 1.2586714568753656, -0.062132995037134986, -0.8855618299821835, -0.22463208841360643, 1.924961402585053]","[0.7195897, -0.7362713, -0.8871931, 0.6741986, 1.2857764, 0.8434612, 0.18060952, -0.7196897, -0.9636832, -1.3063108]","(10, 2)",1e-06,"[0.35252419114112854, 0.41672590374946594, -0.7368383407592773, -1.9529414176940918, -0.8185768127441406, 0.8301182985305786, 0.3952074348926544, -0.9791851043701172, -0.16741430759429932, 1.4632681608200073]"
6,"[0.8053994409555097, 0.8856414169249209, 0.4943224239362206, 1.7995936753740582, 1.7673214780165216, 0.6334584440749447, 1.8001778240967057, 0.22129878296870098, -1.9224282693789516, -2.283598234786646]","[1.1541817622107653, 0.28073871009764134, 0.46523209629729423, 0.00660115850473994, 1.5086673621888056, 0.4808786174208332, -0.1226396265682021, 1.5264069482365221, -0.9426061774389248, -1.4269596304347576]","[0.57328814, -0.25567773, -1.1274779, 0.76657236, -0.7740062, -0.933792, 0.9564919, 0.6463341, -0.13571487, 0.8955998]","(10, 2)",1e-06,"[0.9391940832138062, 0.5199263095855713, 0.4402770698070526, 0.1827392280101776, 1.5703531503677368, 0.4158117473125458, -0.09016039967536926, 1.5399922132492065, -0.8425531387329102, -1.2068665027618408]"
55,"[0.9385057848644893, 0.4611060020433973, -0.7800011553020153, -1.16336574100135, 0.24006685469578415, 0.9343065873976425, 1.7347838283635246, 1.392368765525556, 0.9443571039674578, 1.4741979605798183]","[0.01919977144050522, 0.9445939943766618, -0.19160403014056093, -0.7725985027704652, -0.5591570283854266, 0.7551200249281451, 0.5078446919972052, 1.136495259810522, 0.3652250066196633, 0.3369149255735505]","[-1.4409157, -1.8711065, -0.8704106, 0.24425322, 0.39453417, 0.8113897, 0.929631, 0.6054371, -0.41509357, 1.5103567]","(20, 4)",1e-06,"[0.06098377704620361, 1.3597437143325806, -0.5321892499923706, -0.6170430183410645, -0.7286454439163208, 0.8527573347091675, 0.46104609966278076, 1.0910149812698364, 0.33091509342193604, 0.29490911960601807]"
94,"[-0.3082293840259648, -0.2968024086668181, 1.6957894015159427, 1.9099167868751448, 0.6237615270226489, 0.2904857733246174, 0.9414048756159239, 0.8087004644333763, -0.9667144195959287, -2.3180183124851075]","[-1.1856597651624392, 0.443109902812491, -0.4442051164897517, 1.7620976785048408, 0.710605119389977, -0.03993464772054828, 0.279485543295708, 0.6966531719473236, 0.2813386942711495, -1.1166451915279327]","[-0.266596, 0.6412734, 0.36669973, 1.4464699, 1.0599618, 0.8760152, 0.32664678, -0.19012645, -1.8426192, -0.74073124]","(10, 2)",1e-06,"[-1.213573694229126, 0.402787983417511, -0.19071494042873383, 1.4617335796356201, 0.6654146909713745, -0.2781693935394287, 0.3226255178451538, 0.6498136520385742, 0.21235446631908417, -1.1205644607543945]"
1,"[-0.44777366358533155, -0.10574035166322028, 0.3966155421575484, 1.0972745116866522, 2.027988567456552, 1.1397070686752993, -2.2610192634955197, -2.39598013703586, -0.3067146415432615, 0.40023086770772087]","[-0.6517749350971669, 0.05570744061967592, 0.04692113136899287, 0.3338012596633283, 0.7193609829901707, 1.22202587012121, 0.04261022548454341, -2.2872743038603605, -0.654427655105257, 0.7127537782298696]","[-0.5195445, -0.4875783, 0.18218257, 1.2169665, 1.2033409, 0.5292401, -1.0137664, 1.5849462, 0.7448182, 1.3590345]","(10, 2)",1e-06,"[-0.567444384098053, -0.021570265293121338, 0.20855754613876343, 0.579116702079773, 0.7606866359710693, 1.4551563262939453, -0.1676349639892578, -2.0254945755004883, -0.9333919882774353, 0.3888643980026245]"
13,"[1.4793128611023205, 0.591042788834431, 0.3477782217475577, -0.806349611187325, -0.9062769035464382, 0.05592871077716732, 0.20916445777627946, -1.3139142763056653, -2.753412723668258, -2.3515827973302845]","[1.3635882169555849, 0.39423311404448613, 0.20574807604961282, 0.17493091898737567, -0.8586789620260133, -0.2716499920349156, 0.2865482657520384, 0.00586822524030034, -1.217918064509364, -1.7062703605949012]","[0.7341546, 1.0347924, 0.06137052, -0.7620141, -0.79776585, -0.47949657, -0.34068102, -0.60509413, 0.053726614, 1.2775835]","(10, 2)",1e-06,"[1.3312652111053467, 0.3078944981098175, 0.09019060432910919, 0.08387549221515656, -0.9030624032020569, -0.2021368443965912, 0.25051549077033997, 0.023226141929626465, -1.2684154510498047, -1.5190908908843994]"
53,"[0.8606487645789926, -0.698624895079477, 0.3247693823306157, 0.2561256273314433, -1.4423109666184164, -1.363886937991038, 0.4991661019370947, 1.0112286877495094, 1.585008755485581, 0.21626299717768338]","[0.2650488139841446, 0.6058523686803905, -0.9881464763981362, 0.8361351923372895, -0.2059925374908423, -1.1845666400380905, -0.42464511280275075, 0.7537517913568995, 0.4249861728297775, 1.0528462670767704]","[-0.28389877, 0.32455572, -0.9513835, -0.8296969, 1.038354, 0.4283516, 0.08939703, -0.04479744, -1.0265417, -1.1895809]","(20, 4)",1e-06,"[0.16823136806488037, 0.4944624900817871, -1.1498148441314697, 0.7939093112945557, -0.2743105888366699, -1.2437810897827148, -0.4257356524467468, 0.589499831199646, 0.36369478702545166, 0.9583758115768433]"
40,"[-0.36836396144562705, 0.06519317265661737, 1.635751843033155, 2.449605719636047, 1.5483543694146185, -0.8292807918568593, -0.32969365633440273, 1.8825053392083313, 2.7088104746043307, 1.0906967238931284]","[-0.5812837482297675, 0.226224708679752, 0.0442845071764584, 1.4762977079687007, 1.1850672469092574, 0.28909878946252787, -1.2818477371684764, 0.4883483842176247, 1.5959226716040207, 1.308324075565386]","[1.3419454, 1.5840167, 1.3835139, 0.05998487, -1.3786216, 0.45047292, 2.2569206, 0.86936617, -0.14106889, -1.7047142]","(10, 2)",1e-06,"[-0.6980654001235962, 0.3596213757991791, 0.03410652279853821, 1.38084077835083, 1.2942391633987427, 0.3725989758968353, -1.1472814083099365, 0.6741544008255005, 1.478495717048645, 1.3789863586425781]"
17,"[1.9776637326387456, 2.2808021325809653, 2.317044702502045, -0.7175141667587497, -2.1281041285195292, -0.8441584517729043, 1.7475194681679131, 1.3316694908239595, -1.3700210622760884, -1.811697341144787]","[1.156218373636755, 0.6947561258027226, 1.1927028964731252, 0.9360993840860329, -1.5657279365541836, -0.9571450470604014, 0.19501390176518796, 1.6099732135787765, 0.015507159076137977, -1.4957714905997983]","[1.2701589, 1.0100633, 1.1687049, -0.027236247, 0.31699774, -0.85459423, -0.9393582, 0.8547681, 1.4440202, 0.2848971]","(20, 4)",1e-06,"[1.146657943725586, 0.5942385792732239, 1.010500431060791, 0.8023609519004822, -1.3934931755065918, -1.03360915184021, 0.19084294140338898, 1.460211157798767, 0.17590956389904022, -1.5586026906967163]"
74,"[-0.5623526981463747, 0.37797869313613547, 0.4125857230772335, -0.8539702986625579, 0.6425177323652328, 1.4567042111346191, 1.2699117989303987, -0.32059603873438003, -0.461653773125066, -0.21328967629013376]","[-1.2582413580074092, 0.12240112919997226, 0.41680326545425717, 0.11208656180232766, -0.8937070487489676, 1.1141285327451378, 0.6956856715903534, 0.5043533329580804, -0.77776461699481, -0.029698015836541164]","[-0.8376788, 0.04356314, 0.16264682, -0.7088253, 0.9229438, 0.7014836, 0.0025591515, -0.6400289, -0.50388175, 0.90179616]","(20, 4)",1e-06,"[-1.134922742843628, -0.38921231031417847, 0.7493718266487122, 0.12089341878890991, -0.9148030877113342, 0.8799768686294556, 0.852019190788269, 0.5451650619506836, -0.6213006377220154, -0.3722442388534546]"
33,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[-0.7822089, -0.18116944, 0.060239818, 0.6552807, 1.3081629, 0.9209721, 0.59386694, 0.8863927, 1.0596445, -1.7779883]","(20, 4)",1e-06,"[0.6282798647880554, -0.2254919856786728, -1.258678674697876, 0.1777132749557495, -0.23303742706775665, -0.37092623114585876, 0.9368098974227905, 0.6326361894607544, 0.045491546392440796, -1.761704444885254]"
9,"[2.3564076519401875, 0.08026659789866364, -1.0184116336690976, 0.7731049242622018, 0.6259768819617235, -0.6362086120037269, -0.8481798523509172, -0.3844170283470339, -1.0025075425906094, -0.23450906292930995]","[1.0584677749552682, 1.4923364637618968, -1.122379125503358, -0.5800851155402456, 1.193742103385336, -0.05870948624293382, -0.7418996493059715, -0.33151319434935506, 0.014819599365779701, -0.7975415092483881]","[-0.79541194, -0.5986332, 0.91112775, 0.96641237, 0.5809673, 0.020720731, -0.05437964, -1.1920016, -0.36406142, 0.4135]","(20, 4)",1e-06,"[0.9693045616149902, 1.6924974918365479, -1.2632834911346436, -0.245591402053833, 1.0573163032531738, 0.09731495380401611, -0.4508366584777832, -0.34401917457580566, 0.022183895111083984, -0.7536041736602783]"
100,"[2.1864307920249866, 2.0639327647448313, 0.10103989620108295, -0.32115888400398673, 0.6268021476008949, -0.07151195867502458, 0.8386928412588855, 1.8947658704269013, 1.32160338274791, 1.6006802152055026]","[0.40413855311960933, 1.9534454876409275, 0.7179691398652029, -0.6667820171072979, -0.1333805752632981, 0.6821206985057431, -0.41946660150930654, 0.8798187854001369, 1.221053604743374, 0.3325845397625711]","[-0.0063355826, -0.5580212, 0.17427805, -0.7425501, -0.7128483, 1.3272477, -1.303789, -1.0177051, -0.39287168, -0.9452133]","(20, 4)",1e-06,"[0.3569938838481903, 2.214561939239502, 0.6685722470283508, -0.5189305543899536, 0.05140237882733345, 0.6574782729148865, -0.32381361722946167, 0.8088786005973816, 1.2846475839614868, 0.31107696890830994]"
79,"[0.3212783034069509, 0.925336215464605, 1.413339881835395, 0.8285967290848415, -0.5435592959054865, -0.056201819171468714, 1.8646355226437261, 1.9385548012576812, 0.9224280275059789, -0.15752934733504564]","[-0.020878058660068977, 0.1995012737120827, 0.6804373652498913, 0.8080295946710735, 0.09369686379923348, -0.7785961949221885, 0.3154936541067953, 1.618595078210279, 0.7463944748024586, 0.024758454252039375]","[0.7109447, 0.9247717, -0.339615, -1.2378267, -1.0658826, 1.6096768, 1.6440283, 0.92407537, -1.7148503, -0.9442119]","(20, 4)",1e-06,"[-0.12040665745735168, 0.5978765487670898, 0.973432183265686, 1.004706859588623, 0.1137508749961853, -0.9292454719543457, 0.5391823053359985, 1.8270875215530396, 0.846457839012146, -0.09935170412063599]"
19,"[-0.7112980372260169, 0.5369460039820787, -0.2239064927329748, -0.6714163521295253, 0.15471560840418275, 1.626880414522232, 1.7047193560827267, 0.47754033762371034, -1.840320257066993, -0.9194332307565033]","[-1.454298790492691, 0.0624549902523136, 0.669018961881592, -0.5750900989990226, -0.3502980217424175, 0.44819568901649687, 1.2708731445751178, 0.6446279925355589, -0.2770818606459697, -1.7052968532178858]","[-0.078685366, 1.4653904, 1.161759, 1.6971503, 0.7154833, -0.20779866, -0.94254154, -0.10486818, -0.49027634, 0.69677943]","(20, 4)",1e-06,"[-1.0263466835021973, -0.32194313406944275, 0.6763530969619751, -0.8304743766784668, -0.25363677740097046, 0.2882474660873413, 1.3602067232131958, 0.5717989206314087, -0.4438368082046509, -1.0915405750274658]"
39,"[-0.12378478423108075, 0.9491369505089282, 0.6007481699702958, -0.820814645641097, -1.45030813379365, -1.3368299005403044, -0.17220820268879794, 0.5880687080090562, -0.20713407563941955, -1.009909872293798]","[-0.8326665834789205, 0.42770203431381704, 0.6580917841987213, 0.03171962886869523, -0.8248017396106548, -0.6957426568620172, -0.48811688754975413, 0.3578405254477042, 0.40278354600850125, -0.4476025218927207]","[0.26902407, -1.0259528, -1.3024906, -0.38657925, -0.016399756, -0.7903172, -1.4168562, -0.5490183, 0.5948818, -0.5714034]","(10, 2)",1e-06,"[-0.8843467235565186, 0.3851919174194336, 0.7518013119697571, 0.07522058486938477, -0.9526209831237793, -0.6862398386001587, -0.5931627750396729, 0.3686476945877075, 0.5873532891273499, -0.4319016933441162]"
82,"[1.1636955896271974, 0.551543475212207, -1.597994601477104, -1.644474056900559, -0.35267418935987405, 1.2896146463399254, 0.921871432679185, 1.7473868639972983, 1.0418311651243877, 1.0962248815547175]","[0.12830905270612536, 0.8050191121429633, -0.06662866342206791, -1.5761020232464564, -0.5675162319840195, 0.3132955230805002, 1.1706706789352408, 0.1217490423724133, 1.2774046365626845, 0.07149047596407254]","[-1.7781107, -0.61359125, 1.8823276, 0.20990026, 0.49629843, -1.795922, -1.2085177, -0.61116964, 2.082818, 1.2759695]","(20, 4)",1e-06,"[0.13420793414115906, 0.8644479513168335, -0.08455517888069153, -1.7435510158538818, -0.6182264089584351, 0.0883321464061737, 1.0465087890625, 0.21573588252067566, 1.3371555805206299, 0.05763384699821472]"
