seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
3,"[-1.2932346929871898, 0.31855831306707527, 0.8871164146980777, 0.6515257231050949, 0.6252005495284152, 0.8695595671919409, 1.2235945656315796, 1.4943040277581192, 1.6606822939610648, 0.3544030115764365]","[-0.5495713056566353, -0.6466173464935949, 0.15927915653353764, 0.44355820734903884, 0.32576286155254747, 0.3126002747642076, 0.43477978359597047, 0.6117972828157898, 0.7471520138790596, 0.8303411469805324]","[-0.5457898296036574, -0.6441659640725877, 0.157940148075545, 0.4402195261529323, 0.32353610361651813, 0.31069002993339434, 0.43268318835991465, 0.6103884110159259, 0.748387419892333, 0.8358554796095158]","(1, 0, 0)","[0.5012907, -0.11952165, 0.4876405, 0.044593025, -0.39730674, -0.093716905, -0.49423322, 0.15514012, -0.3031623, 0.18867263]","(10, 2)",1e-08
2,"[0.37204851873010203, 0.3432907400408714, -0.32958995851093387, -0.33041469878117413, 0.7008899425509438, 0.027535411789124553, 0.02306181089880216, 0.8535360166860633, 0.9206740473015393, 0.44405854862407657]","[-0.09034126992306647, 0.18602425936505101, 0.1716453700204357, -0.16479497925546693, -0.16520734939058707, 0.3504449712754719, 0.013767705894562277, 0.01153090544940108, 0.42676800834303164, 0.46033702365076967]","[-0.08851800444078733, 0.18219737540447392, 0.16812659047376416, -0.16133688372160607, -0.1617471969608946, 0.34279209849594483, 0.013455749682473378, 0.011269634617862657, 0.41710413779389155, 0.450674207645535]","(1, 0, 0)","[-0.5211923, 0.20385677, 0.11364491, 0.49956664, -0.62491775, -0.12002218, -0.8861152, -0.1353166, 0.481788, 0.36716273]","(10, 2)",1e-07
4,"[-0.16346633295294277, -0.17636666781680438, 0.7647984163261994, 0.05727154900811937, -0.5430020592334535, -0.5863650882294168, 0.04202388225969772, 0.7891752574049684, -0.474784313287654, -0.58383823839418]","[0.5065531294810043, -0.08173316647647139, -0.08818333390840219, 0.3823992081630997, 0.028635774504059686, -0.27150102961672673, -0.2931825441147084, 0.02101194112984886, 0.3945876287024842, -0.237392156643827]","[0.5183809402245616, -0.08345014356502661, -0.09003826021837731, 0.39025649426417036, 0.029199474681520638, -0.2768322151452917, -0.2990872067961872, 0.021420979820673657, 0.40227631280684367, -0.24148234495324605]","(1, 0, 0)","[0.32091564, 0.20848756, -0.10127482, -0.40184012, -0.051951583, -0.14516294, 0.08962764, 0.4081701, 0.6173379, 0.73386055]","(20, 4)",1e-07
6,"[0.7905058023925244, 0.18268533528892106, -0.46991264241597175, 0.5719846861339177, 0.7898320625818367, -0.12269456841711435, 0.36043430454633874, 1.0768191015180153, 0.8829785396082372, -0.19549147369711517]","[0.11934374046765511, 0.3952529011962622, 0.09134266764446053, -0.23495632120798587, 0.28599234306695887, 0.39491603129091835, -0.06134728420855717, 0.18021715227316937, 0.5384095507590076, 0.4414892698041186]","[0.12164333202159798, 0.4030602063591996, 0.09309858779173164, -0.23939850595948634, 0.29106984523452906, 0.4022660769317584, -0.06241240225262125, 0.18333903971838658, 0.5481981765239248, 0.4499975295428968]","(1, 0, 0)","[-0.13290358, 0.2962364, -0.032550104, -0.04638855, -0.5369127, -0.44766396, -0.39195454, -0.06962739, 0.33952445, 0.15510328]","(10, 2)",1e-07
9,"[-0.03926728346313968, 0.36620432515769213, 1.0616587985814867, 0.8258193519981989, 0.42760084686085065, -0.03869518296281266, 0.8490164978470531, 0.5212985579601297, -0.16681831468725872, 0.5422567107009966]","[0.5782346905715229, -0.01963364173156984, 0.18310216257884607, 0.5308293992907434, 0.41290967599909945, 0.21380042343042532, -0.01934759148140633, 0.42450824892352657, 0.26064927898006485, -0.08340915734362936]","[0.5845095478562267, -0.019812078296844986, 0.18476540774443007, 0.5360540046585092, 0.4172816490686545, 0.21606500645792265, -0.01955165027013383, 0.4289637601012372, 0.2633830339814377, -0.08423590249331298]","(1, 0, 0)","[0.085311316, 0.5481435, -0.07552403, -0.014650164, -0.19296722, -0.25744197, -0.38322905, -0.08060235, 0.36561906, 0.51543146]","(10, 2)",1e-07
16,"[0.453959123853491, 0.6735010762865822, 0.5583629283461542, 0.5720792577149544, -0.5441763148041923, -0.668531470890565, -0.325196774178097, 0.04619007392709518, -0.16455403790458117, 0.47112790918600944]","[0.5008070569946679, 0.2269795619267455, 0.3367505381432911, 0.2791814641730771, 0.2860396288574772, -0.27208815740209613, -0.3342657354452825, -0.1625983870890485, 0.02309503696354759, -0.08227701895229059]","[0.4961477822121433, 0.2248576313031431, 0.33372218518986246, 0.2767520484638495, 0.28364103391236656, -0.26955927214590797, -0.3312981066579637, -0.1611546184238536, 0.022889166740286262, -0.08154114945203189]","(1, 0, 0)","[-0.4748212, 0.1000303, 0.2950259, 0.070448056, -0.21583866, -0.35034025, 0.018194648, 0.2349712, 0.39718166, 0.47560823]","(20, 4)",1e-07
1,"[-0.7400019966191969, -1.0049839475598086, -0.6204728691348542, -0.15288494444654877, 0.5958766122655634, 0.4745279039170892, 1.0853280474157991, 0.5052319996011266, 0.49630253437920363, 0.13156447749523784]","[-0.48539376752804325, -0.37000099830959843, -0.5024919737799043, -0.3102364345674271, -0.07644247222327438, 0.2979383061327817, 0.2372639519585446, 0.5426640237078996, 0.2526159998005633, 0.24815126718960182]","[-0.5049467087859687, -0.38524093510375157, -0.5241027370225546, -0.3236977685636426, -0.07972746132830474, 0.31061990448364246, 0.24745454541497314, 0.5668213676187049, 0.26379603561924375, 0.25924919675638275]","(1, 0, 0)","[-0.3094629, -0.44620302, -0.3563383, -0.4637745, -0.24959415, -0.39807424, -0.4357056, -0.110099494, -0.21954978, -0.42261982]","(10, 2)",1e-07
18,"[-1.4348390031280203, -0.033901291540463285, -0.885434172646807, -0.19816126267169615, -0.7634640253552174, -0.46395450638578173, 0.5259871915078053, 0.17695187247003535, -0.7331889652736895, -0.7465554793906026]","[-0.47473727428892676, -0.7174195015640101, -0.016950645770231643, -0.4427170863234035, -0.09908063133584807, -0.3817320126776087, -0.23197725319289086, 0.26299359575390263, 0.08847593623501768, -0.36659448263684474]","[-0.4823413531419319, -0.7298616252869722, -0.01721596819350929, -0.449649396756253, -0.10059914951870136, -0.3876003756457032, -0.23555494844023178, 0.2669516872117622, 0.08980624686104412, -0.37199256328353997]","(1, 0, 0)","[0.49881148, -0.13110143, -0.32059684, -0.15416752, 0.070757404, -0.24117278, -0.28292552, 0.066244245, 0.17598681, 0.3345446]","(50, 10)",1e-08
11,"[-1.5313245243047713, -1.1735702147133773, -0.19569354644208203, 0.7147337870687969, -0.053288032932045204, 0.8215904143485881, 1.1140326448769984, 0.5113659126828936, 0.8814165435044622, -0.11618898455736865]","[-0.5437896400452245, -0.7656622621523856, -0.5867851073566887, -0.09784677322104102, 0.35736689353439843, -0.026644016466022602, 0.4107952071742941, 0.5570163224384992, 0.2556829563414468, 0.4407082717522311]","[-0.5272166339673717, -0.7442849546141178, -0.5713066420623988, -0.09516510287009385, 0.347440795604902, -0.025886122002214972, 0.3991021558589035, 0.5418756526588223, 0.24872779815867682, 0.4290270885038504]","(1, 0, 0)","[0.58298045, 0.38074067, -0.29482806, -0.1765184, 0.32877368, -0.08312921, -0.03364854, -0.3386075, -0.42992347, -0.57298934]","(20, 4)",1e-07
12,"[0.519798436068098, 0.48869120225289137, 0.6503680535251394, 1.110198812946767, 1.3207781374612955, 0.30372150275626164, -0.8303342753697364, -1.155673750324909, 0.3084319944754832, -0.19146121747919043]","[0.302729065290665, 0.259899218034049, 0.24434560112644568, 0.3251840267625697, 0.5550994064733835, 0.6603890687306477, 0.15186075137813082, -0.4151671376848682, -0.5778368751624545, 0.1542159972377416]","[0.3054454379783892, 0.262338049469884, 0.24664967061003212, 0.32845420473983994, 0.5612820881926428, 0.6689299474617215, 0.15366926922318014, -0.41984787261557754, -0.5851005921260469, 0.1558162385274091]","(1, 0, 0)","[-0.5352681, 0.36512104, -0.13881904, -0.10377188, 0.1371188, 0.84836036, -0.20466545, -0.43214905, -0.046510946, -0.39577195]","(10, 2)",1e-07
