seed,True,ARMA,Informer,Informer_para,RNN
68,"[-2.485083915460492, -2.5769433457135267, -0.5272650754224179, 0.8330953983588225, 0.437108669782632, -0.9249725933620062, -0.34223249638355, 0.46424143462466905, 2.0860737485258207, 2.2017187375229894]","[-0.9208060317839213, -1.5265337012331037, -1.0535306131222595, 0.6441007211337992, 0.6033397305754296, -0.0840056465878671, -0.9254552698897629, 0.3440349146268319, 0.35533028458966126, 1.645682210914122]","[-0.4290483, 0.7428262, 0.26497313, 0.17436193, 0.86558473, 0.3289485, -0.5297404, -0.21514517, 0.8443212, 0.9318663]","(10, 2)","[-1.1231012344360352, -1.484511137008667, -1.0376132726669312, 0.7630167603492737, 0.61679607629776, -0.1983504742383957, -0.9721399545669556, 0.3835925757884979, 0.45999017357826233, 1.5987166166305542]"
12,"[-0.5665367880497909, 1.1403017394872068, 0.5746923468504876, 0.19917871632039397, -0.8406831135469511, -0.4668181337551374, 0.8656601854278306, 1.6994210696335283, 1.9761560482455671, -0.2601532368493624]","[-0.6552178562071084, -1.0754161444789725, 0.8887235997363578, -0.32318944194337285, 0.07716916343596436, -0.937715948294092, -0.047225411657320804, 1.0564842274852062, 1.2170319704545367, 1.4448222358644522]","[-0.62291634, -0.22897546, -1.0901338, -0.5280501, 0.6118881, 0.34245783, 0.08004412, -0.9640315, 0.9951455, 0.17909417]","(20, 4)","[-0.2788023054599762, -0.4547991454601288, 1.0459345579147339, -0.3073420822620392, 0.4212023913860321, -0.9285624027252197, 0.06988964974880219, 0.9228368997573853, 1.1407095193862915, 1.1182905435562134]"
27,"[0.5433834014821325, -0.2813752169572461, -1.6507690638399892, -0.5392228109744919, 0.0358458019989249, -1.3523093968168916, -0.28370180807418044, 0.4866379650562555, -0.9807717619087977, -0.8254637564587508]","[0.5743737551420518, 0.14440912969146297, -0.4286094610866067, -1.33224326962273, 0.4118313956896023, -0.13123660571344994, -1.3135848059827064, 0.6455335423134319, 0.1503724050584376, -1.1587534149996344]","[-1.5066259, -0.19593632, 2.2029326, 0.8301718, -0.32162467, 0.12440102, 0.63029706, 1.1555276, 1.1601393, 1.0758381]","(10, 2)","[0.6659502983093262, 0.13859495520591736, -0.3845615088939667, -1.3283811807632446, 0.4741104543209076, -0.03680998086929321, -1.0804450511932373, 0.5844287276268005, 0.4042142331600189, -1.1065417528152466]"
32,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670033078274, 0.045295010634492594, 0.03639834552131513, -0.8345627503645376, 0.6962977496386662, -0.31022366132304036, -0.7965547439488251, -0.4934608792273786, 0.8607952962943064, 0.8267061307131363]","[-0.9224558, -0.5854201, -1.2823286, -1.331693, -1.0490999, 0.0678394, 0.22172263, 0.39898607, -0.41883487, -0.7903733]","(50, 10)","[1.1683357954025269, 0.1769324094057083, 0.03269799426198006, -0.8293978571891785, 0.6177987456321716, -0.22663752734661102, -0.6731591820716858, -0.4231155216693878, 0.8757912516593933, 0.9857222437858582]"
83,"[-0.6545817741299405, 1.434024738276674, 0.34749362506855164, 0.5199948567396283, 0.721188136451574, 0.43640808211075144, 1.45987711423287, 1.1287010228834997, 1.2488000179907937, 2.319392260813648]","[-0.522174457218974, 0.27622257475845047, 1.342776828463979, -0.6297091169640003, 0.5615262322906871, 0.25777126146290946, 0.05826696061532441, 1.0999153474479924, 0.12378776999016444, 0.6801486780069295]","[1.0541668, 0.54815346, 1.4565058, 0.92990434, -1.2633862, -1.1347127, 0.2729256, 1.4521201, 1.0683072, 0.8800427]","(10, 2)","[-0.6320043206214905, 0.4062245488166809, 1.3102360963821411, -0.5573211908340454, 0.49307239055633545, 0.43364769220352173, -0.01641024649143219, 1.1630233526229858, 0.2825295329093933, 0.6914438009262085]"
86,"[-0.6597796119947241, -1.3459889959585982, -0.7114255402078072, -1.0230528737738915, -1.4463509436814377, 0.37292661399897864, 1.444459644565084, 1.1575064800879824, 0.9256016173664637, -0.39227314322700135]","[1.0035803761355615, -1.4325782775888014, -0.1972508535243884, -0.18690639143952117, -0.7320855078211586, -0.5730856428688758, 0.8436166750556108, 0.6563974101029619, 0.3218549328239536, 0.4478954155965015]","[1.1700805, -0.7380224, -0.5821775, 0.30170152, -1.0103041, -1.194696, 0.9820444, 0.59923166, -0.17862104, 0.4376622]","(100, 20)","[0.912690281867981, -1.1202512979507446, -0.3990754187107086, -0.09287670254707336, -0.5780916213989258, -0.8318818211555481, 0.6913917064666748, 0.7682719230651855, 0.2932702600955963, 0.39892134070396423]"
24,"[-0.5535449299134794, 0.4515542522223963, 1.5079982453383614, -0.6604978916087958, -4.020652389777224, -3.8083523193128563, -1.0488918440513808, 1.3564697966297397, 3.0180827103370307, 3.8053992266989916]","[-0.13959281793872425, -0.5625030558300204, 0.8307265150146386, 0.8584601253875636, -1.234249786275107, -2.924323462232261, -1.4789920061090887, 0.18601474409909988, 1.1856101066253597, 1.9799765545565133]","[-0.052844547, -1.7354653, 0.5002191, 1.2314397, -1.9452931, -2.8039184, -1.6038496, 0.02803831, 2.5715415, 1.7376807]","(100, 20)","[-0.06493327021598816, -0.8503071069717407, 0.9343719482421875, 1.0543580055236816, -1.389976978302002, -2.734713554382324, -1.9178435802459717, 0.28221791982650757, 1.2949819564819336, 1.6619064807891846]"
14,"[0.5056551689111879, 1.2698229884982295, 1.8669604770978578, 2.0663476828423546, 0.21897598581297573, -0.9528005740642272, -0.41287904739377845, 1.4393575748899095, 0.9622441119074492, 1.907505078818939]","[-0.494741129151717, 0.47585247699479916, 0.7074911636972763, 0.9508549249380589, 0.8752020115777207, -0.8486568578051596, -0.7429827043237693, 0.04827931339529773, 1.2949362873708512, -0.14636257782953532]","[-0.5412675, 0.047680147, -1.3612485, -1.9762563, -1.6824341, -1.1679299, 0.763201, 0.41811222, -2.286819, -1.6656406]","(50, 10)","[-0.5010644197463989, 0.5027362108230591, 0.7047855854034424, 0.7791455984115601, 0.7323260307312012, -0.7528651356697083, -0.5337954759597778, 0.13042527437210083, 1.1524747610092163, -0.29252010583877563]"
30,"[3.6797197203677383, 2.6841988295801826, -1.355879757919341, -0.9314851555473704, 1.8615556975115024, 2.590151730329535, 1.4312375358488243, 0.6150920298430339, 0.27271521074882693, -0.30257438887931704]","[2.2680611853164563, 1.595168642486804, 0.7361818186766333, -2.257549510266589, 0.405203918100588, 1.7588772206748517, 1.0941676417778106, 0.10855137902243173, 0.09262857062372803, 0.03019481364220898]","[0.30979508, 0.27808544, 0.38374698, 0.3938527, -0.08527171, -0.10965819, 0.31473085, 0.93210137, 0.62696534, -0.5433081]","(10, 2)","[2.4496359825134277, 1.3660880327224731, 0.6975277662277222, -2.0169150829315186, -0.12586751580238342, 1.6199076175689697, 1.0369318723678589, 0.2859518826007843, 0.06592521071434021, 0.11426159739494324]"
64,"[0.960188229976986, 1.9874423379743371, 1.0987946114776337, 2.0902947357532593, 2.476175664241769, 0.8121078065848485, 0.3355804188099139, 0.0889636597566559, 0.9725893746154093, 1.7738191075207315]","[0.7652422687166154, 0.3161222113425893, 1.6022566710529627, -0.026237707568565305, 1.8247733014583274, 1.158331135151183, -0.14879648987058822, 0.35764641745039655, -0.12216291054414127, 0.9427720596271478]","[0.6788822, -0.010249056, -0.0628012, -0.14913371, 0.016126037, 0.8114936, -0.1732534, -1.7982862, -0.27564454, -0.45251256]","(10, 2)","[0.7626187801361084, 0.1953771412372589, 1.5745452642440796, 0.0801478922367096, 1.6302837133407593, 1.068602442741394, -0.06947502493858337, 0.04041042923927307, -0.24498805403709412, 0.7458629608154297]"
