seed,True,ARMA,Informer,Informer_para,RNN
5,"[0.21598835098125613, -0.9042088904919257, -1.8090137817402674, -1.4089284280220933, 0.3948796173719372, 1.6563896397729863, 1.8222513045715725, 0.7513808381041238, 0.21509180691047064, 0.15812087009887799]","[0.6154961032275815, -0.3136113147674944, -0.7307070251522265, -1.0857750591912372, -0.36710350518281143, 0.8477930584109312, 1.036008005092716, 0.7895444422513049, -0.10497680037970286, 0.03850099236816193]","[0.043756545, -1.0643967, -0.58213043, -0.87679225, -0.80233496, 0.44986272, 1.1693838, 0.6933117, -0.82958275, -0.49941245]","(50, 10)","[0.8916652202606201, -0.43180620670318604, -0.8297788500785828, -1.0340850353240967, -0.1980539709329605, 0.8546274900436401, 1.218989610671997, 0.8564276695251465, -0.2606455087661743, -0.02545933425426483]"
13,"[1.4793128611023205, 0.591042788834431, 0.3477782217475577, -0.806349611187325, -0.9062769035464382, 0.05592871077716732, 0.20916445777627946, -1.3139142763056653, -2.753412723668258, -2.3515827973302845]","[1.3635882169555849, 0.39423311404448613, 0.20574807604961282, 0.17493091898737567, -0.8586789620260133, -0.2716499920349156, 0.2865482657520384, 0.00586822524030034, -1.217918064509364, -1.7062703605949012]","[1.1677068, 0.3377908, 0.2677816, -0.048770897, -0.70665723, -0.5363801, 0.101831116, -0.35291433, -1.820803, -1.2571698]","(50, 10)","[1.3329722881317139, 0.11212676763534546, 0.14045558869838715, 0.14253200590610504, -0.8443219661712646, -0.22196626663208008, 0.24213391542434692, -0.05847221612930298, -1.1831303834915161, -1.760638952255249]"
23,"[-0.9623806480473136, -1.6709087756701242, -0.27783964327840793, -0.9500816447829181, -1.8826477468168035, -1.8395970086951476, -1.2454507077305115, 0.5701247373579653, 3.578944774899174, 2.747911711687151]","[0.22445779088600898, -0.7196011912853146, -0.8955135842721336, 0.623586842566207, -0.9838691679522027, -0.9860855733164424, -0.6569630702756915, -0.2732891380289769, 0.9986625806476012, 2.608809982477677]","[0.051387735, -0.27339044, -1.0645249, 0.543269, -0.7661729, -1.2129927, -0.79697603, -0.3687445, 0.98056984, 1.614029]","(50, 10)","[0.3081424832344055, -0.7941497564315796, -1.0915242433547974, 0.5730872750282288, -1.0292198657989502, -1.1619596481323242, -0.730186939239502, -0.40008318424224854, 0.8659296631813049, 1.9873157739639282]"
19,"[-0.7112980372260169, 0.5369460039820787, -0.2239064927329748, -0.6714163521295253, 0.15471560840418275, 1.626880414522232, 1.7047193560827267, 0.47754033762371034, -1.840320257066993, -0.9194332307565033]","[-1.454298790492691, 0.0624549902523136, 0.669018961881592, -0.5750900989990226, -0.3502980217424175, 0.44819568901649687, 1.2708731445751178, 0.6446279925355589, -0.2770818606459697, -1.7052968532178858]","[-1.4173471, -0.57473886, 0.007707254, -1.1389058, -0.63534164, 0.8148129, 1.0833429, 0.56578565, -0.31171656, -1.8174683]","(50, 10)","[-1.133762001991272, -0.5211063027381897, 0.8859966397285461, -0.6413489580154419, -0.5386873483657837, 0.24939312040805817, 1.3700628280639648, 0.5957760810852051, -0.101547472178936, -1.6333767175674438]"
25,"[1.080499510070525, 2.050462369521346, 1.1660135123636166, -0.11025214627619051, -0.8275167082373214, 0.29475418043174917, 0.8726591148291903, 1.0289695655039972, 1.7528068465108266, 2.38007842498586]","[1.3557094127976588, -0.029052082451668126, 1.4487197991807568, -0.11672111117880979, -0.5354971588010836, -0.5782910618128979, 0.4994290488421691, 0.36414371129540474, 0.4366384865607027, 1.0805702505069752]","[1.2447314, 0.304002, 1.3581327, 0.13283849, -0.3844047, 0.1463754, 0.5769974, 0.058037426, -0.24966834, 0.2930376]","(50, 10)","[1.550309181213379, -0.003747716546058655, 1.697591781616211, -0.06222696602344513, -0.48563069105148315, -0.5052958726882935, 0.8914185166358948, 0.4085925221443176, 0.687281608581543, 1.1968727111816406]"
17,"[1.9776637326387456, 2.2808021325809653, 2.317044702502045, -0.7175141667587497, -2.1281041285195292, -0.8441584517729043, 1.7475194681679131, 1.3316694908239595, -1.3700210622760884, -1.811697341144787]","[1.156218373636755, 0.6947561258027226, 1.1927028964731252, 0.9360993840860329, -1.5657279365541836, -0.9571450470604014, 0.19501390176518796, 1.6099732135787765, 0.015507159076137977, -1.4957714905997983]","[1.0154862, 0.67276734, 0.90902615, 0.960888, -1.1070634, -0.88357455, 0.37345085, 0.9495935, 0.185149, -0.5349755]","(50, 10)","[1.1035094261169434, 0.6735566854476929, 1.0304367542266846, 0.9018487930297852, -0.9277306795120239, -1.6035016775131226, 0.5969721078872681, 1.6411501169204712, 0.20709460973739624, -1.443329930305481]"
10,"[0.9540683597246074, -1.4948819926179446, -2.085307280897278, -0.7357640837443896, 0.02099719610477871, -0.884042384348172, -1.1848339102345966, 0.9365599434162426, 0.9505495460881257, 0.7274982660519955]","[0.5160140247696614, 0.46982193451931475, -1.6626851623318337, -0.8958887084831305, 0.03438048102292804, 0.029660508854070552, -0.8313061171019696, -0.5600361950894036, 1.2627679739476574, 0.10868386394966972]","[0.50887674, 0.15069963, -1.3486005, -1.310555, 0.56620467, 0.31293124, -0.41753125, -0.30919513, 1.6395539, 0.41323462]","(50, 10)","[0.45490899682044983, 0.3189111053943634, -1.661712884902954, -1.0258870124816895, 0.3373747766017914, 0.08591482043266296, -0.7159703969955444, -0.5238261222839355, 1.3102691173553467, 0.1699429750442505]"
6,"[0.8053994409555097, 0.8856414169249209, 0.4943224239362206, 1.7995936753740582, 1.7673214780165216, 0.6334584440749447, 1.8001778240967057, 0.22129878296870098, -1.9224282693789516, -2.283598234786646]","[1.1541817622107653, 0.28073871009764134, 0.46523209629729423, 0.00660115850473994, 1.5086673621888056, 0.4808786174208332, -0.1226396265682021, 1.5264069482365221, -0.9426061774389248, -1.4269596304347576]","[1.2994156, 0.9087681, 0.089150265, -0.19602115, 1.2824259, 0.24612941, -0.45752618, 1.13364, -0.7831667, -1.4376702]","(50, 10)","[1.0417057275772095, 0.3967828154563904, 0.34770750999450684, -0.001359395682811737, 1.553514838218689, 0.3362709879875183, -0.3663615584373474, 1.619460105895996, -1.0567834377288818, -1.3064645528793335]"
3,"[-0.8002904057913294, 1.0290506471787033, 0.44813717880772275, -0.652453653396722, 0.3549254962682892, 0.049329357131917106, -0.3098622573180623, 0.18935398431869174, 1.87114900921887, 1.0091447266623186]","[-1.2886888740566862, 0.24135002736395833, 1.05012781288705, -0.26500834712459487, -0.6084618280186398, 0.714278362613648, -0.3112934910452034, -0.17610509300283525, 0.31681727635132906, 1.4903414289545136]","[-0.28590885, 0.7068638, 1.4125623, -0.3678369, 0.25558513, 0.524763, -0.23945835, 0.6718795, 0.5694541, 1.7980733]","(50, 10)","[-1.2490220069885254, 0.40108194947242737, 1.309077501296997, -0.2970004081726074, -0.5413696765899658, 0.6766613721847534, -0.3787790536880493, -0.2170221209526062, 0.10649335384368896, 1.7281508445739746]"
14,"[0.5056551689111879, 1.2698229884982295, 1.8669604770978578, 2.0663476828423546, 0.21897598581297573, -0.9528005740642272, -0.41287904739377845, 1.4393575748899095, 0.9622441119074492, 1.907505078818939]","[-0.494741129151717, 0.47585247699479916, 0.7074911636972763, 0.9508549249380589, 0.8752020115777207, -0.8486568578051596, -0.7429827043237693, 0.04827931339529773, 1.2949362873708512, -0.14636257782953532]","[-0.7974873, 0.44390962, 0.6385143, 0.71682763, 0.69691527, -0.44283208, -0.9351587, -0.06362413, 0.96627355, -0.28672636]","(50, 10)","[-0.6085343360900879, 0.49126648902893066, 0.7564209699630737, 0.9465368986129761, 0.7938228845596313, -1.006227970123291, -0.5323441028594971, 0.09884005784988403, 1.341955304145813, -0.17728829383850098]"
