seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8576950725274748, 0.3319979049034927, -0.06692390329875386, 0.07385484897406581, -0.8567395117011027, -0.6931412183124687, 0.4704693032167333, -0.4862425787519873, -1.0959848051325651, -0.012398799342220379]","[0.59389204, 1.0441916, 0.66187924, 0.8861371, 0.9506005, 0.021498734, -0.81269604, -0.3981233, -0.44098827, -1.1186717]","(20, 4)",1e-07
31,"[0.30341332875453375, 0.6340193617748036, -0.4182343227752221, -1.673433365507266, -1.2106983823717758, -1.4389688373836647, -0.5797403527290004, -0.6714112545638771, -0.3776577208129207, -0.08125005336654284]","[0.3498758509388278, 0.12847540328511986, 0.5697816601322436, -0.7031251528413439, -1.321870789086594, -0.5497629878284789, -1.1640873434694252, 0.0023033190057122344, -0.6725629140667332, -0.04137626377955411]","[0.332756142833424, 0.12111451648567657, 0.5463644917726156, -0.6785486734153567, -1.2575501963907743, -0.517987476842962, -1.1171239013135397, 0.012752969142211024, -0.6483271876457406, -0.033684632470435044]","[0.890263, 0.1704422, 0.7621358, 0.90445113, 0.60542756, 0.64141923, -0.11746637, -0.124983825, 0.45422703, -0.24456023]","(10, 2)",1e-07
30,"[1.2814768747862875, 0.7463073658718593, -0.6197134102433243, -1.037345767595449, -0.9008440397125207, 0.3078315876998408, 0.021581535938597574, -0.8796944083338989, -1.081324879546362, -0.7193946696679511]","[0.43879132928733666, 1.0620812101426191, 0.21526676080054974, -0.7273467906435991, -0.6736723722736494, -0.564007853575696, 0.5898355144876888, -0.2733362213052468, -0.7430262976812755, -0.7098117307057242]","[0.4598543302022402, 1.0741234078821025, 0.24667605392841924, -0.7396448858080438, -0.6953304325795804, -0.5790948606718196, 0.5838541439219388, -0.2532891798390635, -0.7651574704932804, -0.7267625148608166]","[-0.5203698, -0.649976, -0.9643275, -0.7665345, -0.45952752, -0.33200255, 0.13773839, 0.669623, 0.99362206, 0.6159994]","(20, 4)",1e-07
44,"[-0.596807469842795, -0.5418199152020906, -0.16319197357150295, 1.0265786547029618, 1.277305455370556, 0.9388726183629851, -0.39804662005942176, -0.8884212270675725, -0.8771282643782096, -0.6632583023674431]","[-0.8916833748784163, -0.15096578240358682, -0.4663370240002972, 0.06997653842864565, 0.991590385488639, 0.7815102626262366, 0.5481174870498668, -0.6721053635843551, -0.552368545275395, -0.6009439917405122]","[-0.9037359270139906, -0.14451486392801435, -0.4728315385749077, 0.07415271258265992, 0.9978947052615335, 0.7832989305853336, 0.5509173323866773, -0.6812338378470106, -0.5507259657833435, -0.6060427868698954]","[0.46427572, 0.119250685, 0.28228205, 0.30989945, 0.3589381, -0.6112536, -0.25239298, 0.16884576, 0.148631, -0.7087222]","(20, 4)",1e-07
38,"[0.19644936950695574, 0.7281072577741707, 1.1272456055662539, 0.8525148113636306, -0.3894738733621225, -1.603538127060835, -1.4450464554723474, -1.0456602876981642, -0.656953379263158, -0.013529857602883555]","[-0.009104065229563349, 0.20100140212173742, 0.627606556713302, 0.8134423272096029, 0.4457936477588292, -0.6123706972415371, -1.2973527784400667, -0.7963700662523142, -0.6474752545720072, -0.3332157519771544]","[-0.0130265026656856, 0.2115665960960317, 0.6460663502766117, 0.8313008542158967, 0.44642241006645256, -0.6437537772529138, -1.3297096870640388, -0.7982377067313136, -0.6658468934315616, -0.33076566346903097]","[0.5870263, 0.24939445, -0.6035151, 0.3522975, 0.046643317, -0.5728552, -0.6563749, -0.23831764, -0.43970048, -0.74603814]","(10, 2)",1e-07
23,"[-0.7972534420681722, 0.2865580919118626, 1.3092846607646509, 0.5319940660574185, -0.01799348567364678, 0.7823631415737075, 0.6977989543286605, 0.14898163745840431, -0.9797952977894697, -1.5618723998755375]","[-0.7442062845127789, -0.4251502998117827, 0.499133241817754, 1.059718039855774, 0.002135046129531526, -0.019061008738412544, 0.7918936459429138, 0.30185213135720357, -0.0019444282201974694, -0.978823083679371]","[-0.7664060833599537, -0.41250261525499304, 0.5015380044500688, 1.066980723781505, -0.012541423475623092, -0.011714928262126783, 0.7978693527162426, 0.29284080206291646, -0.0009773257018471926, -0.9913499151576562]","[-0.15187998, -0.5675468, -0.87426066, -0.89951473, -0.47304067, -0.70961815, 0.3588081, -0.76497287, -0.6999416, -0.5550334]","(10, 2)",1e-07
56,"[1.062138497073678, 0.23995009130914868, 0.16192740318761228, 0.44955851787324586, -0.4035215430663204, -0.11828645815823358, -0.6068315102284053, -1.6416433869243496, -0.4409004571584503, 0.9281506778209008]","[0.5422957253340213, 0.7909906344066674, -0.155545225894185, 0.2397000161347048, 0.32970850980589345, -0.5683757979692671, 0.16590144082639996, -0.6897822306416053, -1.296752271603547, 0.20747567864332317]","[0.5113750662874847, 0.7690063816904348, -0.12021131249554551, 0.20610714350638404, 0.3297245112853723, -0.5276473009898867, 0.12624943877724096, -0.624955069545243, -1.2607252097987947, 0.15350893975189936]","[0.75611246, 0.5793933, 0.632963, 0.8648122, 0.9618235, 0.8194584, 0.66369545, 0.43599615, 0.1075507, -0.012420153]","(10, 2)",1e-07
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.12350741247064, 0.17662316125493105, -0.41527043889589677, -0.8567517282381323, -1.3086337179739749, -1.6164498531228577, -0.9158629801537211, -1.0207388301084348, -0.9467418721357521, -1.216515545444429]","[-0.80852574, -0.6812328, -0.45775267, 0.18724266, 0.44258744, -0.43714222, -1.2765533, -0.67781276, -0.87092495, -0.1022694]","(20, 4)",1e-08
25,"[0.08350745381100205, -0.8242756176951482, -1.011413625416096, -0.09363244690039896, 1.0122823555583396, -0.016629211871084237, -1.339810472310588, -2.081997936761713, -1.4947085922194965, -0.5558238426717202]","[0.32273195480336575, -0.07785852359068082, -0.7853463558998078, -0.6187404474661921, 0.21573777683269707, 0.904413467141991, -0.46883594544207974, -1.105392499589548, -1.529301686966939, -0.730057748736027]","[0.2915281236378388, -0.0727120256583958, -0.7769485537832894, -0.5867461697969076, 0.22040655504254703, 0.8845720188338586, -0.4888225475965776, -1.0627418545639626, -1.494824973045192, -0.6823006438228789]","[-0.21417284, 0.32895055, 0.1533589, -0.6486735, 0.07260335, -0.06658983, 0.060987882, 0.13168548, 0.3227743, 0.379182]","(20, 4)",1e-07
57,"[-1.8630088636675026, -1.0000216091411298, -0.45118413556671233, 0.5061288786413728, 0.42788040157579815, 0.9503932125234023, 0.20599477772784902, -0.7118420755422327, -0.3173799698110968, -0.8456177701374148]","[-1.2194831459856854, -1.25326729067466, -0.3733879638037998, -0.26449015366481243, 0.6383739554737791, 0.10869342383890865, 0.896046500603948, -0.24202847257412496, -0.5908278392551702, -0.021966050183511693]","[-1.2155097197327065, -1.2335699867687677, -0.41247756958700715, -0.24802946149854793, 0.5837275331810292, 0.15240100481081226, 0.8294811487473408, -0.1598719868061757, -0.6007174007110804, -0.041046758115398]","[-0.40181348, 0.07839959, -0.27706584, 0.097710826, -0.30858022, -0.46172908, -0.5832892, 0.096881144, 0.27923533, 0.81611633]","(20, 4)",1e-07
