seed,STD,True,ARMA,Informer,Informer_para,RNN
8,1.3747735891377997,"[-0.1459271072689517, -0.39088531478562016, -0.38063486707447913, 0.08866428006592048, -1.0456591362723784, -1.7036151373825725, -2.0873723395931476, -0.6757411489484053, 0.29169593142698025, 0.310696188212238]","[-0.015614548841277082, -0.17930241731321095, -0.22761894312515607, -0.14237562011668342, 0.22756952080995563, -1.0422649249197877, -0.780998356589522, -1.0972750190895795, 0.37338283437187825, 0.23196248186598198]","[-0.33166048, -0.0091013685, -1.0674434, -0.37912917, 1.2089251, -0.6166898, -1.4485905, -2.2353582, -0.7153532, -0.01304375]","(50, 10)","[-0.10593408346176147, -0.29674893617630005, -0.1026802510023117, -0.031036123633384705, 0.33530882000923157, -1.1206610202789307, -0.6122065782546997, -1.1795549392700195, 0.5758060216903687, 0.6093897819519043]"
5,1.3452307087621866,"[0.21598835098125613, -0.9042088904919257, -1.8090137817402674, -1.4089284280220933, 0.3948796173719372, 1.6563896397729863, 1.8222513045715725, 0.7513808381041238, 0.21509180691047064, 0.15812087009887799]","[0.6154961032275815, -0.3136113147674944, -0.7307070251522265, -1.0857750591912372, -0.36710350518281143, 0.8477930584109312, 1.036008005092716, 0.7895444422513049, -0.10497680037970286, 0.03850099236816193]","[0.043756545, -2.1206717, -0.70878065, -1.3836839, -1.696613, -0.21878022, 1.4409833, 1.2889658, 0.32553664, 0.123833515]","(50, 10)","[1.0802109241485596, -0.32407188415527344, -0.6464034914970398, -1.0521408319473267, -0.10494248569011688, 0.6758407354354858, 1.5256550312042236, 0.6856698393821716, -0.5762609839439392, 0.03008735179901123]"
21,1.389217273920093,"[-0.12209518045912171, -0.49232190219066185, 0.273603898841564, 0.07303147537178839, -0.8278595447446644, 0.4218687285241316, 0.2656092206333669, -1.8561907060811473, -2.323855822887737, -0.9278921284749352]","[0.3090763147491202, -0.2195393520039349, -0.38129807572068775, 0.539285732735527, -0.25194297584956593, -0.6769613656379327, 0.8711247283849197, -0.2565838212678197, -1.680694389858527, -1.0632215428628462]","[0.62539446, -0.77984023, -0.419296, 0.57443887, -1.1198342, -1.1682975, 0.014962578, -0.7495381, -1.8098992, -0.90256006]","(50, 10)","[0.3550305664539337, 0.03203287720680237, -0.5104117393493652, 0.6212702393531799, -0.6121981143951416, -0.8359967470169067, 0.9665334224700928, -0.38860008120536804, -1.824637532234192, -0.7875672578811646]"
13,1.3363773661225604,"[1.4793128611023205, 0.591042788834431, 0.3477782217475577, -0.806349611187325, -0.9062769035464382, 0.05592871077716732, 0.20916445777627946, -1.3139142763056653, -2.753412723668258, -2.3515827973302845]","[1.3635882169555849, 0.39423311404448613, 0.20574807604961282, 0.17493091898737567, -0.8586789620260133, -0.2716499920349156, 0.2865482657520384, 0.00586822524030034, -1.217918064509364, -1.7062703605949012]","[1.1677068, 1.2779526, 0.5058386, 0.5721688, -0.91131437, -1.4332191, 0.05680186, -0.32408026, -2.4151444, -1.7016976]","(50, 10)","[1.2414616346359253, 0.3578653335571289, 0.16203729808330536, 0.06560413539409637, -0.8437834978103638, -0.26075029373168945, 0.22404013574123383, -0.07853539288043976, -1.223077654838562, -1.6682077646255493]"
9,1.4079866867907425,"[2.3564076519401875, 0.08026659789866364, -1.0184116336690976, 0.7731049242622018, 0.6259768819617235, -0.6362086120037269, -0.8481798523509172, -0.3844170283470339, -1.0025075425906094, -0.23450906292930995]","[1.0584677749552682, 1.4923364637618968, -1.122379125503358, -0.5800851155402456, 1.193742103385336, -0.05870948624293382, -0.7418996493059715, -0.33151319434935506, 0.014819599365779701, -0.7975415092483881]","[1.5104693, 2.4989698, -0.4291217, -0.9275829, 2.2465773, -0.2515283, -1.0931158, 0.013659841, -0.51631117, -0.57048416]","(50, 10)","[1.1279135942459106, 1.637495517730713, -0.9776314496994019, -0.08998004347085953, 1.074148178100586, 0.17208170890808105, -0.7602394819259644, -0.19770394265651703, -0.03985373675823212, -0.4803136885166168]"
6,1.3371412610269973,"[0.8053994409555097, 0.8856414169249209, 0.4943224239362206, 1.7995936753740582, 1.7673214780165216, 0.6334584440749447, 1.8001778240967057, 0.22129878296870098, -1.9224282693789516, -2.283598234786646]","[1.1541817622107653, 0.28073871009764134, 0.46523209629729423, 0.00660115850473994, 1.5086673621888056, 0.4808786174208332, -0.1226396265682021, 1.5264069482365221, -0.9426061774389248, -1.4269596304347576]","[1.2994156, -0.12114821, -0.37320745, -0.00022892421, 2.6082246, 1.8894486, 0.3063906, 1.9092824, -0.35050923, -2.0949612]","(50, 10)","[0.6493142247200012, 0.556439220905304, 0.35494598746299744, -0.18140289187431335, 1.59321928024292, 0.3263280987739563, -0.0382111482322216, 1.5429773330688477, -0.5791906714439392, -1.3539819717407227]"
12,1.3848897480547882,"[-0.5665367880497909, 1.1403017394872068, 0.5746923468504876, 0.19917871632039397, -0.8406831135469511, -0.4668181337551374, 0.8656601854278306, 1.6994210696335283, 1.9761560482455671, -0.2601532368493624]","[-0.6552178562071084, -1.0754161444789725, 0.8887235997363578, -0.32318944194337285, 0.07716916343596436, -0.937715948294092, -0.047225411657320804, 1.0564842274852062, 1.2170319704545367, 1.4448222358644522]","[-0.463732, 0.9083211, 2.7518256, 1.8611075, 1.4127612, 0.45355952, 0.04815371, -1.0911539, -0.562723, -0.3241829]","(50, 10)","[-0.2031174898147583, -0.4936845302581787, 0.9364234209060669, -0.5818840861320496, 0.489513635635376, -0.7309044003486633, -0.12321209907531738, 0.7148309946060181, 0.9838029146194458, 1.0630120038986206]"
33,1.3473509888742499,"[0.051313360279217346, -1.1941266547350573, -0.49330191249584987, -0.2879651952912808, -0.38518271615872435, 0.910538106739884, 1.4459594473898747, 0.3573531292499716, -1.7438237471703844, -2.374942746444699]","[0.4097985266716356, -0.17173175150652284, -1.0501283735718405, 0.22027721194958494, -0.31000872932497614, -0.21573705141261423, 1.0197690331607996, 0.7174272412051679, -0.2110377928614669, -1.5237013860268767]","[-0.07653893, 0.096447594, -0.90276825, 1.1205751, 0.033080313, -1.210641, 0.1268575, 0.7531965, -0.50308436, -0.9374871]","(50, 10)","[0.4117676615715027, -0.09190528094768524, -0.9935527443885803, 0.14141970872879028, -0.13950954377651215, -0.2798716127872467, 0.9490644931793213, 0.8468974232673645, -0.019037190824747086, -1.6412992477416992]"
32,1.3276805430185499,"[0.8919009554410655, 0.3430863057232868, -0.8331640162756686, 0.1995299285292902, -0.014756781712837341, -1.0446170315563479, -1.2185155412428688, 0.4021040272206776, 1.4225012729638218, 1.6394346542640252]","[1.0708670033078274, 0.045295010634492594, 0.03639834552131513, -0.8345627503645376, 0.6962977496386662, -0.31022366132304036, -0.7965547439488251, -0.4934608792273786, 0.8607952962943064, 0.8267061307131363]","[0.9361783, 1.2588255, 0.43066442, -0.7631532, 0.99133366, -0.16728921, -1.0417432, -0.7732013, -0.70455676, -0.9067424]","(50, 10)","[1.2869772911071777, 0.04346346855163574, 0.17347517609596252, -0.8489423990249634, 0.9549590945243835, -0.570287823677063, -0.8285247683525085, -0.6479746699333191, 1.1679880619049072, 0.7699064612388611]"
17,1.3575149520591407,"[1.9776637326387456, 2.2808021325809653, 2.317044702502045, -0.7175141667587497, -2.1281041285195292, -0.8441584517729043, 1.7475194681679131, 1.3316694908239595, -1.3700210622760884, -1.811697341144787]","[1.156218373636755, 0.6947561258027226, 1.1927028964731252, 0.9360993840860329, -1.5657279365541836, -0.9571450470604014, 0.19501390176518796, 1.6099732135787765, 0.015507159076137977, -1.4957714905997983]","[1.0154862, 1.8072181, 3.1998727, 2.8783145, -1.0165435, -1.4459271, 0.28764683, 1.7001327, 1.0671097, 0.50636965]","(50, 10)","[1.0712970495224, 0.5913140773773193, 0.945936918258667, 0.7828147411346436, -1.4469314813613892, -0.9727660417556763, 0.4553944170475006, 1.5439428091049194, 0.1809658408164978, -1.447298288345337]"
51,1.36594986853813,"[2.7801558908965927, 1.444691466795002, 0.22295876801519848, -2.5569285765859204, -3.1433200735719717, -3.4560790809189634, -1.0621860721879726, -0.43184800559919734, -1.6916701320538288, -1.5772351497153858]","[0.7766095537212697, 1.5092634389351196, 0.049015233025471394, -0.19471922016135285, -2.2825688398236044, -1.367981174414157, -1.8097561946364975, 0.5725625674728206, -0.2891420684701895, -1.3062478105663229]","[0.2513769, 1.4611108, 1.2567004, 0.33187976, -1.9114593, -2.2443638, -2.5383306, -1.2686154, -0.7813142, -2.300468]","(50, 10)","[0.7732211351394653, 1.5520645380020142, -0.006410673260688782, -0.18456436693668365, -2.240588665008545, -1.2045751810073853, -1.5683385133743286, 0.8014109134674072, -0.35454481840133667, -1.1624141931533813]"
77,1.3580527469234027,"[1.6381681811464013, 1.5163091051092064, -0.01503119565809874, -0.7291922849134499, -0.6024020784517252, -1.0381969221159666, -0.49444726436241826, -0.26433945326827135, 0.8936261423364658, 1.108942721816281]","[0.6339363739651767, 1.1403998556384682, 0.6058138444675307, -0.46367689644162696, -0.40552387211727314, -0.24900957693041903, -0.7681262590692697, 0.03880090606487829, -0.20233734897699485, 0.9126336494675971]","[0.55691445, 1.5604839, 1.2612941, -0.7987919, -1.7146173, -0.7381917, -0.12688601, 1.62444, -0.2392555, 1.2611902]","(50, 10)","[0.6315006017684937, 0.977082371711731, 0.7313939332962036, -0.3780345618724823, -0.7321857213973999, -0.26051774621009827, -0.7985183000564575, -0.044985681772232056, -0.23553398251533508, 0.8303244113922119]"
31,1.3535072139833508,"[-0.2961286904765348, -0.6336096511314683, 1.0251329346676603, 0.8600392488685231, -0.11189223653348883, 0.11324071608822323, 0.9080759866243711, 0.41638558378421137, -0.27700348089556404, 1.2447834539866645]","[-0.2675527565632014, 0.14081538535483745, -0.5111042131467308, 1.2299881847894252, 0.029535128252555443, -0.3426611026890122, 0.24639982591373452, 0.6614592379435917, -0.12217859368285405, -0.3091535096138941]","[0.6804109, 0.65472054, -1.8013612, 0.5047153, -0.03880524, -1.5134356, -1.0078545, 0.03511909, -0.04765978, -0.34761643]","(50, 10)","[-0.24244928359985352, 0.26717787981033325, -0.4994133710861206, 1.058734655380249, -0.015704095363616943, -0.2113228440284729, 0.4063236713409424, 0.5720092058181763, -0.00970536470413208, -0.23399552702903748]"
48,1.4483620814804685,"[1.1399513399307817, 2.430756152965367, 1.934636891961126, -0.8375189558567607, -3.010068500613653, -1.667091680285292, -0.0882044017550313, 1.0351423008721765, -0.28129497585500673, 0.049888017237669335]","[0.2527927972321449, 1.2551266866436017, 1.4636846957610739, 0.6113991855564898, -1.4947160330091367, -1.9827292073380278, -0.002639350727379197, 0.3314610517609937, 0.8491999905415278, -0.859533215171663]","[0.024303019, 1.8586076, 1.0985607, 0.28451636, -0.30396083, 0.10246355, 0.70146704, 2.5293646, 1.0287826, -3.7606423]","(50, 10)","[0.5918762683868408, 0.8628343343734741, 1.4442709684371948, 0.9595948457717896, -1.4124318361282349, -2.136701822280884, 0.18436002731323242, 0.4439149796962738, 0.7367045283317566, -0.8151576519012451]"
70,1.3773201061232825,"[1.1041198434913908, 2.498722261475809, 0.7070132528875621, -0.37924950941900215, 1.2425046147542027, 2.703513984021721, 1.785425395293896, -0.8307463292078725, -0.7578664514622202, 0.023382765994171464]","[0.8786424197861102, 0.33478203392715566, 1.8273816201602098, -0.6856174928875278, -0.16250260818279144, 1.4244340097738206, 1.3099280987326258, 0.44909152869463953, -1.2184724638836528, 0.15454459949567922]","[0.6622998, 1.6939431, 3.575237, 1.9486911, -0.5904589, 1.3849375, 1.505025, 1.0012136, -1.2518077, -0.21492608]","(50, 10)","[0.7915056347846985, 0.1946031153202057, 1.6343051195144653, -0.663869321346283, -0.00866040587425232, 1.2753570079803467, 1.377500057220459, 0.2451457530260086, -1.0496793985366821, 0.15872344374656677]"
