seed,ARMA_mse,ARMA_mse_true,Informer_mse,Informer_mse_true,Informer_para,Informer_lr
95,0.2453780148034815,0.00025581414863293293,1.0804127775274366,0.7051864358197717,"(20, 3)",1e-05
100,0.25342718118051916,0.00036453019627236783,0.5257364435763974,0.5242178770098231,"(20, 3)",1e-05
93,0.13449913970278826,0.0006955867285189715,0.26488213428734186,0.29628205685728143,"(20, 3)",1e-05
98,0.3770842116246666,0.001223764092602347,0.8794872615199004,0.6033150440798801,"(20, 3)",1e-05
97,0.441249780997394,0.006367905779552858,1.962741038402611,1.5573447518737884,"(50, 10)",1e-05
30,0.32592079610149655,0.00036379192916370873,0.8382074986008698,0.6042702679870976,"(50, 10)",1e-05
39,0.28711418033662134,0.0001310360976978303,3.5032726659385673,2.574878330641716,"(50, 10)",1e-05
99,0.4241375880918793,1.6748047257319314e-05,0.8161250622911453,0.6566628705475402,"(20, 3)",1e-05
64,0.26237232613255346,2.6691938935102668e-05,1.614912383031275,1.3660991170192507,"(10, 2)",1e-05
77,0.3853106542382395,0.00032293916912428663,0.7485474086237309,0.614423830027725,"(20, 3)",1e-05
37,0.24540222999824346,0.00023255624856025232,1.9147748089388412,1.359137061850738,"(10, 2)",1e-05
62,0.39702173676707525,0.0044976712270666545,2.0470834182011783,1.4727988830754293,"(50, 10)",1e-05
90,0.38126772967860234,0.0003323545178275063,1.4367739829905513,0.7850317280856866,"(10, 2)",1e-05
82,0.3073005638129381,0.000810784772550786,0.5219768626848585,0.4044930730708999,"(50, 10)",1e-05
96,0.26224410500144935,0.00048020159204679986,1.3482193065358454,0.9209204635721842,"(20, 3)",1e-05
25,0.41245461910217457,0.0008197729624586354,1.9246413926700707,1.1853742482800924,"(20, 3)",1e-05
5,0.5664756337865973,0.00039126556967924303,1.4996889024479418,1.075825298398344,"(10, 2)",1e-05
33,0.18560164410135235,7.75317152355558e-05,0.8505231347328586,0.9204161023489483,"(20, 3)",1e-05
19,0.3669245415304013,0.0001767485197632476,1.4346213585896452,0.6439205356480405,"(20, 3)",1e-05
45,0.3808558299565799,0.0019191334382261138,1.2071751684592613,0.7145237250376373,"(20, 3)",1e-05
71,0.34606876810975845,0.00037435562071236285,1.0989804048518748,0.7394459878163742,"(20, 3)",1e-05
24,0.46283465578661237,0.002879453018513093,1.7774565731043563,1.2487507747896445,"(10, 2)",1e-05
73,0.4594048694407317,0.0009547233656646778,3.0162167922750234,1.5580678494190194,"(10, 2)",1e-05
50,0.3065142473590253,0.0003360967663796858,1.979420648510284,1.1728605466999642,"(20, 3)",1e-05
92,0.42995623217754647,2.4068683085582622e-05,0.7325881451519412,0.6359646892213922,"(20, 3)",1e-05
60,0.38609185140881525,0.00028952378432072493,0.5657423536484285,0.4644222720579115,"(20, 3)",1e-05
76,0.1845778668066213,0.0003246761655301978,0.3727082890358203,0.22954530777587284,"(20, 3)",1e-05
94,0.26838987672257963,0.000635280524407147,1.3833054219875915,0.9557202791423721,"(20, 3)",1e-05
41,0.45728889401459016,3.497525698753359e-05,1.42569358432594,0.6675579335609318,"(10, 2)",1e-05
13,0.3091557407629666,3.7423710872726656e-06,0.5151514586456563,0.5256165833602328,"(20, 3)",1e-05
57,0.312615372518241,0.0018741818730546415,1.0541882842352461,0.869755084192642,"(10, 2)",1e-05
87,0.3169689393546415,0.004379676216129206,1.2162215549141293,1.0031915171780423,"(10, 2)",1e-05
47,0.22609005066593615,0.0042896629974684694,2.2223116474027456,1.4876116996983066,"(20, 3)",1e-05
75,0.24884930338889108,0.0017953827902037682,0.8702139460261253,1.0872905334376317,"(10, 2)",1e-05
51,0.335803388408842,0.00023913840881633496,1.0100488936474703,0.72462304564015,"(10, 2)",1e-05
86,0.18782606847708877,0.00042957466402962594,0.5949147483455373,0.4238952437542742,"(20, 3)",1e-05
4,0.46423334273095307,0.03426662335791135,0.6194007178409642,0.5521066235705495,"(10, 2)",1e-05
68,0.3670071239138717,0.0001225939538810579,0.6809999053367299,0.7768597867496023,"(50, 10)",1e-05
54,0.4035013285738257,0.00062153273777504,0.5562347781430937,0.4652345082274711,"(10, 2)",1e-05
23,0.33731825944750377,0.0001255458034318267,0.9503588187359469,1.0870814464038063,"(20, 3)",1e-05
80,0.11572461842846908,3.531771125341302e-05,0.5789752029499109,0.2900912359014847,"(10, 2)",1e-05
55,0.33990034010929415,0.00025692383196693956,0.36418500478198224,0.25648521130947494,"(10, 2)",1e-05
84,0.3388403422449808,1.7339280881068466e-05,0.6303002138050622,0.5571723605192955,"(50, 10)",1e-05
49,0.2956157438969929,0.00042849507472299465,1.1089256795760545,1.3755601716841257,"(20, 3)",1e-05
17,0.3564777594793572,0.0001945886969756014,1.57231784750191,1.326422068634392,"(20, 3)",1e-05
46,0.36625367106282425,8.648412044973919e-05,1.3098681820803042,0.7689423326153213,"(10, 2)",1e-05
88,0.25603432262620285,9.347410331873594e-06,1.7226373886720179,1.9023176680159657,"(20, 3)",1e-05
31,0.3866966756414566,0.0009607747632632876,2.2774302944738922,1.651255428691241,"(20, 3)",1e-05
22,0.32598187054144095,0.0005348189418074239,2.2933689152299217,1.3624998825937298,"(10, 2)",1e-05
11,0.5033380360325628,8.715093796783134e-06,2.003790624011763,1.6622443981658166,"(20, 3)",1e-05
6,0.28066954954059453,0.00016126673799004779,1.0661034873429907,0.6446363105778039,"(20, 3)",1e-05
29,0.24116394325795204,0.0002926767906949122,0.329593655021749,0.40184849937915573,"(20, 3)",1e-05
79,0.4886954755009957,0.0010332164676885329,0.7196300042911064,0.9710217352378369,"(10, 2)",1e-05
10,0.3797749748104035,0.0020189096991284896,0.9416036402384599,0.7832063296278731,"(10, 2)",1e-05
12,0.33488518256263017,4.579868601707501e-05,1.1422779595072245,0.8769452145367145,"(10, 2)",1e-05
8,0.36432350541995334,9.692769524790675e-06,0.69204607101346,0.5871985734831902,"(20, 3)",1e-05
69,0.47525575018600447,0.0005045995334061576,1.5812596588796926,0.49071417451157534,"(10, 2)",1e-05
7,0.40576554528353387,0.003926780557986314,0.9177221366548199,0.5156206749219124,"(20, 3)",1e-05
42,0.33052012939344577,0.002134543321784832,0.8075411571399463,0.4919619237537651,"(20, 3)",1e-05
26,0.35311704775062297,0.00015013688697475668,1.2213027845395048,0.923437317555891,"(50, 10)",1e-05
48,0.32167306393056977,0.00029903425993813037,1.6454084655632086,1.1542666186461414,"(20, 3)",1e-05
21,0.39767088069187567,0.0013668830362116953,1.25202403137878,0.8818168849580191,"(20, 3)",1e-05
70,0.3071547298376412,0.06915348802235681,0.9777131808870383,0.6654128968591752,"(20, 3)",1e-05
89,0.30741999482552174,0.0011181560890783056,2.1755542932575502,1.5073716251889813,"(20, 3)",1e-05
