seed,Test,True,ARMA,ARMA_Order,ARMA_Train_loss,ARMA_Valid_loss,AR,AR_Order,Informer,Informer_para,Informer_lr,RNN
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8471793149811205, 0.38402214373196086, -0.04707161033547279, 0.0731436571024592, -0.8214567399135665, -0.7058397812998202, 0.4896926816582691, -0.5070311485209867, -1.0741120253065497, 0.037580934550999645]","(4, 0, 0)",0.34487612215790064,0.7241421735658194,"[-0.8471793149811205, 0.38402214373196086, -0.04707161033547279, 0.0731436571024592, -0.8214567399135665, -0.7058397812998202, 0.4896926816582691, -0.5070311485209867, -1.0741120253065497, 0.037580934550999645]","(4, 0, 0)","[-0.92891926, -0.07887457, 0.12968144, -0.11410579, -0.8491437, -0.8732594, 0.31869283, -0.34481892, -0.9613456, -0.39344996]","(50, 20)",0.0001,"[-0.8098532557487488, 0.18005388975143433, 0.1723254919052124, 0.1252502202987671, -0.7944779992103577, -0.8715125322341919, 0.2933915853500366, -0.5495321750640869, -1.0655171871185303, -0.30470749735832214]"
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.0035691338230353087, -0.44419745582429715, -0.598620761356551, -0.05472327712336894, -0.42939307392136883, -1.1680595179187054, -0.7751929225222377, -0.512905080354563, -0.9437816048639056, -0.7121834403625458]","(1, 0, 1)",0.3363810528023214,1.0067642195609359,"[-0.0032654801847282755, -0.4266235107710733, -0.6408991393749053, -0.052742915677973456, -0.41978965087816833, -1.1990435808749882, -0.7850271961274151, -0.4983711763874763, -0.9841508216532652, -0.7616276595227442]","(3, 0, 0)","[-0.16867024, -0.43383175, -0.7802558, -0.27710623, -0.29347295, -1.1179014, -0.9425821, -0.5690442, -1.0050201, -0.9105441]","(10, 5)",0.0001,"[-0.005013182759284973, -0.4414997398853302, -0.7384530305862427, -0.07895389199256897, -0.4190046489238739, -1.1215465068817139, -0.9085241556167603, -0.5218112468719482, -0.8538336753845215, -0.7678670883178711]"
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9699537754908738, 1.1794789188179724, -0.017569832401598373, -0.6130596222366997, 0.23417651055753627, 0.25311961860723653, -0.3329502051146281, -0.21082381160743086, 0.24190105262222789, 0.4884312613505949]","(1, 0, 1)",0.3213879567720756,0.6861534836215167,"[0.9904450195760908, 1.1616863067982743, 0.00526606370441407, -0.6343842845886138, 0.2855470741855619, 0.3058144873184222, -0.37700821555418457, -0.2254585562974545, 0.2724280773939184, 0.48479542283253313]","(3, 0, 0)","[0.5863105, 0.9812732, 0.100909576, -1.0056862, 0.15656397, 0.11104986, -0.63643205, -0.2749147, 0.12601644, 0.23533669]","(20, 10)",0.0001,"[1.0402449369430542, 1.3074668645858765, 0.09254852682352066, -0.6342191696166992, 0.09005705267190933, 0.30035191774368286, -0.39700624346733093, -0.1536274552345276, 0.10502943396568298, 0.5483437776565552]"
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.35153649482459565, 0.7600531802634949, 0.08491032846875435, 0.5337116062995271, 0.8012351739438364, -0.04336317652225041, 0.1318917239425902, 1.0092400257681802, -0.036245958526091665, 0.8893233378524259]","(1, 0, 1)",0.3290524234583456,0.7804790229426704,"[-0.3409283269223432, 0.7868403771290392, 0.07817051316843171, 0.513178711079431, 0.8686870528030523, -0.0794253022460728, 0.12296871679142862, 1.019392095956285, -0.0597815389736458, 0.8464545114651104]","(4, 0, 0)","[-0.4393583, 0.712631, -0.027598567, 0.5181614, 1.029012, 0.16669768, -0.0121065825, 1.3106834, -0.32384372, 1.086791]","(10, 5)",0.0001,"[-0.38558125495910645, 0.7618402242660522, 0.09044826030731201, 0.5140666961669922, 0.8123906850814819, -0.04641145467758179, 0.11364293098449707, 1.0121647119522095, -0.024913489818572998, 0.8674337863922119]"
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.764220586097548, 0.44963419353551115, 1.0415530004092177, 0.7671928125231218, 1.189607821810355, 1.015661161857155, -0.2586734808218796, -0.6581747057132805, 0.40981037610715154, 0.28888995032245657]","(1, 0, 1)",0.3400283988172538,0.773723410162054,"[0.7776230132762922, 0.4764294355458374, 0.9799463223642321, 0.8065123626876823, 1.1659882105357897, 1.0554568893788434, -0.2524565670465543, -0.6443586757975855, 0.4691597766233035, 0.3168302547307194]","(3, 0, 0)","[0.58429027, 0.5311487, 0.87654746, 0.99093825, 1.1610131, 1.2787933, 0.018633686, -0.6864318, 0.23768112, 0.34167802]","(10, 5)",0.0001,"[0.6956886649131775, 0.44896942377090454, 0.9922520518302917, 0.7244548201560974, 1.2488312721252441, 1.0303499698638916, -0.32599228620529175, -0.42317813634872437, 0.2442246675491333, 0.37483763694763184]"
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.7238853974917612, -0.34970377158819516, -0.26772905013690595, -0.1882181399454844, -0.5463150885690845, 0.5413965263472629, -0.33810024558882557, 0.5047940832822736, -0.2884988342968011, -1.0541558714774506]","(4, 0, 0)",0.31453385586378374,0.6009957973895796,"[-0.7238853974917612, -0.34970377158819516, -0.26772905013690595, -0.1882181399454844, -0.5463150885690845, 0.5413965263472629, -0.33810024558882557, 0.5047940832822736, -0.2884988342968011, -1.0541558714774506]","(4, 0, 0)","[-0.6365374, -0.407063, -0.31417227, -0.14096516, -0.5044837, 0.56028515, -0.107096, 0.65065056, 0.16007838, -0.90412825]","(20, 10)",0.0001,"[-0.746492862701416, -0.4205128848552704, -0.23365722596645355, -0.03320479393005371, -0.5998646020889282, 0.41513994336128235, -0.31110653281211853, 0.5062316656112671, -0.3055039048194885, -1.1364002227783203]"
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.1964754518250566, -0.44086715608746063, -0.025805365414303935, 0.7396653846188657, 1.0699146321813784, 0.7453758881508739, -0.3134613377437644, 0.2411093411016848, -0.7245192504091724, 0.27118087855565226]","(1, 0, 1)",0.35265152616037615,0.7084807910251816,"[-0.15469576023340872, -0.5092506513717885, -0.03846103640947124, 0.7389330915815342, 1.0509176512026246, 0.7246031430604727, -0.2953420779395578, 0.2465435015988373, -0.6220437243906887, 0.19330321378908755]","(3, 0, 0)","[0.05164374, -0.72233427, -0.18248098, 0.64201844, 1.1963936, 0.83377755, -0.24369185, 0.18147257, -0.7439336, 0.29727724]","(10, 5)",0.0001,"[-0.2306944727897644, -0.3443410396575928, -0.013089627027511597, 0.7396047711372375, 1.1606338024139404, 0.6731210350990295, -0.27894577383995056, 0.06791903078556061, -0.5568049550056458, 0.21034151315689087]"
11,"[0.9041179734816571, 1.3128266820579864, -0.08782188970286342, -0.06818098498933428, 0.5325499896573734, -0.23708674172827865, -1.4348660106393332, -0.4933474587559986, 0.2532797562564811, -0.8010393132490272]","[0.14243923322386534, 0.8328983568697245, 0.8963775036231242, -0.5360106415144255, 0.19982433576787847, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.11073413340991906, 0.19791268955152155]","[0.1447936406742693, 0.8315348848793332, 0.8968747614837341, -0.5396235903442143, 0.20269789127912818, 0.4302227299354413, -0.45399150939259153, -1.2068817743151001, 0.11674927540687333, 0.19383106934134547]","(1, 0, 1)",0.33069614436973865,0.7245593994478072,"[0.09419299685720145, 0.8860153174605357, 0.8231067883185257, -0.5614352958838537, 0.22676202824265684, 0.5460424618178306, -0.5099933158771256, -1.206832070429701, 0.1721794755904525, 0.21527328753566427]","(3, 0, 0)","[0.27768403, 1.0100937, 1.2388585, -0.52152234, 0.1770775, 0.75717247, -0.29647756, -1.0329003, 0.19026883, 0.19678898]","(10, 5)",0.0001,"[0.015183061361312866, 0.8569046258926392, 0.8651328086853027, -0.36915478110313416, 0.0033507347106933594, 0.35342052578926086, -0.4671325385570526, -1.2649118900299072, 0.12637820839881897, 0.048538655042648315]"
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.603661192746527, 1.065989013411405, -0.38113540102854016, 0.48351299502932427, 0.92305202502943, 0.35068888923646024, -0.11358450702084184, -0.4871731658125731, -0.49227579074375694, -0.17064740347953306]","(1, 0, 1)",0.3352022142189582,0.7869562635942375,"[0.6819054921350081, 1.03770334510464, -0.3332778066143058, 0.4243653261474749, 0.9441402978984328, 0.27722701411310446, -0.0961951393570062, -0.4900804584276328, -0.5321164398392161, -0.18594081144125008]","(4, 0, 0)","[0.8941117, 1.0990392, -0.081627965, 0.4426323, 1.0539106, 0.51634, -0.21150905, -0.72114456, -0.8183191, -0.25387377]","(20, 10)",0.0001,"[0.7176428437232971, 0.9931867122650146, -0.22971676290035248, 0.5412572622299194, 0.9343888759613037, 0.4895145297050476, -0.16634543240070343, -0.5395208597183228, -0.5592902302742004, -0.09493298828601837]"
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.5136396278090108, -1.2464698717718652, -1.2979803241468597, 0.2937734248503056, 1.0691443511084104, 0.040616699570567294, -0.9200082481684622, -0.5315664360107728, -0.46811435243358007, 0.5185710212825771]","(1, 0, 1)",0.3302963987808119,0.9447631816963052,"[-0.527559451298709, -1.2727343744609088, -1.276789303544388, 0.2486094993765654, 0.9936746524421379, 0.08190164352414675, -0.784890698161305, -0.4997770132763021, -0.5510602059246585, 0.43886374354446]","(4, 0, 0)","[-0.73476124, -1.1188596, -1.2578328, 0.36331636, 0.82366824, -0.10667239, -0.536342, -0.8344531, -0.5656836, 0.4365579]","(20, 10)",0.0001,"[-0.5885551571846008, -1.3622804880142212, -1.321207880973816, -0.001844748854637146, 1.1077909469604492, 0.19932104647159576, -0.8594507575035095, -0.531694233417511, -0.3337041139602661, 0.3545885682106018]"
