seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562053824263, -0.4408738650682562, -0.025806820386238466, 0.7396653743263439, 1.0699146334682457, 0.7453758880011807, -0.3134613397843231, 0.24110934117329608, -0.7245192503508954, 0.2711808784710481]","(1, 0, 1)","[0.32464358, 0.17904034, 0.13822228, 0.15998128, 0.10414926, 0.20246321, 0.09456932, 0.11421434, 0.23723301, 0.23354745]","(50, 10)",0.001
1,"[1.666967981434209, 0.5619832624606712, -0.6280982501808474, -0.06644837359775124, 0.3715073513466425, -0.21090634923396046, -0.3778398246700636, 0.13975286998900427, 0.6129966802622648, 1.1335116906363574]","[0.9714185287825159, 1.181258717042951, -0.028646096060804316, -0.6137752021504452, 0.24043922747747137, 0.2512877376079068, -0.33655021803791385, -0.20956471565110668, 0.2445352278145576, 0.49072906635498603]","[0.9700583496807579, 1.1794655719248575, -0.01747676726832137, -0.6130547700797488, 0.234170521638902, 0.25312137431971493, -0.33295047236236386, -0.21082376481108955, 0.24190104606653737, 0.4884313612673894]","(1, 0, 1)","[0.48233786, 0.47970986, 0.47988245, 0.47950318, 0.57631654, 0.4878352, 0.4796788, 0.48095205, 0.48008552, 0.4857424]","(50, 10)",0.001
10,"[-0.8772296308972455, -1.6549104396358945, -0.31582108669494224, 0.7705771338391414, 0.24377949080872308, -0.4566587265431938, -0.36452016573846713, -1.0615117756657937, -1.411526515194137, -0.40210935568612516]","[0.004444454067039555, -0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808]","[0.030838267761975735, -0.7878011585371533, -1.2274037287128055, 0.22631154690886174, 0.6592932207809299, 0.018141206020433343, -0.46130230573632186, -0.2452121042389411, -0.9782847269199058, -0.8716226686349822]","(5, 0, 0)","[-0.10024147, -0.1002305, -0.10024747, -0.10027334, -0.10028486, -0.10026944, -0.10027194, -0.100283444, -0.10026848, -0.10022996]","(10, 2)",0.001
42,"[1.349609050956198, 0.28643198137919956, -0.580334596230885, -0.8864732069124243, -1.3947872325795727, -1.5342702678159439, -1.5749370649129626, -1.1672918085267447, 0.18855794128975967, -0.288322847974939]","[1.0400575483876775, 0.8295802767623592, -0.12835815700198006, -0.516155517729895, -0.6283954480474767, -1.0805895085558344, -0.9939755135380268, -1.0779493081439493, -0.6283171544547702, 0.5027165185171447]","[0.9818714211417197, 0.7895718221519805, -0.09880962351520037, -0.48730270795451147, -0.5903909613497915, -1.0116262442635362, -0.9483687654828175, -1.0171565929362412, -0.6110081704020125, 0.4539525209363309]","(1, 0, 1)","[0.0956389, 0.09686902, 0.084849745, 0.060624894, 0.040742006, 0.051345278, 0.07143569, 0.085334405, 0.09871444, 0.08802673]","(10, 2)",0.001
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.6978165856320984, -0.3968793785708757, -0.2811757379408464, -0.1664061974939002, -0.5665413109097184, 0.5101610850064371, -0.34150562944016344, 0.509554235940544, -0.3168562271471964, -1.0074545354112834]","(1, 0, 1)","[0.13854235, 0.13693377, 0.13463268, 0.13648902, 0.13450858, 0.1292049, 0.12937838, 0.12621132, 0.1283683, 0.13084406]","(20, 4)",0.001
31,"[0.30341332875453375, 0.6340193617748036, -0.4182343227752221, -1.673433365507266, -1.2106983823717758, -1.4389688373836647, -0.5797403527290004, -0.6714112545638771, -0.3776577208129207, -0.08125005336654284]","[0.3498758509388278, 0.12847540328511986, 0.5697816601322436, -0.7031251528413439, -1.321870789086594, -0.5497629878284789, -1.1640873434694252, 0.0023033190057122344, -0.6725629140667332, -0.04137626377955411]","[0.332756142833424, 0.12111451648567657, 0.5463644917726156, -0.6785486734153567, -1.2575501963907743, -0.517987476842962, -1.1171239013135397, 0.012752969142211024, -0.6483271876457406, -0.033684632470435044]","(1, 0, 1)","[-0.19357407, -0.19403774, -0.19338635, -0.19302812, -0.19251311, -0.19141503, -0.19170506, -0.19208963, -0.19198592, -0.1917427]","(50, 10)",0.001
26,"[-0.1476671635400908, -0.6899565897852734, -0.03942738610034574, -0.041523039371085035, 0.37620241401136634, 0.9867307216742658, 1.5340533666055696, 0.6723199389881331, -0.846517886351763, -0.954506590760342]","[-0.4001582927652938, 0.052411982842556104, -0.7161625812065515, 0.31865390450292996, -0.20084999162255002, 0.47662740982264135, 0.7484170167629451, 1.159844858224097, 0.09239750987608464, -0.8927166412898053]","[-0.396352993899941, 0.04409077853314691, -0.7170432384462213, 0.30719481749400923, -0.18949650032370985, 0.4691131511859127, 0.7666445494320705, 1.1760891865041054, 0.11091594897552784, -0.9054107467800394]","(1, 0, 1)","[0.0028159395, 0.00280324, 0.0028321967, 0.0029934272, 0.0031442791, 0.0031574704, 0.0031593516, 0.0031491406, 0.0031356663, 0.0031288378]","(20, 4)",0.001
29,"[-0.6951020745913491, -0.4279128852287399, -0.918815378963657, -1.5019427858790135, -0.9666298109046424, -1.2665671590539103, -0.5775728482030134, -0.5941856313162276, -0.85509393819885, -0.1997517813043379]","[-0.6397628680588204, -0.3752206405619389, -0.24030256494777044, -0.7986640964897718, -1.1026107376341279, -0.4153244420875785, -1.058904938010121, -0.04812037919795287, -0.5701254417172512, -0.5700312173402244]","[-0.6840219682807609, -0.3761874128283804, -0.16749856151147385, -0.8477441971014013, -1.1462222148327268, -0.4271181543042085, -1.0963937147749974, -0.16157411453641968, -0.5620991450254549, -0.6831370097120499]","(3, 0, 0)","[0.14257129, 0.1411452, 0.14330466, 0.14345501, 0.1409953, 0.14166316, 0.14455116, 0.14529131, 0.13977343, 0.13531959]","(20, 4)",0.001
33,"[-1.1700749594508788, -0.632615951279612, -0.4751845445619967, -0.4547302097030288, -0.6348457431219107, -0.7505243143273135, 0.2114753886932912, -0.4974238080943947, -1.1128169748310386, -0.9364902740093957]","[-1.1922453627898077, -0.573952278055975, -0.3456398122516245, -0.30236463843618444, -0.3035478904849366, -0.4830717978794424, -0.5089884153875923, 0.46596959638708735, -0.7304086062879384, -0.7476126716870695]","[-1.2093415196885855, -0.5847282015333071, -0.35027368571272954, -0.30704276429804617, -0.30778711565018646, -0.4895410717967654, -0.5168497069722703, 0.4688200203619781, -0.7320836257899999, -0.7614332126482031]","(1, 0, 1)","[0.27030534, 0.27029717, 0.27019775, 0.27020186, 0.27025628, 0.27051544, 0.27068782, 0.27040452, 0.27049416, 0.27023822]","(50, 10)",0.001
24,"[-0.16368099539043024, 0.9924642877554309, 1.5017809662698562, 1.7499909856268978, 1.8575848526434937, 1.8671810402860531, 0.4432714813088353, 0.5882500217078281, 1.3552075007307907, 0.9892293937218952]","[-1.112930554346549, 0.39278428178284436, 0.7960721468640088, 1.103744892837852, 1.198118539207972, 1.258525583039508, 1.2379182487662992, -0.17568764307431434, 0.6760938432449853, 1.017160579108298]","[-1.0801826515500537, 0.4451757170768671, 0.7965147909017705, 1.1219956221613137, 1.0594683961386688, 1.2469641184259705, 1.2739269810795733, -0.22309796998129172, 0.7383501403749139, 0.9434444159905518]","(6, 0, 0)","[-0.055783175, -0.107002825, -0.025791204, -0.14082608, -0.21417247, 0.04054174, 0.2550994, 0.5261176, -0.34716627, -0.551458]","(10, 2)",0.001
3,"[0.7980877186989277, 1.2468067813411086, 1.2401457725175637, 1.5366640958549644, 1.5519090964049083, 0.20115061110280497, -0.77519480065918, 0.1100903025267086, 0.47543770245064265, -0.3961646607507813]","[0.7727444411989659, 0.41171549809944474, 1.0409490322913864, 0.7196712563718707, 1.1768284676690293, 0.9634948625703936, -0.28059682018239185, -0.6348963905679841, 0.42753849781070064, 0.26166845354529233]","[0.7642202018998376, 0.44963374891455193, 1.0415530004247495, 0.767192812465605, 1.1896078219741604, 1.0156611615980815, -0.2586734807958727, -0.658174705672223, 0.4098103760461756, 0.28888995038826604]","(1, 0, 1)","[-0.4402342, -0.42772228, -0.3975648, -0.38432962, -0.37757698, -0.37771788, -0.3735321, -0.36811945, -0.3766273, -0.42697603]","(50, 10)",0.001
14,"[-1.2440986860865688, -0.4865508935504905, 0.2975830767098091, 0.7568197055496705, 0.16370804313753556, 0.3232395075890545, 0.4764214573147744, -0.18314757271140183, -0.9892241619774378, -1.1428070380385411]","[-1.3117611664475848, -0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495961, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601]","[-1.295782134091272, -0.5822200745646684, -0.19007800320821644, 0.38789531918643694, 0.5530771476163724, -0.11403413880780093, 0.37524012538434615, 0.28260852181676693, -0.321275599760081, -0.8151522625871755]","(1, 0, 1)","[0.29986352, 0.29986215, 0.29985934, 0.299858, 0.29985815, 0.29986194, 0.2998555, 0.29984313, 0.2998113, 0.29978138]","(10, 2)",0.001
16,"[-0.8925604713988429, -0.6212528188330457, 0.5991684642228181, 1.282312738377204, 1.7892923932724853, 1.0734674101721913, -0.2954125087901368, -0.8968350856880265, -0.604867114153435, 0.1009670901745342]","[-0.5361011232371724, -0.6245099097802567, -0.3089978639429174, 0.7536673961942768, 0.9054790402800655, 1.3365528731324525, 0.405190973605965, -0.4980079955931193, -0.6478310878914668, -0.28095157020770156]","[-0.5230950291834258, -0.5854322477086389, -0.2873081554026839, 0.7398687187298916, 0.8472191841476295, 1.2864319503294195, 0.34992959010611047, -0.477955477000619, -0.6153939634570839, -0.2553779678424723]","(1, 0, 1)","[0.32132, 0.32118654, 0.32145715, 0.32131946, 0.32159486, 0.32127196, 0.32124445, 0.32115853, 0.32158276, 0.32177758]","(10, 2)",0.001
22,"[0.33438651265842706, 0.8984919538709591, 1.255431644998678, 1.783500954397775, 1.239939248831758, -0.1801253960457755, -0.6709199658377545, -1.1298765987584993, -0.5347702735330219, -0.5966475730795737]","[0.49832583589606355, 0.08522359471039528, 0.8558801565157614, 0.8274915667407973, 1.3697551710273763, 0.5550616633180699, -0.45765622770481046, -0.4420918519853493, -0.9088306727658247, -0.0803549371501095]","[0.5111764605514226, 0.07540392273048335, 0.8924021254783575, 0.8296765094942791, 1.4137676610701302, 0.5406688384737888, -0.47311410310900726, -0.44585386128694426, -0.9379882812724183, -0.057983543185382486]","(1, 0, 1)","[-0.14200298, 0.50545573, 0.5054722, 0.5036275, 0.50468504, 0.5037359, 0.50563675, -0.2934618, 0.36256993, -0.31425542]","(10, 2)",0.001
37,"[0.5198539064413863, 0.6858897627786857, 0.10725806906728796, -0.9021371215984122, -1.7735493506493345, -2.003625817677107, -1.6001014203826736, -0.7717716489465446, -0.24750679902302114, -0.36925922064009464]","[0.38359838798831714, 0.3280547124472277, 0.5218624065550719, -0.15367313421024797, -0.8253005544932882, -1.3608990734026905, -1.323176280975762, -0.9385132798947927, -0.30251500899914824, -0.09624929452344702]","[0.37351973430753793, 0.3212970696840084, 0.5104155236216444, -0.15152710247597237, -0.8074978106316257, -1.3337046797670962, -1.2976350886111852, -0.9215094287486678, -0.2960250082576207, -0.09463541604799995]","(1, 0, 1)","[0.09238815, 0.090991534, 0.09202937, 0.09857461, 0.0985568, 0.10527816, 0.09495826, 0.10491239, 0.09099856, 0.08155199]","(10, 2)",0.001
40,"[-0.8047873718045049, -0.1300202701662716, 0.695905070661731, 0.37099730432246275, -0.07549416870083717, -0.9612037512661388, -1.6009695774664776, -1.7099297981413237, -0.8936570159629138, -0.12911489059261472]","[-0.8058451454567335, -0.40186479907613815, 0.07091212937179747, 0.6604490059758323, 0.04077280133454661, -0.09588056936811047, -0.9132634665820836, -1.144337844175436, -1.1377608760536058, -0.3247765779361109]","[-0.8199558092372605, -0.43559218292100255, 0.0543295858742046, 0.6459013372697743, 0.09008485979246898, -0.1095386473845856, -0.8777195447666764, -1.1766966369530825, -1.1600702090232082, -0.38149462279795215]","(1, 0, 1)","[-0.8474004, -0.8762833, -0.8606932, -0.85649776, -0.8912897, -0.90086067, -0.87921286, -0.89322233, -0.90638924, -0.8251511]","(20, 4)",0.001
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.35152308738202226, 0.7600339806821611, 0.08491266288652854, 0.5337116075034172, 0.8012351736433907, -0.04336317654203417, 0.13189172395152515, 1.009240025689278, -0.03624595877773709, 0.8893233378471981]","(1, 0, 1)","[-0.04035314, -0.042308018, -0.041676376, -0.041421928, -0.041338876, -0.04122045, -0.041224733, -0.041231275, -0.04107207, -0.041214332]","(50, 10)",0.001
19,"[-0.9154401587451794, -0.06436007585343079, 0.4094842724044888, 0.864996052684246, 1.5430190391230463, 1.6072113163130664, 1.9569449337649647, 2.215450394275211, 1.1791069990858976, -0.35616315803360665]","[-0.6812585576001368, -0.574810879945111, 0.2230453641191247, 0.2979615903449265, 0.7160152575117827, 1.1850114103671547, 1.014705611129489, 1.4495921282002202, 1.4906543301751007, 0.4337798339983472]","[-0.7024117781400898, -0.5536365008800744, 0.23030033680120388, 0.2921852723184043, 0.721474256634294, 1.1815379338207854, 1.0023218941671455, 1.4577933171987394, 1.482985646136303, 0.412230326378637]","(1, 0, 1)","[-0.027453259, -0.027424008, -0.02745504, -0.027422585, -0.027424462, -0.02741757, -0.027452081, -0.027422737, -0.027450353, -0.027418211]","(20, 4)",0.001
39,"[0.674737531176434, 0.22585632107127612, 0.1447173558891808, 0.8449839033204969, 0.981149081186912, -0.12607406087554024, -1.1291825113924396, -1.7708241223934436, -1.9237683696617718, -0.7785626463038531]","[0.5973708668962577, 0.3760520977283051, 0.037830272207123566, 0.125802219785619, 0.7820827934276874, 0.5901076844730684, -0.4211279031120744, -0.9186185598364025, -1.3115148424752423, -1.2680109484241506]","[0.6004760087238546, 0.36303736222227007, 0.03297260671829377, 0.13021758598805133, 0.7945748873151138, 0.5710457445711412, -0.4414801292954093, -0.9154515582060454, -1.3161179471064415, -1.2569023115362703]","(1, 0, 1)","[-0.28906053, -0.2890598, -0.28905818, -0.2890586, -0.28905973, -0.2890621, -0.28905958, -0.28905943, -0.28905863, -0.28906026]","(10, 2)",0.001
43,"[-0.11156417888470532, 0.966500439914207, 0.06058132689622597, -1.3372379535143002, -0.4305957387041587, 0.13068337221055676, -0.6601923748812928, -1.5378782637377053, -1.5310104121270827, -0.6472473879029459]","[-0.7525185267471248, 0.26469508448885715, 0.8341528976697784, -0.35649512193866323, -1.1589903925449687, 0.14889945756832562, 0.05623364342639395, -0.6883091965944897, -1.1937236654404604, -0.9341485794068525]","[-0.7794611003118667, 0.29730566545642334, 0.8451225462867666, -0.3868831246176651, -1.1820610274221128, 0.18456285979087025, 0.03669783503307338, -0.7045152070233647, -1.2197487346690417, -0.9372987992046943]","(1, 0, 1)","[0.33193743, 0.3806975, 0.4663661, 0.483008, 0.41224605, 0.33673757, 0.41049692, 0.4511214, 0.4346551, 0.47579175]","(20, 4)",0.001
41,"[-1.4375676212985418, -2.0217203782526525, -1.9535855577314707, -2.166978050543202, -1.189794536956566, -1.3323027622775923, -1.0140894979802253, -0.2643535583450203, -0.7854779820234, -1.3409865220708328]","[-0.5559291296022015, -1.159603056497441, -1.441918850003932, -1.2326261327295045, -1.5506649841784497, -0.41446204486734106, -1.1250717398439218, -0.4515536280582644, -0.03857674431588809, -0.7661896098654559]","[-0.557218498749906, -1.160002208177576, -1.4426234727550746, -1.2326503092653884, -1.5610113121717546, -0.40729679702116095, -1.13678845620209, -0.44837780700443647, -0.04001766488173615, -0.7724826920978118]","(1, 0, 1)","[-0.16013394, -0.21121085, -0.20959608, -0.21018256, -0.20270377, -0.2105852, -0.20877057, -0.19600949, -0.21198235, -0.21480896]","(50, 10)",0.001
12,"[0.15975893077394543, -0.6714124980704688, -1.290158604413174, -1.6942023779207949, -0.2920549054519067, 1.0150965112652832, 0.5274579925926742, 0.016072710814402813, -0.11857658304519078, 0.34342723076854553]","[0.9234486538678678, -0.30196539615998846, -0.5204297999904746, -1.029943704417937, -1.1792305257118265, 0.2975603574040065, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363]","[0.9212456465369723, -0.31123202313181053, -0.5171372230452628, -1.0370334024631656, -1.1796341715495808, 0.31216352592419316, 0.8644278806353993, 0.08561912866159938, -0.028118922866875423, -0.10528980813777677]","(1, 0, 1)","[-0.21058235, -0.20979092, -0.21083307, -0.2116015, -0.2103377, -0.2100758, -0.2102091, -0.21078682, -0.21096325, -0.21004501]","(20, 4)",0.001
20,"[0.6919287386873479, 0.4648315726744983, -0.14960425021182708, 0.18635573270171957, 0.29680787974086487, -0.4484899218346412, -0.2992076453888737, -0.06076795898061571, 0.274627471855408, -0.3427802568587124]","[0.0876909677511867, 0.6480832548117545, 0.14078994526862101, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732]","[0.11861970756509344, 0.6385002132817112, 0.09532752898958763, -0.21901584001539937, 0.34991779188372263, 0.09738583968224018, -0.535860527669429, 0.035689166137068684, -0.058297936721516175, 0.25096514820681426]","(4, 0, 0)","[-0.049482774, -0.0580531, -0.049912944, -0.04890211, -0.048146375, -0.04759212, -0.046689324, -0.046608854, -0.04675056, -0.047038905]","(20, 4)",0.001
9,"[1.3720358408819346, 0.1934169010522101, 0.27509356117561357, 1.1698136779493402, 0.8396187983203321, 0.07579211512231926, -0.5409942725418014, -0.7460267956586354, -0.43181432207649323, 0.5030684841082512]","[0.636904104623728, 1.0535837885700707, -0.3333749932328252, 0.44178105779202614, 0.9489231490533271, 0.3651572237936686, -0.10678649677451504, -0.4876010241545439, -0.5022262835813633, -0.18070118028581153]","[0.6034778295083246, 1.0659889796353663, -0.38113544961095747, 0.4835129969537034, 0.9230520259430361, 0.3506888900971782, -0.11358450703489872, -0.48717316586759174, -0.49227579073819056, -0.17064740347710997]","(1, 0, 1)","[0.422888, 0.3670921, 0.52954215, 0.4436817, 0.4279233, 0.40534234, 0.6761933, 0.73576593, 0.71990633, 0.74451804]","(50, 10)",0.001
30,"[1.2814768747862875, 0.7463073658718593, -0.6197134102433243, -1.037345767595449, -0.9008440397125207, 0.3078315876998408, 0.021581535938597574, -0.8796944083338989, -1.081324879546362, -0.7193946696679511]","[0.43879132928733666, 1.0620812101426191, 0.21526676080054974, -0.7273467906435991, -0.6736723722736494, -0.564007853575696, 0.5898355144876888, -0.2733362213052468, -0.7430262976812755, -0.7098117307057242]","[0.4598543302022402, 1.0741234078821025, 0.24667605392841924, -0.7396448858080438, -0.6953304325795804, -0.5790948606718196, 0.5838541439219388, -0.2532891798390635, -0.7651574704932804, -0.7267625148608166]","(1, 0, 1)","[0.03539675, 0.19852646, 0.30533856, 0.28775075, 0.32228026, 0.3623095, 0.34710222, 0.3506549, 0.3713998, 0.33025065]","(10, 2)",0.001
