seed,Test,True,ARMA,Order,Informer,Informer_para,Informer_lr
2,"[-0.07619475748646493, 0.09164797186979468, 0.04265355710869123, -0.8318082724773688, -1.111989211738884, 0.14320985858035817, -0.26641798290445873, -1.3436869366331248, -0.5416921497300823, -0.45165602223925905]","[-0.8616532555087413, 0.35463187026790566, -0.08566796326415815, 0.08548753874077031, -0.8745520418477539, -0.6747131908150071, 0.48056645398786174, -0.5067012098983896, -1.0903363316839298, 0.003476016111882696]","[-0.8471978894543913, 0.3840399729636133, -0.04706436435444104, 0.07314479324528976, -0.8214579801682239, -0.7058399358645229, 0.48969271194123576, -0.5070311485397203, -1.0741120250389362, 0.037580934628151264]","(4, 0, 0)","[-0.45563784, -0.36112636, 0.36193323, 0.3098806, 0.17319338, 0.0777632, 0.21895579, 0.15010792, 0.023122825, 0.11358796]","(50, 10)",0.001
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.513624048910849, -1.246469755421975, -1.2979820565942326, 0.2937735728232192, 1.0691443447610172, 0.04061672229869437, -0.9200082481375611, -0.5315664360626418, -0.4681143524277487, 0.5185710212639378]","(1, 0, 1)","[-0.03615078, -0.02372624, -0.08712565, -0.24359635, -0.10074209, -0.20748219, -0.16715655, -0.15331429, -0.10842994, -0.072217636]","(50, 10)",0.001
17,"[0.7177026498497739, -0.3332051284093975, -1.062168419523947, -1.7271917723626906, -2.2484326699739463, -1.6921430636559718, -1.4602003730141448, -1.4343167547945197, -1.6665329052094175, -0.9171298809888877]","[1.1081008676865838, 0.163652216006482, -0.4150312364126385, -0.8546528013176277, -1.2998653717038766, -1.5984999841220078, -0.8928930715949678, -1.0137538372166608, -0.9274398361861893, -1.202812987116323]","[1.0520841264609593, 0.13178850183766744, -0.4338181567064734, -0.9279639902177075, -1.387302873096053, -1.6393453756072431, -0.9064776017642793, -0.9898648065061202, -0.8675701114058582, -1.1314180225498291]","(4, 0, 0)","[-0.01781647, -0.023664866, -0.01737811, -0.015757177, -0.008312903, -0.0066974033, -0.0064434092, -0.005575834, -0.0039989557, -0.005653076]","(50, 10)",0.001
34,"[0.3332583930137314, -0.23995789038278237, -0.1122022786309056, 1.0596879630957488, 1.177080487643221, 0.06245018526644397, 0.3923453408792714, 0.7568536651749199, 0.8723372494612107, 0.7982448589461052]","[-0.46563829537462587, 0.5660775407010443, -0.5229966607333045, 0.14929605173574667, 0.9850399372278754, 0.6845605190292833, -0.27983007424819767, 0.5322603780033702, 0.4907234761732348, 0.6269755113745933]","[-0.4306375999441421, 0.518082873552171, -0.4676908210503566, 0.1089861643877649, 0.955997536970557, 0.6745444323167372, -0.25513988136851307, 0.4915960034234371, 0.4902714220647818, 0.6011888317021465]","(1, 0, 1)","[-0.20401041, -0.20499657, -0.20653234, -0.20665857, -0.20472994, -0.20039378, -0.19991921, -0.2000025, -0.20069651, -0.20069481]","(20, 4)",0.001
6,"[-0.4453356817584949, -0.8090818530260567, -0.3396503960315645, -0.45486538584113234, -1.3696958412225113, -1.3293383836789032, -0.8804124823287928, -1.1841419263023116, -1.157885584127501, 0.20079134087507833]","[0.0020627459518735014, -0.44636705473443167, -0.5858983256588408, -0.04670123320214406, -0.4315147692400603, -1.1539384566024813, -0.7523691553776627, -0.5042279046399614, -0.932027973982331, -0.6918715971363356]","[-0.003520148298033793, -0.4441922500288066, -0.5986107369505267, -0.05472118860057194, -0.4293927656556543, -1.1680595177758373, -0.7751929226160522, -0.5129050803797139, -0.9437816048462473, -0.7121834403470251]","(1, 0, 1)","[-0.033642717, -0.033595588, -0.032083683, -0.032839864, -0.033976275, -0.03394082, -0.03392735, -0.033487618, -0.033429336, -0.03310991]","(20, 4)",0.001
13,"[0.4776846498526209, 0.5821712388038603, 0.2802554900752415, 0.22297160123899062, -0.1975596134215989, -1.0425238717296366, 0.09155253831370191, 1.3776430823527734, 0.6777434048553513, -0.3775402270772465]","[0.6008590120983393, 0.17725514380345123, 0.49354366690213475, 0.0334836566241741, 0.2062297729269036, -0.3006744998850507, -0.8921866217871113, 0.5376458492072576, 1.1088201577491446, 0.12333332598077901]","[0.6039624511744863, 0.17810278345696723, 0.4953277919511483, 0.03427845954354505, 0.20648652524275937, -0.3007936570681366, -0.8959076179581236, 0.5381940912637042, 1.1113677400515027, 0.12173883788437087]","(1, 0, 1)","[-0.08796807, -0.14015625, -0.12618123, -0.22653212, -0.18850943, -0.21262287, -0.15128203, 0.010649502, 0.053484943, 0.01567804]","(20, 4)",0.001
23,"[-0.7972534420681722, 0.2865580919118626, 1.3092846607646509, 0.5319940660574185, -0.01799348567364678, 0.7823631415737075, 0.6977989543286605, 0.14898163745840431, -0.9797952977894697, -1.5618723998755375]","[-0.7442062845127789, -0.4251502998117827, 0.499133241817754, 1.059718039855774, 0.002135046129531526, -0.019061008738412544, 0.7918936459429138, 0.30185213135720357, -0.0019444282201974694, -0.978823083679371]","[-0.7664060833599537, -0.41250261525499304, 0.5015380044500688, 1.066980723781505, -0.012541423475623092, -0.011714928262126783, 0.7978693527162426, 0.29284080206291646, -0.0009773257018471926, -0.9913499151576562]","(1, 0, 1)","[0.072514564, 0.07244651, 0.07236126, 0.072062254, 0.07200265, 0.072458774, 0.07286112, 0.07289198, 0.07299852, 0.07271859]","(50, 10)",0.001
27,"[0.30040852971221266, -0.8635496756460255, -1.108788642005658, -0.8672904828370445, -0.8654089035328904, -0.3739462395836059, 0.1337306828910472, 1.1138616177334373, 0.38626475625811707, -0.33900312009153016]","[0.8854465399547372, -0.14231474026515595, -0.7923923055134475, -0.7125924892489344, -0.5109942382125773, -0.6099117844266018, -0.06899034737030504, 0.1682258565761997, 1.0297486894453374, -0.12860958846455167]","[0.9265067876892037, -0.1358253210840426, -0.8821940931740859, -0.815214867943347, -0.5754273769399972, -0.6190658242717263, -0.05890495604527779, 0.21975393317994696, 1.0777068472299376, -0.034443114414877296]","(4, 0, 0)","[0.18473649, 0.19464569, 0.22396722, 0.23266774, 0.23618197, 0.23806624, 0.23604423, 0.2309965, 0.2225293, 0.2265095]","(50, 10)",0.001
25,"[0.08350745381100205, -0.8242756176951482, -1.011413625416096, -0.09363244690039896, 1.0122823555583396, -0.016629211871084237, -1.339810472310588, -2.081997936761713, -1.4947085922194965, -0.5558238426717202]","[0.32273195480336575, -0.07785852359068082, -0.7853463558998078, -0.6187404474661921, 0.21573777683269707, 0.904413467141991, -0.46883594544207974, -1.105392499589548, -1.529301686966939, -0.730057748736027]","[0.2915281236378388, -0.0727120256583958, -0.7769485537832894, -0.5867461697969076, 0.22040655504254703, 0.8845720188338586, -0.4888225475965776, -1.0627418545639626, -1.494824973045192, -0.6823006438228789]","(1, 0, 1)","[0.31132516, 0.31063882, 0.31015894, 0.31206045, 0.31187284, 0.31166932, 0.3128807, 0.3120346, 0.3119182, 0.30967587]","(20, 4)",0.001
11,"[0.9041179734816571, 1.3128266820579864, -0.08782188970286342, -0.06818098498933428, 0.5325499896573734, -0.23708674172827865, -1.4348660106393332, -0.4933474587559986, 0.2532797562564811, -0.8010393132490272]","[0.14243923322386534, 0.8328983568697245, 0.8963775036231242, -0.5360106415144255, 0.19982433576787847, 0.4326378217734342, -0.45340565261499577, -1.2081631843318354, 0.11073413340991906, 0.19791268955152155]","[0.09424300383960241, 0.8860053476596014, 0.8231068766792506, -0.561435115016654, 0.2267619715082505, 0.5460424585150596, -0.5099933159426425, -1.2068320703962336, 0.1721794754938104, 0.21527328759364406]","(3, 0, 0)","[-1.0085247, -1.3018917, -0.29531544, 0.2858706, 0.2840464, 0.34697312, 0.29692566, 0.24094425, 0.22772866, 0.109396175]","(20, 4)",0.001
