DGP,,arma,arma,arma,FAR,FAR,FAR,bilinear,bilinear,bilinear
Model,,ARMA,Informer,RNN,ARMA,Informer,RNN,ARMA,Informer,RNN
0.2,0.0,0.0004960742246544924,0.00756059775508809,0.004693627086303418,0.0231213081467075,0.033075012724771626,0.02424715315374521,0.0005115513113998893,0.005780842529189118,0.007763625418518902
0.2,0.2,0.002598786310746636,0.010732865692543806,0.009255110892628378,0.022266170588717,0.03412800707616986,0.020566861538007446,0.009526060618516966,0.012077794283588414,0.007826850725102807
0.2,0.5,0.0018562247556730713,0.021000276409836947,0.007945319320486716,0.03082494372912341,0.07565409540972949,0.030630611761491938,0.04639538002157397,0.03731728647950709,0.010802285978864328
0.2,0.8,0.0009928048266701014,0.04224216288733322,0.013660715598038574,0.05650257292274913,0.12168944615740614,0.06538296771395823,0.4031477593836037,0.30925183557705455,0.14496467649102418
0.5,0.0,0.00039044940130093716,0.007704776303287978,0.007723367494222694,0.10187896321369472,0.0772758362568071,0.03204080076343288,0.0003155627499389618,0.011595964094196783,0.012964144634576269
0.5,0.2,0.0017669599011147527,0.014869851388090584,0.008125826469891132,0.10637246747033316,0.08143551075947995,0.01954255564731576,0.009032514583507158,0.020986235769145555,0.00849024975238008
0.5,0.5,0.0012752585385372827,0.034642440599783796,0.014416805249323832,0.15721105635337312,0.11557612893114397,0.029431222185339893,0.11277462274030389,0.11738345374351637,0.04541890413220567
0.5,0.8,0.0005693266516970587,0.07196634090975042,0.014180228201908411,0.18830071750496086,0.21512886408432302,0.06599062991211117,0.8208047611679816,0.8238478328719162,0.4682698089848404
0.8,0.0,0.0006214405388424837,0.02255221653909575,0.014903552040970401,0.30720150787762085,0.09858584236703387,0.03346811459120778,0.0003691860424334358,0.024696732744150164,0.00774129500205931
0.8,0.2,0.0011558651978658757,0.03899552187518586,0.013789005287459643,0.29296093223784087,0.10741686936016226,0.03434924542152237,0.01841886091636168,0.03332666886183656,0.013300881013650649
0.8,0.5,0.0012602313162674245,0.0614527803127102,0.014309553412771776,0.33563796165528426,0.13338949743214681,0.05291958813404256,0.2072371893092484,0.29097233068007206,0.20630475735902387
0.8,0.8,0.0009958225701050794,0.14116475401451958,0.00974292748384549,0.4331179870162207,0.23130766286287202,0.05766689710449618,1.2457031168924853,1.2480980075683334,0.9954661336990525
