DGP,,arma,arma,arma,FAR,FAR,FAR,bilinear,bilinear,bilinear
Model,,ARMA,Informer,RNN,ARMA,Informer,RNN,ARMA,Informer,RNN
0.2,0,0.000504346,0.012227423,0.005751644,0.023228408,0.044242702113405835,0.023807479614960644,0.000566623,0.012766328855710503,0.008588947
0.2,0.2,0.001990284,0.017411375,0.009300109,0.021433574389507996,0.041115337924316264,0.018970733,0.010602343036929125,0.019480944875751992,0.008360134
0.2,0.5,0.001327108,0.046902558974124896,0.007948531,0.025002018944740155,0.072543585,0.044772615810351836,0.057077128,0.061870316,0.020880060745665067
0.2,0.8,0.000657176,0.068259329,0.010831319079676542,0.041448276,0.20328211386397485,0.035849117820688246,0.39232293886579517,0.26419161212313674,0.14856961732276408
0.5,0,0.000616416,0.015938459,0.009744048,0.11086235633976171,0.10610985529594633,0.018903141190981396,0.000453872,0.015655531631853913,0.011770216876942276
0.5,0.2,0.00148135,0.037264725,0.009863443,0.10455675698553493,0.071478928,0.026184525603061462,0.012808749615630024,0.031294172,0.011919139078045654
0.5,0.5,0.001901872,0.051025101238193725,0.011034547663649636,0.12665089842581906,0.12797172680245764,0.035128722244168145,0.13544872409567693,0.14962005152326355,0.052695363
0.5,0.8,0.000664293,0.093903386,0.010722154794921708,0.2248313902415716,0.2835341374231311,0.075399535,0.6880670794758484,0.5508639251581855,0.45614817111775724
0.8,0,0.000350968,0.040671166,0.008995459,0.27869197776133214,0.15667806744668544,0.034701886,0.000279097,0.038100349807303945,0.013658042916213746
0.8,0.2,0.001040195,0.043489564,0.006921182,0.24899270019112485,0.15764881205371753,0.038442288,0.019550826,0.055258812072351324,0.019163008238842448
0.8,0.5,0.00109844,0.091854705,0.016402006,0.3331871350420989,0.17635037411720778,0.049103379695771554,0.6850178889051134,1.203034293624535,0.6340271157433776
0.8,0.8,0.001180867,0.15411376467523025,0.014830848440803741,0.459406264,0.38979634111235417,0.073045999,2.2168647182512538,3.853228295902135,2.5977109602224586
